period_month,side,line_id,amount_rub,legal_entity_id,article_or_purpose,matches_delta,source,so_t
2024-10,SALON_UFK_CANDIDATE,0b9757804c39de25,147180.0,LE-OOO-SALON-YANINA,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области,Y,sber_salon_tax_payments|bank_payments,N
2025-08,TAX_CASH,TC-8c8e827ae62717a4,534202.0,LE-IP-YANINA,"налоги (УСН, транспортный, НДС)",N,tax_cash_lines,N
2025-08,TAX_CASH,TC-ab2967403c38dd57,382443.39,LE-OOO-DEKOR,налоги с зарплаты,N,tax_cash_lines,N
2025-08,TAX_CASH,TC-b2602707c4087d29,77410.0,LE-IP-YANINA,налоги с зарплаты,Y,tax_cash_lines,N
2025-08,TAX_CASH,TC-b6c5b3e7d7ee4601,476381.56,LE-IP-YANINA,налоги с зарплаты,N,tax_cash_lines,N
2025-08,BANK_TAX_LIKE,bc02b06fc1e6ea56,534202.0,,Казначейство России (ФНС России) | единый налоговый платеж (НДС 1/3 за 2кв.2025). НДС не облагается,N,bank_tax_like,N
2025-08,BANK_TAX_LIKE,394d33b10cbb8add,5661.33,,УФК по г. Москве (Отделение Фонда пенсио | Оплата взносов НСиПЗ за июль 2025 г. НДС не облагается,N,bank_tax_like,N
2025-08,BANK_TAX_LIKE,3d45c9733a948729,376782.06,,"Казначейство России (ФНС России) | Единый налоговый платеж (НДФЛ за август, страх.взносы за июль)",N,bank_tax_like,N
2025-08,BANK_TAX_LIKE,58cbafeb05dddce9,476381.56,,"Казначейство России (ФНС России) | Единый налоговый платеж (НДФЛ за август, страх.взн за июль) НДС не облагается",N,bank_tax_like,N
2025-08,SALON_UFK_CANDIDATE,67d44e4ba5bd8469,77410.0,LE-OOO-SALON-YANINA,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области,Y,sber_salon_tax_payments|bank_payments,N
2026-06,TAX_CASH,TC-e5ee2abbe66ac54f,21216.3,LE-IP-YANINA,"налоги (УСН, транспортный, НДС)",N,tax_cash_lines,N
2026-06,TAX_CASH,TC-ab9ff2ece94d5562,179748.0,LE-IP-YANINA,"налоги (УСН, транспортный, НДС)",N,tax_cash_lines,N
2026-06,TAX_CASH,TC-b9a35580b64a0fc5,24383.7,LE-OOO-DEKOR,налоги с зарплаты,N,tax_cash_lines,N
2026-06,TAX_CASH,TC-ddcbd6674d6cc44e,24383.7,LE-IP-YANINA,налоги с зарплаты,N,tax_cash_lines,N
2026-06,TAX_CASH,TC-d0e717254140dd4a,38938.41,LE-IP-YANINA,налоги с зарплаты,N,tax_cash_lines,N
2026-06,BANK_TAX_LIKE,1f4081ce7970f670,179748.0,,Казначейство России (ФНС России) | единый налоговый платеж (НДС 1/3 за 1 кв. 2026). НДС не облагается,N,bank_tax_like,N
2026-06,BANK_TAX_LIKE,fad236e9cc399fa4,24383.7,,Казначейство России (ФНС России) | Единый налоговый платеж (страх.взносы за 1 кв 2026) ИТОГО за период с 01.01.2024,N,bank_tax_like,N
2026-06,BANK_TAX_LIKE,7f46a037aa86830a,23988.0,,Казначейство России (ФНС России) | Единый налоговый платеж (НДФЛ за май 2026) НДС не облагается,N,bank_tax_like,N
2026-06,BANK_TAX_LIKE,0df73badbd05de58,14950.41,,УФК по г. Москве (Отделение Фонда пенсио | Страховые взносы в СФР на обязательное социальное страхование от несчастных случ,N,bank_tax_like,N
2026-06,BANK_TAX_LIKE,8de4ec31f16f45c5,76500.0,,Межрегиональное операционное УФК (Федера | Пошлина за государственную регистрацию товарного знака по заявлению на ЕПГУ 7510,N,bank_tax_like,N
2026-06,SALON_UFK_CANDIDATE,8de4ec31f16f45c5,76500.0,LE-IP-YANINA,Пошлина за государственную регистрацию товарного знака по заявлению на ЕПГУ 7510254893 НДС не облагается,Y,sber_salon_tax_payments|bank_payments,N
