period_month,expense_payroll_rub,dds_oplata_truda_rub,dds_payroll_bn_rub,dds_payroll_all_rub,dds_payroll_tax_rub,bank_zp_like_rub,lines_cash_card_rub,lines_n,dist_cash_card_rub,status_expense_vs_dds,status_dds_vs_bank,status_expense_vs_bank,status_lines_vs_dds,status_lines_vs_bank,status_overall,best_pair,delta_expense_vs_dds,delta_dds_vs_bank,note
2024-01,661990.54,661990.54,661990.54,9473220.54,0.0,664384.37,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-2393.83,primary=expense/DDS BN/bank; lines optional coverage
2024-12,2862731.1,2862731.1,2862731.1,9588833.1,0.0,2903152.14,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,-0.0,-40421.04,primary=expense/DDS BN/bank; lines optional coverage
2025-01,2235578.3,1791349.67,1791349.67,2162299.67,444228.63,1796632.38,9103578.0,80,1736450.0,SOFT,CLOSE,SOFT,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,444228.63,-5282.71,primary=expense/DDS BN/bank; lines optional coverage
2025-02,1418838.66,725394.0,725394.0,9772279.0,693444.66,730545.75,20056353.0,83,1891753.0,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,693444.66,-5151.75,primary=expense/DDS BN/bank; lines optional coverage
2025-03,2480586.13,1760568.21,1760568.21,7219118.21,720017.92,1765966.03,19619630.0,86,3475724.58,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,720017.92,-5397.82,primary=expense/DDS BN/bank; lines optional coverage
2025-04,3960233.24,3028336.3,3028336.3,8990136.3,931896.94,3073042.48,9209354.0,89,1915354.0,SOFT,CLOSE,SOFT,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,931896.94,-44706.18,primary=expense/DDS BN/bank; lines optional coverage
2025-05,1475639.83,875823.0,875823.0,7139623.0,599816.64,880944.36,9848320.0,88,0.0,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,599816.83,-5121.36,primary=expense/DDS BN/bank; lines optional coverage
2025-06,2677876.78,1902728.0,1902728.0,8886528.0,775148.87,1933961.98,11805751.0,86,2460851.0,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,775148.78,-31233.98,primary=expense/DDS BN/bank; lines optional coverage
2025-07,3881519.57,2948703.39,2948703.39,11200096.39,932816.18,3215003.77,0.0,0,0.0,SOFT,SOFT,SOFT,NO_LINES,NO_LINES,SOFT,EXPENSE_VS_DDS,932816.18,-266300.38,primary=expense/DDS BN/bank; lines optional coverage
2025-08,3154710.82,2218477.58,2218477.58,8445727.58,936234.95,2224333.03,0.0,0,0.0,WIDE_GAP,CLOSE,WIDE_GAP,NO_LINES,NO_LINES,CLOSE,DDS_VS_BANK,936233.24,-5855.45,primary=expense/DDS BN/bank; lines optional coverage
2025-09,2748418.05,1970012.51,1970012.51,6613012.51,778405.51,1975030.26,0.0,0,0.0,WIDE_GAP,CLOSE,WIDE_GAP,NO_LINES,NO_LINES,CLOSE,DDS_VS_BANK,778405.54,-5017.75,primary=expense/DDS BN/bank; lines optional coverage
2025-10,3480711.39,2578808.21,2578808.21,8328408.21,901903.63,2586064.59,0.0,0,0.0,WIDE_GAP,CLOSE,WIDE_GAP,NO_LINES,NO_LINES,CLOSE,DDS_VS_BANK,901903.18,-7256.38,primary=expense/DDS BN/bank; lines optional coverage
2025-11,3867932.08,2784415.46,2784415.46,9098315.46,1083516.62,2853476.66,0.0,0,0.0,WIDE_GAP,CLOSE,WIDE_GAP,NO_LINES,NO_LINES,CLOSE,DDS_VS_BANK,1083516.62,-69061.2,primary=expense/DDS BN/bank; lines optional coverage
2025-12,6383938.82,5053801.93,5053801.93,18420901.93,1330136.89,5073786.68,0.0,0,0.0,SOFT,CLOSE,SOFT,NO_LINES,NO_LINES,CLOSE,DDS_VS_BANK,1330136.89,-19984.75,primary=expense/DDS BN/bank; lines optional coverage
2026-01,2014014.41,1173362.0,1173362.0,1765862.0,840652.41,1183388.76,10343898.0,97,185846.5,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,840652.41,-10026.76,primary=expense/DDS BN/bank; lines optional coverage
2026-02,3632647.01,3156703.01,3156703.01,9587903.01,475944.0,3160451.55,9488504.96,95,0.0,SOFT,CLOSE,SOFT,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,475944.0,-3748.54,primary=expense/DDS BN/bank; lines optional coverage
2026-03,4714435.37,2943703.89,2943703.89,8197803.89,1770731.48,2951738.85,9215984.71,94,9518278.0,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,1770731.48,-8034.96,primary=expense/DDS BN/bank; lines optional coverage
2026-04,4269884.28,3107643.17,3107643.17,9019143.17,1162241.39,3117016.2,9102898.51,99,9144149.0,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,1162241.11,-9373.03,primary=expense/DDS BN/bank; lines optional coverage
2026-05,4443931.16,3278397.75,3278397.75,8459897.75,1165533.0,3290103.05,10008995.73,94,9648298.94,WIDE_GAP,CLOSE,WIDE_GAP,WIDE_GAP,WIDE_GAP,CLOSE,DDS_VS_BANK,1165533.41,-11705.3,primary=expense/DDS BN/bank; lines optional coverage
2026-06,3223054.94,0.0,0.0,815500.0,0.0,3144056.87,0.0,0,0.0,LEFT_ONLY,RIGHT_ONLY,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_BANK,3223054.94,-3144056.87,primary=expense/DDS BN/bank; lines optional coverage
