period_month,md_payments_gross_eur,large_neg_adjustments_eur,md_payments_operating_eur,sales_dds_salon_shop_eur,gap_operating_eur,gap_pct,status,note
2020-04,126322.0,0.0,126322.0,0.0,126322.0,,OPEN,no large adjustments
2020-05,59577.0,0.0,59577.0,0.0,59577.0,,OPEN,no large adjustments
2020-06,56415.0,0.0,56415.0,0.0,56415.0,,OPEN,no large adjustments
2020-07,92667.0,0.0,92667.0,0.0,92667.0,,OPEN,no large adjustments
2020-08,40593.0,0.0,40593.0,0.0,40593.0,,OPEN,no large adjustments
2020-09,163651.0,0.0,163651.0,0.0,163651.0,,OPEN,no large adjustments
2020-10,196751.0,0.0,196751.0,0.0,196751.0,,OPEN,no large adjustments
2020-11,123362.0,0.0,123362.0,0.0,123362.0,,OPEN,no large adjustments
2020-12,201411.0,0.0,201411.0,0.0,201411.0,,OPEN,no large adjustments
2021-01,36501.0,0.0,36501.0,0.0,36501.0,,OPEN,no large adjustments
2021-02,106791.0,0.0,106791.0,0.0,106791.0,,OPEN,no large adjustments
2021-03,140078.0,0.0,140078.0,0.0,140078.0,,OPEN,no large adjustments
2021-04,298525.0,0.0,298525.0,0.0,298525.0,,OPEN,no large adjustments
2021-05,124916.0,0.0,124916.0,0.0,124916.0,,OPEN,no large adjustments
2021-06,153545.0,0.0,153545.0,0.0,153545.0,,OPEN,no large adjustments
2021-07,142223.0,0.0,142223.0,0.0,142223.0,,OPEN,no large adjustments
2021-08,77314.0,0.0,77314.0,0.0,77314.0,,OPEN,no large adjustments
2021-09,86038.0,0.0,86038.0,0.0,86038.0,,OPEN,no large adjustments
2021-10,129588.0,0.0,129588.0,0.0,129588.0,,OPEN,no large adjustments
2021-11,258553.0,0.0,258553.0,0.0,258553.0,,OPEN,no large adjustments
2021-12,259131.0,0.0,259131.0,0.0,259131.0,,OPEN,no large adjustments
2022-01,95541.0,0.0,95541.0,0.0,95541.0,,OPEN,no large adjustments
2022-02,243756.0,0.0,243756.0,0.0,243756.0,,OPEN,no large adjustments
2022-03,36639.0,0.0,36639.0,0.0,36639.0,,OPEN,no large adjustments
2022-04,270505.0,0.0,270505.0,0.0,270505.0,,OPEN,no large adjustments
2022-05,113966.0,0.0,113966.0,0.0,113966.0,,OPEN,no large adjustments
2022-06,55799.0,0.0,55799.0,0.0,55799.0,,OPEN,no large adjustments
2022-07,284712.0,0.0,284712.0,0.0,284712.0,,OPEN,no large adjustments
2022-08,50569.0,0.0,50569.0,0.0,50569.0,,OPEN,no large adjustments
2022-09,87065.0,0.0,87065.0,0.0,87065.0,,OPEN,no large adjustments
2022-10,146804.0,0.0,146804.0,0.0,146804.0,,OPEN,no large adjustments
2022-11,151863.0,0.0,151863.0,0.0,151863.0,,OPEN,no large adjustments
2022-12,206606.0,0.0,206606.0,0.0,206606.0,,OPEN,no large adjustments
2023-01,51037.0,0.0,51037.0,0.0,51037.0,,OPEN,no large adjustments
2023-02,144230.0,0.0,144230.0,0.0,144230.0,,OPEN,no large adjustments
2023-03,110980.0,0.0,110980.0,0.0,110980.0,,OPEN,no large adjustments
2023-04,141176.0,0.0,141176.0,0.0,141176.0,,OPEN,no large adjustments
2023-05,278550.0,0.0,278550.0,0.0,278550.0,,OPEN,no large adjustments
2023-06,234671.0,0.0,234671.0,0.0,234671.0,,OPEN,no large adjustments
2023-07,187408.0,0.0,187408.0,0.0,187408.0,,OPEN,no large adjustments
2023-08,146453.0,0.0,146453.0,0.0,146453.0,,OPEN,no large adjustments
2023-09,111355.0,0.0,111355.0,0.0,111355.0,,OPEN,no large adjustments
2023-10,108724.0,0.0,108724.0,0.0,108724.0,,OPEN,no large adjustments
2023-11,109996.47,0.0,109996.47,0.0,109996.47,,OPEN,no large adjustments
2023-12,433278.0,0.0,433278.0,0.0,433278.0,,OPEN,no large adjustments
2024-01,-5841.0,-70000.0,64159.0,63836.0,323.0,0.5,CLOSE,operating = gross − large_neg_adjustments
2024-02,145324.0,0.0,145324.0,145324.0,0.0,0.0,CLOSE,no large adjustments
2024-03,148955.0,0.0,148955.0,148514.0,441.0,0.3,CLOSE,no large adjustments
2024-04,265180.0,0.0,265180.0,265180.0,0.0,0.0,CLOSE,no large adjustments
2024-05,149737.0,0.0,149737.0,149427.0,310.0,0.2,CLOSE,no large adjustments
2024-06,147924.0,0.0,147924.0,136164.0,11760.0,8.6,SOFT,no large adjustments
2024-07,256842.0,0.0,256842.0,254842.0,2000.0,0.8,CLOSE,no large adjustments
2024-08,90944.0,0.0,90944.0,90944.0,0.0,0.0,CLOSE,no large adjustments
2024-09,61812.0,0.0,61812.0,61004.0,808.0,1.3,CLOSE,no large adjustments
2024-10,138744.0,0.0,138744.0,140344.0,-1600.0,1.1,CLOSE,no large adjustments
2024-11,109419.0,0.0,109419.0,109419.0,0.0,0.0,CLOSE,no large adjustments
2024-12,407294.0,0.0,407294.0,407294.0,0.0,0.0,CLOSE,no large adjustments
2025-01,77023.0,0.0,77023.0,77023.0,0.0,0.0,CLOSE,no large adjustments
2025-02,367888.0,0.0,367888.0,367888.0,0.0,0.0,CLOSE,no large adjustments
2025-03,137281.0,0.0,137281.0,137281.0,0.0,0.0,CLOSE,no large adjustments
2025-04,192370.0,0.0,192370.0,192370.0,0.0,0.0,CLOSE,no large adjustments
2025-05,213231.0,0.0,213231.0,207701.0,5530.0,2.7,SOFT,no large adjustments
2025-06,203272.0,0.0,203272.0,214728.0,-11456.0,5.3,SOFT,no large adjustments
2025-07,250504.0,0.0,250504.0,252254.0,-1750.0,0.7,CLOSE,no large adjustments
2025-08,28641.0,0.0,28641.0,31181.0,-2540.0,8.1,SOFT,no large adjustments
2025-09,156319.0,0.0,156319.0,156103.0,216.0,0.1,CLOSE,no large adjustments
2025-10,262757.0,0.0,262757.0,259389.0,3368.0,1.3,CLOSE,no large adjustments
2025-11,198533.0,0.0,198533.0,197527.0,1006.0,0.5,CLOSE,no large adjustments
2025-12,231798.0,0.0,231798.0,232401.0,-603.0,0.3,CLOSE,no large adjustments
2026-01,74560.0,0.0,74560.0,74560.0,0.0,0.0,CLOSE,no large adjustments
2026-02,196705.0,0.0,196705.0,200940.0,-4235.0,2.1,SOFT,no large adjustments
2026-03,150873.0,0.0,150873.0,150875.0,-2.0,0.0,CLOSE,no large adjustments
2026-04,278197.0,0.0,278197.0,278197.0,0.0,0.0,CLOSE,no large adjustments
2026-05,163608.0,0.0,163608.0,161608.0,2000.0,1.2,CLOSE,no large adjustments
2026-06,125337.0,0.0,125337.0,0.0,125337.0,,DDS_LAG,Workbook has payments; SALES DDS not yet filled for month
