canonical_sku,warehouse,channel_map,qty_end,channel_sales_qty,channel_sales_rev_rub,class,name,do_not_auto_accept,so_t
0-1416B,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Брюки женские, синие, из стрейч бархата, с шелковым лампасом",YES,N
0-1417,Склад ИМ,IM,0.0,2.0,30385.0,WH_CH_SALES_NO_STOCK,"Брюки женские, черные, из стрейч бархата, с отлетной деталью",YES,N
0-1418,Склад ИМ,IM,0.0,14.0,312423.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",YES,N
0-1418,Склад оптовых продаж,B2B,8.0,7.0,84212.0,WH_STOCK_AND_CH_SALES,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",YES,N
0-1418A,Склад ИМ,IM,0.0,1.0,33150.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, синий, из бархата, с декоративными элементами на рукавах",YES,N
0-1423,Склад ИМ,IM,0.0,2.0,30210.0,WH_CH_SALES_NO_STOCK,"Юбка-баска женская, черная, из чесучи, со складками ""плиссе""",YES,N
0-1425,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,Браслет с вышивкой бисером Basic,YES,N
0-1442,Склад ИМ,IM,0.0,9.0,281448.0,WH_CH_SALES_NO_STOCK,"Юбка женская, черная, из фатина, с принтом ""горошек""",YES,N
0-1442,Склад оптовых продаж,B2B,0.0,10.0,139394.0,WH_CH_SALES_NO_STOCK,"Юбка женская, черная, из фатина, с принтом ""горошек""",YES,N
0-1442C,Склад ИМ,IM,0.0,1.0,18850.0,WH_CH_SALES_NO_STOCK,"Юбка женская,белая,из фатина, с декором ""круги""",YES,N
0-1444A,Склад ИМ,IM,0.0,3.0,100040.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с к",YES,N
0-1463,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,Мягкая маска из хлопка цвета электрик Girls,YES,N
0-1464,Склад ИМ,IM,0.0,1.0,11950.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, белый с черным, из футера, с декоративной деталью по рукаву",YES,N
0-1486,Склад ИМ,IM,2.0,6.0,892896.0,WH_STOCK_AND_CH_SALES,"Юбка женская, черная, из пайеточной ткани",YES,N
0-1486C,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",YES,N
0-1487,Склад ИМ,IM,3.0,4.0,227175.0,WH_STOCK_AND_CH_SALES,"Юбка женская, темно-серая, из пайеточной ткани",YES,N
0-1487,Склад оптовых продаж,B2B,0.0,1.0,30391.0,WH_CH_SALES_NO_STOCK,"Юбка женская, темно-серая, из пайеточной ткани",YES,N
0-1487A,Склад ИМ,IM,0.0,1.0,34950.0,WH_CH_SALES_NO_STOCK,"Юбка женская, золотистая, из пайеточной ткани",YES,N
0-1487A,Склад оптовых продаж,B2B,0.0,1.0,30391.0,WH_CH_SALES_NO_STOCK,"Юбка женская, золотистая, из пайеточной ткани",YES,N
0-1491,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",YES,N
0-1492,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Брошь из пайеток с добавлением бусин и страз, черная с белым Basic",YES,N
0-1494,Склад ИМ,IM,0.0,1.0,25500.0,WH_CH_SALES_NO_STOCK,"Брошь из пайеток с добавлением бусин и страз, белая с черным Basic",YES,N
0-1495,Склад ИМ,IM,0.0,1.0,25500.0,WH_CH_SALES_NO_STOCK,"Брошь из пайеток с добавлением бусин и страз, черная Basic",YES,N
0-1500,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Бейсболка женская, черная, из хлопка, декорированная вуалеткой с аппликацией Gir",YES,N
0-1505,Склад ИМ,IM,0.0,1.0,17600.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, розовый, из футера, с вышитым лого ""YANINA""",YES,N
0-1506,Склад ИМ,IM,0.0,1.0,17600.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, белый, из футера, с вышитым лого ""YANINA""",YES,N
0-1511,Склад ИМ,IM,0.0,1.0,36365.0,WH_CH_SALES_NO_STOCK,"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",YES,N
0-1522,Склад ИМ,IM,1.0,2.0,44710.0,WH_STOCK_AND_CH_SALES,"Юбка женская, белая, из фатина, с принтом ""горошек""",YES,N
0-1522,Склад оптовых продаж,B2B,0.0,7.0,97784.0,WH_CH_SALES_NO_STOCK,"Юбка женская, белая, из фатина, с принтом ""горошек""",YES,N
0-1549,Склад ИМ,IM,0.0,1.0,9000.0,WH_CH_SALES_NO_STOCK,"Кеды женские, черные, из тканного материала, с расшитой Y",YES,N
0-1550,Склад ИМ,IM,1.0,1.0,18000.0,WH_STOCK_AND_CH_SALES,"Кеды женские, черные, из тканного материала, на белой подошве",YES,N
0-1569,Склад ИМ,IM,0.0,1.0,150000.0,WH_CH_SALES_NO_STOCK,"Пальто женское, черное, из пайеточной ткани, декорировано черно-белой расшитой т",YES,N
0-1584A,Склад ИМ,IM,0.0,1.0,56700.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное. из пайеточной ткани, приталенного силуэта",YES,N
0-1585,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Пальто женское, оранжевое, из тафты, свободного силуэта",YES,N
0-1622B,Склад ИМ,IM,0.0,1.0,10000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, белая, из шифона, со сборкой по передней половине юбки",YES,N
0-1666,Склад ИМ,IM,0.0,2.0,200030.0,WH_CH_SALES_NO_STOCK,"Комбинезон женский, черный, из пайеточной ткани, с ремнем из бархата",YES,N
0-1672,Склад ИМ,IM,0.0,10.0,200960.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, белая, из хлопка, свободного силуэта",YES,N
0-1672C,Склад ИМ,IM,2.0,17.0,308755.01,WH_STOCK_AND_CH_SALES,"Рубашка женская, голубая, из хлопка, с вышивкой по планке и манжетам",YES,N
0-1672C,Склад оптовых продаж,B2B,0.0,16.0,176523.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, голубая, из хлопка, с вышивкой по планке и манжетам",YES,N
0-1682,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, красные, из бархата, с серебряной расшивкой",YES,N
0-1684,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Балетки женские, серые, из бархата, декорированы серебрянной расшивкой",YES,N
0-1689,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, зеленые, из бархата, без каблука, с расшивкой Y",YES,N
0-1690,Склад ИМ,IM,4.0,1.0,15750.0,WH_STOCK_AND_CH_SALES,"Туфли женские, синие, из бархата, без каблука, с расшивкой Y",YES,N
0-1691,Склад ИМ,IM,3.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, серебряные, из бархата, без каблука, с расшивкой Y",YES,N
0-1693,Склад ИМ,IM,3.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, черные, из кожи, без каблука, с вышивкой YC",YES,N
0-1694,Склад ИМ,IM,1.0,1.0,35000.0,WH_STOCK_AND_CH_SALES,"Туфли женские, черные, из бархата, без каблука, с расшивкой Y",YES,N
0-1695,Склад ИМ,IM,5.0,1.0,15750.0,WH_STOCK_AND_CH_SALES,"Туфли женские, серые, из кожи, без каблука, с вышивкой YC",YES,N
0-1696,Склад ИМ,IM,0.0,2.0,44100.0,WH_CH_SALES_NO_STOCK,"Туфли женские, серые, из бархата, без каблука, с расшивкой Y",YES,N
0-1705,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, бордовые, из бархата, на каблуке",YES,N
0-1706,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, черные, из бархата, на каблуке",YES,N
0-1719,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, бордовые, из бархата, на каблуке, декорированы пряжкой",YES,N
0-1722,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Туфли женские, черные, из бархата, декорированы пряжкой",YES,N
0-1726,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Сабо женские, зеленые, из бархата, с пряжкой",YES,N
0-1727,Склад ИМ,IM,4.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Босоножки женские, серебряные, из глиттера, на платформе",YES,N
0-1728,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Босоножки женские, черные, из глиттера, на платформе",YES,N
0-1729,Склад ИМ,IM,6.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Босоножки женские, розовые, из глиттера, на платформе",YES,N
0-1730,Склад ИМ,IM,2.0,1.0,114300.0,WH_STOCK_AND_CH_SALES,"Туфли женские, серебряные, из глиттера, на платформе",YES,N
0-1735,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Сапоги женские, серые, из кожи, на платформе",YES,N
0-1736,Склад ИМ,IM,4.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Сапоги женские, черные, из кожи, на платформе",YES,N
0-1738,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Сапоги женские, рыжие, из кожи, на платформе",YES,N
0-1742,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Сапоги женские, черные, из ткани стрейч, на каблуке, с расшивкой Y",YES,N
0-1810,Склад ИМ,IM,0.0,3.0,324778.96,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из сетки, с вышитыми птицами ""снегири""",YES,N
0-1811,Склад ИМ,IM,0.0,1.0,127631.0,WH_CH_SALES_NO_STOCK,"Платье женское, бежевое, из фатина, с вышивкой ""Цветы""",YES,N
0-1812,Склад ИМ,IM,0.0,1.0,75750.0,WH_CH_SALES_NO_STOCK,"Платье женское, бежевое, из фатина, с вышивкой ""Листья"", с объемными ракавами",YES,N
0-1813,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, бежевое, из фатина, с вышивкой ""Листья""",YES,N
0-1821A,Склад ИМ,IM,0.0,1.0,101000.0,WH_CH_SALES_NO_STOCK,"Комбинезон женский, бежевый, из шифона, декорирован перьями страуса",YES,N
0-1823B,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Юбка женская, черная, из крепа",YES,N
0-1868A,Склад ИМ,IM,0.0,3.0,120600.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, черная с принтом "" белая Y"", из шелка, с рукавом ""кимоно""",YES,N
0-1868A,Склад оптовых продаж,B2B,0.0,2.0,116762.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, черная с принтом "" белая Y"", из шелка, с рукавом ""кимоно""",YES,N
0-1869A,Склад ИМ,IM,3.0,3.0,92500.0,WH_STOCK_AND_CH_SALES,"Брюки женские, черные с принтом ""белая Y"", из шелка, с отделкой ""лампас"", широки",YES,N
0-1869A,Склад оптовых продаж,B2B,0.0,3.0,64371.0,WH_CH_SALES_NO_STOCK,"Брюки женские, черные с принтом ""белая Y"", из шелка, с отделкой ""лампас"", широки",YES,N
0-1869B,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Брюки женские, черные с принтом ""цветные капли"", из батиста, расклешенные к низу",YES,N
0-1871B,Склад ИМ,IM,0.0,2.0,30000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, черная, из фатина, с принтом ""листья""",YES,N
0-1871Г,Склад ИМ,IM,0.0,2.0,30950.0,WH_CH_SALES_NO_STOCK,"Юбка женская, серая, из сетки, с розовым принтом ""листья""",YES,N
0-1871Д,Склад ИМ,IM,0.0,2.0,31900.0,WH_CH_SALES_NO_STOCK,"Юбка женская, розовая, из фатина, с принтом ""листья""",YES,N
0-1871Д,Склад оптовых продаж,B2B,0.0,1.0,13870.0,WH_CH_SALES_NO_STOCK,"Юбка женская, розовая, из фатина, с принтом ""листья""",YES,N
0-1873,Склад ИМ,IM,0.0,1.0,18900.0,WH_CH_SALES_NO_STOCK,"Куртка женская, черная, из эко-кожи, с вышивкой ""Цветок""",YES,N
0-1876,Склад ИМ,IM,0.0,1.0,13800.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из стрейч бархата, с белым кружевным воротником, притале",YES,N
0-1878,Склад ИМ,IM,0.0,1.0,11850.0,WH_CH_SALES_NO_STOCK,"Жакет женский, темно-синий, из джерси, с принтом ""Цветок""",YES,N
0-1879,Склад ИМ,IM,0.0,2.0,39800.0,WH_CH_SALES_NO_STOCK,"Юбка женская, темно-синяя, из джерси, с принтом ""цветок""",YES,N
0-1882A,Склад ИМ,IM,0.0,1.0,15000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, белая, из фатина, с шелковой отделкой по низу юбки",YES,N
0-1899,Склад ИМ,IM,2.0,3.0,49430.0,WH_STOCK_AND_CH_SALES,"Брюки женские, черные, из футера, с поясом ""рибана""",YES,N
0-1899,Склад оптовых продаж,B2B,0.0,16.0,109054.0,WH_CH_SALES_NO_STOCK,"Брюки женские, черные, из футера, с поясом ""рибана""",YES,N
0-1899B,Склад оптовых продаж,B2B,0.0,2.0,13218.0,WH_CH_SALES_NO_STOCK,"Брюки женские, голубые, из футера, с поясом ""рибана""",YES,N
0-1899C,Склад оптовых продаж,B2B,0.0,5.0,33045.0,WH_CH_SALES_NO_STOCK,"Брюки женские, розовые, из футера, с поясом ""рибана""",YES,N
0-1906A,Склад ИМ,IM,0.0,1.0,96030.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из фатина, с принтом ""листья""",YES,N
0-1933A,Склад ИМ,IM,0.0,1.0,28700.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из трикотажа, с мягкой драпировкой",YES,N
0-1940,Склад ИМ,IM,0.0,3.0,42300.0,WH_CH_SALES_NO_STOCK,"Брюки-джоггеры женские, черные, из стрейч бархата",YES,N
0-1942,Склад ИМ,IM,2.0,2.0,6300.0,WH_STOCK_AND_CH_SALES,"Шорты женские, черные, из бархата, удлиненные",YES,N
0-1948,Склад ИМ,IM,0.0,1.0,49500.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из бархата, с белой вставкой из кружева",YES,N
0-1949,Склад оптовых продаж,B2B,0.0,1.0,49500.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из бархата, с декором ""Цветы"" на рукавах",YES,N
0-1950A,Склад ИМ,IM,0.0,1.0,140400.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из бархата, декорировано белыми манжетами и черным банто",YES,N
0-1951,Склад оптовых продаж,B2B,0.0,1.0,39000.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное в горох, из атласа, по лифу вставка из белого кружева",YES,N
0-1960,Склад ИМ,IM,2.0,1.0,35730.0,WH_STOCK_AND_CH_SALES,"Блуза женская, розовая, из шифона, с воротником ""стойка"", переходящая в бант",YES,N
0-1962,Склад оптовых продаж,B2B,0.0,1.0,49500.0,WH_CH_SALES_NO_STOCK,"Платье женское, фиолетово-черное, из пайеточной ткани, с декоративной съемной де",YES,N
0-1964B,Склад ИМ,IM,0.0,1.0,9800.0,WH_CH_SALES_NO_STOCK,"Блуза женская, черная, из бархата и фатина, декорирована бантом по горловине",YES,N
0-1967,Склад ИМ,IM,0.0,1.0,24750.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из бархата, декорировано бархатным бантом на кокетке из ",YES,N
0-1968,Склад ИМ,IM,0.0,1.0,67000.0,WH_CH_SALES_NO_STOCK,"Пальто женское, черное, из бархата и пайеточной ткани, декорировано перьями стра",YES,N
0-1971,Склад ИМ,IM,0.0,1.0,20000.0,WH_CH_SALES_NO_STOCK,"Платье женское, голубое, из шифона, декорировано вышитыми цветами",YES,N
0-1973,Склад ИМ,IM,0.0,1.0,9000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, белая, из крепа, декорирована вышитыми цветами по низу",YES,N
0-1975,Склад ИМ,IM,0.0,2.0,75200.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из футера и бархата, с объемными рукавами ""баллон""",YES,N
0-1976,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, черное, из кружевной ткани и фатина, декорировано по горловине в",YES,N
0-1981A,Склад ИМ,IM,0.0,2.0,20000.0,WH_CH_SALES_NO_STOCK,"Свитшот женский, белый, из футера и пайеточной ткани, с вышитой буквой Y",YES,N
0-1983,Склад ИМ,IM,0.0,1.0,8400.0,WH_CH_SALES_NO_STOCK,"Футболка женская, белая, из трикотажа, с длинным рукавом",YES,N
0-1984F,Склад ИМ,IM,0.0,1.0,13500.0,WH_CH_SALES_NO_STOCK,"Футболка женская, черная с принтом ""цветные капли"", из хлопка",YES,N
0-1984G,Склад ИМ,IM,0.0,1.0,13500.0,WH_CH_SALES_NO_STOCK,"Футболка женская, белая с принтом ""цветные капли"", из хлопка",YES,N
0-1984H,Склад ИМ,IM,0.0,1.0,13500.0,WH_CH_SALES_NO_STOCK,"Футболка женская, белая, из хлопка, с принтом ""БАЛЕРИНА""",YES,N
0-1984P,Склад ИМ,IM,5.0,8.0,162000.0,WH_STOCK_AND_CH_SALES,"Футболка женская, белая, из трикотажа, с декором принт ""дерево, птица, Yanina""",YES,N
0-1984P,Склад оптовых продаж,B2B,0.0,13.0,153781.0,WH_CH_SALES_NO_STOCK,"Футболка женская, белая, из трикотажа, с декором принт ""дерево, птица, Yanina""",YES,N
0-1998C,Склад ИМ,IM,0.0,1.0,64800.0,WH_CH_SALES_NO_STOCK,"Пальто-халат женское, многоцветное, из шелка, с отделкой из черного шелка по рук",YES,N
0-2007A,Склад ИМ,IM,0.0,13.0,224580.0,WH_CH_SALES_NO_STOCK,"Брюки женские, черные, из бархата, с резинкой-тесьмой",YES,N
0-2027F,Склад ИМ,IM,0.0,4.0,687720.0,WH_CH_SALES_NO_STOCK,"Платье женское, белое, из хлопка, на тонких бретелях",YES,N
0-2028,Склад ИМ,IM,0.0,2.0,205800.0,WH_CH_SALES_NO_STOCK,"Пальто-халат женское, черное с принтом ""белые Y"", из шелка, с рукавом ""кимоно""",YES,N
0-2028A,Склад ИМ,IM,0.0,2.0,164400.0,WH_CH_SALES_NO_STOCK,"Пальто-халат женское, белое с принтом ""черные Y"", из шелка, с рукавом ""кимоно""",YES,N
0-2029,Склад ИМ,IM,2.0,1.0,35100.0,WH_STOCK_AND_CH_SALES,"Шорты женские, черные с принтом ""белые Y"", из шелка, с отделкой ""лампас""",YES,N
0-2029,Склад оптовых продаж,B2B,0.0,1.0,12236.0,WH_CH_SALES_NO_STOCK,"Шорты женские, черные с принтом ""белые Y"", из шелка, с отделкой ""лампас""",YES,N
0-2031,Склад ИМ,IM,0.0,2.0,69150.0,WH_CH_SALES_NO_STOCK,"Платье-парео женское, черное с принтом ""арабеска"", из батиста",YES,N
0-2032,Склад ИМ,IM,0.0,9.0,603602.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, черная с принтом ""белые Y"", из шелка, декорирована белой тесьмо",YES,N
0-2032,Склад оптовых продаж,B2B,0.0,1.0,49565.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, черная с принтом ""белые Y"", из шелка, декорирована белой тесьмо",YES,N
0-2032C,Склад ИМ,IM,0.0,1.0,132300.0,WH_CH_SALES_NO_STOCK,"Блуза женская, белая с принтом ""цветные капли"", из батиста, декорирована тесьмой",YES,N
0-2032D/A,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Рубашка женская, черная с принтом ""грибы"", из батиста, декорирована тесьмой",YES,N
0-2032D/B,Склад ИМ,IM,0.0,1.0,99314.0,WH_CH_SALES_NO_STOCK,"Блуза женская, белая с принтом ""цветы"", из батиста, декорирована каймой,",YES,N
0-2032M,Склад ИМ,IM,2.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Блуза женская, черная с принтом ""грибы"", из батиста",YES,N
0-2032N,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Рубашка женская, розовая с принтом ""девочки"", из вискозы",YES,N
0-2037,Склад ИМ,IM,0.0,9.0,281574.0,WH_CH_SALES_NO_STOCK,"Брюки женские, черные с принтом ""белые Y"", из шелка, с отделкой ""лампас""",YES,N
0-2037C,Склад ИМ,IM,0.0,1.0,87300.0,WH_CH_SALES_NO_STOCK,"Брюки женские, белые с принтом ""цветные капли"", из батиста",YES,N
0-2037M,Склад ИМ,IM,3.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Брюки женские, черные с принтом ""грибы"", из батиста",YES,N
0-2037N,Склад оптовых продаж,B2B,0.0,1.0,19413.0,WH_CH_SALES_NO_STOCK,"Брюки женские, розовые с принтом ""девочки"", из вискозы",YES,N
0-2037N,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Брюки женские, розовые с принтом ""девочки"", из вискозы",YES,N
0-2037B,Склад ИМ,IM,3.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Брюки женские, черные с принтом ""цветные капли"", из батиста, с отделкой ""лампас""",YES,N
0-2050,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Шорты женские, белые с принтом ""цветы"", из батиста, декорированы каймой",YES,N
0-2050A,Склад ИМ,IM,0.0,2.0,32300.0,WH_CH_SALES_NO_STOCK,"Шорты женские, черные с принтом ""цветные капли"", из батиста",YES,N
0-2050C,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Шорты женские, черные с принтом ""грибы"", из батиста",YES,N
0-2050M,Склад ИМ,IM,3.0,8.0,240880.0,WH_STOCK_AND_CH_SALES,"Шорты женские, черные с принтом ""белые Y и грибы"", из батиста, с отделкой белым ",YES,N
0-2053,Склад ИМ,IM,0.0,1.0,87000.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное с принтом ""цветные капли"", из батиста, декорировано тесьм",YES,N
0-2061A,Склад ИМ,IM,0.0,1.0,12500.0,WH_CH_SALES_NO_STOCK,"Парео женское, черное с принтом ""арабеска"", из батиста",YES,N
0-2084,Склад ИМ,IM,0.0,2.0,11101.0,WH_CH_SALES_NO_STOCK,"Брюки женские, черные, из джерси, с карманами и жестким поясом на пряжке",YES,N
0-2111A,Склад ИМ,IM,0.0,1.0,15000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, черная, из джерси, трапециевидного силуэта",YES,N
0-2121,Склад ИМ,IM,0.0,1.0,39000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, бежевая с принтом ""девочки"", из хлопка, со складками",YES,N
0-2121A,Склад ИМ,IM,0.0,1.0,22200.0,WH_CH_SALES_NO_STOCK,"Юбка женская, серая с принтом ""девочки"", из хлопка, со складками по правой сторо",YES,N
0-2122,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, черное с принтом ""девочки"", из шелка, со съемным поясом",YES,N
0-2125,Остатки ЦУМ,TSUM,0.0,1.0,224000.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное в белый горох, из шелка, декорировано белой брошью ""Цвето",YES,N
0-2125I,Склад ИМ,IM,0.0,2.0,106000.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное с принтом ""девочки"", из шелка, с брошью ""Цветок"", с поясо",YES,N
0-2127,Склад ИМ,IM,0.0,2.0,223440.0,WH_CH_SALES_NO_STOCK,"Свитер женский, бежевый, из кашемира, с вышивкой ""Цветок""",YES,N
0-2137,Склад ИМ,IM,1.0,4.0,29205.0,WH_STOCK_AND_CH_SALES,"Блуза женская, черная, из трикотажа, с узким рукавом",YES,N
0-2137A,Склад ИМ,IM,1.0,3.0,25950.0,WH_STOCK_AND_CH_SALES,"Блуза женская, белая, из трикотажа, с узким рукавом",YES,N
0-2143,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Рукава-балеро женские, черные, из фатина",YES,N
0-2144,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, черное, из фатина, с геометричным принтом, c накидкой ""балеро"" и",YES,N
0-2152A,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, черное, из джерси, декорировано черным принтом и жемчугом",YES,N
