review_rank,canonical_sku,alias_status,fix_types,fixed_lines_flagged,sales_lines_in_mart,sales_qty,revenue_rub,cogs_rub,margin_rub,margin_pct,channels,period_from,period_to,sale_name_sample,wrong_or_alt_cost_name_sample,preferred_cost_version_id,preferred_unit_cost_rub,proposed_rule,registry_accept_now,applied_to_sales_now,impact_score,review_complexity,reviewer_hint_ru,coverage,owner_role,raci_blocker,decision,decision_note,do_not_auto_apply,priority_band
11,T-3178,CONTROLLED_CANDIDATE,UNIT_RATIO,5,7,11.0,146763.85,34717.59,112046.26,76.3,"IM,TSUM",2026-02,2026-06,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",CV-ca33d19b12707eb8,1653.2153846153847,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,82.9,CHECK_UNIT_COST_SCALE,Проверить единицу (шт/комплект) и масштаб unit_cost; ACCEPT только если ratio объясним,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P2_BATCH
12,0-2027F,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,1,5,4.0,687720.0,55570.0,632150.0,91.9,IM,2024-06,2025-12,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,CV-0a97df79110a2260,7980.0,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,73.8,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P2_BATCH
13,0-3073A,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,2,8,5.0,171209.45,50882.72,120326.73,70.3,"IM,TSUM",2024-12,2026-05,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",БЛУЗА,CV-3fc63edbb413c06c,8236.0,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,73.4,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P2_BATCH
14,T-2750D,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,2,2,4.0,166630.98,21657.54,144973.44,87.0,TSUM,2025-06,2025-07,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,CV-a82832bc6ebc43a7,5414.3862500000005,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,73.3,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P2_BATCH
15,T-3091D,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,1,1,2.0,194120.0,21759.37,172360.63,88.8,TSUM,2025-12,2025-12,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",CV-228527a2e28c206d,10879.685714285713,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,63.9,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P2_BATCH
16,0-3362,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,1,2,1.0,39950.0,5424.5,34525.5,86.4,IM,2026-03,2026-03,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,CV-0d9e8ae3a65d24f4,500.0,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,60.8,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P2_BATCH
101,0-2497,MARGIN_EXCEPTION_ACCEPTED,WHOLESALE_OK_LOSS,4,4,7.0,70000.04,95055.38,-25055.34,-35.8,B2B,2025-05,2026-06,,,,,Keep FILE cost; flag WHOLESALE_OK_LOSS,ACCEPT,Y,41.4,MANUAL,Уже H23 ACCEPT exception/quarantine — не reopen,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),NO,KEEP_H23,,YES — Accept ≠ rewrite sales until separate apply,SKIP_ALREADY_ACCEPTED
102,0-2496,MARGIN_EXCEPTION_ACCEPTED,WHOLESALE_OK_LOSS,2,2,6.0,60000.05,74155.62,-14155.57,-23.6,B2B,2025-05,2025-06,,,,,Keep FILE cost; flag WHOLESALE_OK_LOSS,ACCEPT,Y,21.2,MANUAL,Уже H23 ACCEPT exception/quarantine — не reopen,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),NO,KEEP_H23,,YES — Accept ≠ rewrite sales until separate apply,SKIP_ALREADY_ACCEPTED
103,0-2493A,MARGIN_EXCEPTION_ACCEPTED,WHOLESALE_OK_LOSS,2,2,3.0,30000.0,35884.56,-5884.56,-19.6,B2B,2025-05,2025-05,,,,,Keep FILE cost; flag WHOLESALE_OK_LOSS,ACCEPT,Y,20.6,MANUAL,Уже H23 ACCEPT exception/quarantine — не reopen,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),NO,KEEP_H23,,YES — Accept ≠ rewrite sales until separate apply,SKIP_ALREADY_ACCEPTED
104,0-3243,QUARANTINE_ACCEPTED,COST_IDENTITY_QUARANTINE,1,2,1.0,30250.0,33555.87,-33555.87,-110.9,IM,2026-01,2026-01,,,,,No COGS until sweatshirt cost version exists,ACCEPT,Y,10.6,MANUAL,Уже H23 ACCEPT exception/quarantine — не reopen,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),NO,KEEP_H23,,YES — Accept ≠ rewrite sales until separate apply,SKIP_ALREADY_ACCEPTED
