fabric_id,name,fabric_code,qty,amount_rub,unit_cost_rub,source_file,source_file_id,as_of,so_t,abc_rank,abc_value_rub,abc_cum_share_pct,abc_band
FAB-1286,"Шелк, белый 16-001",16-001,74.9,124124.86,1657.21,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,23,124124.86,12.68,A
FAB-806,"Шерсть-кучерелли, голубой 8-058",8-058,48.0,120000.0,2500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,24,120000.0,13.08,A
FAB-1169,"Вечерняя ткань серая сетка с перьями, расшивкой пайетками 12-088",12-088,6.4,119680.0,18700.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,25,119680.0,13.49,A
FAB-1339,"Шифон цветной, принт темные разводы 19-033",19-033,47.8,119500.0,2500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,26,119500.0,13.89,A
FAB-872,Шифон авторский мелкие цветы 19A-019,,50.3,118959.5,2365.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,27,118959.5,14.29,A
FAB-898,Шифон зеленый 18-024,18-024,132.1,118890.0,900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,28,118890.0,14.68,A
FAB-77,Вечерняя ткань зеленые пайетки 12-034,12-034,7.2,118800.0,16500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,29,118800.0,15.08,A
FAB-970,Вечерняя ткань черная сетка с перьями и пайетками 12-094,12-094,15.5,118402.78,7638.89,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,30,118402.78,15.48,A
FAB-127,"Дабл-креп, васильковый 11-009",11-009,51.0,117300.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,31,117300.0,15.87,A
FAB-815,"Шерсть-кучерелли, черный 8-056",8-056,36.5,116800.0,3200.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,32,116800.0,16.26,A
FAB-130,"Дабл-креп, деним 11-010",11-010,50.0,115000.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,33,115000.0,16.65,A
FAB-1060,"Шелк, принт папайя, 17А-061",,23.5,114991.22,4893.24,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,34,114991.22,17.03,A
FAB-737,"Шелк, желтый 16-030",16-030,76.2,114300.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,35,114300.0,17.42,A
FAB-145,"Дабл-креп, розовый 11-028",11-028,49.6,114080.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,36,114080.0,17.8,A
FAB-696,"Шелк синий, принт мелкие девочки 17A-006",,63.0,113400.0,1800.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,37,113400.0,18.18,A
FAB-144,"Дабл-креп, розовый 11-027",11-027,49.0,112700.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,38,112700.0,18.56,A
FAB-909,Шифон красный 18-036,18-036,123.9,111510.0,900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,39,111510.0,18.93,A
FAB-85,Вечерняя ткань серебро пайетки 12-026,12-026,6.1,109800.0,18000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,40,109800.0,19.3,A
FAB-1245,Х/Б Хлопок грибочки белые 4А-059,,73.4,106430.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,41,106430.0,19.66,A
FAB-1134,"Шелк черный, принт белый хаотичные ""Y"" 17А-015",,38.0,103205.91,2715.95,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,42,103205.91,20.0,A
FAB-692,"Шелк серый с розовым, принт крупные разводы 17A-004",,31.1,102630.0,3300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,43,102630.0,20.35,A
FAB-936,Шифон синий 18-020,18-020,94.2,102376.51,1086.8,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,44,102376.51,20.69,A
FAB-747,"Шелк, принт овощи, 17А-062",,22.0,102300.0,4650.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,45,102300.0,21.03,A
FAB-704,"Шелк черный, принт грибы 17A-010",,35.0,101500.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,46,101500.0,21.37,A
FAB-590,Х/Б Хлопок микс средний черный 4А-064,,69.9,101355.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,47,101355.0,21.71,A
FAB-575,Х/Б Хлопок грибочки белые 4А-059,,69.6,100920.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,48,100920.0,22.05,A
FAB-132,"Дабл-креп, желтый 11-026",11-026,43.7,100510.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,49,100510.0,22.39,A
FAB-574,Х/Б Хлопок гжель цветы 4А-070,,69.0,100050.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,50,100050.0,22.72,A
FAB-155,"Дюшес-дабл, темно-синий 5-015",5-015,20.0,100000.0,5000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,51,100000.0,23.06,A
FAB-689,Шелк принт бирюзовые капли 17A-051,,34.3,99470.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,52,99470.0,23.39,A
FAB-32,"Бархат х/б, черный 6-001",6-001,37.8,99355.5,2628.45,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,53,99355.5,23.72,A
FAB-148,"Дабл-креп, светло-серый 11-012",11-012,42.4,97520.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,54,97520.0,24.05,A
FAB-666,"Шелк белый, принт грибы 17A-012",,33.5,97150.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,55,97150.0,24.38,A
FAB-871,Шифон авторский гортензия 19A-018,,41.0,96965.0,2365.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,56,96965.0,24.7,A
FAB-80,Вечерняя ткань коричневые пайетки 12-025,12-025,5.8,95700.0,16500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,57,95700.0,25.02,A
FAB-580,Х/Б Хлопок девочки Y синий 4А-057,,65.2,94540.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,58,94540.0,25.34,A
FAB-1226,"Тафта, черный 2-001",2-001,42.8,94160.0,2200.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,59,94160.0,25.65,A
FAB-1287,"Шелк, белый 16-042",16-042,20.0,93000.0,4650.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,60,93000.0,25.97,A
FAB-675,"Шелк белый, принт черный ""Y"" 17A-009",,46.4,92800.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,61,92800.0,26.28,A
FAB-648,"Чесуча, синий (васильковый) 1-034",1-034,42.0,92400.0,2200.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,62,92400.0,26.59,A
FAB-1133,"Шелк черный, принт белый  горох 17A-007",,50.9,91620.0,1800.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,63,91620.0,26.89,A
FAB-1341,"Шифон, белый с принтом ""листья"" 19A-016",,39.55,90965.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,64,90965.0,27.2,A
FAB-669,"Шелк белый, принт микс средний 17A-018",,29.2,90520.0,3100.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,65,90520.0,27.5,A
FAB-743,"Шелк, красный 16-037",16-037,59.8,89700.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,66,89700.0,27.8,A
FAB-751,"Шелк, розовый 16-023",16-023,60.2,88084.64,1463.2,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,67,88084.64,28.1,A
FAB-1338,Шифон фуксия 18-034,18-034,97.3,87570.0,900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,68,87570.0,28.39,A
FAB-1311,"Шелк, черный 16-038",16-038,58.7,86935.79,1481.02,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,69,86935.79,28.68,A
FAB-161,"Дюшес, красный 5-016",5-016,24.8,86800.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,70,86800.0,28.97,A
FAB-169,"Дюшес, фуксия 5-017",5-017,24.5,85750.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,71,85750.0,29.26,A
FAB-137,"Дабл-креп, красный 11-024",11-024,36.4,83720.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,72,83720.0,29.54,A
FAB-700,"Шелк черный, принт белый  горох 17A-007",,45.6,82080.0,1800.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,73,82080.0,29.82,A
FAB-178,"Креп тонкий шерсть, желтый 10-011",10-011,40.5,81000.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,74,81000.0,30.09,A
FAB-36,"Бархат шелк, зелено-фиолетовый 6-037",6-037,62.0,80600.0,1300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,75,80600.0,30.36,A
FAB-695,"Шелк синий, принт грибы 17A-011",,27.5,79750.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,76,79750.0,30.62,A
FAB-105,"Вечерняя ткань, пайетки серебро 12-008",12-008,52.7,79050.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,77,79050.0,30.89,A
FAB-1223,"Тафта авторская, цветок-купон 2A-002",,21.9,78840.0,3600.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,78,78840.0,31.15,A
FAB-163,"Дюшес, оранжевый с принтом ""акварель"" 5-012",5-012,31.4,78500.0,2500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,79,78500.0,31.42,A
FAB-767,"Шелк, черный с принтом ""белая Y"" 17А-008",,39.2,78400.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,80,78400.0,31.68,A
FAB-971,"Вечерняя ткань черная сетка с перьями, расшивкой пайетками 12-087",12-087,10.5,77700.0,7400.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,81,77700.0,31.94,A
FAB-149,"Дабл-креп, серый 11-003",11-003,33.7,77510.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,82,77510.0,32.2,A
FAB-388,"Тафта авторская, цветок-купон 2A-002",,21.5,77400.0,3600.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,83,77400.0,32.46,A
FAB-1312,"Шелк, черный без стрейча 16-046",16-046,38.45,76900.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,84,76900.0,32.72,A
FAB-943,Шифон темно-голубой 18-019,18-019,58.8,76440.0,1300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,85,76440.0,32.97,A
FAB-899,Шифон зеленый креповый 18-011,18-011,42.9,75504.0,1760.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,86,75504.0,33.23,A
FAB-765,"Шелк, черный без стрейча 16-046",16-046,37.45,74900.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,87,74900.0,33.48,A
FAB-684,Шелк кайма черная-белая-черная 17A-046,,21.2,74200.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,88,74200.0,33.73,A
FAB-1148,"Шифон серый, принт горох 19A-014",,32.0,73600.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,89,73600.0,33.97,A
FAB-1304,"Шелк, синий 16-039",16-039,48.9,73350.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,90,73350.0,34.22,A
FAB-740,"Шелк, зеленый 16-035",16-035,50.0,72710.28,1454.21,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,91,72710.28,34.46,A
FAB-39,"Бархат шелк, красный 6-044",6-044,28.7,71750.0,2500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,92,71750.0,34.7,A
FAB-725,"Шелк, бежевый 16-047",16-047,49.3,71485.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,93,71485.0,34.94,A
FAB-1090,"Шифон, черный с принтом ""листья"" 19A-015",,31.0,71300.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,94,71300.0,35.18,A
FAB-731,"Шелк, бирюзовый 16-041",16-041,44.0,70400.0,1600.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,95,70400.0,35.42,A
FAB-732,"Шелк, бордовый 16-045",16-045,48.3,70035.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,96,70035.0,35.65,A
FAB-1297,"Шелк, принт овощи, 17А-062",,15.0,69750.0,4650.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,97,69750.0,35.89,A
FAB-897,"Шифон желтый, принт крупный микс 19A-004",,30.0,69000.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,98,69000.0,36.12,A
FAB-952,"Шифон, серый с принтом ""розовые листья"" 19A-017",,29.6,68080.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,99,68080.0,36.35,A
FAB-1149,Шифон черный 18-039,18-039,57.65,67955.79,1178.76,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,100,67955.79,36.57,A
FAB-887,"Шифон бирюзовый, принт крупный микс 19A-006",,29.5,67850.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,101,67850.0,36.8,A
FAB-496,Х/Б батист зеленые капли 4А-029,,67.0,67000.0,1000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,102,67000.0,37.02,A
FAB-780,"Шерсть пальтовая, светло-бежевый 9-012",9-012,22.3,66900.0,3000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,103,66900.0,37.25,A
FAB-1335,Шифон синий 18-020,18-020,60.4,65642.69,1086.8,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,104,65642.69,37.47,A
FAB-1140,"Шелк, черный 16-038",16-038,43.2,64704.45,1497.79,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,105,64704.45,37.69,A
FAB-922,Шифон розовый 18-042,18-042,36.4,64064.0,1760.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,106,64064.0,37.9,A
FAB-762,"Шелк, фуксия 16-026",16-026,42.65,63975.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,107,63975.0,38.12,A
FAB-753,"Шелк, светло-серый 16-004",16-004,31.6,63200.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,108,63200.0,38.33,A
FAB-691,"Шелк розовый, принт микс крупный 17A-028",,21.6,62640.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,109,62640.0,38.54,A
FAB-1087,Шифон черный 18-039,18-039,55.0,62044.42,1128.08,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,110,62044.42,38.74,A
FAB-177,"Креп тонкий шерсть, графит 10-002",10-002,30.7,61400.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,111,61400.0,38.95,A
FAB-129,"Дабл-креп, графит 11-002",11-002,26.3,60490.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,112,60490.0,39.15,A
FAB-134,"Дабл-креп, зеленый 11-025",11-025,26.0,59800.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,113,59800.0,39.35,A
FAB-755,"Шелк, серый 16-006",16-006,39.8,59700.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,114,59700.0,39.55,A
FAB-705,"Шелк черный, принт капли цветные деграде 17A-032",,19.23,59613.0,3100.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,115,59613.0,39.75,A
FAB-586,Х/Б Хлопок микс средний голубой 4А-065,,41.0,59450.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,116,59450.0,39.95,A
FAB-158,"Дюшес, желтый 5-018",5-018,16.5,57750.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,117,57750.0,40.15,A
FAB-192,"Кружево стрейч, черный 13-028",13-028,35.0,57750.0,1650.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,118,57750.0,40.34,A
FAB-677,"Шелк голубой, принт микс средний 17A-022",,19.9,57710.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,119,57710.0,40.53,A
FAB-940,"Шифон синий, печворк 19-018",19-018,28.8,57600.0,2000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,120,57600.0,40.73,A
FAB-511,Х/Б батист черные спинки без принта 4А-014,,38.0,57000.0,1500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,121,57000.0,40.92,A
FAB-778,"Шерсть пальтовая, красный 9-017",9-017,19.0,57000.0,3000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,122,57000.0,41.11,A
FAB-596,"Х/Б цветы, желтый фон, 4А-081",,39.0,56550.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,123,56550.0,41.3,A
FAB-877,"Шифон бежевый, принт горох 19A-013",,24.55,56465.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,124,56465.0,41.49,A
FAB-1083,"Шифон розовый, принт крупный микс 19A-009",,24.5,56350.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,125,56350.0,41.68,A
FAB-694,"Шелк серый, принт цветок 17A-049",,19.3,55970.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,126,55970.0,41.86,A
FAB-710,"Шелк черный, принт цветок 17A-047",,19.2,55680.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,127,55680.0,42.05,A
FAB-698,"Шелк фуксия, принт цветок 17A-048",,18.8,54520.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,128,54520.0,42.23,A
FAB-30,"Бархат х/б, темно-синий, морская волна 6-042",6-042,21.8,54500.0,2500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,129,54500.0,42.42,A
FAB-154,"Дюшес-дабл, бежевый 5-013",5-013,15.4,53900.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,130,53900.0,42.6,A
FAB-657,"Чесуча, ярко-розовый 1-031",1-031,24.5,53900.0,2200.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,131,53900.0,42.78,A
FAB-391,"Тафта-хамелеон, бежевый с синим 2-И-001",,24.4,53680.0,2200.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,132,53680.0,42.96,A
FAB-709,"Шелк черный, принт микс средний 17A-019",,18.3,53070.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,133,53070.0,43.13,A
FAB-624,Хлопок грибочки розовые 4А-062,,36.55,52997.5,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,134,52997.5,43.31,A
