channel,period_month,sales_revenue_rub,bank_in_rub,bank_in_all_le_rub,bank_in_next_month_rub,best_bank_in_rub,best_gap_rub,best_status,best_lag_months,gap_rub,gap_pct,status,bank_class,note
IM,2024-11,2959801.0,3296345.28,3296345.28,,3296345.28,336544.28,SOFT,ALL_lag+0,336544.28,11.4,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-12,4007322.0,3324331.65,3296345.28,,3324331.65,-682990.35,SOFT,IP_lag+0,-682990.35,-17.0,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-01,776530.0,1197045.18,1882634.52,,1197045.18,420515.18,OPEN,IP_lag+0,420515.18,54.2,OPEN,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-02,1604595.0,1882634.52,1882634.52,,1882634.52,278039.52,SOFT,ALL_lag+0,278039.52,17.3,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-03,2968405.0,2635042.69,2635042.69,,2635042.69,-333362.31,SOFT,ALL_lag+1,-333362.31,-11.2,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-04,1837645.0,2143029.67,2143029.67,,2143029.67,305384.67,SOFT,ALL_lag+1,305384.67,16.6,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-05,1973876.0,2143029.67,2143029.67,,2143029.67,169153.67,CLOSE,ALL_lag+0,169153.67,8.6,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-06,1092781.0,1242165.52,2141818.4,,1242165.52,149384.52,SOFT,IP_lag+0,149384.52,13.7,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-07,2030938.0,2141818.4,2141818.4,,2141818.4,110880.4,CLOSE,ALL_lag+0,110880.4,5.5,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-08,3594028.0,2658193.31,2658193.31,,2658193.31,-935834.69,OPEN,ALL_lag+1,-935834.69,-26.0,OPEN,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-09,848535.0,920964.43,773638.19,,920964.43,72429.43,CLOSE,IP_lag+1,72429.43,8.5,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-10,676092.0,920964.43,1772878.43,,920964.43,244872.43,OPEN,IP_lag+0,244872.43,36.2,OPEN,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-11,2225327.0,1772878.43,1772878.43,,1772878.43,-452448.57,SOFT,ALL_lag-1,-452448.57,-20.3,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-12,1858768.0,1566627.8,975128.91,,1566627.8,-292140.2,SOFT,IP_lag+0,-292140.2,-15.7,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-01,1561180.0,1566627.8,975128.91,,1566627.8,5447.8,CLOSE,IP_lag-1,5447.8,0.3,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-02,761200.0,672194.72,672194.72,,672194.72,-89005.28,SOFT,IP_lag+1,-89005.28,-11.7,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-03,408090.0,672194.72,672194.72,,672194.72,264104.72,OPEN,IP_lag+0,264104.72,64.7,OPEN,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-04,3399021.0,2039914.67,2039914.67,,2039914.67,-1359106.33,OPEN,IP_lag+0,-1359106.33,-40.0,OPEN,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-05,2080322.05,2039914.67,2039914.67,,2039914.67,-40407.38,CLOSE,IP_lag-1,-40407.38,-1.9,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-06,1852602.0,1675825.17,1675825.17,,1675825.17,-176776.83,SOFT,IP_lag+0,-176776.83,-9.5,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
TSUM,2024-01,4773903.0,3871189.34,,2373399.0,3871189.34,-902713.66,SOFT,0,-902713.66,-18.9,SOFT,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-02,3159867.53,2373399.0,,1604996.0,2373399.0,-786468.53,SOFT,0,-786468.53,-24.9,SOFT,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-03,2368171.81,1604996.0,,1025298.74,1604996.0,-763175.81,OPEN,0,-763175.81,-32.2,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-04,4922025.18,1025298.74,,2088009.28,1025298.74,-3896726.44,OPEN,0,-3896726.44,-79.2,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-05,5842029.52,2088009.28,,2594763.0,2088009.28,-3754020.24,OPEN,0,-3754020.24,-64.3,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-06,8225662.05,2594763.0,,3812314.0,2594763.0,-5630899.05,OPEN,0,-5630899.05,-68.5,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-07,4562870.54,3812314.0,,2390486.0,3812314.0,-750556.54,SOFT,0,-750556.54,-16.4,SOFT,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-08,2264524.36,2390486.0,,998040.0,2390486.0,125961.64,CLOSE,0,125961.64,5.6,CLOSE,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-09,5063730.48,998040.0,,2324530.0,998040.0,-4065690.48,OPEN,0,-4065690.48,-80.3,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-10,3467827.43,2324530.0,,1644135.0,2324530.0,-1143297.43,OPEN,0,-1143297.43,-33.0,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-11,2596099.57,1644135.0,,1199003.0,1644135.0,-951964.57,OPEN,0,-951964.57,-36.7,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2024-12,4372973.86,1199003.0,,2337280.0,1199003.0,-3173970.86,OPEN,0,-3173970.86,-72.6,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-01,3048185.24,2337280.0,,1434009.25,2337280.0,-710905.24,SOFT,0,-710905.24,-23.3,SOFT,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-02,2889937.38,1434009.25,,1296578.1,1434009.25,-1455928.13,OPEN,0,-1455928.13,-50.4,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-03,1962786.85,1296578.1,,923825.2,1296578.1,-666208.75,OPEN,0,-666208.75,-33.9,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-04,4671545.62,923825.2,,2111945.15,923825.2,-3747720.42,OPEN,0,-3747720.42,-80.2,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-05,2306379.36,2111945.15,,1083394.0,2111945.15,-194434.21,SOFT,0,-194434.21,-8.4,SOFT,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-06,5835153.12,1083394.0,,2922454.7,1083394.0,-4751759.12,OPEN,0,-4751759.12,-81.4,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-07,5851754.15,2922454.7,,2679923.0,2922454.7,-2929299.45,OPEN,0,-2929299.45,-50.1,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-08,3589891.43,2679923.0,,1729668.85,2679923.0,-909968.43,OPEN,0,-909968.43,-25.3,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-09,5041066.72,1729668.85,,2353092.35,1729668.85,-3311397.87,OPEN,0,-3311397.87,-65.7,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-10,2377033.0,2353092.35,,1370265.25,2353092.35,-23940.65,CLOSE,0,-23940.65,-1.0,CLOSE,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-11,4301450.01,1370265.25,,1951329.95,1370265.25,-2931184.76,OPEN,0,-2931184.76,-68.1,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2025-12,6804909.2,1951329.95,,3278301.0,1951329.95,-4853579.25,OPEN,0,-4853579.25,-71.3,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2026-01,2043925.49,3278301.0,,984289.0,3278301.0,1234375.51,OPEN,0,1234375.51,60.4,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2026-02,4032236.59,984289.0,,1843283.0,984289.0,-3047947.59,OPEN,0,-3047947.59,-75.6,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2026-03,4083280.88,1843283.0,,1912813.0,1843283.0,-2239997.88,OPEN,0,-2239997.88,-54.9,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2026-04,3064886.59,1912813.0,,1454851.0,1912813.0,-1152073.59,OPEN,0,-1152073.59,-37.6,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2026-05,5525456.6,1454851.0,,0,1454851.0,-4070605.6,OPEN,0,-4070605.6,-73.7,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
TSUM,2026-06,3799712.0,0.0,,0,0.0,-3799712.0,OPEN,0,-3799712.0,-100.0,OPEN,TSUM_AGENT,agent; best_lag=0; residual=commission/partial
