expense_line_id,period_month,article_name,legal_entity_id,amount_rub,opex_bucket
EX-80df0ad5576450bc,2024-02,Оборудование МД,LE-IP-YANINA,39300.0,OPEX_OTHER
EX-bf700421d71da352,2024-02,Расходники для изделий ИМ/Площадки,LE-IP-YANINA,83070.0,MATERIALS_MEMO
EX-3e8644f0526cbaf1,2024-02,"Печать ткани (Ходина, Дендерина)",LE-IP-YANINA,23760.0,MATERIALS_MEMO
EX-34cf44240b89c0cf,2024-02,Вешалки МД,LE-IP-YANINA,12950.0,OPEX_OTHER
EX-b905aceec7b1d96e,2024-02,Коробки МД,LE-IP-YANINA,42000.0,OPEX_OTHER
EX-c51a3487e99b4089,2024-02,Чехлы МД,LE-IP-YANINA,45400.0,OPEX_OTHER
EX-9e2bab2eae9f4b0b,2024-02,Брошюры (МД),LE-IP-YANINA,49800.0,OPEX_OTHER
EX-b0ce2e6a744e6fbc,2024-02,юрид услуги Общие,LE-IP-YANINA,10000.0,OPEX_OTHER
EX-9e8052eeb62d93c2,2024-02,Карта цветов (Карина) Общие,LE-IP-YANINA,2500.0,OPEX_OTHER
EX-4feed8ddaa01aa2d,2024-02,Цветы (Мелисса) общие,LE-IP-YANINA,5550.0,OPEX_OTHER
EX-daab1308a436ed11,2024-02,"Пакеты, коробки МД",LE-IP-YANINA,22900.0,OPEX_OTHER
EX-80a585efb4bdda83,2024-02,Битрикс МД,LE-IP-YANINA,13274.0,OPEX_OTHER
EX-cae83516cd127e8d,2024-02,Вода (кулер) Руднева,LE-IP-YANINA,2040.0,OPEX_OTHER
EX-9091ee63c0ecd313,2024-02,Вода (кулер) ИМ/Площадки,LE-IP-YANINA,2040.0,OPEX_OTHER
EX-9e8a0a64649017eb,2024-02,Доставка МД,LE-IP-YANINA,14980.0,LOGISTICS
EX-556dd554a0f1240c,2024-02,Расходы по корп.карте,LE-IP-YANINA,464248.39,CARD_EXPENSE
EX-e806a7b4fce6fc61,2024-02,Комиссия банка ИМ Тинькофф,LE-IP-YANINA,34233.13,INTERNAL_TRANSFER_MEMO
EX-0080b8e1a45770e1,2024-02,Расходы по эквайрингу (Альфа),LE-IP-YANINA,3003.84,ACQUIRING_FEE
EX-4864eb5a60a19a39,2024-02,Курьерская доставка (Мелисса),LE-IP-YANINA,33619.34,LOGISTICS
EX-533ab7f23e37cb1d,2024-02,Сертификация (Дацкевич),LE-IP-YANINA,53500.0,OPEX_OTHER
EX-4b124f9728842236,2024-02,Доставка ИМ СДЭК,LE-IP-YANINA,409.2,LOGISTICS
EX-3a1fe2b836c52d11,2024-02,Крушинская,LE-IP-YANINA,937600.0,OPEX_OTHER
EX-277aafabcee946fa,2024-02,Счет в тинькофф,LE-IP-YANINA,165000.0,INTERNAL_TRANSFER_MEMO
EX-631b15454b644284,2024-02,Интернет магазин (СДЭК),LE-IP-YANINA,14676.64,LOGISTICS
EX-8fd76312197c40b2,2024-03,"Зарплата, больничный",LE-OOO-DEKOR,994558.37,PAYROLL
EX-9b09a23f567aa5bd,2024-03,"Зарплата, больничный",LE-IP-YANINA,630437.86,PAYROLL
EX-f8292e940bdd07bf,2024-03,"Единый налоговый платеж, НСипЗ",LE-OOO-DEKOR,390234.26,TAX
EX-ac791747831d0298,2024-03,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,276081.92,TAX
EX-2198379876b78f3c,2024-03,Услуги банка,LE-OOO-DEKOR,5652.79,OPEX_OTHER
EX-d2143db592e49e19,2024-03,Услуги банка,LE-IP-YANINA,16080.0,OPEX_OTHER
EX-acb1ad6e5118eb5c,2024-03,Услуги банка,LE-IP-YANINA,18420.78,OPEX_OTHER
EX-416be2cc3b0e1e9b,2024-03,Услуги банка,LE-IP-YANINA,2606.0,OPEX_OTHER
EX-adde3c4756e8cd5c,2024-03,Расходы по эквайрингу,LE-OOO-DEKOR,13120.0,ACQUIRING_FEE
EX-9835f2f128039d99,2024-03,Расходы по эквайрингу,LE-IP-YANINA,31927.45,ACQUIRING_FEE
EX-3330650a92403f49,2024-03,Расходы по эквайрингу,LE-IP-YANINA,65602.08,ACQUIRING_FEE
EX-89e3ec6f0492e4c7,2024-03,"Телефон МГТС, МТС",LE-IP-YANINA,1760.92,OPEX_OTHER
EX-f714882f0d398c31,2024-03,Телефон межгород Ростелеком,LE-IP-YANINA,65.93,OPEX_OTHER
EX-cd94d330c00cc892,2024-03,Электроэнергия,LE-IP-YANINA,23746.0,OPEX_OTHER
EX-b046c8e6f6545ec4,2024-03,Охрана (в т.ч. автомобиля),LE-IP-YANINA,14880.0,OPEX_OTHER
EX-de1e95aa9154db8e,2024-03,Экспл.электроустановок,LE-IP-YANINA,2880.0,OPEX_OTHER
EX-cb41847a5cb8a20c,2024-03,Интернет,LE-IP-YANINA,2827.97,OPEX_OTHER
EX-6f3f33624850985b,2024-03,Интернет,LE-IP-YANINA,9211.44,OPEX_OTHER
EX-a57ff459ac50aa88,2024-03,"Комм.платежи, аренда помещения",LE-OOO-DEKOR,20600.0,RENT
EX-afb5c81d8f03a705,2024-03,"Комм.платежи, аренда помещения",LE-IP-YANINA,68112.01,RENT
EX-0c12fb24bbae1b7f,2024-03,"Комм.платежи, аренда помещения",LE-IP-YANINA,62756.65,RENT
EX-9518147b58e0760a,2024-03,Вывоз мусора ТБО,LE-IP-YANINA,8981.68,OPEX_OTHER
EX-13fc6a6d9419c979,2024-03,"Швейное оборудование, в т.ч. Лизинг (Руднева)",LE-IP-YANINA,49776.99,OPEX_OTHER
EX-2323f174a4439674,2024-03,обучение ПБ (Кропачев),LE-OOO-DEKOR,5000.0,OPEX_OTHER
EX-66fa42e7bd279e6a,2024-03,Домофон (Кропачев) общие,LE-IP-YANINA,23949.0,OPEX_OTHER
EX-d7ae54f528424d00,2024-03,благотворительное пожертвование,LE-IP-YANINA,50000.0,OPEX_OTHER
EX-7bd937611800a88d,2024-03,"1С (расширение кол-ва польз, отчет)",LE-IP-YANINA,26580.0,OPEX_OTHER
EX-daf57b0d375c145a,2024-03,"1С (расширение кол-ва польз, отчет)",LE-IP-YANINA,3600.0,OPEX_OTHER
EX-cef4b8bba31784c7,2024-03,"1С (расширение кол-ва польз, отчет)",LE-IP-YANINA,44400.0,OPEX_OTHER
EX-0f12c46349ec3c61,2024-03,Фурнитура Площадки,LE-IP-YANINA,14694.92,MATERIALS_MEMO
EX-40fefcc1f8963686,2024-03,Фурнитура МД/ИМ,LE-IP-YANINA,26268.82,MATERIALS_MEMO
EX-8fead0b4102e1e47,2024-03,Фурнитура МД/ИМ,LE-IP-YANINA,5424.0,MATERIALS_MEMO
EX-3ba0c9aa7d943adb,2024-03,Фурнитура ИМ,LE-IP-YANINA,442.0,MATERIALS_MEMO
EX-3e67ba8b473b8a0d,2024-03,Ткани МД,LE-IP-YANINA,592758.72,MATERIALS_MEMO
EX-2dadbf79bf477201,2024-03,Ткани МД/ИМ,LE-IP-YANINA,82625.39,MATERIALS_MEMO
EX-00c6b52d9dc7c943,2024-03,Ткани ИМ,LE-IP-YANINA,7100.0,MATERIALS_MEMO
EX-abfa206bc1363f02,2024-03,Ткани Площадки,LE-IP-YANINA,88555.0,MATERIALS_MEMO
EX-83cdc0b4993a988f,2024-03,Оборудование Площадки,LE-IP-YANINA,7700.0,OPEX_OTHER
EX-104b994a80f42f73,2024-03,"Брошюры, сертификаты (МД)",LE-IP-YANINA,9360.0,OPEX_OTHER
EX-16d08fa104f52e02,2024-03,"Брошюры, сертификаты (МД)",LE-IP-YANINA,19260.0,OPEX_OTHER
EX-7de1cfda78a0d4fa,2024-03,Битрикс МД,LE-IP-YANINA,195300.0,OPEX_OTHER
EX-7bc139ff307c5931,2024-03,Вода (кулер) Руднева,LE-IP-YANINA,4080.0,OPEX_OTHER
EX-f243332a659cc247,2024-03,Вода (кулер) ИМ/Площадки,LE-IP-YANINA,2040.0,OPEX_OTHER
EX-3384473fc6b65e5b,2024-03,Доставка МД,LE-IP-YANINA,3745.0,LOGISTICS
EX-84fabc9717b9dd53,2024-03,Расходы по корп.карте,LE-IP-YANINA,452820.85,CARD_EXPENSE
EX-a9c29a9e208319c8,2024-03,Комиссия банка ИМ Тинькофф,LE-IP-YANINA,15070.39,INTERNAL_TRANSFER_MEMO
EX-27c3c10c218d4d32,2024-03,Расходы по эквайрингу (Альфа),LE-IP-YANINA,4938.68,ACQUIRING_FEE
EX-63e8f4f5fd2aa4d1,2024-03,Курьерская доставка (Мелисса),LE-IP-YANINA,89821.09,LOGISTICS
EX-d0ea6f21006f737d,2024-03,Пакеты ИМ,LE-IP-YANINA,154240.0,OPEX_OTHER
EX-164f37b071a9ade4,2024-03,Маркировка (Галина),LE-IP-YANINA,1000.0,OPEX_OTHER
EX-c7bd8583ec611d63,2024-03,Расходы по вебинару,LE-IP-YANINA,203231.25,MARKETING
EX-f92d2ae0261f3665,2024-03,Сивак,LE-OOO-DEKOR,674000.0,OPEX_OTHER
EX-443bb4dbd14deab0,2024-03,Селифанова,LE-IP-YANINA,243200.0,OPEX_OTHER
EX-ea24e871ce70be38,2024-03,Черепанов,LE-IP-YANINA,464700.0,OPEX_OTHER
EX-cbe8369c2ba48ca2,2024-03,Счет в тинькофф,LE-IP-YANINA,2194000.0,INTERNAL_TRANSFER_MEMO
EX-09c980ceb039157e,2024-03,Пиголева (Тюмень),LE-IP-YANINA,562300.0,COUNTERPARTY_MEMO
EX-5b70382ceafac148,2024-03,Махачкала (ИП Бекеева),LE-IP-YANINA,490200.0,COUNTERPARTY_MEMO
EX-9850e51e3c7011b4,2024-03,Интернет магазин (СДЭК),LE-IP-YANINA,273779.34,LOGISTICS
EX-f970a1fa82206525,2024-03,Покупка/продажа валюты,LE-IP-YANINA,24215.9,FX_MEMO
EX-3cee8047c47d795a,2024-03,Вышивка (образцы),LE-OOO-DEKOR,21000.0,OPEX_OTHER
EX-d66e2b08547d7481,2024-03,Вышивка (образцы),LE-IP-YANINA,23110.5,OPEX_OTHER
EX-c0ef0c7d9d8a73f3,2024-03,Вышивка (образцы),LE-OOO-DEKOR,977.0,OPEX_OTHER
EX-1869804bec6485ad,2024-03,Вышивка (образцы),LE-IP-YANINA,1079.98,OPEX_OTHER
EX-99c8e06d9244ca84,2024-04,"Зарплата, больничный",LE-OOO-DEKOR,1249864.55,PAYROLL
EX-c96f8694c6666d41,2024-04,"Зарплата, больничный",LE-IP-YANINA,1392988.03,PAYROLL
EX-ae7adb8e340114f0,2024-04,"Единый налоговый платеж, НСипЗ",LE-OOO-DEKOR,509279.67,TAX
EX-efadab561aaa6e69,2024-04,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,3749.97,TAX
EX-29d143aeb9d7ac37,2024-04,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,1200000.0,TAX
EX-4b5fb4c22ffbea08,2024-04,"Штрафы, пени по налогам",LE-OOO-DEKOR,1000.0,TAX
EX-8856581945d25e56,2024-04,Услуги банка,LE-OOO-DEKOR,6929.34,OPEX_OTHER
EX-24ebf0666ca532d5,2024-04,Услуги банка,LE-IP-YANINA,1422.58,OPEX_OTHER
EX-841c07ac468d5c28,2024-04,Услуги банка,LE-IP-YANINA,4422.99,OPEX_OTHER
EX-7030974ebda072a1,2024-04,Услуги банка,LE-IP-YANINA,4886.75,OPEX_OTHER
EX-23355af2f86a8e47,2024-04,Расходы по эквайрингу,LE-OOO-DEKOR,20990.0,ACQUIRING_FEE
EX-d7d8f95c88f0afda,2024-04,Расходы по эквайрингу,LE-IP-YANINA,29121.91,ACQUIRING_FEE
EX-af0eae4929ef0b16,2024-04,Расходы по эквайрингу,LE-IP-YANINA,11254.36,ACQUIRING_FEE
EX-07eafe68312dab0d,2024-04,"Телефон МГТС, МТС",LE-IP-YANINA,1720.84,OPEX_OTHER
EX-d0bf2c3d4a7b873f,2024-04,Электроэнергия,LE-IP-YANINA,19653.0,OPEX_OTHER
EX-a1c4a43058778e3b,2024-04,Электроэнергия,LE-IP-YANINA,-8949.89,OPEX_OTHER
EX-d752e7b9c9855ca4,2024-04,Охрана (в т.ч. автомобиля),LE-IP-YANINA,14400.0,OPEX_OTHER
EX-ac8f68f0c60468a7,2024-04,Охрана (в т.ч. автомобиля),LE-IP-YANINA,9360.0,OPEX_OTHER
EX-114db97148324e26,2024-04,Пожарная сигнализация,LE-IP-YANINA,5400.0,OPEX_OTHER
EX-d1a7536792535792,2024-04,Экспл.электроустановок,LE-IP-YANINA,2880.0,OPEX_OTHER
EX-cb2e1cd90d59a348,2024-04,Интернет,LE-IP-YANINA,2827.97,OPEX_OTHER
EX-9159fe9298db6bb4,2024-04,Интернет,LE-IP-YANINA,9211.44,OPEX_OTHER
EX-288ae5b475faf2e4,2024-04,"Комм.платежи, аренда помещения",LE-OOO-DEKOR,19600.0,RENT
EX-09d05fd98c60930f,2024-04,"Комм.платежи, аренда помещения",LE-IP-YANINA,49377.21,RENT
EX-92b8abe034591498,2024-04,"Комм.платежи, аренда помещения",LE-IP-YANINA,59936.77,RENT
EX-4d6d45ce06e96107,2024-04,"Комм.платежи, аренда помещения",LE-IP-YANINA,650000.0,RENT
EX-fd78bff3f301ef8a,2024-04,Вывоз мусора ТБО,LE-IP-YANINA,8981.68,OPEX_OTHER
EX-4d6f8cc1c0847b25,2024-04,"Швейное оборудование, в т.ч. Лизинг (Руднева)",LE-IP-YANINA,49776.99,OPEX_OTHER
EX-5ccef999ac87501c,2024-04,обучение ПБ (Мамушкина),LE-OOO-DEKOR,5000.0,OPEX_OTHER
EX-9263861dd0f31f85,2024-04,Консультант,LE-IP-YANINA,18601.2,OPEX_OTHER
EX-1b332885b73592e3,2024-04,"Мебель, оборудование ИМ",LE-IP-YANINA,63490.0,OPEX_OTHER
EX-e950b545aea23260,2024-04,Фурнитура Площадки,LE-IP-YANINA,38930.0,MATERIALS_MEMO
EX-14841b90321ec811,2024-04,Фурнитура МД,LE-IP-YANINA,87097.06,MATERIALS_MEMO
EX-38545e2e809245e0,2024-04,Ткани МД,LE-IP-YANINA,286907.26,MATERIALS_MEMO
EX-8c9cd402f23d932d,2024-04,Ткани МД,LE-IP-YANINA,305335.9,MATERIALS_MEMO
EX-96d137140df26552,2024-04,Ткани Площадки,LE-IP-YANINA,39167.2,MATERIALS_MEMO
EX-060628350d99fdd2,2024-04,Оборудование Площадки,LE-IP-YANINA,441683.0,OPEX_OTHER
EX-e99d5bb1f9141a01,2024-04,Оборудование Площадки,LE-IP-YANINA,37458.0,OPEX_OTHER
EX-5f8c5a8ddee1db1b,2024-04,Оборудование ИМ,LE-IP-YANINA,50196.0,OPEX_OTHER
EX-3484a751e4c57520,2024-04,Вешалки МД,LE-IP-YANINA,8940.0,OPEX_OTHER
EX-ff1fe4aff9048121,2024-04,Страхование а/м,LE-OOO-DEKOR,57351.12,OPEX_OTHER
EX-6a9d084eb2cd4eee,2024-04,Вакансии (Даша) -пиар Общие,LE-IP-YANINA,40000.0,OPEX_OTHER
EX-ac2379cbf2258428,2024-04,Цветы (Площадки),LE-IP-YANINA,36250.0,OPEX_OTHER
EX-d52d415c186e310f,2024-04,Аренда мебели (ГУМ),LE-IP-YANINA,22096.0,RENT
EX-bd7eac6b3d1a0c97,2024-04,Вода (кулер) Общие,LE-IP-YANINA,2040.0,OPEX_OTHER
EX-a9a9ea8556595f91,2024-04,Вода (кулер) Общие,LE-IP-YANINA,2040.0,OPEX_OTHER
EX-d3ab6e8a7b8b0155,2024-04,Вода (кулер) ИМ/Площадки,LE-IP-YANINA,2040.0,OPEX_OTHER
EX-ebe5c60eb8cfc3c0,2024-04,Расходы по корп.карте,LE-IP-YANINA,797279.78,CARD_EXPENSE
EX-f001159890487e41,2024-04,Комиссия банка ИМ Тинькофф,LE-IP-YANINA,41694.18,INTERNAL_TRANSFER_MEMO
EX-36fc315a50caf32e,2024-04,Расходы по эквайрингу (Альфа),LE-IP-YANINA,5774.71,ACQUIRING_FEE
EX-4ac3b809f432e1d0,2024-04,Курьерская доставка (Мелисса),LE-IP-YANINA,120073.23,LOGISTICS
EX-3cad409803236f16,2024-04,Доставка ИМ СДЭК,LE-IP-YANINA,6030.3,LOGISTICS
EX-a7d3302b12377222,2024-04,Расходы по вебинару,LE-IP-YANINA,159374.5,MARKETING
EX-cde1f270d0a266c2,2024-04,Сивак,LE-IP-YANINA,669750.0,OPEX_OTHER
EX-6548997ea2d009b3,2024-04,Счет в тинькофф,LE-IP-YANINA,376400.0,INTERNAL_TRANSFER_MEMO
EX-d364b69870438bac,2024-04,Интернет магазин (СДЭК),LE-IP-YANINA,45422.6,LOGISTICS
EX-227d07eab5a0bf39,2024-04,Вознаграждение по акции,LE-IP-YANINA,1500.0,OPEX_OTHER
EX-c42591f41148d74a,2024-04,Вебинары,LE-IP-YANINA,20700.0,MARKETING
EX-13395c7f383f5dd5,2024-05,"Зарплата, больничный",LE-OOO-DEKOR,345344.47,PAYROLL
EX-aa57c90fcef01de8,2024-05,"Зарплата, больничный",LE-IP-YANINA,405285.23,PAYROLL
EX-07a9621aeea0b5d9,2024-05,"Единый налоговый платеж, НСипЗ",LE-OOO-DEKOR,320300.0,TAX
EX-0fa9824924047906,2024-05,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,-173673.51,TAX
EX-c618c36606efbac8,2024-05,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,3182003.86,TAX
EX-8e6bc005a1849ad5,2024-05,"Штрафы, пени по налогам",LE-OOO-DEKOR,-1000.0,TAX
EX-4fd382d960d40381,2024-05,Услуги банка,LE-OOO-DEKOR,2406.73,OPEX_OTHER
EX-d919178c448d8b59,2024-05,Услуги банка,LE-IP-YANINA,6910.61,OPEX_OTHER
EX-1e0b3bdbc5c635ed,2024-05,Услуги банка,LE-IP-YANINA,2388.0,OPEX_OTHER
EX-78ba2547c75d936a,2024-05,Расходы по эквайрингу,LE-OOO-DEKOR,19321.2,ACQUIRING_FEE
