period_month,md_payments_eur,sales_dds_salon_shop_eur,gap_eur,gap_pct,status,note
2015-10,176868.0,0.0,176868.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-11,171428.0,0.0,171428.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-12,316029.0,0.0,316029.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-01,98599.0,0.0,98599.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-02,135071.0,0.0,135071.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-03,171332.0,0.0,171332.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-04,253113.0,0.0,253113.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-05,192752.0,0.0,192752.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-06,219233.0,0.0,219233.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-07,213614.0,0.0,213614.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-08,99643.0,0.0,99643.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-09,186096.0,0.0,186096.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-10,165536.0,0.0,165536.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-11,221940.0,0.0,221940.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2016-12,459933.0,0.0,459933.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-01,92684.0,0.0,92684.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-02,164061.0,0.0,164061.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-03,240865.0,0.0,240865.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-04,214753.0,0.0,214753.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-05,170217.0,0.0,170217.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-06,262959.0,0.0,262959.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-07,360895.0,0.0,360895.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-08,88899.0,0.0,88899.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-09,305533.0,0.0,305533.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-10,186518.0,0.0,186518.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-11,259391.0,0.0,259391.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2017-12,348564.0,0.0,348564.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-01,110161.0,0.0,110161.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-02,180559.0,0.0,180559.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-03,206397.0,0.0,206397.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-04,139400.0,0.0,139400.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-05,236243.0,0.0,236243.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-06,213859.0,0.0,213859.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-07,181029.0,0.0,181029.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-08,82831.0,0.0,82831.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-09,158732.0,0.0,158732.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-10,183005.0,0.0,183005.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-11,145158.0,0.0,145158.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2018-12,391303.0,0.0,391303.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-01,52216.0,0.0,52216.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-02,292223.0,0.0,292223.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-03,222276.0,0.0,222276.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-04,206984.0,0.0,206984.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-05,202255.0,0.0,202255.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-06,261287.0,0.0,261287.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-07,171301.0,0.0,171301.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-08,114854.0,0.0,114854.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-09,175829.0,0.0,175829.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-10,251569.0,0.0,251569.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-11,107586.0,0.0,107586.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2019-12,339298.0,0.0,339298.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-01,201427.0,0.0,201427.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-02,208429.0,0.0,208429.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-03,176935.0,0.0,176935.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-04,126322.0,0.0,126322.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-05,59577.0,0.0,59577.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-06,56415.0,0.0,56415.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-07,92667.0,0.0,92667.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-08,40593.0,0.0,40593.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-09,163651.0,0.0,163651.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-10,196751.0,0.0,196751.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-11,123362.0,0.0,123362.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2020-12,201411.0,0.0,201411.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-01,36501.0,0.0,36501.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-02,106791.0,0.0,106791.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-03,140078.0,0.0,140078.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-04,298525.0,0.0,298525.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-05,124916.0,0.0,124916.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-06,153545.0,0.0,153545.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-07,142223.0,0.0,142223.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-08,77314.0,0.0,77314.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-09,86038.0,0.0,86038.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-10,129588.0,0.0,129588.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-11,258553.0,0.0,258553.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2021-12,259131.0,0.0,259131.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-01,95541.0,0.0,95541.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-02,243756.0,0.0,243756.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-03,36639.0,0.0,36639.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-04,270505.0,0.0,270505.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-05,113966.0,0.0,113966.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-06,55799.0,0.0,55799.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-07,284712.0,0.0,284712.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-08,50569.0,0.0,50569.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-09,87065.0,0.0,87065.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-10,146804.0,0.0,146804.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-11,151863.0,0.0,151863.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2022-12,206606.0,0.0,206606.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-01,51037.0,0.0,51037.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-02,144230.0,0.0,144230.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-03,110980.0,0.0,110980.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-04,141176.0,0.0,141176.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-05,278550.0,0.0,278550.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-06,234671.0,0.0,234671.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-07,187408.0,0.0,187408.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-08,146453.0,0.0,146453.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-09,111355.0,0.0,111355.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-10,108724.0,0.0,108724.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-11,109996.47,0.0,109996.47,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2023-12,433278.0,0.0,433278.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2024-01,-5841.0,63836.0,-69677.0,109.2,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2024-02,145324.0,145324.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-03,148955.0,148514.0,441.0,0.3,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-04,265180.0,265180.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-05,149737.0,149427.0,310.0,0.2,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-06,147924.0,136164.0,11760.0,8.6,SOFT,MD workbook финансы vs SALES DDS Salon+Shop
2024-07,256842.0,254842.0,2000.0,0.8,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-08,90944.0,90944.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-09,61812.0,61004.0,808.0,1.3,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-10,138744.0,140344.0,-1600.0,1.1,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-11,109419.0,109419.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2024-12,407294.0,407294.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-01,77023.0,77023.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-02,367888.0,367888.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-03,137281.0,137281.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-04,192370.0,192370.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-05,213231.0,207701.0,5530.0,2.7,SOFT,MD workbook финансы vs SALES DDS Salon+Shop
2025-06,203272.0,214728.0,-11456.0,5.3,SOFT,MD workbook финансы vs SALES DDS Salon+Shop
2025-07,250504.0,252254.0,-1750.0,0.7,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-08,28641.0,31181.0,-2540.0,8.1,SOFT,MD workbook финансы vs SALES DDS Salon+Shop
2025-09,156319.0,156103.0,216.0,0.1,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-10,262757.0,259389.0,3368.0,1.3,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-11,198533.0,197527.0,1006.0,0.5,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2025-12,231798.0,232401.0,-603.0,0.3,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2026-01,74560.0,74560.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2026-02,196705.0,200940.0,-4235.0,2.1,SOFT,MD workbook финансы vs SALES DDS Salon+Shop
2026-03,150873.0,150875.0,-2.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2026-04,278197.0,278197.0,0.0,0.0,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2026-05,163608.0,161608.0,2000.0,1.2,CLOSE,MD workbook финансы vs SALES DDS Salon+Shop
2026-06,125337.0,0.0,125337.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
