channel,period_month,lines,lines_with_cogs,cogs_coverage,qty,revenue_rub,revenue_costed_rub,cogs_rub,margin_rub,margin_pct,status
IM,2024-06,84,79,0.94,84.0,3546814.0,3540014.0,625951.33,2914062.67,82.3,OK
IM,2024-07,26,20,0.769,26.0,1290985.0,1282385.0,137924.45,1144460.55,89.2,PARTIAL
IM,2024-08,23,22,0.957,17.0,977346.0,975846.0,157193.88,818652.12,83.9,OK
IM,2024-09,35,32,0.914,33.0,2401874.0,2397674.0,370689.93,2026984.07,84.5,OK
IM,2024-10,34,32,0.941,34.0,2393932.0,2390932.0,319782.15,2071149.85,86.6,OK
IM,2024-11,52,49,0.942,51.0,2959801.0,2879641.0,342517.17,2537123.83,88.1,OK
IM,2024-12,81,69,0.852,81.0,4007322.0,3842672.0,497809.38,3344862.62,87.0,OK
IM,2025-01,17,15,0.882,17.0,776530.0,773830.0,109104.87,664725.13,85.9,OK
IM,2025-02,40,35,0.875,40.0,1604595.0,1599095.0,265656.43,1333438.57,83.4,OK
IM,2025-03,102,88,0.863,102.0,2968405.0,2921961.26,698540.61,2223420.65,76.1,OK
IM,2025-04,26,21,0.808,26.0,1837645.0,1798345.0,248009.02,1550335.98,86.2,PARTIAL
IM,2025-05,42,37,0.881,39.0,1973876.0,1930246.0,301175.5,1629070.5,84.4,OK
IM,2025-06,19,15,0.789,19.0,1092781.0,1088381.0,173850.28,914530.72,84.0,PARTIAL
IM,2025-07,44,37,0.841,44.0,2030938.0,2022938.0,375530.65,1647407.35,81.4,PARTIAL
IM,2025-08,99,85,0.859,99.0,3594028.0,3535528.0,774480.31,2761047.69,78.1,OK
IM,2025-09,20,16,0.8,20.0,848535.0,843435.0,181296.89,662138.11,78.5,PARTIAL
IM,2025-10,12,10,0.833,10.0,676092.0,673692.0,90437.33,583254.67,86.6,PARTIAL
IM,2025-11,28,26,0.929,24.0,2225327.0,2222927.0,331149.61,1891777.39,85.1,OK
IM,2025-12,16,15,0.938,16.0,1858768.0,1857568.0,241946.79,1615621.21,87.0,OK
IM,2026-01,47,44,0.936,47.0,1561180.0,1507880.0,348038.1,1159841.9,76.9,OK
IM,2026-02,14,14,1.0,14.0,761200.0,761200.0,124528.27,636671.73,83.6,OK
IM,2026-03,11,9,0.818,11.0,408090.0,406490.0,65819.17,340670.83,83.8,PARTIAL
IM,2026-04,36,32,0.889,36.0,3399021.0,3394421.0,658352.4,2736068.6,80.6,OK
IM,2026-05,37,35,0.946,37.0,2080322.05,2077622.05,578488.48,1499133.57,72.2,OK
IM,2026-06,20,20,1.0,20.0,1852602.0,1852602.0,387384.14,1465217.86,79.1,OK
TSUM,2024-01,27,27,1.0,31.0,4773903.0,4773903.0,2988897.73,1785005.27,37.4,OK
TSUM,2024-02,18,18,1.0,22.0,3159867.53,3159867.53,2007553.37,1152314.16,36.5,OK
TSUM,2024-03,13,13,1.0,16.0,2368171.81,2368171.81,1570450.79,797721.02,33.7,OK
TSUM,2024-04,33,33,1.0,45.0,4922025.18,4922025.18,3209810.36,1712214.82,34.8,OK
TSUM,2024-05,29,29,1.0,46.0,5842029.52,5842029.52,3882399.3,1959630.22,33.5,OK
TSUM,2024-06,39,39,1.0,75.0,8225662.05,8225662.05,5275201.46,2950460.59,35.9,OK
TSUM,2024-07,32,32,1.0,46.0,4562870.54,4562870.54,2698065.37,1864805.17,40.9,OK
TSUM,2024-08,15,15,1.0,17.0,2264524.36,2264524.36,1505516.02,759008.34,33.5,OK
TSUM,2024-09,25,25,1.0,34.0,5063730.48,5063730.48,3443729.59,1620000.89,32.0,OK
TSUM,2024-10,19,19,1.0,28.0,3467827.43,3467827.43,2271464.04,1196363.39,34.5,OK
TSUM,2024-11,18,18,1.0,24.0,2596099.57,2596099.57,1614550.75,981548.82,37.8,OK
TSUM,2024-12,26,26,1.0,33.0,4372973.86,4372973.86,2610997.5,1761976.36,40.3,OK
TSUM,2025-01,25,25,1.0,24.0,3048185.24,3048185.24,1958738.03,1089447.21,35.7,OK
TSUM,2025-02,14,14,1.0,18.0,2889937.38,2889937.38,1885400.35,1004537.03,34.8,OK
TSUM,2025-03,13,13,1.0,14.0,1962786.85,1962786.85,1244408.71,718378.14,36.6,OK
TSUM,2025-04,23,23,1.0,43.0,4671545.62,4671545.62,3060168.77,1611376.85,34.5,OK
TSUM,2025-05,17,17,1.0,21.0,2306379.36,2306379.36,1382283.0,924096.36,40.1,OK
TSUM,2025-06,41,41,1.0,60.0,5835153.12,5835153.12,3208822.88,2626330.24,45.0,OK
TSUM,2025-07,36,36,1.0,46.0,5851754.15,5851754.15,3419312.86,2432441.29,41.6,OK
TSUM,2025-08,26,26,1.0,31.0,3589891.43,3589891.43,2160711.95,1429179.48,39.8,OK
TSUM,2025-09,27,27,1.0,32.0,5041066.72,5041066.72,3131530.43,1909536.29,37.9,OK
TSUM,2025-10,18,18,1.0,23.0,2377033.0,2377033.0,1526113.39,850919.61,35.8,OK
TSUM,2025-11,26,26,1.0,32.0,4301450.01,4301450.01,2455436.39,1846013.62,42.9,OK
TSUM,2025-12,28,28,1.0,46.0,6804909.2,6804909.2,4042591.4,2762317.8,40.6,OK
TSUM,2026-01,14,14,1.0,15.0,2043925.49,2043925.49,1254316.48,789609.01,38.6,OK
TSUM,2026-02,33,33,1.0,34.0,4032236.59,4032236.59,2486238.4,1545998.19,38.3,OK
TSUM,2026-03,27,27,1.0,37.0,4083280.88,4083280.88,2475101.26,1608179.62,39.4,OK
TSUM,2026-04,22,22,1.0,26.0,3064886.59,3064886.59,1882342.72,1182543.87,38.6,OK
TSUM,2026-05,27,27,1.0,40.0,5525456.6,5525456.6,3571231.12,1954225.48,35.4,OK
TSUM,2026-06,33,33,1.0,39.0,3799712.0,3799712.0,2079149.3,1720562.7,45.3,OK
