period_month,opex_raw_rub,opex_clean_rub,opex_memo_rub,opex_hub_vtb_alfa_rub,bank_out_operating_rub,dds_b_bn_rub,dds_b_all_rub,status_raw_vs_bank,status_clean_vs_bank,status_hub_vs_bank,status_dds_bn_vs_bank,status_clean_vs_dds,status_overall,best_pair,delta_clean_vs_bank,delta_dds_vs_bank,note
2025-02,6416244.4,4288605.43,2127638.97,4859884.68,4434373.18,4656638.04,16667824.22,WIDE_GAP,CLOSE,SOFT,CLOSE,CLOSE,CLOSE,CLEAN_VS_BANK,-145767.75,222264.86,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-03,7211576.24,6194975.11,1016601.13,4988370.99,6062252.39,6119808.0,15416337.21,SOFT,CLOSE,SOFT,CLOSE,CLOSE,CLOSE,DDS_BN_VS_BANK,132722.72,57555.61,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-04,10815428.02,7599569.78,3215858.24,8019350.4,10195828.89,9804821.22,18979904.43,CLOSE,WIDE_GAP,SOFT,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-2596259.11,-391007.67,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-05,6648992.32,5003697.71,1645294.61,5540085.33,4811738.94,4774126.87,12686086.31,WIDE_GAP,CLOSE,SOFT,CLOSE,CLOSE,CLOSE,DDS_BN_VS_BANK,191958.77,-37612.07,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-06,7044366.84,5301197.94,1743168.9,4832580.71,6511364.38,6207331.33,15573276.83,CLOSE,SOFT,WIDE_GAP,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-1210166.44,-304033.05,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-07,9924541.65,6963132.41,2961409.24,7162810.82,9118268.33,8721493.8,19341522.36,SOFT,SOFT,SOFT,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-2155135.92,-396774.53,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-08,5857182.87,5129481.76,727701.11,4294877.97,5596034.6,5777142.66,14026042.22,CLOSE,SOFT,SOFT,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-466552.84,181108.06,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-09,6505299.04,4663822.02,1841477.02,5102230.73,5208714.08,5238264.18,11486015.09,SOFT,SOFT,CLOSE,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-544892.06,29550.1,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-10,9127534.03,6657795.13,2469738.9,7146162.82,8202712.74,8364265.78,18491922.77,SOFT,SOFT,SOFT,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-1544917.61,161553.04,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-11,11963544.47,6835755.36,5127789.11,10042298.44,7233643.69,7525947.77,16741283.19,WIDE_GAP,CLOSE,WIDE_GAP,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-397888.33,292304.08,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-12,11633259.93,10378556.1,1254703.83,8559380.24,11214918.14,11243626.12,27368602.12,CLOSE,CLOSE,SOFT,CLOSE,CLOSE,CLOSE,DDS_BN_VS_BANK,-836362.04,28707.98,clean=operating buckets excl tax/materials/internal/counterparty/fx
2026-01,5088270.02,3884569.04,1203700.98,4429358.05,4555956.88,4761846.84,7623771.43,SOFT,SOFT,CLOSE,CLOSE,SOFT,CLOSE,HUB_VS_BANK,-671387.84,205889.96,clean=operating buckets excl tax/materials/internal/counterparty/fx
2026-02,6608229.77,6149036.33,459193.44,5193094.59,4989764.76,6529234.45,14576912.97,SOFT,SOFT,CLOSE,SOFT,CLOSE,CLOSE,HUB_VS_BANK,1159271.57,1539469.69,clean=operating buckets excl tax/materials/internal/counterparty/fx
2026-03,9171229.99,7040939.31,2130290.68,8779551.71,8526925.4,8881677.23,16297227.59,CLOSE,SOFT,CLOSE,CLOSE,SOFT,CLOSE,HUB_VS_BANK,-1485986.09,354751.83,clean=operating buckets excl tax/materials/internal/counterparty/fx
2026-04,10690974.08,7358468.92,3332505.16,10187665.51,10238454.96,10445054.28,20013581.45,CLOSE,WIDE_GAP,CLOSE,CLOSE,WIDE_GAP,CLOSE,HUB_VS_BANK,-2879986.04,206599.32,clean=operating buckets excl tax/materials/internal/counterparty/fx
2026-05,7466265.87,6407849.74,1058416.13,7185853.33,7548702.78,7312359.03,15022050.7,CLOSE,SOFT,CLOSE,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-1140853.04,-236343.75,clean=operating buckets excl tax/materials/internal/counterparty/fx
2026-06,5547172.17,5136629.08,410543.09,5320633.61,5446495.63,0.0,815500.0,CLOSE,CLOSE,CLOSE,RIGHT_ONLY,LEFT_ONLY,CLOSE,HUB_VS_BANK,-309866.55,,clean=operating buckets excl tax/materials/internal/counterparty/fx
