sku_row_id,name,article,article_norm,code_1c,unit,composition,source_file,source_file_id,so_t
SKU-22,"Платье женское, фиолетовое, из кружева прямого силуэта",0-1087А,0-1087А,00-00000383,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-23,"Блуза женская, бежевая, из крепа, с вышивкой YC",0-1098,0-1098,00-00000280,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-24,"Блуза женская, серая, из крепа, с вышивкой YC",0-1098А,0-1098А,00-00000281,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-25,"Блуза женская, черная, из крепа, с вышивкой YC",0-1098В,0-1098В,00-00000282,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-26,"Платье женское, голубое, из хлопка, с застежкой ""планка""",0-1124,0-1124,00-00000206,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-27,"Платье женское, черное, из крепа длинное с резными линиями",0-1137,0-1137,00-00000380,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-28,"Платье женское, черное, короткое, из трикотажа, декорировано ""жабо"" по горловине",0-1148,0-1148,00-00001344,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-29,"Юбка женская, серая, из костюмной ткани, декором по низу юбки.",0-1167в,0-1167В,00-00001882,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-30,"Пальто-халат женское, черное, из бархата, длинное, с поясом",0-1178,0-1178,00-00000062,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-31,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",0-1187D,0-1187D,00-00001167,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-32,"Брюки женские, черные, из шелка, с белым кантом",0-1187E,0-1187E,00-00001164,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-33,"Рубашка женская, черная, из бархата, с отделкой белым кантом",0-1187F,0-1187F,00-00001284,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-34,"Брюки женские, черные, из бархата, с отделкой белым кантом",0-1187G,0-1187G,00-00001285,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-35,"Брюки женские, голубые с принтом ""Птицы"", из штапеля, зауженные",0-1187А,0-1187А,00-00000665,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-36,"Рубашка женская, голубая с принтом ""Птицы"", из штапеля",0-1187В,0-1187В,00-00000666,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-37,"Брюки женские, голубые с принтом ""Бабочки"", из хлопка, с отделкой белым кантом",0-1187Г,0-1187Г,00-00000792,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-38,"Юбка женская, черная, из шерсти, состоящая из четырех ярусов",0-1189A,0-1189A,00-00001250,шт,100% шерсть,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-39,"Брюки-леггинсы, женские, черные, из стрейч бархата",0-1206,0-1206,00-00000067,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-40,"Платье женское, черное, из бархата, с объемными рукавами из фатина",0-1225А,0-1225А,00-00000567,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-41,"Платье женское, черное, из крепа, с объемным ярусом по низу",0-1237,0-1237,00-00000008,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-42,"Платье женское, черное, из бархата, декорировано белой кружевной тесьмой",0-1237А,0-1237А,00-00000600,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-43,"Платье женское, желтое с люрексом из трикотажа",0-1239,0-1239,00-00000365,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-44,"Юбка женская, черная, из фатина, расшита крупными пайетками",0-1241,0-1241,00-00000590,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-45,"Юбка женская, белая, из фатина, расшита крупными пайетками",0-1241А,0-1241А,00-00000591,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-46,"Халат женский, черный, из шелка, с белым кантом и вышивкой на кармане",0-1242,0-1242,00-00000703,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-47,"Платье женское, черное, длинное, из трикотажа с вышитыми вставками в области талии",0-1250,0-1250,00-00000361,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-48,"Платье женское, красное, из трикотажа, длинное",0-1263,0-1263,00-00000360,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-49,"Платье женское, черное, из жаккарда, отрезное по линии талии",0-1264,0-1264,00-00000367,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-50,"Платье женское, черное, из трикотажа, с асимметричной драпировкой",0-1265,0-1265,00-00000552,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-51,"Юбка женская, черная, из экокожи, декорирована перьями страуса и камнями",0-1268А,0-1268А,00-00000530,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-52,Чулки из экокожи Basic,0-1272,0-1272,00-00000089,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-53,"Платье женское, зеленое с рисунком, из хлопка, длинное",0-1275А,0-1275А,00-00000224,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-54,"Юбка женская, бежевая с черной вышивкой, из фатина, декорирована перьями страуса",0-1280А,0-1280А,00-00000328,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-55,"Платье женское, зеленое, из бархата, лиф декорирован сеткой с бисером",0-1284,0-1284,00-00001251,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-56,"Платье женское, черное, из дюшеса, без рукавов",0-1288,0-1288,00-00000437,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-57,"Платье женское, зеленое с бежевым рисунком, из дюшеса, без рукавов",0-1288А,0-1288А,00-00000438,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-58,"Платье женское, желтое, из тафты, с открытыми плечами",0-1293,0-1293,00-00000357,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-59,"Платье женское, синее, из чесучи, с объемными рукавами",0-1293,0-1293,00-00000109,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-60,"Платье женское, терракотовое, из тафты, с открытыми плечами",0-1293А,0-1293А,00-00000358,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-61,"Юбка женская, коричневая, из бархата, декорирована вышивкой и тесьмой",0-1303,0-1303,00-00000586,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-62,"Платье женское, черное, из стрейч бархата, отрезное по линии талии",0-1306,0-1306,00-00000093,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-63,"Платье женское, зеленое, из фатина, с аппликационной вышивкой ""Птицы""",0-1310,0-1310,00-00000547,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-64,"Платье вечернее женское, серое, из фатина, с вышивкой по лифу",0-1311,0-1311,00-00000331,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-65,"Платье женское, серебряное, из пайеточной ткани, декорировано боа страуса",0-1317,0-1317,00-00000499,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-66,"Брюки женские, черные, из крепа, с мягкими складками по талии",0-1325,0-1325,00-00000794,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-67,"Юбка женская, черная, из атласа, декорирована вышивкой и перьями страуса",0-1335,0-1335,00-00000585,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-68,"Платье женское, черное, из шифона, с вышивкой в стиле 3Д",0-1342,0-1342,00-00000305,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-69,"Платье женское, синее в горох, из трикотажа, с декором ""Цветок""",0-1349,0-1349,00-00000103,шт,"97% полиэстер, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-70,"Платье женское, синее в горох, из трикотажа, декорировано бантом из основной ткани",0-1350,0-1350,00-00000104,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-71,"Блуза женская, красная, из хлопка, с объемными рукавами",0-1354,0-1354,00-00000238,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-72,"Юбка женская, синяя, из пайеточной ткани",0-1355,0-1355,00-00000265,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-73,"Юбка женская, розовая, из шелка, декорирована пайетками",0-1355А,0-1355А,00-00000362,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-74,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",0-136,0-136,00-00000343,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-75,"Свитер женский, черный, из хлопка, с провязкой ""MIMOSA O'CLOCK""",0-1365,0-1365,00-00000006,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-76,"Платье женское, синее, из шелкого крепа с асимметричным вырезом горловины",0-1366,0-1366,00-00000389,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-77,"Рубашка женская, белая, из хлопка, свободного силуэта,воротник - стойка",0-1378,0-1378,00-00000027,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-78,"Юбка женская, черная, из бархата, декорирована вставкой из кружева и помпонами",0-1379,0-1379,00-00000546,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-79,"Платье женское, черное, из бархата, с вышивкой ""КОЛЬЕ""",0-1390,0-1390,00-00000540,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-80,"Тренчкот женский, черный, из плащевой ткани, с логотипом YANINA",0-1413,0-1413,00-00000061,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-81,"Пальто-халат женское, черное, из бархата, укороченное, с лампасом по рукаву",0-1414,0-1414,00-00000015,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-82,"Пальто-халат женское, черное, из бархата, длинное, с лампасом по рукаву",0-1415,0-1415,00-00000014,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-83,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",0-1416,0-1416,00-00000013,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-84,"Брюки-джоггеры женские, черные, из стрейч бархата, с отделкой белым принтом",0-1416A,0-1416A,00-00001383,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-85,"Брюки женские, синие, из стрейч бархата, с шелковым лампасом",0-1416B,0-1416B,00-00001646,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-86,"Брюки женские, черные, из стрейч бархата, с отлетной деталью",0-1417,0-1417,00-00000012,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-87,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",0-1418,0-1418,00-00000011,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-88,"Свитшот женский, синий, из бархата, с декоративными элементами на рукавах",0-1418A,0-1418A,00-00001645,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-89,"Куртка женская, черная, из бархата, с логотипом YANINA",0-1419,0-1419,00-00000020,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-90,"Свитшот женский, черный, из бархата, с расшивкой по рукаву",0-1420,0-1420,00-00000007,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-91,"Комбинезон женский, черный, из крепа, декорирован белым воротником из хлопка",0-1421,0-1421,00-00000004,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-92,"Свитшот женский, черный, из футера, с аппликацией ""Стрелиция"" и отделкой белым лампасом по рукаву",0-1422,0-1422,00-00000068,шт,"60% хлопок, 40% полиэстер",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-93,"Юбка-баска женская, черная, из чесучи, со складками ""плиссе""",0-1423,0-1423,00-00000002,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-94,"Юбка женская, черная, из фатина, с аппликационной вышивкой",0-1424,0-1424,00-00000023,шт,"100% хлопок, подкладка: 100% полиэстер",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-95,Браслет с вышивкой бисером Basic,0-1425,0-1425,00-00000022,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-96,"Платье женское, синее, из пайеточной ткани, приталенного силуэта",0-1435,0-1435,00-00000972,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-97,"Платье женское, синее, из шелка, с розовым лифом с аппликационной вышивкой и расшивкой",0-1440,0-1440,00-00000971,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-98,"Юбка женская, черная, из фатина, с принтом ""горошек""",0-1442,0-1442,00-00000025,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-99,"Юбка женская, черная, из фатина, с декором ""круги""",0-1442В,0-1442В,00-00000594,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-100,"Юбка женская,белая,из фатина, с декором ""круги""",0-1442С,0-1442С,00-00000598,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-101,"Cвитшот женский, черный, из футера, с декором принт ""Белый медведь""",0-1443,0-1443,00-00000028,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-102,"Свитшот женский, черный, из футера, с принтом YANINA удлиненный с капюшоном",0-1444,0-1444,00-00000003,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-103,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",0-1444A,0-1444A,00-00001158,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-104,"Платье женское, черное с бежевым и зеленым, из джерси, прямого силуэта",0-1445,0-1445,00-00000071,шт,"97% полиэстер, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-105,"Свитер женский, черный, из хлопковой пряжи, с лого YANINA",0-1446,0-1446,00-00000001,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-106,"Брюки женские, черные, из футера, с белым лампасом",0-1449,0-1449,00-00000063,шт,"97% хлопок, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-107,"Платье женское, черное с бежевым, из бархата и джерси, приталенное",0-1450,0-1450,00-00000072,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-108,"Платье женское, черное с бежевым, из бархата и джерси, полуприлегающее",0-1451,0-1451,00-00000073,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-109,"Блуза женская, черная, из трикотажа, приталенного силуэта с логотипом YANINA",0-1453,0-1453,00-00000005,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-110,"Свитшот женский, черный, из футера, с принтом YANINA удлиненный",0-1454,0-1454,00-00000021,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-111,"Брюки женские, черные, из стрейч бархата, с поясом ""рибана"" и отлетной деталью",0-1455,0-1455,00-00000079,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-112,"Юбка женская, черная, из тафты, с крупными складками",0-1456,0-1456,00-00000080,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-113,"Свитшот женский, черный, из футера, с принтом YANINA",0-1457,0-1457,00-00000010,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-114,"Рубашка женская, белая, из хлопка, свободного силуэта,удлененная",0-1458,0-1458,00-00000029,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-115,"Рубашка женская, черная, из хлопка, декорирована складками ""плиссе""",0-1459,0-1459,00-00000030,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-116,"Тренчкот женский, голубой, из хлопка, с контрастным декором",0-1460,0-1460,00-00000031,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-117,Декоративный капюшон из черного хлопка Girls,0-1461,0-1461,00-00000032,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-118,"Брюки женские, синие, из хлопка, с отделкой красным лампасом",0-1462,0-1462,00-00000034,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-119,Мягкая маска из хлопка цвета электрик Girls,0-1463,0-1463,00-00000058,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-120,"Свитшот женский, белый с черным, из футера, с декоративной деталью по рукаву",0-1464,0-1464,00-00000035,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-121,"Шорты женские, зеленые, из футера",0-1465,0-1465,00-00000037,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-122,"Футболка женская, черная, из трикотажа, с декоративной деталью рукава",0-1466,0-1466,00-00000038,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-123,"Пальто-халат женское, черное, из бархата, укороченное, с поясом",0-1467,0-1467,00-00000009,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-124,"Пальто-халат женское, черное, из футера, с контрастным поясом, укороченное",0-1468,0-1468,00-00000039,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-125,"Свитшот женский, серый, из футера, с лампасом по рукаву",0-1469,0-1469,00-00000040,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-126,"Брюки женские, серые, из футера, с декором в виде цветка",0-1470,0-1470,00-00000041,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-127,"Брюки-леггинсы женские, черные, из трикотажа",0-1471,0-1471,00-00000042,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-128,"Платье женское, черное, из крепового шелка, без рукавов",0-1472,0-1472,00-00000043,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-129,"Комбинезон женский, черный, из джерси, с белой аппликацией в виде цветка",0-1473,0-1473,00-00000044,шт,"97% полиэстер, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-130,"Куртка женская, черная, из бархата, с белой отделкой по рукаву и горловине",0-1476,0-1476,00-00000081,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-131,"Свитшот женский, черный, из футера, с капюшоном",0-1477,0-1477,00-00000047,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-132,"Брюки женские, черные, из футера, с синим лампасом",0-1478,0-1478,00-00000048,шт,"97% хлопок, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-133,"Свитшот женский, черный, из футера, с белым лампасом по рукаву",0-1479,0-1479,00-00000049,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-134,"Платье женское, черное, из джерси, с коротким рукавом",0-1480,0-1480,00-00000052,шт,"97% полиэстер, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-135,"Платье женское, черное с бежевым и синим, свободного силуэта",0-1481,0-1481,00-00000053,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-136,"Платье женское, черное, из джерси, с декоративной вставкой по лифу",0-1481А,0-1481А,00-00000432,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-137,"Платье женское, черное с бежевым и зеленым, из джерси с декором ""Цветок""",0-1481В,0-1481В,00-00000433,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-138,"Платье женское, черное с бежевым, из джерси и бархата,приталенного силуэта",0-1481С,0-1481С,00-00000434,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-139,"Платье женское, черное с бежевым и синим, из трикотажа, приталенное",0-1482,0-1482,00-00000054,шт,"97% полиэстер, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-140,"Брюки женские, черные, из футера, с поясом ""рибана""",0-1483,0-1483,00-00000055,шт,"97% хлопок, 3% эластан",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-141,"Тренчкот женский, черный, из плащевой ткани, с контрастной отделкой",0-1484,0-1484,00-00000056,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-142,"Бейсболка женская, черная, из хлопка, с вуалеткой, декорированной пайетками Basic",0-1485,0-1485,00-00000074,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-143,"Юбка женская, черная, из пайеточной ткани",0-1486,0-1486,00-00000060,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-144,"Юбка женская, черная, из пайеточной ткани, декорирована перьями страуса",0-1486А,0-1486А,00-00000312,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-145,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",0-1486С,0-1486С,00-00001758,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-146,"Юбка женская, темно-серая, из пайеточной ткани",0-1487,0-1487,00-00000246,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-147,"Юбка женская, золотистая, из пайеточной ткани",0-1487А,0-1487А,00-00001023,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-148,"Платье женское, зеленое, из шифона, расшитым бисером",0-1488,0-1488,00-00000968,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-149,"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",0-1491,0-1491,00-00000966,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-150,"Брошь из пайеток с добавлением бусин и страз, черная с белым Basic",0-1492,0-1492,00-00000083,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-151,"Брошь из пайеток с добавлением бусин и страз, белая с черным Basic",0-1494,0-1494,00-00000084,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-152,"Брошь из пайеток с добавлением бусин и страз, черная Basic",0-1495,0-1495,00-00000085,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
