lineage_id,link_config_id,edge_id,domain,from_file,from_source_file_ids,target_token,from_field_candidates,to_file,to_source_file_ids,to_field_candidates,availability,current_status,current_join,target_join,missing_for_execution,transformation_rule,owner_role,integration_test_id,approval_status
LIN-0015,LCFG-005,TAX-EDGE-005,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,bank_payment_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-005,Draft
LIN-0016,LCFG-006,TAX-EDGE-006,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,obligation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-006,Draft
LIN-0017,LCFG-006,TAX-EDGE-006,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,ens_allocation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-006,Draft
LIN-0018,LCFG-006,TAX-EDGE-006,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,bank_payment_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-006,Draft
LIN-0019,LCFG-007,TAX-EDGE-007,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,obligation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-007,Draft
LIN-0020,LCFG-007,TAX-EDGE-007,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,ens_allocation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-007,Draft
LIN-0021,LCFG-007,TAX-EDGE-007,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,bank_payment_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-007,Draft
LIN-0022,LCFG-008,TAX-EDGE-008,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,obligation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-008,Draft
LIN-0023,LCFG-008,TAX-EDGE-008,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,ens_allocation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-008,Draft
LIN-0024,LCFG-008,TAX-EDGE-008,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,bank_payment_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-008,Draft
LIN-0025,LCFG-009,TAX-EDGE-009,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,obligation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-009,Draft
LIN-0026,LCFG-009,TAX-EDGE-009,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,ens_allocation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-009,Draft
LIN-0027,LCFG-009,TAX-EDGE-009,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,bank_payment_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-009,Draft
LIN-0028,LCFG-010,TAX-EDGE-010,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,obligation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-010,Draft
LIN-0029,LCFG-010,TAX-EDGE-010,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,ens_allocation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-010,Draft
LIN-0030,LCFG-010,TAX-EDGE-010,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,bank_payment_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-010,Draft
LIN-0031,LCFG-011,TAX-EDGE-011,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,obligation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-011,Draft
LIN-0032,LCFG-011,TAX-EDGE-011,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,ens_allocation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-011,Draft
LIN-0033,LCFG-011,TAX-EDGE-011,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,bank_payment_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-011,Draft
LIN-0034,LCFG-012,TAX-EDGE-012,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,obligation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-012,Draft
LIN-0035,LCFG-012,TAX-EDGE-012,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,ens_allocation_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-012,Draft
LIN-0036,LCFG-012,TAX-EDGE-012,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,bank_payment_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-012,Draft
LIN-0037,LCFG-013,TAX-EDGE-013,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,payroll_batch_id,,ДДС 2025.xlsx,FILE-018,,Neither side,Подтверждено,month + displayed control total,payroll_batch_id + payment_date + employer_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-013,Draft
LIN-0038,LCFG-013,TAX-EDGE-013,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,payment_date,,ДДС 2025.xlsx,FILE-018,,Neither side,Подтверждено,month + displayed control total,payroll_batch_id + payment_date + employer_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-013,Draft
LIN-0039,LCFG-013,TAX-EDGE-013,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employer_id,FLD-0640 Распределение!О score=70,ДДС 2025.xlsx,FILE-018,,From only,Подтверждено,month + displayed control total,payroll_batch_id + payment_date + employer_id,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-013,Draft
LIN-0040,LCFG-014,TAX-EDGE-014,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employee_id,FLD-0640 Распределение!О score=70 | FLD-0644 Распределение!С score=70,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,From only,Подтверждено,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-014,Draft
LIN-0041,LCFG-014,TAX-EDGE-014,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,payroll_batch_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Подтверждено,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-014,Draft
LIN-0042,LCFG-014,TAX-EDGE-014,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,bank_payment_id,FLD-0640 Распределение!О score=70 | FLD-0643 Распределение!П score=70,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,From only,Подтверждено,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-014,Draft
LIN-0043,LCFG-015,TAX-EDGE-015,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employee_id,FLD-0640 Распределение!О score=70 | FLD-0644 Распределение!С score=70,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,From only,Подтверждено,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-015,Draft
LIN-0044,LCFG-015,TAX-EDGE-015,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,payroll_batch_id,,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,Neither side,Подтверждено,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-015,Draft
LIN-0045,LCFG-015,TAX-EDGE-015,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,bank_payment_id,FLD-0640 Распределение!О score=70 | FLD-0643 Распределение!П score=70,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,,From only,Подтверждено,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Финансы,IT-015,Draft
LIN-0046,LCFG-016,TAX-EDGE-016,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employer_id,FLD-0640 Распределение!О score=70,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-016,Draft
LIN-0047,LCFG-016,TAX-EDGE-016,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employee_id,FLD-0640 Распределение!О score=70 | FLD-0644 Распределение!С score=70,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-016,Draft
LIN-0048,LCFG-016,TAX-EDGE-016,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,accrual_period,FLD-0640 Распределение!О score=70 | FLD-0643 Распределение!П score=70,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-016,Draft
LIN-0049,LCFG-016,TAX-EDGE-016,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,tax_code,,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,,Neither side,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-016,Draft
LIN-0050,LCFG-017,TAX-EDGE-017,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employer_id,FLD-0640 Распределение!О score=70,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-017,Draft
LIN-0051,LCFG-017,TAX-EDGE-017,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employee_id,FLD-0640 Распределение!О score=70 | FLD-0644 Распределение!С score=70,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-017,Draft
LIN-0052,LCFG-017,TAX-EDGE-017,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,accrual_period,FLD-0640 Распределение!О score=70 | FLD-0643 Распределение!П score=70,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-017,Draft
LIN-0053,LCFG-017,TAX-EDGE-017,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,tax_code,,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,,Neither side,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-017,Draft
LIN-0054,LCFG-018,TAX-EDGE-018,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employer_id,FLD-0640 Распределение!О score=70,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-018,Draft
LIN-0055,LCFG-018,TAX-EDGE-018,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employee_id,FLD-0640 Распределение!О score=70 | FLD-0644 Распределение!С score=70,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-018,Draft
LIN-0056,LCFG-018,TAX-EDGE-018,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,accrual_period,FLD-0640 Распределение!О score=70 | FLD-0643 Распределение!П score=70,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-018,Draft
LIN-0057,LCFG-018,TAX-EDGE-018,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,tax_code,,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,Neither side,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-018,Draft
LIN-0058,LCFG-019,TAX-EDGE-019,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employer_id,FLD-0640 Распределение!О score=70,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-019,Draft
LIN-0059,LCFG-019,TAX-EDGE-019,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,employee_id,FLD-0640 Распределение!О score=70 | FLD-0644 Распределение!С score=70,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-019,Draft
LIN-0060,LCFG-019,TAX-EDGE-019,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,accrual_period,FLD-0640 Распределение!О score=70 | FLD-0643 Распределение!П score=70,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,From only,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-019,Draft
LIN-0061,LCFG-019,TAX-EDGE-019,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,tax_code,,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,Neither side,Частично,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,HR/Бухгалтерия,IT-019,Draft
