period_month,article_name,amount_rub,n_lines
2024-06,налоги,442934.67,1
2024-06,оплата труда,1719167.69,1
2024-06,"продукты, лекарства",2040.0,1
2024-06,производственное оборудование,49776.99,1
2024-06,прочее,99086.75,1
2024-06,расходы на помещения,-38487.33,1
2024-06,ремонт оборудования,24250.0,1
2024-06,сайт,81242.0,1
2024-06,софт,18601.2,1
2024-06,"ткани, фурнитура",10160.0,1
2024-06,торговое оборудование,1416.0,1
2024-06,услуги банка,10232.92,1
2024-07,аренда Дмитровка,685926.53,1
2024-07,доставка,45072.79,2
2024-07,комиссия эквайринг,97137.41,2
2024-07,найм персонала,1500.0,1
2024-07,налоги,2314296.5,1
2024-07,оплата труда,1703666.7,1
2024-07,"продукты, лекарства",4080.0,2
2024-07,производственное оборудование,50777.01,1
2024-07,расходники для изделий,50332.0,2
2024-07,расходы на помещения,-44768.53,1
2024-07,софт,109055.0,1
2024-07,"ткани, фурнитура",304897.7,1
2024-07,торговое оборудование,72200.0,1
2024-07,услуги банка,26076.42,1
2024-07,юридические услуги,30400.0,1
2024-08,аренда Дмитровка,892631.99,1
2024-08,аутсорс (одежда),25750.0,1
2024-08,доставка,40565.81,2
2024-08,комиссия эквайринг,76213.28,3
2024-08,налоги,712150.83,1
2024-08,оплата труда,1672580.86,1
2024-08,"продукты, лекарства",8160.0,1
2024-08,производственное оборудование,18200.0,1
2024-08,расходники для изделий,8015.0,1
2024-08,расходы на помещения,157728.92,1
2024-08,съемка (фото/видео),90000.0,1
2024-08,"ткани, фурнитура",184190.13,2
2024-08,торговое оборудование,4316.0,1
2024-08,услуги банка,8552.65,1
2024-08,юридические услуги,25300.0,1
2024-09,агентское вознаграждение,142415.0,1
2024-09,аренда Дмитровка,779353.96,1
2024-09,аутсорс (одежда),179064.92,1
2024-09,доставка,45884.97,2
2024-09,комиссия эквайринг,121981.11,3
2024-09,налоги,638103.22,1
2024-09,оплата труда,1011724.46,1
2024-09,"продукты, лекарства",4080.0,1
2024-09,расходники для изделий,35472.0,1
2024-09,расходы на помещения,756253.72,1
2024-09,"ткани, фурнитура",431527.59,3
2024-09,услуги банка,14448.69,1
2024-10,агентское вознаграждение,53721.0,1
2024-10,аренда Дмитровка,780383.72,1
2024-10,аутсорс (одежда),154014.0,2
2024-10,доставка,57579.34,1
2024-10,комиссия эквайринг,170179.76,3
2024-10,налоги,2470624.41,1
2024-10,оплата труда,1519753.48,1
2024-10,подарки партнерам,178822.32,1
2024-10,"продукты, лекарства",24588.0,1
2024-10,расходы на помещения,215900.06,1
2024-10,"реклама, PR",296713.0,1
2024-10,софт,20017.2,1
2024-10,"ткани, фурнитура",1164080.87,3
2024-10,торговое оборудование,26000.0,1
2024-10,услуги банка,26479.01,1
2024-11,агентское вознаграждение,26468.8,1
2024-11,аренда Дмитровка,798471.55,1
2024-11,аутсорс (одежда),733932.0,3
2024-11,аутсорс за границей,901309.45,1
2024-11,доставка,75883.43,1
2024-11,комиссия эквайринг,138007.89,3
2024-11,мебель,6000.0,1
2024-11,налоги,865455.64,1
2024-11,оплата труда,1946052.51,1
2024-11,подарки партнерам,144000.0,1
2024-11,"продукты, лекарства",7020.0,1
2024-11,расходники для изделий,281139.0,2
2024-11,расходы на помещения,193075.14,2
2024-11,"реклама, PR",432146.0,2
2024-11,сайт,67738.0,1
2024-11,"ткани, фурнитура",407238.73,3
2024-11,торговое оборудование,6000.0,1
2024-11,услуги банка,24818.46,1
2024-12,агентское вознаграждение,262449.8,1
2024-12,аренда Дмитровка,839957.88,1
2024-12,аутсорс (одежда),889136.4,3
2024-12,аутсорс за границей,279591.26,1
2024-12,доставка,291911.25,2
2024-12,комиссия эквайринг,214664.04,4
2024-12,мероприятие,69300.0,1
2024-12,налоги,1411150.79,1
2024-12,оплата труда,2862731.1,1
2024-12,печатная продукция,185000.0,1
2024-12,"продукты, лекарства",4600.0,1
2024-12,расходники для изделий,21435.0,1
2024-12,расходы на помещения,163557.68,1
2024-12,"реклама, PR",452032.0,1
2024-12,софт,35191.0,1
2024-12,страхование,114000.0,1
2024-12,"ткани, фурнитура",700675.43,3
2024-12,торговое оборудование,2000.0,1
2024-12,услуги банка,23383.87,1
2024-12,юридические услуги,49750.0,1
2025-01,аренда помещения,806750.35,1
2025-01,аутсорс (одежда),514544.0,3
2025-01,аутсорс за границей,87015.79,1
2025-01,доставка,191208.34,2
2025-01,комиссия эквайринг,57679.62,3
2025-01,налоги с зарплаты,444228.63,1
2025-01,оплата труда,1791349.67,4
2025-01,"продукты, лекарства",2340.0,1
2025-01,расходники для изделий,228650.0,3
2025-01,расходы на помещения,155397.52,1
2025-01,"реклама, PR",412766.0,1
2025-01,сайт,42650.0,1
2025-01,"ткани, фурнитура",68090.88,1
2025-01,торговое оборудование,1500.0,1
2025-01,услуги банка,19975.19,1
2025-02,агентское вознаграждение,113196.8,1
2025-02,аренда помещения,881031.67,1
2025-02,аутсорс (одежда),562580.0,3
2025-02,аутсорс за границей,57285.45,1
2025-02,доставка,49311.88,2
2025-02,комиссия эквайринг,54602.43,3
2025-02,налоги,48200.0,1
2025-02,налоги с зарплаты,693444.66,1
2025-02,оплата труда,725394.0,4
2025-02,подарки партнерам,162016.0,1
2025-02,"продукты, лекарства",11320.0,1
2025-02,прочее,23400.0,1
2025-02,расходы на помещения,172283.82,1
2025-02,"реклама, PR",212766.0,1
2025-02,сайт,48720.0,1
2025-02,софт,18383.0,2
2025-02,"ткани, фурнитура",609286.41,3
2025-02,торговое оборудование,1110.0,1
2025-02,услуги банка,19282.02,1
2025-02,юридические услуги,193023.9,3
2025-03,агентское вознаграждение,98125.6,1
2025-03,аренда помещения,876948.73,2
2025-03,аутсорс (одежда),316247.0,3
2025-03,доставка,131172.36,2
2025-03,комиссия эквайринг,88936.93,3
2025-03,мероприятие,587863.0,1
2025-03,налоги,162989.0,1
2025-03,налоги с зарплаты,720017.92,1
2025-03,оплата труда,1760568.21,4
2025-03,подарки партнерам,231250.0,1
2025-03,"продукты, лекарства",12160.0,1
2025-03,расходники для изделий,29800.0,1
2025-03,расходы на помещения,137571.76,4
2025-03,сайт,46113.0,1
2025-03,софт,107572.8,2
2025-03,съемка (фото/видео),35556.0,1
2025-03,"ткани, фурнитура",722685.9,2
2025-03,услуги банка,12729.79,1
2025-03,юридические услуги,41500.0,1
2025-04,Доставка,27555.0,1
2025-04,аренда помещения,864873.82,2
2025-04,аутсорс (одежда),870290.0,3
2025-04,доставка,152273.65,1
2025-04,комиссия эквайринг,187560.91,3
2025-04,мероприятие,17138.0,1
2025-04,налоги,2877135.0,1
2025-04,налоги с зарплаты,931896.94,1
2025-04,оплата труда,3028336.3,4
2025-04,"продукты, лекарства",6630.0,1
2025-04,расходники для изделий,29500.0,2
2025-04,расходы на помещения,97668.76,3
2025-04,"реклама, PR",425532.0,1
2025-04,сайт,46113.0,1
2025-04,софт,4300.0,1
2025-04,страхование,62717.03,1
2025-04,съемка (фото/видео),33000.0,1
2025-04,"ткани, фурнитура",119434.18,2
2025-04,торговое оборудование,1500.0,1
2025-04,услуги банка,21366.63,1
2025-05,агентское вознаграждение,116768.8,1
2025-05,аренда помещения,859286.83,1
2025-05,аутсорс (одежда),1168346.08,4
2025-05,доставка,161247.44,2
2025-05,"канцтовары, хозтовары",920.0,1
2025-05,комиссия эквайринг,102061.29,3
2025-05,мебель,48994.0,1
2025-05,налоги с зарплаты,599816.64,1
2025-05,оплата труда,875823.0,4
2025-05,"продукты, лекарства",29108.0,1
2025-05,расходники для изделий,52998.0,1
2025-05,расходы на помещения,149716.64,3
2025-05,"реклама, PR",212766.0,1
2025-05,софт,26796.0,2
2025-05,"ткани, фурнитура",361676.12,3
2025-05,услуги банка,17802.03,1
2025-05,юридические услуги,-10000.0,1
2025-06,аренда помещения,844706.75,2
2025-06,аутсорс (одежда),625592.0,4
2025-06,доставка,171755.11,2
2025-06,комиссия эквайринг,107125.58,2
2025-06,налоги с зарплаты,775148.87,1
2025-06,оплата труда,1902728.0,4
2025-06,"продукты, лекарства",9120.0,1
2025-06,производственное оборудование,7500.0,1
2025-06,расходы на помещения,133240.84,3
2025-06,сайт,1885.0,1
2025-06,софт,20998.8,1
2025-06,съемка (фото/видео),23870.0,1
2025-06,"ткани, фурнитура",1550099.43,3
2025-06,торговое оборудование,17500.0,1
2025-06,услуги банка,16060.95,1
2025-07,агентское вознаграждение,16044.0,1
2025-07,аренда помещения,843506.67,2
2025-07,аутсорс (одежда),540221.88,4
2025-07,аутсорс за границей,46509.16,1
2025-07,доставка,259454.06,2
2025-07,комиссия эквайринг,63273.9,3
2025-07,мебель,38137.0,1
2025-07,налоги,2015782.0,1
2025-07,налоги с зарплаты,932816.18,1
2025-07,оплата труда,2948703.39,4
2025-07,"продукты, лекарства",10740.0,1
2025-07,расходники для изделий,47000.0,1
2025-07,расходы на помещения,155679.74,3
2025-07,"реклама, PR",313766.0,1
2025-07,софт,21234.0,2
2025-07,"ткани, фурнитура",423731.02,4
2025-07,услуги банка,44894.8,1
2025-08,аренда помещения,854690.1,2
2025-08,аутсорс (одежда),361518.0,3
2025-08,аутсорс за границей,88029.82,1
2025-08,доставка,131646.8,1
2025-08,комиссия эквайринг,55210.4,3
2025-08,мероприятие,146819.0,1
2025-08,налоги,534202.0,1
2025-08,налоги с зарплаты,936234.95,1
2025-08,оплата труда,2218477.58,4
2025-08,"продукты, лекарства",7410.0,1
2025-08,расходы на помещения,105897.04,4
2025-08,"реклама, PR",212766.0,1
2025-08,софт,33695.0,2
2025-08,"ткани, фурнитура",63444.52,2
2025-08,услуги банка,27101.45,1
2025-09,агентское вознаграждение,1170.0,1
2025-09,аренда помещения,847288.24,2
2025-09,аутсорс (одежда),294275.0,3
2025-09,доставка,94809.46,2
2025-09,комиссия эквайринг,97137.89,3
2025-09,налоги,489523.12,1
2025-09,налоги с зарплаты,778405.51,1
2025-09,оплата труда,1970012.51,4
2025-09,"продукты, лекарства",10700.0,1
2025-09,расходники для изделий,12628.0,1
2025-09,расходы на помещения,130565.48,4
2025-09,"реклама, PR",212766.0,1
2025-09,сайт,43496.0,1
2025-09,"ткани, фурнитура",157274.99,2
2025-09,торговое оборудование,36110.0,1
2025-09,услуги банка,14601.98,1
2025-09,юридические услуги,47500.0,1
2025-10,аренда помещения,846571.05,2
2025-10,аутсорс (одежда),584300.0,2
2025-10,доставка,161213.82,2
2025-10,комиссия эквайринг,144379.52,3
2025-10,мероприятие,41520.0,1
2025-10,налоги,1355380.83,1
2025-10,налоги с зарплаты,901903.63,1
2025-10,оплата труда,2578808.21,4
2025-10,печатная продукция,38600.0,1
2025-10,подарки партнерам,534966.0,2
2025-10,"продукты, лекарства",15675.0,2
2025-10,расходники для изделий,304080.0,1
2025-10,расходы на помещения,144923.99,4
2025-10,"реклама, PR",212766.0,1
2025-10,софт,22108.8,2
2025-10,"ткани, фурнитура",398703.0,2
2025-10,торговое оборудование,33610.0,2
2025-10,услуги банка,16655.93,1
2025-10,юридические услуги,28100.0,1
2025-11,агентское вознаграждение,78361.2,1
2025-11,аренда помещения,867611.0,2
2025-11,аутсорс (одежда),596489.2,3
2025-11,доставка,123978.41,2
2025-11,комиссия эквайринг,349460.52,4
2025-11,мебель,41391.0,1
2025-11,мероприятие,54124.0,1
2025-11,налоги,444930.0,1
2025-11,налоги с зарплаты,1083516.62,1
2025-11,оплата труда,2784415.46,4
2025-11,"продукты, лекарства",11850.0,2
2025-11,расходники для изделий,56130.0,1
2025-11,расходы на помещения,158355.2,4
2025-11,"реклама, PR",212766.0,1
2025-11,софт,44841.0,2
2025-11,"ткани, фурнитура",555750.0,2
2025-11,торговое оборудование,44800.0,1
2025-11,услуги банка,17178.16,1
2025-12,агентское вознаграждение,620360.0,1
2025-12,аренда помещения,922781.71,2
2025-12,аутсорс (одежда),1046033.02,3
2025-12,доставка,244303.0,1
2025-12,комиссия эквайринг,252119.65,2
2025-12,налоги,498588.0,1
2025-12,налоги с зарплаты,1330136.89,1
2025-12,оплата труда,5053801.93,4
2025-12,"продукты, лекарства",7800.0,1
2025-12,производственное оборудование,13884.0,1
2025-12,прочее,2150.0,1
2025-12,расходы на помещения,205696.87,4
2025-12,"реклама, PR",425532.0,1
2025-12,сайт,77475.0,1
2025-12,софт,11525.4,3
2025-12,страхование,108000.0,1
2025-12,"ткани, фурнитура",398811.71,2
2025-12,услуги банка,24626.94,1
2026-01,аренда помещения,506609.47,1
2026-01,аутсорс (одежда),904474.0,3
2026-01,доставка,49077.23,2
2026-01,комиссия эквайринг,64835.85,3
2026-01,мероприятие,0.0,1
2026-01,налоги,877612.27,1
2026-01,налоги с зарплаты,840652.41,1
2026-01,оплата труда,1173362.0,4
2026-01,печатная продукция,80307.0,1
2026-01,"продукты, лекарства",7800.0,1
2026-01,расходники для изделий,12060.0,1
2026-01,расходы на помещения,106570.85,4
2026-01,"реклама, PR",100000.0,1
2026-01,софт,1275.0,1
2026-01,"ткани, фурнитура",23753.8,1
2026-01,торговое оборудование,3000.0,1
2026-01,услуги банка,10456.96,1
2026-02,агентское вознаграждение,90000.0,1
2026-02,аренда помещения,1226507.87,1
2026-02,аутсорс (одежда),235380.0,3
2026-02,доставка,83671.51,2
2026-02,комиссия эквайринг,77393.18,2
2026-02,мероприятие,0.0,1
2026-02,налоги с зарплаты,475944.0,1
2026-02,оплата труда,3156703.01,4
2026-02,печатная продукция,50118.0,2
2026-02,подарки партнерам,61600.0,1
2026-02,"продукты, лекарства",7800.0,1
2026-02,производственное оборудование,7840.0,1
2026-02,прочее,2883.35,1
2026-02,расходы на помещения,155310.53,5
2026-02,"реклама, PR",402766.0,1
2026-02,сайт,27162.45,1
2026-02,софт,20162.0,1
2026-02,"ткани, фурнитура",435300.43,2
2026-02,услуги банка,12692.12,1
2026-03,аренда помещения,698143.37,1
2026-03,аутсорс (одежда),339150.0,2
2026-03,доставка,124000.5,2
2026-03,комиссия эквайринг,155950.39,2
2026-03,налоги,1430366.21,1
2026-03,налоги с зарплаты,1770731.48,1
2026-03,оплата стилистов,0.0,1
2026-03,оплата труда,2943703.89,4
2026-03,печатная продукция,118239.0,1
2026-03,"продукты, лекарства",7800.0,1
2026-03,прочее,2150.0,1
2026-03,расходники для изделий,123552.0,1
2026-03,расходы на помещения,205779.54,5
2026-03,"реклама, PR",420293.0,2
2026-03,сайт,49533.75,1
2026-03,"ткани, фурнитура",478326.41,2
2026-03,услуги банка,13957.69,1
2026-04,аренда помещения,1193062.62,1
2026-04,аутсорс (одежда),408843.0,3
2026-04,доставка,91739.82,2
2026-04,комиссия эквайринг,200600.71,4
2026-04,налоги,2914477.5,1
2026-04,налоги с зарплаты,1162241.39,1
2026-04,оплата труда,3107643.17,4
2026-04,"продукты, лекарства",18400.0,2
2026-04,прочее,2370.0,1
2026-04,расходы на помещения,182301.2,5
2026-04,"реклама, PR",627532.0,1
2026-04,сайт,24525.9,1
2026-04,софт,154354.4,2
2026-04,страхование,44145.31,1
2026-04,"ткани, фурнитура",299977.15,2
2026-04,услуги банка,12840.11,1
2026-05,аренда помещения,882430.75,1
2026-05,аутсорс (одежда),533655.95,3
2026-05,доставка,29216.76,1
2026-05,комиссия эквайринг,82875.32,3
2026-05,налоги,481001.0,1
2026-05,налоги с зарплаты,1165533.0,1
2026-05,оплата труда,3278397.75,4
2026-05,"продукты, лекарства",11700.0,1
2026-05,прочее,911.02,1
2026-05,расходники для изделий,111880.0,1
2026-05,расходы на помещения,188837.6,5
2026-05,"реклама, PR",76000.0,1
2026-05,"ткани, фурнитура",452733.61,4
2026-05,услуги банка,17186.27,1
