control_id,period_month,status,metric,detail
TSUM_NET_MODEL,2024-01,CLOSE,6.5,rate=0.4668
TSUM_NET_MODEL,2024-02,SOFT,8.8,rate=0.4668
TSUM_NET_MODEL,2024-03,CLOSE,-7.2,rate=0.4668
TSUM_NET_MODEL,2024-04,SOFT,-9.1,rate=0.4668
TSUM_NET_MODEL,2024-05,CLOSE,-4.8,rate=0.4668
TSUM_NET_MODEL,2024-06,CLOSE,-0.7,rate=0.4668
TSUM_NET_MODEL,2024-07,SOFT,12.2,rate=0.4668
TSUM_NET_MODEL,2024-08,CLOSE,-5.6,rate=0.4668
TSUM_NET_MODEL,2024-09,CLOSE,-1.7,rate=0.4668
TSUM_NET_MODEL,2024-10,CLOSE,-1.7,rate=0.4668
TSUM_NET_MODEL,2024-11,CLOSE,-1.1,rate=0.4668
TSUM_NET_MODEL,2024-12,SOFT,14.5,rate=0.4668
TSUM_NET_MODEL,2025-01,CLOSE,0.8,rate=0.4668
TSUM_NET_MODEL,2025-02,CLOSE,-3.9,rate=0.4668
TSUM_NET_MODEL,2025-03,CLOSE,0.8,rate=0.4668
TSUM_NET_MODEL,2025-04,CLOSE,-3.1,rate=0.4668
TSUM_NET_MODEL,2025-05,CLOSE,0.6,rate=0.4668
TSUM_NET_MODEL,2025-06,CLOSE,7.3,rate=0.4668
TSUM_NET_MODEL,2025-07,CLOSE,-1.9,rate=0.4668
TSUM_NET_MODEL,2025-08,CLOSE,3.2,rate=0.4668
TSUM_NET_MODEL,2025-09,CLOSE,0.0,rate=0.4668
TSUM_NET_MODEL,2025-10,CLOSE,-4.0,rate=0.4668
TSUM_NET_MODEL,2025-11,CLOSE,-2.8,rate=0.4668
TSUM_NET_MODEL,2025-12,CLOSE,3.2,rate=0.4668
TSUM_NET_MODEL,2026-01,CLOSE,3.2,rate=0.4668
TSUM_NET_MODEL,2026-02,CLOSE,-2.1,rate=0.4668
TSUM_NET_MODEL,2026-03,CLOSE,0.4,rate=0.4668
TSUM_NET_MODEL,2026-04,CLOSE,1.7,rate=0.4668
TSUM_NET_MODEL,2026-05,OPEN,-100.0,rate=0.4668
TSUM_NET_MODEL,2026-06,OPEN,-100.0,rate=0.4668
BANK_DDS_CORE,2024-01,WIDE_GAP,836571.18,
BANK_DDS_CORE,2024-02,SOFT_GAP,786174.12,
BANK_DDS_CORE,2024-03,CLOSE,36426.77,
BANK_DDS_CORE,2024-04,SOFT_GAP,627941.31,
BANK_DDS_CORE,2024-05,SOFT_GAP,984354.17,
BANK_DDS_CORE,2024-06,WIDE_GAP,957596.36,
BANK_DDS_CORE,2024-07,CLOSE,70921.05,
BANK_DDS_CORE,2024-08,SOFT_GAP,227156.33,
BANK_DDS_CORE,2024-09,SOFT_GAP,-458151.99,
BANK_DDS_CORE,2024-10,CLOSE,320282.43,
BANK_DDS_CORE,2024-11,CLOSE,-178429.56,
BANK_DDS_CORE,2024-12,WIDE_GAP,1852187.69,
BANK_DDS_CORE,2025-01,SOFT_GAP,260937.78,
BANK_DDS_CORE,2025-02,CLOSE,-29862.32,
BANK_DDS_CORE,2025-03,CLOSE,210492.01,
BANK_DDS_CORE,2025-04,SOFT_GAP,656015.62,
BANK_DDS_CORE,2025-05,CLOSE,236418.15,
BANK_DDS_CORE,2025-06,SOFT_GAP,569800.55,
BANK_DDS_CORE,2025-07,SOFT_GAP,509531.34,
BANK_DDS_CORE,2025-08,CLOSE,-155365.06,
BANK_DDS_CORE,2025-09,CLOSE,870.34,
BANK_DDS_CORE,2025-10,CLOSE,-89989.79,
BANK_DDS_CORE,2025-11,CLOSE,-171223.93,
BANK_DDS_CORE,2025-12,CLOSE,6509.02,
BANK_DDS_CORE,2026-01,CLOSE,-173742.37,
BANK_DDS_CORE,2026-02,WIDE_GAP,-1499972.03,
BANK_DDS_CORE,2026-03,CLOSE,-220945.21,
BANK_DDS_CORE,2026-04,CLOSE,-122779.52,
BANK_DDS_CORE,2026-05,CLOSE,299357.72,
BANK_DDS_CORE,2026-06,BANK_ONLY,5549424.35,
TAX_CASH_BANK,2024-01,GAP,36000.0,
TAX_CASH_BANK,2024-02,CLOSE,-0.0,
TAX_CASH_BANK,2024-03,CLOSE,0.0,
TAX_CASH_BANK,2024-04,CLOSE,-0.0,
TAX_CASH_BANK,2024-05,CLOSE,-174673.51,
TAX_CASH_BANK,2024-06,CLOSE,-0.0,
TAX_CASH_BANK,2024-07,CLOSE,40200.0,
TAX_CASH_BANK,2024-08,CLOSE,0.0,
TAX_CASH_BANK,2024-09,CLOSE,0.0,
TAX_CASH_BANK,2024-10,SOFT_GAP,147180.0,
TAX_CASH_BANK,2024-11,CLOSE,0.0,
TAX_CASH_BANK,2024-12,CLOSE,0.0,
TAX_CASH_BANK,2025-01,CLOSE,0.0,
TAX_CASH_BANK,2025-02,CLOSE,0.0,
TAX_CASH_BANK,2025-03,CLOSE,4100.0,
TAX_CASH_BANK,2025-04,CLOSE,4834.0,
TAX_CASH_BANK,2025-05,CLOSE,0.0,
TAX_CASH_BANK,2025-06,CLOSE,0.0,
TAX_CASH_BANK,2025-07,CLOSE,42000.0,
TAX_CASH_BANK,2025-08,SOFT_GAP,77410.0,
TAX_CASH_BANK,2025-09,CLOSE,0.0,
TAX_CASH_BANK,2025-10,CLOSE,35500.0,
TAX_CASH_BANK,2025-11,CLOSE,0.0,
TAX_CASH_BANK,2025-12,CLOSE,0.0,
TAX_CASH_BANK,2026-01,CLOSE,46151.27,
TAX_CASH_BANK,2026-02,CLOSE,0.0,
TAX_CASH_BANK,2026-03,CLOSE,0.0,
TAX_CASH_BANK,2026-04,CLOSE,-0.0,
TAX_CASH_BANK,2026-05,CLOSE,0.0,
TAX_CASH_BANK,2026-06,SOFT_GAP,-30900.0,
OPEX_VS_BANK,2024-01,SOFT_GAP,433106.48,
OPEX_VS_BANK,2024-02,WIDE_GAP,1378816.36,
OPEX_VS_BANK,2024-03,GAP,5811134.32,
OPEX_VS_BANK,2024-04,WIDE_GAP,2079272.44,
OPEX_VS_BANK,2024-05,GAP,4759498.74,
OPEX_VS_BANK,2024-06,WIDE_GAP,744568.02,
OPEX_VS_BANK,2024-07,WIDE_GAP,1370277.01,
OPEX_VS_BANK,2024-08,GAP,2871476.94,
OPEX_VS_BANK,2024-09,GAP,2250344.14,
OPEX_VS_BANK,2024-10,GAP,4003520.31,
OPEX_VS_BANK,2024-11,GAP,5040374.06,
OPEX_VS_BANK,2024-12,GAP,5100503.41,
OPEX_VS_BANK,2025-01,WIDE_GAP,1659719.69,
OPEX_VS_BANK,2025-02,GAP,1981871.22,
OPEX_VS_BANK,2025-03,WIDE_GAP,1149323.85,
OPEX_VS_BANK,2025-04,SOFT_GAP,619599.13,
OPEX_VS_BANK,2025-05,WIDE_GAP,1837253.38,
OPEX_VS_BANK,2025-06,SOFT_GAP,533002.46,
OPEX_VS_BANK,2025-07,SOFT_GAP,806273.32,
OPEX_VS_BANK,2025-08,CLOSE,261148.27,
OPEX_VS_BANK,2025-09,WIDE_GAP,1296584.96,
OPEX_VS_BANK,2025-10,SOFT_GAP,924821.29,
OPEX_VS_BANK,2025-11,GAP,4729900.78,
OPEX_VS_BANK,2025-12,CLOSE,418341.79,
OPEX_VS_BANK,2026-01,SOFT_GAP,532313.14,
OPEX_VS_BANK,2026-02,WIDE_GAP,1618465.01,
OPEX_VS_BANK,2026-03,SOFT_GAP,644304.59,
OPEX_VS_BANK,2026-04,CLOSE,452519.12,
OPEX_VS_BANK,2026-05,CLOSE,-82436.91,
OPEX_VS_BANK,2026-06,CLOSE,100676.54,
PAYROLL_VS_DDS,2024-01,DDS_ONLY,-9473220.54,
PAYROLL_VS_DDS,2024-02,DDS_ONLY,-6768132.0,
PAYROLL_VS_DDS,2024-03,DDS_ONLY,-7301896.0,
PAYROLL_VS_DDS,2024-04,DDS_ONLY,-7977453.0,
PAYROLL_VS_DDS,2024-05,DDS_ONLY,-6517980.0,
PAYROLL_VS_DDS,2024-06,DDS_ONLY,-7870267.69,
PAYROLL_VS_DDS,2024-07,DDS_ONLY,-7609416.7,
PAYROLL_VS_DDS,2024-08,DDS_ONLY,-5917080.86,
PAYROLL_VS_DDS,2024-09,DDS_ONLY,-6709224.46,
PAYROLL_VS_DDS,2024-10,DDS_ONLY,-8492578.48,
PAYROLL_VS_DDS,2024-11,DDS_ONLY,-8204252.51,
PAYROLL_VS_DDS,2024-12,DDS_ONLY,-9588833.1,
PAYROLL_VS_DDS,2025-01,WIDE_GAP,-425849.67,
PAYROLL_VS_DDS,2025-02,GAP,-7880526.0,
PAYROLL_VS_DDS,2025-03,GAP,-3743393.63,
PAYROLL_VS_DDS,2025-04,GAP,-7074782.3,
PAYROLL_VS_DDS,2025-05,GAP,2708697.0,
PAYROLL_VS_DDS,2025-06,GAP,-6425677.0,
PAYROLL_VS_DDS,2025-07,DDS_ONLY,-11200096.39,
PAYROLL_VS_DDS,2025-08,DDS_ONLY,-8445727.58,
PAYROLL_VS_DDS,2025-09,DDS_ONLY,-6613012.51,
PAYROLL_VS_DDS,2025-10,DDS_ONLY,-8328408.21,
PAYROLL_VS_DDS,2025-11,DDS_ONLY,-9098315.46,
PAYROLL_VS_DDS,2025-12,DDS_ONLY,-18420901.93,
PAYROLL_VS_DDS,2026-01,GAP,-1580015.5,
PAYROLL_VS_DDS,2026-02,CLOSE,-99398.05,
PAYROLL_VS_DDS,2026-03,WIDE_GAP,1320474.11,
PAYROLL_VS_DDS,2026-04,CLOSE,125005.83,
PAYROLL_VS_DDS,2026-05,WIDE_GAP,1188401.19,
PAYROLL_VS_DDS,2026-06,DDS_ONLY,-815500.0,
B2B_SETTLE_BANK,ALL,PARTIAL,39/54,open=15
