sales_line_id,period_month,canonical_sku,qty,revenue_rub,unit_price_rub,cogs_reported_rub,cogs_source,product_cogs_rub,commission_proxy_rub,agency_comm_at_net_rate_rub,reported_margin_rub,product_margin_rub,commission_proxy_share_of_rev,split_method,net_rate_policy,agency_take_policy
SL-121266cf64e58cf9,2024-04,T-2032C,1.0,38800.0,38800.0,12552.1,FILE,12552.1,0.0,20688.16,26247.9,26247.9,0.0,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-f9dd391f4c917017,2024-05,T-2032C,1.0,89240.0,89240.0,62992.1,FILE,12552.1,50440.0,47582.77,26247.9,76687.9,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-f152788fb3cfd029,2024-06,T-2032C,1.0,89240.0,89240.0,62992.1,FILE,12552.1,50440.0,47582.77,26247.9,76687.9,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-422abdb8c23924cb,2024-07,T-2032C,1.0,89250.0,89250.0,63002.1,FILE,12552.1,50450.0,47588.1,26247.9,76697.9,0.5653,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-69d9bd72f6874e1d,2024-08,T-2032C,1.0,89250.0,89250.0,63002.1,FILE,12552.1,50450.0,47588.1,26247.9,76697.9,0.5653,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-dd394587151ef9cf,2025-06,T-2973A,1.0,72891.62,72891.62,5977.62,W3_BOM_H9,5977.62,0.0,38865.81,66914.0,66914.0,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-b3594872dedf8545,2025-07,T-2973A,1.0,51431.97,51431.97,5977.62,W3_BOM_H9,5977.62,0.0,27423.53,45454.35,45454.35,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-86aef1244cd283c4,2026-01,T-2973A,1.0,75600.0,75600.0,5977.62,W3_BOM_H9,5977.62,0.0,40309.92,69622.38,69622.38,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-16ef2d729e96f8c6,2026-06,T-2973A,1.0,75600.0,75600.0,5977.62,W3_BOM_H9,5977.62,0.0,40309.92,69622.38,69622.38,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-2eb1081c4d2d98d8,2026-06,T-2973A,2.0,108470.0,54235.0,11955.23,W3_BOM_H9,11955.23,0.0,57836.2,96514.77,96514.77,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-5a5b7ece6042d39f,2024-09,T-1960,1.0,86491.0,86491.0,58689.0,FILE,12587.0,46102.0,46117.0,27802.0,73904.0,0.533,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-3b112816d8c58cd9,2024-10,T-1960,2.0,184480.0,92240.0,128876.0,FILE,25174.0,103702.0,98364.74,55604.0,159306.0,0.5621,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-a16d4d5ba83b1166,2025-03,T-1960,1.0,51130.0,51130.0,21323.0,FILE,12587.0,8736.0,27262.52,29807.0,38543.0,0.1709,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-cbab4371571038f6,2025-06,T-1960,1.0,96850.0,96850.0,67043.0,FILE,12587.0,54456.0,51640.42,29807.0,84263.0,0.5623,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-d92e0b27d5c25a7d,2025-08,T-1960,1.0,96840.0,96840.0,67033.0,FILE,12587.0,54446.0,51635.09,29807.0,84253.0,0.5622,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-6f8460fcb6dc8d61,2026-05,T-1960,1.0,96840.0,96840.0,67033.0,FILE,12587.0,54446.0,51635.09,29807.0,84253.0,0.5622,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-bb5cdfd48da47b92,2024-05,T-2572,2.0,233680.0,116840.0,154190.0,FILE,22110.0,132080.0,124598.18,79490.0,211570.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-1df0c6f7ce98ddd5,2024-06,T-2572,1.0,116840.0,116840.0,77095.0,FILE,11055.0,66040.0,62299.09,39745.0,105785.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-da9c5296dba8fcf2,2025-11,T-2572,1.0,53340.0,53340.0,11055.0,FILE,11055.0,0.0,28440.89,42285.0,42285.0,0.0,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-95eb2c267d22779e,2024-04,T-2753,1.0,129607.28,129607.28,82739.78,FILE,11932.5,70807.28,69106.6,46867.5,117674.78,0.5463,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-c9496d5122aeecb6,2024-06,T-2753,2.0,270480.0,135240.0,176745.0,FILE,23865.0,152880.0,144219.94,93735.0,246615.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-584d06a378123987,2024-07,T-2753,1.0,108000.0,108000.0,61132.5,FILE,11932.5,49200.0,57585.6,46867.5,96067.5,0.4556,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-49914f1bec41ecf8,2024-08,T-2753,1.0,135240.0,135240.0,88372.5,FILE,11932.5,76440.0,72109.97,46867.5,123307.5,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-2c4ba12222a6ab0a,2024-11,T-2753,1.0,116045.12,116045.12,69177.62,FILE,11932.5,57245.12,61875.26,46867.5,104112.62,0.4933,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-322d1359cf4e8fcf,2025-06,T-2753,1.0,142000.0,142000.0,92192.5,FILE,11932.5,80260.0,75714.4,49807.5,130067.5,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-e1bf8f3c88a18853,2026-02,T-3122,1.0,147090.0,147090.0,96841.0,FILE,13701.0,83140.0,78428.39,50249.0,133389.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-7c8a31e38f563c61,2026-03,T-3122,2.0,285804.83,142902.42,185306.83,FILE,27402.0,157904.83,152391.14,100498.0,258402.83,0.5525,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-9662e3004b792184,2026-04,T-3122,1.0,122479.0,122479.0,72230.0,FILE,13701.0,58529.0,65305.8,50249.0,108778.0,0.4779,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-1bc4a97dc641893c,2026-06,T-3122,1.0,147090.0,147090.0,96841.0,FILE,13701.0,83140.0,78428.39,50249.0,133389.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-57d557106dcec916,2024-01,0-1187D,1.0,126000.0,126000.0,83622.52,FILE,12405.52,71217.0,67183.2,42377.48,113594.48,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-af011df496a06606,2024-04,T-2752,4.0,579082.69,144770.67,365490.69,FILE,53608.0,311882.69,308766.89,213592.0,525474.69,0.5386,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-a970143ba28a0667,2024-05,T-2752,1.0,153640.0,153640.0,100242.0,FILE,13402.0,86840.0,81920.85,53398.0,140238.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-422a93b463657331,2024-06,T-2752,1.0,153640.0,153640.0,100242.0,FILE,13402.0,86840.0,81920.85,53398.0,140238.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-f7742f40d7636cd8,2024-07,T-2752,4.0,527242.57,131810.64,313650.57,FILE,53608.0,260042.57,281125.74,213592.0,473634.57,0.4932,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-5454e944893399c4,2024-08,T-2752,1.0,120644.36,120644.36,67246.36,FILE,13402.0,53844.36,64327.57,53398.0,107242.36,0.4463,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-79e584419dc4625d,2024-04,T-2420A,2.0,296817.54,148408.77,195889.58,FILE,30875.04,165014.54,158263.11,100927.96,265942.5,0.5559,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-a893bc2d6ef4b275,2024-05,T-2420A,3.0,448433.21,149477.74,297041.27,FILE,46312.56,250728.71,239104.59,151391.94,402120.65,0.5591,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-f8e1844563e2a49f,2024-06,T-2420A,3.0,345544.52,115181.51,194152.58,FILE,46312.56,147840.02,184244.34,151391.94,299231.96,0.4278,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-80fa68da2ee3e093,2024-07,T-2420A,2.0,261188.0,130594.0,160260.04,FILE,30875.04,129385.0,139265.44,100927.96,230312.96,0.4954,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-91af66e7d38c137f,2024-09,T-2420A,1.0,153640.0,153640.0,103176.02,FILE,15437.52,87738.5,81920.85,50463.98,138202.48,0.5711,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-45a3753a0a769f87,2025-01,T-2420A,1.0,153640.0,153640.0,103176.02,FILE,15437.52,87738.5,81920.85,50463.98,138202.48,0.5711,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-65b22c7dd1fe33f8,2024-04,T-2540,2.0,362480.0,181240.0,251410.8,FILE,46530.8,204880.0,193274.34,111069.2,315949.2,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-8d5769c689d112b0,2024-05,T-2540,2.0,362480.0,181240.0,251410.8,FILE,46530.8,204880.0,193274.34,111069.2,315949.2,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-11749c20d7890f05,2024-06,T-2540,3.0,441040.0,147013.33,274436.2,FILE,69796.2,204640.0,235162.53,166603.8,371243.8,0.464,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-e27deb66f708d6c1,2024-07,T-2540,1.0,143896.0,143896.0,88361.4,FILE,23265.4,65096.0,76725.35,55534.6,120630.6,0.4524,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-b58cffca201051b7,2025-04,T-2540,1.0,190300.0,190300.0,130825.4,FILE,23265.4,107560.0,101467.96,59474.6,167034.6,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-4e87db25fb8b8a4d,2026-06,T-2540,1.0,147551.0,147551.0,88076.4,FILE,23265.4,64811.0,78674.19,59474.6,124285.6,0.4392,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-31f79b40f7996fbe,2025-06,T-2872,4.0,603344.02,150836.01,360626.14,FILE,62238.11,298388.03,321703.03,242717.88,541105.91,0.4946,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-0985555b2d0ed45e,2025-07,T-2872,1.0,175350.0,175350.0,114670.53,FILE,15559.53,99111.0,93496.62,60679.47,159790.47,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-b00e9affb30d4527,2026-05,T-2872,2.0,341331.7,170665.85,219972.76,FILE,31119.05,188853.71,181998.06,121358.94,310212.65,0.5533,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-6ad39e3051056c1c,2026-06,T-2872,1.0,170258.0,170258.0,109578.53,FILE,15559.53,94019.0,90781.57,60679.47,154698.47,0.5522,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-68ade87c6c65f052,2024-01,0-2673,1.0,152000.0,152000.0,97128.0,FILE,17504.19,79623.81,81046.4,54872.0,134495.81,0.5238,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-8d00e97bf76388cf,2024-10,0-2673,1.0,152000.0,152000.0,97128.0,FILE,17504.19,79623.81,81046.4,54872.0,134495.81,0.5238,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-10a93641cc5aa22f,2024-12,0-2673,1.0,66087.0,66087.0,11215.0,FILE,17504.19,-6289.19,35237.59,54872.0,48582.81,-0.0952,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-2d4f74e50ef3b483,2024-01,0-2690,1.0,209000.0,209000.0,134846.5,FILE,16716.5,118130.0,111438.8,74153.5,192283.5,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-6efff5c5abac7890,2025-06,T-2933,2.0,277982.68,138991.34,183756.68,FILE,33600.0,150156.68,148220.36,94226.0,244382.68,0.5402,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-04f2a18bae94f99d,2026-05,T-2933,1.0,147000.0,147000.0,99887.0,FILE,16800.0,83087.0,78380.4,47113.0,130200.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-7930ad0a50d376c5,2024-09,T-2703,1.0,118634.54,118634.54,83022.54,FILE,21430.67,61591.87,63255.94,35612.0,97203.87,0.5192,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-5d6c677cab179e17,2024-10,T-2703,4.0,410202.5,102550.62,267754.5,FILE,85722.67,182031.83,218719.97,142448.0,324479.83,0.4438,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-d91b8580cd864321,2024-11,T-2703,2.0,238894.34,119447.17,167670.34,FILE,42861.33,124809.01,127378.46,71224.0,196033.01,0.5224,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-1530df7b33b39231,2025-04,T-2703,1.0,112899.28,112899.28,74662.28,FILE,21430.67,53231.61,60197.9,38237.0,91468.61,0.4715,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-548a2f03c7c171e2,2025-09,T-2703,1.0,123929.87,123929.87,90938.7,FILE,21430.67,69508.03,66079.41,32991.17,102499.2,0.5609,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-4931917fbd939fe9,2025-11,T-2703,2.0,253580.0,126790.0,177816.46,FILE,42861.33,134955.13,135208.86,75763.54,210718.67,0.5322,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-c83bbeff8340d104,2024-09,T-1960,3.0,269373.0,89791.0,185967.0,FILE,37761.0,148206.0,143629.68,83406.0,231612.0,0.5502,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-dfd5a0de1880ee13,2024-10,T-1960,1.0,91109.0,91109.0,63307.0,FILE,12587.0,50720.0,48579.32,27802.0,78522.0,0.5567,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-a8f1da75f3dcaf61,2024-11,T-1960,1.0,92230.0,92230.0,64428.0,FILE,12587.0,51841.0,49177.04,27802.0,79643.0,0.5621,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-95776f373d6a99fe,2024-12,T-1960,1.0,92250.0,92250.0,64448.0,FILE,12587.0,51861.0,49187.7,27802.0,79663.0,0.5622,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-9c01fab10392d8be,2025-01,T-1960,1.0,92230.0,92230.0,64428.0,FILE,12587.0,51841.0,49177.04,27802.0,79643.0,0.5621,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-596d7dc493e7954d,2025-02,T-1960,1.0,89309.14,89309.14,59502.14,FILE,12587.0,46915.14,47619.63,29807.0,76722.14,0.5253,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-fd9d62adb6082a42,2025-03,T-1960,1.0,96840.0,96840.0,67033.0,FILE,12587.0,54446.0,51635.09,29807.0,84253.0,0.5622,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-3aca8869cf7158b9,2025-07,T-1960,1.0,83000.0,83000.0,53193.0,FILE,12587.0,40606.0,44255.6,29807.0,70413.0,0.4892,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-a2161ea8cdde42c6,2025-12,T-1960,1.0,96840.0,96840.0,67033.0,FILE,12587.0,54446.0,51635.09,29807.0,84253.0,0.5622,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-250735c42b1a9092,2024-01,0-2671,1.0,92150.0,92150.0,63921.0,FILE,11836.0,52085.0,49134.38,28229.0,80314.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-643ca1f7125eff25,2024-02,0-2671,1.0,57150.0,57150.0,28921.0,FILE,11836.0,17085.0,30472.38,28229.0,45314.0,0.299,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-8293ee42259d10c9,2024-03,0-2671,2.0,184300.0,92150.0,127842.0,FILE,23672.0,104170.0,98268.76,56458.0,160628.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-69302304ef476136,2024-04,0-2671,1.0,92150.0,92150.0,63921.0,FILE,11836.0,52085.0,49134.38,28229.0,80314.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-719348c9473799a1,2024-04,0-2671,-1.0,-92150.0,92150.0,-63921.0,FILE,-11836.0,-52085.0,-49134.38,-28229.0,-80314.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-2b273dce810f0af4,2024-03,0-2415,1.0,38590.0,38590.0,22043.0,FILE,2536.0,19507.0,20576.19,16547.0,36054.0,0.5055,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-748ee8cc2a263785,2024-04,0-2415,-1.0,-38590.0,38590.0,-22043.0,FILE,-2536.0,-19507.0,-20576.19,-16547.0,-36054.0,0.5055,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-cad9ae06d137b86a,2024-01,0-2458,1.0,78300.0,78300.0,50815.7,FILE,6558.7,44257.0,41749.56,27484.3,71741.3,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-e00b8c105c05c1fb,2024-06,T-2750C,1.0,47150.0,47150.0,5400.7,W3_BOM_H9,5400.7,0.0,25140.38,41749.3,41749.3,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-1b24c0b062b35d5f,2025-01,T-2750C,1.0,47150.0,47150.0,5400.7,W3_BOM_H9,5400.7,0.0,25140.38,41749.3,41749.3,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-1dd8dadbc9e0fb6e,2025-05,T-2750C,1.0,49500.0,49500.0,5400.7,W3_BOM_H9,5400.7,0.0,26393.4,44099.3,44099.3,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-05dc05bb38c6479d,2026-02,T-3069B,1.0,47040.0,47040.0,5346.6,W3_BOM_H9,5346.6,0.0,25081.73,41693.4,41693.4,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-ed8919723ab41290,2026-03,T-3069B,1.0,47040.0,47040.0,5346.6,W3_BOM_H9,5346.6,0.0,25081.73,41693.4,41693.4,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-e2faea04e69f17e8,2026-05,T-3069B,2.0,94080.0,47040.0,10693.2,W3_BOM_H9,10693.2,0.0,50163.46,83386.8,83386.8,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-e881f4f38bf0eb9d,2026-06,T-3069B,2.0,80081.0,40040.5,10693.2,W3_BOM_H9,10693.2,0.0,42699.19,69387.8,69387.8,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-9abd3a83acfbbb34,2025-06,T-2750D,2.0,96600.0,48300.0,10828.77,W3_BOM_H9,10828.77,0.0,51507.12,85771.23,85771.23,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-43749b825827e3f8,2025-07,T-2750D,2.0,70030.98,35015.49,10828.77,W3_BOM_H9,10828.77,0.0,37340.52,59202.21,59202.21,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-cbe946424355a0ad,2026-03,T-3069B,1.0,47040.0,47040.0,5346.6,W3_BOM_H9,5346.6,0.0,25081.73,41693.4,41693.4,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-e43064dea87acec8,2025-05,T-2750C,1.0,48300.0,48300.0,5400.7,W3_BOM_H9,5400.7,0.0,25753.56,42899.3,42899.3,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-2ed62109833ed2e5,2025-06,T-2750C,1.0,44271.05,44271.05,5400.7,W3_BOM_H9,5400.7,0.0,23605.32,38870.35,38870.35,0.0,W3_AS_PRODUCT,0.4668,0.5332
