cost_version_id,canonical_sku,article_raw,name,unit_cost_rub,completeness,source_file_id,channel_hint,owner_file,unit_cost_source
CV-H5-9297818f8d9301b2,0-2480D,0-2480D,"Блуза женская, белая с принтом ""оранжевые Y"", из шёлка, с отделкой ""лампас""",10121.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-727d0f6e4150dc51,0-2480C,0-2480С/2,"Блуза женская, красная с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас",10121.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-6e1a69802cadba81,0-2481B,0-2481B,"Блуза женская, розовая с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас",13734.68,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-2af1ac0974b730c8,0-2481E,0-2481E,"Брюки женские, белые с принтом ""оранжевые Y"", из шёлка, с оранжевым кантом",5374.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-cd1d1492341f5771,0-2481F,0-2481F,"Брюки женские, розовые с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас",5374.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-fdb2a138c72cdaec,0-2485A,0-2485A,"Брюки женские, красные с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас",2447.34,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-3ee8a0ad224c3d01,0-2493,0-2493,"Шорты женские, чёрные с принтом ""белые Y и девочки"", из батиста, с отделкой ""лам",11961.52,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-bf1845187f8aaef7,0-2494,0-2494,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с широкими брет",12636.21,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-7a8a6824f24249bf,0-2496,0-2496,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с поясом",12359.27,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-d782ff1263791ef2,0-2523,0-2523,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми пл",5374.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-3a6ab7f4458ed741,0-2524,0-2524,"Брюки женские, белые с принтом ""голубые цветы"", из батиста",9930.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-ed482f6d9cde6d1f,0-2527,0-2527,"Рубашка женская, белая с принтом ""голубые цветы"", из батиста, с рукавом ""кимоно""",4539.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-626ec7f65b7dbdc6,0-2532,0-2532,"Шорты женские, белые с принтом ""синие цветы"", из батиста",11000.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-ec0ae7e485037fc5,0-2533,0-2533,"Блуза женская, белая с принтом ""голубые цветы"", из батиста",5374.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-8b3a8bdf337321cd,0-2536,0-2536,"Брюки женские, белые с принтом ""голубые цветы"", из батиста, зауженые к низу",15970.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-c68a41ab97176c37,0-2545,0-2545,"Платье женское, белое с принтом ""голубые цветы"", из батиста",2360.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-f19531d1caae3e0e,0-2545A,0-2545A,"Футболка женская, розовая с принтом ""грибы"", из трикотажа",2360.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-c6127376463ace97,0-2549,0-2549,"Футболка женская, белая с принтом ""грибы"" по горловине, из трикотажа",12978.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-169d2e52f641cbff,0-2550,0-2550,"Блуза женская, розовая с принтом ""девочки, грибы, цветы"", из шелка, декорирована",8730.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-df95c22c8810edbe,0-2554A,0-2554A/2,"Брюки женские, розовые с принтом ""девочки, грибы, цветы"", из шелка, с отделкой """,10428.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-c303ad5c8203c782,0-2566,0-2566,"Платье-кафтан женское, черное, из хлопка, декорировано тесьмой ""YANINA""",13650.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-ba7c40347f289c33,0-2567A,0-2567A,"Платье-рубашка женское, белое, из батиста, с принтом ""черные Y и грибы"" с надпис",13650.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-b59008150e3e1e37,0-2572,0-2572,"Платье-рубашка женское, белое, из батиста, с принтом ""черные Y и грибы""",9353.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-1a466c9a7b31f0a0,0-2573,0-2573,"Блуза женская, черная с принтом ""Y"", из батиста, декорирована контрастной тесьмо",2748.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-9f433f0ae6268787,0-2655,0-2655,"Шорты женские, черные с принтом ""Y"", из батиста, декорированы контрастной тесьмо",3200.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-c955f6bc171f7d3c,0-2655A,0-2655A,Косметичка пляжная,5200.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-494b015f1b94b4e7,0-321,0-321,"Сумка-тоут  женская, черная, с принтом ""YANINA""",3862.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-a8bdfba610475eaf,T-2401B,T-2401B/3,"Брюки женские, белые, из хлопка, зауженные к низу",11519.08,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-f3d6c68c55748d5e,T-2420A,T-2420A/3,"Брюки женские, белые с принтом ""оранжевые ""Y"", из шелка",15437.52,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-65f289c5b6fec8c3,T-2573A,T-2573A/1,"Блуза женская, белая с принтом ""оранжевые ""Y"", из шелка,  с отделкой черным кант",7436.24,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-b2e7e3e5c81bb21e,0-136,0-136,"Шорты женские, белые с принтом ""оранжевые Y"", из шелка, с отделкой ""лампас""",856.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-b7a48e6d6a0ee2cf,0-1498,0-1498,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",3891.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-87882ee3ff0fdbc9,FW17-248,FW17-248,"Брюки женские, белые, из хлопка, зауженные к низу",7100.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-626dba4393aafdf5,ДK190,ДК190,"Платье женское, коричневое, из шерсти средней длины",7800.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-7e9be681ee6934e7,0-1984P,0-1984P,"Пальто женское, черное, из бархата и пайеточной ткани, декорировано перьями стра",2778.86,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-83d27996e8790a5d,0-1442,0-1442,"Платье женское, синее, из пайеточной ткани, приталенного силуэта",10296.25,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-0085906440e89067,0-1486A,0-1486А,"Юбка женская, черная, из фатина, с принтом ""горошек""",7020.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-2dfae8bc90ec9e33,0-1522,0-1522,"Тренчкот женский, бежевый, из плащевой ткани, с контрастной отделкой",9401.83,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-5bfeb3b4bb45edc4,0-1539A,0-1539А,"Юбка женская, белая, из фатина, с принтом ""горошек""",3851.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-754b7c6316af362b,0-1831,0-1831,"Блуза женская, черная, из трикотажа, с открытыми плечами",9156.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-422e6b6d7d54e825,0-1871A,0-1871А,"Юбка женская, черная, из дюшеса, с вышивкой и декором из перьев страуса",7009.28,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-edd8164202605fbb,0-1950A,0-1950А,"Юбка женская, белая, из фатина, с принтом ""листья""",12180.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-63169cfc98bc53f3,0-1967,0-1967,"Платье женское, черное, из бархата, декорировано белыми манжетами и черным банто",7250.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-68c274d10a20ae03,0-1974,0-1974,"Платье женское, черное, из бархата, декорировано бархатным бантом на кокетке из ",10570.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-74d9efdf4dc78b7d,0-2028,0-2028,"Платье женское, белое, из хлопка, на тонких бретелях",42591.5,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-f931ea8e515bf28b,0-2037,0-2037,"Пальто-халат женское, белое с принтом ""черные Y"", из шелка, с рукавом ""кимоно""",20435.0,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-80f9b85328150a38,0-2090,0-2090,"Брюки женские, черные с принтом ""белые Y"", из шелка, с отделкой ""лампас""",10902.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-9a1df428eccd2d48,0-482,0-482,"Блуза женская, черная, из шелка и шифона, с отделкой кружевом",13112.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-eb15fc1826087519,0-2785,0-2785,КОВРОТЕКА ООО,18525.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-e79d4cb1b50316d1,0-2818,0-2818,"Плед бежевый, из кашемира, с авторским принтом ""Дерево жизни""",18525.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-d41e43a89528588f,0-2818A,0-2818A,"Плед бежевый, из кашемира, с авторским рисунком",18525.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-bfb27ee4c1dbfa95,0-2818B,0-2818B,"Плед серый, из кашемира, с авторским рисунком",18525.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-8db90e5e810eefb0,0-1043,0-1043,МЕРКУРИ МОДА ООО,32392.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-abcf93eb0876d308,0-1187D,0-1187D,"Пальто женское, черное, из бархата, с расшитыми ""звездами""",12405.52,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-b0cafd2ad9c0e9f6,0-1187E,0-1187E,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",7284.12,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-5d0b04a677a60d7c,0-1672A,0-1672А,"Брюки женские, черные, из шелка, с белым кантом",4763.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-7eadf89cf810a05e,0-2125,0-2125,"Рубашка женская, белая, из хлопка, с вышивкой на кармане YC",20188.16,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-9da947ed4a5535c3,0-2246B,0-2246B,"Платье женское, черное в белый горох, из шелка, декорировано белой брошью ""Цвето",9885.32,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-674ae88fb440a650,0-2324,0-2324,"Платье женское, розовое с принтом ""желто-черные Y"", из батиста, с поясом",34661.25,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-6f4edc0081d2f7ba,0-2347,0-2347,"Пальто женское, серое, из шелкового бархата, с расшитыми розовыми цветами на рук",39373.5,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-bcd3a056946ca178,0-2364B,0-2364В,"Пальто женское ""ДИАГОНАЛЬ"", черное, из шерсти, с отделкой кожей",7677.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-e768e2031b201f55,0-2384,0-2384,"Блуза женская, черная, из крепа, с объемным рукавом, декорирована бантом по низу",6675.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-72c9a1e8e1092027,0-2393,0-2393,"Брюки женские, черные, из шелкового бархата, с отделкой белым кантом по бокам",14849.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-bcee85e4dfb24a25,0-2396,0-2396,"Платье женское, черное, из шелка, с бахромой и кокеткой расшитой бисером",23360.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-5c566f0354555034,0-2397,0-2397,"Платье женское, черное, из крепа, с декором ""Листья"" на манжетах",13390.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-639bcdf58566e908,0-2397B,0-2397В,"Платье женское, черное, из стрейч бархата, с разрезом и декором из страз",6430.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-f99fa02dfe4a4105,0-2400,0-2400,Болеро-накидка из сетки,21005.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-be798f39f9814cba,0-2406,0-2406,"Платье женское, черное, с принтом ""девочки"", из шелка, на тонких бретелях",4628.3,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-00361e18c03f962c,0-2409,0-2409,"Юбка женская, черная, из бархата, средней длины, с поясом",14393.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-3a933e4b8f229720,0-2415,0-2415,"Платье женское, черное, из шерсти, с декором из сетки и перьев",2536.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OPEN
CV-H5-e00c66c5c0f19e84,0-2421,0-2421,"Блуза-боди женская, темно-серая, из трикотажа, декорирована белыми манжетами, с ",18823.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-2ef7c2d18b77ac59,0-2455,0-2455,"Платье женское, розовое, из шелкового бархата, с воротником и манжетами из пайет",22179.75,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-bef8f5f63d4e4356,0-2455A,0-2455А,"Юбка женская, черная, из фатина, с вышивкой ""Дерево, птицы, Yanina""",12337.75,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-a4e87c3d0dbed816,0-2456A,0-2456А,"Юбка женская, черная, из фатина, с декором принт ""дерево, птицы, Yanina""",19129.5,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-f64680f491c3d601,0-2458,0-2458,"Платье женское, черное, из крепа, короткое, с вышивкой ""Дерево, птица, Yanina""",6558.7,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-4b974356a46f9be1,0-2460,0-2460,"Блуза-боди женская, черная, из стрейч бархата, с белым воротником",11496.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-46581f06e672141c,0-2461,0-2461,"Блуза женская, черная, из батиста, декорирована расшивкой кристаллами по воротни",16419.0,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-db4a78118afe893b,0-2462A,0-2462A,"Платье женское, черное, из искусственного шелка, с вышивкой ""Дерево, птица"", с р",13866.48,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-266a9bdd7a003416,0-2464,0-2464,"Блуза женская, белая, из батиста, декорирована расшивкой кристаллами по воротник",12338.0,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-fda60606ced97722,0-2468A,0-2468А,"Платье женское, черное, из бархата, со съемным воротником с бантом, с расшивкой ",65897.89,DERIVED_STOCK_MOVEMENT,FILE-099,Остатки ЦУМ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-87bfad62a1700d54,0-2469A,0-2469A,"Платье женское, черное в белый горох, из шелка, со съемным воротником и белыми м",22340.72,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-18792039217a3f51,0-2472,0-2472,"Платье женское, черное в белый горох, из шифона, длинное, декорировано брошью ""Б",5226.13,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-d0e79ed257a465e4,0-2474A,0-2474A,"Брюки женские, черные, из футера, с декором принт ""дерево, Yanina"", отделкой ""ла",6254.5,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-6b0ea0f34510a90a,0-2475A,0-2475А,"Блуза женская, чёрная с принтом ""девочки"", из батиста, с отделкой ""лампас""",9175.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-65e07e4590c7ee35,0-2475B,0-2475В,"Рубашка женская свободного силуэта, белая, из шелка, с вышивкой на кармане YC",6924.5,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-fd42cb27f7df8c69,0-2475C,0-2475С,"Рубашка женская свободного силуэта, серая, из батиста, с вышивкой на кармане YC",5487.0,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-55235352812ca6e8,0-2476,0-2476,"Рубашка женская, белая, из хлопка, с вышивкой ""YC"", свободного силуэта",12981.6,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-80a785f6f1f472bb,0-2477,0-2477,"Рубашка женская, белая с принтом ""девочки"", из шелка, с отделкой черным кантом, ",13230.6,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-c973b38510dee487,0-2477A,0-2477A,"Рубашка женская, белая с принтом ""девочки"", из шелка, с отделкой черным кантом, ",13230.6,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-2d37900fba3f05aa,0-2478,0-2478,"Рубашка женская, черная с принтом ""девочки"", из шелка, с отделкой белым кантом, ",6149.15,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-39f70f726e240b07,0-2479A,0-2479A,"Рубашка женская, белая, из хлопка, с отделкой ""YANINA"" спереди",8137.1,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-5b6b9f60b0fc8402,0-2480A,0-2480A,"Блуза женская, белая с принтом ""оранжевые Y"", из шёлка, с отделкой ""лампас""",14149.6,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,OUT
CV-H5-4674c7f93368d863,0-2480B,0-2480B,"Блуза женская, белая с принтом ""серые и чёрные Y"", из шёлка, с отделкой ""лампас""",8109.1,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-fe262f2ad656b9f2,0-2481,0-2481,"Блуза женская, белая с принтом ""оранжевые Y"", из батиста, с отделкой ""лампас""",9075.84,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-7d95cc64cf2bd151,0-2481A,0-2481A,"Брюки женские, белые с принтом ""черные Y и девочки"", из шёлка, с отделкой чёрным",8802.27,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-46f5fb428c864240,0-2481C,0-2481C,"Брюки женские, белые с принтом ""оранжевые Y"", из шёлка, с оранжевым кантом",9075.84,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-65514cc1b23827d3,0-2481D,0-2481D,"Брюки женские, белые с принтом ""серые Y"", из шёлка, с отделкой черным кантом",4897.84,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-05636824c3a107e2,0-2482A,0-2482A,"Брюки женские, белые с принтом ""оранжево-черные Y"", из батиста, с оранжевым кант",2570.34,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-7177f7c7a95c710b,0-2483,0-2483,"Брюки женские, чёрные с принтом ""белые Y"", из батиста, с отделкой ""лампас"" по ни",10583.84,DERIVED_STOCK_MOVEMENT,FILE-099,ДЕМИ (Основное подразделение),Движение товаров с себестоимостью,IN
