period_month,year,channel_raw,channel_norm,amount_eur_like,sheet,source_file,so_t
2024-11,2024,Назрань,REGIONAL_B2B,-421.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Назрань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Пенза,REGIONAL_B2B,494.56,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Пенза,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Пенза,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Пенза,REGIONAL_B2B,1096.26,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Пенза,REGIONAL_B2B,303.91,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,ЦУМ,TSUM,40749.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,ЦУМ,TSUM,24983.15,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,ЦУМ,TSUM,16895.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,ЦУМ,TSUM,10792.62,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,ЦУМ,TSUM,21979.04,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,ЦУМ,TSUM,27313.29,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,ЦУМ,TSUM,40129.62,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,ЦУМ,TSUM,25163.01,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,ЦУМ,TSUM,9980.4,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,ЦУМ,TSUM,23245.3,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,ЦУМ,TSUM,16441.35,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,ЦУМ,TSUM,11990.03,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Сочи,REGIONAL_B2B,1715.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Альдо Копп,REGIONAL_B2B,1255.61,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Альдо Копп,REGIONAL_B2B,3330.81,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Альдо Копп,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Альдо Копп,REGIONAL_B2B,1152.18,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Альдо Копп,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Альдо Копп,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,Тюмень,REGIONAL_B2B,5919.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,Вебинар,REGIONAL_B2B,217.89,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,Вебинар,REGIONAL_B2B,701.05,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,Вебинар,REGIONAL_B2B,1106.84,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Вебинар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,TOTAL,TOTAL,109325.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,TOTAL,TOTAL,187204.15,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,TOTAL,TOTAL,195425.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,TOTAL,TOTAL,296748.52,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,TOTAL,TOTAL,216678.16,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,TOTAL,TOTAL,200727.14,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,TOTAL,TOTAL,319167.11,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,TOTAL,TOTAL,144229.69,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,TOTAL,TOTAL,100131.46,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,TOTAL,TOTAL,188804.65,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,TOTAL,TOTAL,166204.97,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,TOTAL,TOTAL,474372.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Salon+Shop,Salon+Shop,77023.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,Salon+Shop,Salon+Shop,367888.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-03,2025,Salon+Shop,Salon+Shop,137281.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-04,2025,Salon+Shop,Salon+Shop,192370.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,Salon+Shop,Salon+Shop,207701.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,Salon+Shop,Salon+Shop,214728.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-07,2025,Salon+Shop,Salon+Shop,252254.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-08,2025,Salon+Shop,Salon+Shop,31181.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-09,2025,Salon+Shop,Salon+Shop,156103.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-10,2025,Salon+Shop,Salon+Shop,259389.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-11,2025,Salon+Shop,Salon+Shop,197527.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-12,2025,Salon+Shop,Salon+Shop,232401.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,ИМ,IM,10141.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,ИМ,IM,13156.45,ДДС - доход,SALES 2024-2026.xlsx,N
2025-03,2025,ИМ,IM,29683.69,ДДС - доход,SALES 2024-2026.xlsx,N
2025-04,2025,ИМ,IM,19877.93,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,ИМ,IM,18189.86,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,ИМ,IM,13490.47,ДДС - доход,SALES 2024-2026.xlsx,N
2025-07,2025,ИМ,IM,16651.15,ДДС - доход,SALES 2024-2026.xlsx,N
2025-08,2025,ИМ,IM,37590.08,ДДС - доход,SALES 2024-2026.xlsx,N
2025-09,2025,ИМ,IM,4915.34,ДДС - доход,SALES 2024-2026.xlsx,N
2025-10,2025,ИМ,IM,13886.84,ДДС - доход,SALES 2024-2026.xlsx,N
2025-11,2025,ИМ,IM,21650.05,ДДС - доход,SALES 2024-2026.xlsx,N
2025-12,2025,ИМ,IM,18087.68,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,возврат депозита,DEPOSIT,-11480.56,ДДС - доход,SALES 2024-2026.xlsx,N
2025-03,2025,возврат ИМ,RETURN,-436.5,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,возврат ИМ,RETURN,-308.2,ДДС - доход,SALES 2024-2026.xlsx,N
2025-10,2025,возврат ИМ,RETURN,-1496.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-11,2025,возврат ИМ,RETURN,-867.6,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Марьяна SR,REGIONAL_B2B,100.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Владивосток,REGIONAL_B2B,698.5,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,Владивосток,REGIONAL_B2B,191.28,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Жуковский,REGIONAL_B2B,589.58,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,Жуковский,REGIONAL_B2B,100.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Иваново,REGIONAL_B2B,2554.76,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,Иваново,REGIONAL_B2B,684.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-08,2025,Иваново,REGIONAL_B2B,78.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Иркутск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Красногорск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Краснодар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,Краснодар,REGIONAL_B2B,200.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,Махачкала,REGIONAL_B2B,1477.82,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Назрань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,Пенза,REGIONAL_B2B,273.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-07,2025,Пенза,REGIONAL_B2B,669.61,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Сочи,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,Сочи,REGIONAL_B2B,1715.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,Сочи,REGIONAL_B2B,1000.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,Королев,REGIONAL_B2B,3048.54,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,НБ-Ритейл (Белгород),REGIONAL_B2B,832.9,ДДС - доход,SALES 2024-2026.xlsx,N
2025-10,2025,СИЗОНС,REGIONAL_B2B,1959.03,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,ЦУМ,TSUM,23372.8,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,ЦУМ,TSUM,14340.09,ДДС - доход,SALES 2024-2026.xlsx,N
2025-03,2025,ЦУМ,TSUM,12965.78,ДДС - доход,SALES 2024-2026.xlsx,N
2025-04,2025,ЦУМ,TSUM,9238.25,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,ЦУМ,TSUM,21119.45,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,ЦУМ,TSUM,10833.94,ДДС - доход,SALES 2024-2026.xlsx,N
2025-07,2025,ЦУМ,TSUM,29224.55,ДДС - доход,SALES 2024-2026.xlsx,N
2025-08,2025,ЦУМ,TSUM,26799.23,ДДС - доход,SALES 2024-2026.xlsx,N
2025-09,2025,ЦУМ,TSUM,17296.69,ДДС - доход,SALES 2024-2026.xlsx,N
2025-10,2025,ЦУМ,TSUM,23530.92,ДДС - доход,SALES 2024-2026.xlsx,N
2025-11,2025,ЦУМ,TSUM,13702.65,ДДС - доход,SALES 2024-2026.xlsx,N
2025-12,2025,ЦУМ,TSUM,19513.3,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Альдо Копп,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Тюмень,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,Хабаровск,REGIONAL_B2B,2000.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,Хабаровск,REGIONAL_B2B,3000.0,ДДС - доход,SALES 2024-2026.xlsx,N
2025-01,2025,TOTAL,TOTAL,116479.64,ДДС - доход,SALES 2024-2026.xlsx,N
2025-02,2025,TOTAL,TOTAL,400290.82,ДДС - доход,SALES 2024-2026.xlsx,N
2025-03,2025,TOTAL,TOTAL,179493.97,ДДС - доход,SALES 2024-2026.xlsx,N
2025-04,2025,TOTAL,TOTAL,221486.18,ДДС - доход,SALES 2024-2026.xlsx,N
2025-05,2025,TOTAL,TOTAL,254326.57,ДДС - доход,SALES 2024-2026.xlsx,N
2025-06,2025,TOTAL,TOTAL,227563.65,ДДС - доход,SALES 2024-2026.xlsx,N
2025-07,2025,TOTAL,TOTAL,298799.31,ДДС - доход,SALES 2024-2026.xlsx,N
2025-08,2025,TOTAL,TOTAL,95648.31,ДДС - доход,SALES 2024-2026.xlsx,N
2025-09,2025,TOTAL,TOTAL,178315.03,ДДС - доход,SALES 2024-2026.xlsx,N
2025-10,2025,TOTAL,TOTAL,297269.79,ДДС - доход,SALES 2024-2026.xlsx,N
2025-11,2025,TOTAL,TOTAL,232012.1,ДДС - доход,SALES 2024-2026.xlsx,N
2025-12,2025,TOTAL,TOTAL,270001.98,ДДС - доход,SALES 2024-2026.xlsx,N
2026-01,2026,Salon+Shop,Salon+Shop,74560.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-02,2026,Salon+Shop,Salon+Shop,200940.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-03,2026,Salon+Shop,Salon+Shop,150875.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-04,2026,Salon+Shop,Salon+Shop,278197.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-05,2026,Salon+Shop,Salon+Shop,161608.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-01,2026,ИМ,IM,15623.8,ДДС - доход,SALES 2024-2026.xlsx,N
2026-02,2026,ИМ,IM,7612.1,ДДС - доход,SALES 2024-2026.xlsx,N
2026-03,2026,ИМ,IM,6365.1,ДДС - доход,SALES 2024-2026.xlsx,N
2026-04,2026,ИМ,IM,31790.51,ДДС - доход,SALES 2024-2026.xlsx,N
2026-05,2026,ИМ,IM,14041.79,ДДС - доход,SALES 2024-2026.xlsx,N
2026-01,2026,возврат депозита,DEPOSIT,-4200.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-05,2026,возврат ИМ,RETURN,-1788.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-01,2026,ЦУМ,TSUM,32783.01,ДДС - доход,SALES 2024-2026.xlsx,N
2026-02,2026,ЦУМ,TSUM,9842.89,ДДС - доход,SALES 2024-2026.xlsx,N
2026-03,2026,ЦУМ,TSUM,18432.83,ДДС - доход,SALES 2024-2026.xlsx,N
2026-04,2026,ЦУМ,TSUM,19128.13,ДДС - доход,SALES 2024-2026.xlsx,N
2026-05,2026,ЦУМ,TSUM,14548.51,ДДС - доход,SALES 2024-2026.xlsx,N
2026-01,2026,TOTAL,TOTAL,118766.81,ДДС - доход,SALES 2024-2026.xlsx,N
2026-02,2026,TOTAL,TOTAL,218394.99,ДДС - доход,SALES 2024-2026.xlsx,N
2026-03,2026,TOTAL,TOTAL,175672.93,ДДС - доход,SALES 2024-2026.xlsx,N
2026-04,2026,TOTAL,TOTAL,329115.64,ДДС - доход,SALES 2024-2026.xlsx,N
2026-05,2026,TOTAL,TOTAL,188410.3,ДДС - доход,SALES 2024-2026.xlsx,N
2026-06,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-07,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-08,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-09,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-10,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-11,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2026-12,2026,TOTAL,TOTAL,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
