from_reg,to_reg,hops,path,direct_spine
REG-CASH,REG-COST,2,REG-CASH → REG-PAYROLL → REG-COST,N
REG-CASH,REG-PROD,3,REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,N
REG-CASH,REG-MAT,3,REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,N
REG-CASH,REG-SUP,2,REG-CASH → REG-EXP → REG-SUP,N
REG-CASH,REG-EXP,1,REG-CASH → REG-EXP,Y
REG-CASH,REG-BUD,1,REG-CASH → REG-BUD,Y
REG-SALES,REG-LEGAL,3,REG-SALES → REG-SETTLE → REG-BANK → REG-LEGAL,N
REG-SALES,REG-BANK,2,REG-SALES → REG-SETTLE → REG-BANK,N
REG-SALES,REG-CASH,1,REG-SALES → REG-CASH,Y
REG-SALES,REG-SALES,0,REG-SALES,Y
REG-SALES,REG-SETTLE,1,REG-SALES → REG-SETTLE,Y
REG-SALES,REG-PAYROLL,2,REG-SALES → REG-COST → REG-PAYROLL,N
REG-SALES,REG-EMP,3,REG-SALES → REG-COST → REG-PAYROLL → REG-EMP,N
REG-SALES,REG-TAX,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,N
REG-SALES,REG-SKU,1,REG-SALES → REG-SKU,Y
REG-SALES,REG-COST,1,REG-SALES → REG-COST,Y
REG-SALES,REG-PROD,2,REG-SALES → REG-SKU → REG-PROD,N
REG-SALES,REG-MAT,2,REG-SALES → REG-COST → REG-MAT,N
REG-SALES,REG-SUP,3,REG-SALES → REG-CASH → REG-EXP → REG-SUP,N
REG-SALES,REG-EXP,2,REG-SALES → REG-CASH → REG-EXP,N
REG-SALES,REG-BUD,2,REG-SALES → REG-CASH → REG-BUD,N
REG-SETTLE,REG-LEGAL,2,REG-SETTLE → REG-BANK → REG-LEGAL,N
REG-SETTLE,REG-BANK,1,REG-SETTLE → REG-BANK,Y
REG-SETTLE,REG-CASH,2,REG-SETTLE → REG-BANK → REG-CASH,N
REG-SETTLE,REG-SALES,1,REG-SETTLE → REG-SALES,Y
REG-SETTLE,REG-SETTLE,0,REG-SETTLE,Y
REG-SETTLE,REG-PAYROLL,2,REG-SETTLE → REG-BANK → REG-PAYROLL,N
REG-SETTLE,REG-EMP,3,REG-SETTLE → REG-BANK → REG-PAYROLL → REG-EMP,N
REG-SETTLE,REG-TAX,2,REG-SETTLE → REG-BANK → REG-TAX,N
REG-SETTLE,REG-SKU,2,REG-SETTLE → REG-SALES → REG-SKU,N
REG-SETTLE,REG-COST,2,REG-SETTLE → REG-SALES → REG-COST,N
REG-SETTLE,REG-PROD,3,REG-SETTLE → REG-SALES → REG-SKU → REG-PROD,N
REG-SETTLE,REG-MAT,3,REG-SETTLE → REG-SALES → REG-COST → REG-MAT,N
REG-SETTLE,REG-SUP,3,REG-SETTLE → REG-BANK → REG-EXP → REG-SUP,N
REG-SETTLE,REG-EXP,2,REG-SETTLE → REG-BANK → REG-EXP,N
REG-SETTLE,REG-BUD,3,REG-SETTLE → REG-BANK → REG-CASH → REG-BUD,N
REG-PAYROLL,REG-LEGAL,2,REG-PAYROLL → REG-BANK → REG-LEGAL,N
REG-PAYROLL,REG-BANK,1,REG-PAYROLL → REG-BANK,Y
REG-PAYROLL,REG-CASH,1,REG-PAYROLL → REG-CASH,Y
REG-PAYROLL,REG-SALES,2,REG-PAYROLL → REG-COST → REG-SALES,N
REG-PAYROLL,REG-SETTLE,2,REG-PAYROLL → REG-BANK → REG-SETTLE,N
REG-PAYROLL,REG-PAYROLL,0,REG-PAYROLL,Y
REG-PAYROLL,REG-EMP,1,REG-PAYROLL → REG-EMP,Y
REG-PAYROLL,REG-TAX,1,REG-PAYROLL → REG-TAX,Y
REG-PAYROLL,REG-SKU,2,REG-PAYROLL → REG-COST → REG-SKU,N
REG-PAYROLL,REG-COST,1,REG-PAYROLL → REG-COST,Y
REG-PAYROLL,REG-PROD,2,REG-PAYROLL → REG-COST → REG-PROD,N
REG-PAYROLL,REG-MAT,2,REG-PAYROLL → REG-COST → REG-MAT,N
REG-PAYROLL,REG-SUP,3,REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,N
REG-PAYROLL,REG-EXP,2,REG-PAYROLL → REG-BANK → REG-EXP,N
REG-PAYROLL,REG-BUD,2,REG-PAYROLL → REG-CASH → REG-BUD,N
REG-EMP,REG-LEGAL,3,REG-EMP → REG-PAYROLL → REG-BANK → REG-LEGAL,N
REG-EMP,REG-BANK,2,REG-EMP → REG-PAYROLL → REG-BANK,N
REG-EMP,REG-CASH,2,REG-EMP → REG-PAYROLL → REG-CASH,N
REG-EMP,REG-SALES,3,REG-EMP → REG-PAYROLL → REG-COST → REG-SALES,N
REG-EMP,REG-SETTLE,3,REG-EMP → REG-PAYROLL → REG-BANK → REG-SETTLE,N
REG-EMP,REG-PAYROLL,1,REG-EMP → REG-PAYROLL,Y
REG-EMP,REG-EMP,0,REG-EMP,Y
REG-EMP,REG-TAX,2,REG-EMP → REG-PAYROLL → REG-TAX,N
REG-EMP,REG-SKU,3,REG-EMP → REG-PAYROLL → REG-COST → REG-SKU,N
REG-EMP,REG-COST,2,REG-EMP → REG-PAYROLL → REG-COST,N
REG-EMP,REG-PROD,3,REG-EMP → REG-PAYROLL → REG-COST → REG-PROD,N
REG-EMP,REG-MAT,3,REG-EMP → REG-PAYROLL → REG-COST → REG-MAT,N
REG-EMP,REG-SUP,4,REG-EMP → REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,N
REG-EMP,REG-EXP,3,REG-EMP → REG-PAYROLL → REG-BANK → REG-EXP,N
REG-EMP,REG-BUD,3,REG-EMP → REG-PAYROLL → REG-CASH → REG-BUD,N
REG-TAX,REG-LEGAL,2,REG-TAX → REG-BANK → REG-LEGAL,N
REG-TAX,REG-BANK,1,REG-TAX → REG-BANK,Y
REG-TAX,REG-CASH,2,REG-TAX → REG-BANK → REG-CASH,N
REG-TAX,REG-SALES,3,REG-TAX → REG-BANK → REG-SETTLE → REG-SALES,N
REG-TAX,REG-SETTLE,2,REG-TAX → REG-BANK → REG-SETTLE,N
REG-TAX,REG-PAYROLL,1,REG-TAX → REG-PAYROLL,Y
REG-TAX,REG-EMP,2,REG-TAX → REG-PAYROLL → REG-EMP,N
REG-TAX,REG-TAX,0,REG-TAX,Y
REG-TAX,REG-SKU,3,REG-TAX → REG-PAYROLL → REG-COST → REG-SKU,N
REG-TAX,REG-COST,2,REG-TAX → REG-PAYROLL → REG-COST,N
REG-TAX,REG-PROD,3,REG-TAX → REG-PAYROLL → REG-COST → REG-PROD,N
REG-TAX,REG-MAT,3,REG-TAX → REG-PAYROLL → REG-COST → REG-MAT,N
REG-TAX,REG-SUP,3,REG-TAX → REG-BANK → REG-EXP → REG-SUP,N
REG-TAX,REG-EXP,2,REG-TAX → REG-BANK → REG-EXP,N
REG-TAX,REG-BUD,3,REG-TAX → REG-BANK → REG-CASH → REG-BUD,N
REG-SKU,REG-LEGAL,4,REG-SKU → REG-SALES → REG-SETTLE → REG-BANK → REG-LEGAL,N
REG-SKU,REG-BANK,3,REG-SKU → REG-SALES → REG-SETTLE → REG-BANK,N
REG-SKU,REG-CASH,2,REG-SKU → REG-SALES → REG-CASH,N
REG-SKU,REG-SALES,1,REG-SKU → REG-SALES,Y
REG-SKU,REG-SETTLE,2,REG-SKU → REG-SALES → REG-SETTLE,N
REG-SKU,REG-PAYROLL,2,REG-SKU → REG-COST → REG-PAYROLL,N
REG-SKU,REG-EMP,3,REG-SKU → REG-COST → REG-PAYROLL → REG-EMP,N
REG-SKU,REG-TAX,3,REG-SKU → REG-COST → REG-PAYROLL → REG-TAX,N
REG-SKU,REG-SKU,0,REG-SKU,Y
REG-SKU,REG-COST,1,REG-SKU → REG-COST,Y
REG-SKU,REG-PROD,1,REG-SKU → REG-PROD,Y
REG-SKU,REG-MAT,2,REG-SKU → REG-COST → REG-MAT,N
REG-SKU,REG-SUP,4,REG-SKU → REG-SALES → REG-CASH → REG-EXP → REG-SUP,N
REG-SKU,REG-EXP,3,REG-SKU → REG-SALES → REG-CASH → REG-EXP,N
REG-SKU,REG-BUD,3,REG-SKU → REG-SALES → REG-CASH → REG-BUD,N
REG-COST,REG-LEGAL,3,REG-COST → REG-PAYROLL → REG-BANK → REG-LEGAL,N
REG-COST,REG-BANK,2,REG-COST → REG-PAYROLL → REG-BANK,N
REG-COST,REG-CASH,2,REG-COST → REG-PAYROLL → REG-CASH,N
REG-COST,REG-SALES,1,REG-COST → REG-SALES,Y
REG-COST,REG-SETTLE,2,REG-COST → REG-SALES → REG-SETTLE,N
REG-COST,REG-PAYROLL,1,REG-COST → REG-PAYROLL,Y
REG-COST,REG-EMP,2,REG-COST → REG-PAYROLL → REG-EMP,N
REG-COST,REG-TAX,2,REG-COST → REG-PAYROLL → REG-TAX,N
REG-COST,REG-SKU,1,REG-COST → REG-SKU,Y
REG-COST,REG-COST,0,REG-COST,Y
REG-COST,REG-PROD,1,REG-COST → REG-PROD,Y
REG-COST,REG-MAT,1,REG-COST → REG-MAT,Y
REG-COST,REG-SUP,4,REG-COST → REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,N
REG-COST,REG-EXP,3,REG-COST → REG-PAYROLL → REG-BANK → REG-EXP,N
REG-COST,REG-BUD,3,REG-COST → REG-PAYROLL → REG-CASH → REG-BUD,N
REG-PROD,REG-LEGAL,4,REG-PROD → REG-COST → REG-PAYROLL → REG-BANK → REG-LEGAL,N
REG-PROD,REG-BANK,3,REG-PROD → REG-COST → REG-PAYROLL → REG-BANK,N
REG-PROD,REG-CASH,3,REG-PROD → REG-SKU → REG-SALES → REG-CASH,N
REG-PROD,REG-SALES,2,REG-PROD → REG-SKU → REG-SALES,N
REG-PROD,REG-SETTLE,3,REG-PROD → REG-SKU → REG-SALES → REG-SETTLE,N
REG-PROD,REG-PAYROLL,2,REG-PROD → REG-COST → REG-PAYROLL,N
REG-PROD,REG-EMP,3,REG-PROD → REG-COST → REG-PAYROLL → REG-EMP,N
REG-PROD,REG-TAX,3,REG-PROD → REG-COST → REG-PAYROLL → REG-TAX,N
REG-PROD,REG-SKU,1,REG-PROD → REG-SKU,Y
REG-PROD,REG-COST,1,REG-PROD → REG-COST,Y
REG-PROD,REG-PROD,0,REG-PROD,Y
REG-PROD,REG-MAT,2,REG-PROD → REG-COST → REG-MAT,N
REG-PROD,REG-SUP,5,REG-PROD → REG-SKU → REG-SALES → REG-CASH → REG-EXP → REG-SUP,N
REG-PROD,REG-EXP,4,REG-PROD → REG-SKU → REG-SALES → REG-CASH → REG-EXP,N
REG-PROD,REG-BUD,4,REG-PROD → REG-SKU → REG-SALES → REG-CASH → REG-BUD,N
REG-MAT,REG-LEGAL,4,REG-MAT → REG-COST → REG-PAYROLL → REG-BANK → REG-LEGAL,N
REG-MAT,REG-BANK,3,REG-MAT → REG-COST → REG-PAYROLL → REG-BANK,N
REG-MAT,REG-CASH,3,REG-MAT → REG-COST → REG-PAYROLL → REG-CASH,N
REG-MAT,REG-SALES,2,REG-MAT → REG-COST → REG-SALES,N
REG-MAT,REG-SETTLE,3,REG-MAT → REG-COST → REG-SALES → REG-SETTLE,N
REG-MAT,REG-PAYROLL,2,REG-MAT → REG-COST → REG-PAYROLL,N
REG-MAT,REG-EMP,3,REG-MAT → REG-COST → REG-PAYROLL → REG-EMP,N
REG-MAT,REG-TAX,3,REG-MAT → REG-COST → REG-PAYROLL → REG-TAX,N
REG-MAT,REG-SKU,2,REG-MAT → REG-COST → REG-SKU,N
REG-MAT,REG-COST,1,REG-MAT → REG-COST,Y
REG-MAT,REG-PROD,2,REG-MAT → REG-COST → REG-PROD,N
REG-MAT,REG-MAT,0,REG-MAT,Y
REG-MAT,REG-SUP,5,REG-MAT → REG-COST → REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,N
REG-MAT,REG-EXP,4,REG-MAT → REG-COST → REG-PAYROLL → REG-BANK → REG-EXP,N
REG-MAT,REG-BUD,4,REG-MAT → REG-COST → REG-PAYROLL → REG-CASH → REG-BUD,N
REG-SUP,REG-LEGAL,3,REG-SUP → REG-EXP → REG-BANK → REG-LEGAL,N
REG-SUP,REG-BANK,2,REG-SUP → REG-EXP → REG-BANK,N
REG-SUP,REG-CASH,2,REG-SUP → REG-EXP → REG-CASH,N
REG-SUP,REG-SALES,3,REG-SUP → REG-EXP → REG-CASH → REG-SALES,N
REG-SUP,REG-SETTLE,3,REG-SUP → REG-EXP → REG-BANK → REG-SETTLE,N
REG-SUP,REG-PAYROLL,3,REG-SUP → REG-EXP → REG-CASH → REG-PAYROLL,N
REG-SUP,REG-EMP,4,REG-SUP → REG-EXP → REG-CASH → REG-PAYROLL → REG-EMP,N
REG-SUP,REG-TAX,3,REG-SUP → REG-EXP → REG-BANK → REG-TAX,N
REG-SUP,REG-SKU,4,REG-SUP → REG-EXP → REG-CASH → REG-SALES → REG-SKU,N
REG-SUP,REG-COST,4,REG-SUP → REG-EXP → REG-CASH → REG-PAYROLL → REG-COST,N
REG-SUP,REG-PROD,5,REG-SUP → REG-EXP → REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,N
REG-SUP,REG-MAT,5,REG-SUP → REG-EXP → REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,N
REG-SUP,REG-SUP,0,REG-SUP,Y
REG-SUP,REG-EXP,1,REG-SUP → REG-EXP,Y
REG-SUP,REG-BUD,3,REG-SUP → REG-EXP → REG-CASH → REG-BUD,N
REG-EXP,REG-LEGAL,2,REG-EXP → REG-BANK → REG-LEGAL,N
REG-EXP,REG-BANK,1,REG-EXP → REG-BANK,Y
REG-EXP,REG-CASH,1,REG-EXP → REG-CASH,Y
REG-EXP,REG-SALES,2,REG-EXP → REG-CASH → REG-SALES,N
REG-EXP,REG-SETTLE,2,REG-EXP → REG-BANK → REG-SETTLE,N
REG-EXP,REG-PAYROLL,2,REG-EXP → REG-CASH → REG-PAYROLL,N
REG-EXP,REG-EMP,3,REG-EXP → REG-CASH → REG-PAYROLL → REG-EMP,N
REG-EXP,REG-TAX,2,REG-EXP → REG-BANK → REG-TAX,N
REG-EXP,REG-SKU,3,REG-EXP → REG-CASH → REG-SALES → REG-SKU,N
REG-EXP,REG-COST,3,REG-EXP → REG-CASH → REG-PAYROLL → REG-COST,N
REG-EXP,REG-PROD,4,REG-EXP → REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,N
REG-EXP,REG-MAT,4,REG-EXP → REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,N
REG-EXP,REG-SUP,1,REG-EXP → REG-SUP,Y
REG-EXP,REG-EXP,0,REG-EXP,Y
REG-EXP,REG-BUD,2,REG-EXP → REG-CASH → REG-BUD,N
REG-BUD,REG-LEGAL,3,REG-BUD → REG-CASH → REG-BANK → REG-LEGAL,N
REG-BUD,REG-BANK,2,REG-BUD → REG-CASH → REG-BANK,N
REG-BUD,REG-CASH,1,REG-BUD → REG-CASH,Y
REG-BUD,REG-SALES,2,REG-BUD → REG-CASH → REG-SALES,N
REG-BUD,REG-SETTLE,3,REG-BUD → REG-CASH → REG-SALES → REG-SETTLE,N
REG-BUD,REG-PAYROLL,2,REG-BUD → REG-CASH → REG-PAYROLL,N
REG-BUD,REG-EMP,3,REG-BUD → REG-CASH → REG-PAYROLL → REG-EMP,N
REG-BUD,REG-TAX,3,REG-BUD → REG-CASH → REG-PAYROLL → REG-TAX,N
REG-BUD,REG-SKU,3,REG-BUD → REG-CASH → REG-SALES → REG-SKU,N
REG-BUD,REG-COST,3,REG-BUD → REG-CASH → REG-PAYROLL → REG-COST,N
REG-BUD,REG-PROD,4,REG-BUD → REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,N
REG-BUD,REG-MAT,4,REG-BUD → REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,N
REG-BUD,REG-SUP,3,REG-BUD → REG-CASH → REG-EXP → REG-SUP,N
REG-BUD,REG-EXP,2,REG-BUD → REG-CASH → REG-EXP,N
REG-BUD,REG-BUD,0,REG-BUD,Y
