from_reg,to_reg,files_a,files_b,potential_pairs,spine_hops,spine_path,asis_edges_between
REG-BANK,REG-EXP,6,3,18,1,REG-BANK → REG-EXP,0
REG-SALES,REG-SKU,18,1,18,1,REG-SALES → REG-SKU,0
REG-SALES,REG-SUP,18,1,18,3,REG-SALES → REG-CASH → REG-EXP → REG-SUP,0
REG-MAT,REG-SALES,1,18,18,2,REG-MAT → REG-COST → REG-SALES,0
REG-BANK,REG-BANK,6,6,15,0,REG-BANK,0
REG-CASH,REG-COST,3,5,15,2,REG-CASH → REG-PAYROLL → REG-COST,0
REG-COST,REG-LEGAL,5,3,15,3,REG-COST → REG-PAYROLL → REG-BANK → REG-LEGAL,0
REG-COST,REG-EXP,5,3,15,3,REG-COST → REG-PAYROLL → REG-BANK → REG-EXP,0
REG-BANK,REG-BUD,6,2,12,2,REG-BANK → REG-CASH → REG-BUD,0
REG-CASH,REG-EMP,3,4,12,2,REG-CASH → REG-PAYROLL → REG-EMP,0
REG-EMP,REG-LEGAL,4,3,12,3,REG-EMP → REG-PAYROLL → REG-BANK → REG-LEGAL,0
REG-EMP,REG-EXP,4,3,12,3,REG-EMP → REG-PAYROLL → REG-BANK → REG-EXP,0
REG-COST,REG-COST,5,5,10,0,REG-COST,0
REG-BUD,REG-COST,2,5,10,3,REG-BUD → REG-CASH → REG-PAYROLL → REG-COST,0
REG-CASH,REG-LEGAL,3,3,9,2,REG-CASH → REG-BANK → REG-LEGAL,0
REG-CASH,REG-EXP,3,3,9,1,REG-CASH → REG-EXP,3
REG-EXP,REG-LEGAL,3,3,9,2,REG-EXP → REG-BANK → REG-LEGAL,0
REG-BUD,REG-EMP,2,4,8,3,REG-BUD → REG-CASH → REG-PAYROLL → REG-EMP,0
REG-BANK,REG-SKU,6,1,6,3,REG-BANK → REG-PAYROLL → REG-COST → REG-SKU,0
REG-BANK,REG-MAT,6,1,6,3,REG-BANK → REG-PAYROLL → REG-COST → REG-MAT,0
REG-BANK,REG-SUP,6,1,6,2,REG-BANK → REG-EXP → REG-SUP,0
REG-EMP,REG-EMP,4,4,6,0,REG-EMP,0
REG-BUD,REG-LEGAL,2,3,6,3,REG-BUD → REG-CASH → REG-BANK → REG-LEGAL,0
REG-BUD,REG-CASH,2,3,6,1,REG-BUD → REG-CASH,0
REG-BUD,REG-EXP,2,3,6,2,REG-BUD → REG-CASH → REG-EXP,2
REG-COST,REG-SKU,5,1,5,1,REG-COST → REG-SKU,0
REG-COST,REG-MAT,5,1,5,1,REG-COST → REG-MAT,0
REG-COST,REG-SUP,5,1,5,4,REG-COST → REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,0
REG-EMP,REG-SKU,4,1,4,3,REG-EMP → REG-PAYROLL → REG-COST → REG-SKU,0
REG-EMP,REG-MAT,4,1,4,3,REG-EMP → REG-PAYROLL → REG-COST → REG-MAT,0
REG-EMP,REG-SUP,4,1,4,4,REG-EMP → REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,0
REG-LEGAL,REG-LEGAL,3,3,3,0,REG-LEGAL,0
REG-LEGAL,REG-SKU,3,1,3,4,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST → REG-SKU,0
REG-LEGAL,REG-MAT,3,1,3,4,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST → REG-MAT,0
REG-LEGAL,REG-SUP,3,1,3,3,REG-LEGAL → REG-BANK → REG-EXP → REG-SUP,0
REG-CASH,REG-CASH,3,3,3,0,REG-CASH,0
REG-CASH,REG-SKU,3,1,3,2,REG-CASH → REG-SALES → REG-SKU,0
REG-CASH,REG-MAT,3,1,3,3,REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,0
REG-CASH,REG-SUP,3,1,3,2,REG-CASH → REG-EXP → REG-SUP,0
REG-EXP,REG-SKU,3,1,3,3,REG-EXP → REG-CASH → REG-SALES → REG-SKU,0
REG-EXP,REG-MAT,3,1,3,4,REG-EXP → REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,0
REG-EXP,REG-SUP,3,1,3,1,REG-EXP → REG-SUP,0
REG-EXP,REG-EXP,3,3,3,0,REG-EXP,0
REG-BUD,REG-SKU,2,1,2,3,REG-BUD → REG-CASH → REG-SALES → REG-SKU,0
REG-BUD,REG-MAT,2,1,2,4,REG-BUD → REG-CASH → REG-PAYROLL → REG-COST → REG-MAT,0
REG-BUD,REG-SUP,2,1,2,3,REG-BUD → REG-CASH → REG-EXP → REG-SUP,0
REG-SKU,REG-SUP,1,1,1,4,REG-SKU → REG-SALES → REG-CASH → REG-EXP → REG-SUP,0
REG-MAT,REG-SKU,1,1,1,2,REG-MAT → REG-COST → REG-SKU,0
REG-MAT,REG-SUP,1,1,1,5,REG-MAT → REG-COST → REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,1
REG-BUD,REG-BUD,2,2,1,0,REG-BUD,0
REG-LEGAL,REG-SETTLE,3,0,0,2,REG-LEGAL → REG-BANK → REG-SETTLE,0
REG-LEGAL,REG-PROD,3,0,0,4,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST → REG-PROD,0
REG-BANK,REG-SETTLE,6,0,0,1,REG-BANK → REG-SETTLE,0
REG-BANK,REG-PROD,6,0,0,3,REG-BANK → REG-PAYROLL → REG-COST → REG-PROD,0
REG-CASH,REG-SETTLE,3,0,0,2,REG-CASH → REG-SALES → REG-SETTLE,0
REG-CASH,REG-PROD,3,0,0,3,REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,0
REG-SALES,REG-SETTLE,18,0,0,1,REG-SALES → REG-SETTLE,0
REG-SETTLE,REG-SETTLE,0,0,0,0,REG-SETTLE,0
REG-SETTLE,REG-TAX,0,25,0,2,REG-SETTLE → REG-BANK → REG-TAX,0
REG-SETTLE,REG-SKU,0,1,0,2,REG-SETTLE → REG-SALES → REG-SKU,0
REG-SETTLE,REG-SUP,0,1,0,3,REG-SETTLE → REG-BANK → REG-EXP → REG-SUP,0
REG-PAYROLL,REG-SETTLE,21,0,0,2,REG-PAYROLL → REG-BANK → REG-SETTLE,0
REG-PAYROLL,REG-PROD,21,0,0,2,REG-PAYROLL → REG-COST → REG-PROD,0
REG-EMP,REG-SETTLE,4,0,0,3,REG-EMP → REG-PAYROLL → REG-BANK → REG-SETTLE,0
REG-EMP,REG-PROD,4,0,0,3,REG-EMP → REG-PAYROLL → REG-COST → REG-PROD,0
REG-SKU,REG-SKU,1,1,0,0,REG-SKU,0
REG-COST,REG-SETTLE,5,0,0,2,REG-COST → REG-SALES → REG-SETTLE,0
REG-COST,REG-PROD,5,0,0,1,REG-COST → REG-PROD,0
REG-PROD,REG-SALES,0,18,0,2,REG-PROD → REG-SKU → REG-SALES,0
REG-PROD,REG-SETTLE,0,0,0,3,REG-PROD → REG-SKU → REG-SALES → REG-SETTLE,0
REG-PROD,REG-TAX,0,25,0,3,REG-PROD → REG-COST → REG-PAYROLL → REG-TAX,0
REG-PROD,REG-SKU,0,1,0,1,REG-PROD → REG-SKU,0
REG-PROD,REG-PROD,0,0,0,0,REG-PROD,0
REG-PROD,REG-SUP,0,1,0,5,REG-PROD → REG-SKU → REG-SALES → REG-CASH → REG-EXP → REG-SUP,0
REG-MAT,REG-SETTLE,1,0,0,3,REG-MAT → REG-COST → REG-SALES → REG-SETTLE,0
REG-MAT,REG-PROD,1,0,0,2,REG-MAT → REG-COST → REG-PROD,0
REG-MAT,REG-MAT,1,1,0,0,REG-MAT,0
REG-SUP,REG-SUP,1,1,0,0,REG-SUP,0
REG-EXP,REG-SETTLE,3,0,0,2,REG-EXP → REG-BANK → REG-SETTLE,0
REG-EXP,REG-PROD,3,0,0,4,REG-EXP → REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,0
REG-BUD,REG-SETTLE,2,0,0,3,REG-BUD → REG-CASH → REG-SALES → REG-SETTLE,0
REG-BUD,REG-PROD,2,0,0,4,REG-BUD → REG-CASH → REG-PAYROLL → REG-COST → REG-PROD,0
