warehouse,name,article_hint,docs_n,docs_in_n,docs_out_n,first_move_date,last_move_date,last_in_date,last_out_date,days_since_last_move,aging_band,last_doc,inv_match,inv_qty,inv_amount_rub,inv_abc_band,inv_as_of,risk_flag,move_end_leaf_ambiguous,as_of_analysis,do_not_auto_accept,so_t
Основной склад,"Бархат стрейч, серо-зеленый 6-050",6-050,2,1,1,2024-10-31,2025-01-09,2024-10-31,2025-01-09,566,365PLUS_STALE,Перемещение запасов 2 от 09.01.2025,WH_ART,19.0,7790.0,B,2026-05-31,DEAD_STOCK,7790.0,2026-07-29,YES,N
Основной склад,"Бархат стрейч, синий 6-052",6-052,8,3,5,2024-10-31,2025-12-26,2025-12-26,2025-12-15,215,181_365_COOL,Перемещение запасов 466 от 26.12.2025,WH_ART,56.5,23165.0,A,2026-05-31,AGING_WATCH,17917.0,2026-07-29,YES,N
Основной склад,"Бархат стрейч, темно-синий 6-051",6-051,7,3,4,2024-10-31,2026-06-30,2026-05-21,2026-06-30,29,0_90_HOT,Перемещение запасов 298 от 30.06.2026,WH_ART,26.3,10783.0,B,2026-05-31,OK_ACTIVE,1476.0,2026-07-29,YES,N
Основной склад,"Бархат стрейч, темно-синий 6-055",6-055,2,1,1,2024-10-31,2025-08-25,2024-10-31,2025-08-25,338,181_365_COOL,Перемещение запасов 254 от 25.08.2025,WH_ART,5.8,2378.0,C,2026-05-31,AGING_WATCH,,2026-07-29,YES,N
Основной склад,"Бархат стрейч, фиолетовый 6-057",6-057,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 26 от 31.10.2024,NO_INV,0,0,,,CLEARED_OLD,4050.0,2026-07-29,YES,N
Основной склад,"Бархат стрейч, черный 6-030",6-030,57,10,46,2024-10-31,2026-05-12,2026-04-06,2026-05-12,78,0_90_HOT,Перемещение запасов 196 от 12.05.2026,WH_ART,32.5,16652.96,B,2026-05-31,OK_ACTIVE,9210.69,2026-07-29,YES,N
Основной склад,"Бархат стрейч,черный, стрейч плотный 6-054",6-054,1,1,0,2025-04-21,2025-04-21,2025-04-21,,464,365PLUS_STALE,Приходная накладная 23 от 21.04.2025,WH_ART,51.5,32187.5,A,2026-05-31,DEAD_STOCK,32187.5,2026-07-29,YES,N
Основной склад,"Бархат х/б стрейч, фуксия 6-041",6-041,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,13.7,34250.0,A,2026-05-31,DEAD_STOCK,34250.0,2026-07-29,YES,N
Основной склад,"Бархат х/б стреч, бирюзовый 6-040",6-040,2,1,1,2024-10-31,2025-10-22,2024-10-31,2025-10-22,280,181_365_COOL,Перемещение запасов 356 от 22.10.2025,WH_ART,13.4,33500.0,A,2026-05-31,AGING_WATCH,18500.0,2026-07-29,YES,N
Основной склад,"Бархат х/б стреч, серый 6-045",6-045,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,8.5,21250.0,A,2026-05-31,DEAD_STOCK,21250.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, баклажан 6-003",6-003,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,7.1,11715.0,B,2026-05-31,DEAD_STOCK,11715.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, бежевый 6-039",6-039,3,1,2,2024-10-31,2025-09-11,2024-10-31,2025-09-11,321,181_365_COOL,Перемещение запасов 285 от 11.09.2025,WH_ART,4.3,10750.0,B,2026-05-31,AGING_WATCH,4500.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, голубой 6-014",6-014,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,13.0,21450.0,A,2026-05-31,DEAD_STOCK,21450.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, зелено-голубой 6-012",6-012,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,8.4,13860.0,B,2026-05-31,DEAD_STOCK,13860.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, зеленый 6-011",6-011,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,14.0,23100.0,A,2026-05-31,DEAD_STOCK,23100.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, коричневый 6-007",6-007,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,10.4,17160.0,B,2026-05-31,DEAD_STOCK,17160.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, розовый 6-016",6-016,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,4.2,6930.0,B,2026-05-31,DEAD_STOCK,6930.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, светло-голубой 6-013",6-013,2,1,1,2024-10-31,2024-12-11,2024-10-31,2024-12-11,595,365PLUS_STALE,Перемещение запасов 13 от 11.12.2024,WH_ART,11.2,18480.0,A,2026-05-31,DEAD_STOCK,18480.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, светло-коричневый 6-009",6-009,2,1,1,2024-10-31,2025-05-06,2024-10-31,2025-05-06,449,365PLUS_STALE,Перемещение запасов 113 от 06.05.2025,WH_ART,14.0,23100.0,A,2026-05-31,DEAD_STOCK,23100.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, темно-синий, морская волна 6-042",6-042,3,1,2,2024-10-31,2025-10-31,2024-10-31,2025-10-31,271,181_365_COOL,Перемещение запасов 373 от 31.10.2025,WH_ART,21.8,54500.0,A,2026-05-31,AGING_WATCH,25750.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, фиолетовый 6-005",6-005,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,12.0,19800.0,A,2026-05-31,DEAD_STOCK,19800.0,2026-07-29,YES,N
Основной склад,"Бархат х/б, черный 6-001",6-001,25,4,21,2024-10-31,2026-05-21,2025-12-03,2026-05-21,69,0_90_HOT,Перемещение запасов 215 от 21.05.2026,WH_ART,37.8,99355.5,A,2026-05-31,OK_ACTIVE,37012.95,2026-07-29,YES,N
Основной склад,"Бархат х/б, черный со стрейчем 6-002",6-002,2,1,1,2024-10-31,2025-12-24,2024-10-31,2025-12-24,217,181_365_COOL,Перемещение запасов 461 от 24.12.2025,WH_ART,31.4,51810.0,A,2026-05-31,AGING_WATCH,38610.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, бордовый 6-017",6-017,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,11.5,14950.0,B,2026-05-31,DEAD_STOCK,14950.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, бордовый 6-018",6-018,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,3.25,4225.0,C,2026-05-31,DEAD_STOCK,4225.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, зелено-фиолетовый 6-037",6-037,3,1,2,2024-10-31,2026-02-16,2024-10-31,2026-02-16,163,91_180_WARM,Перемещение запасов 47 от 16.02.2026,WH_ART,62.0,80600.0,A,2026-05-31,OK_ACTIVE,70720.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, зеленый 6-035",6-035,3,1,2,2024-10-31,2025-12-25,2024-10-31,2025-12-25,216,181_365_COOL,Перемещение запасов 462 от 25.12.2025,WH_ART,10.7,13910.0,B,2026-05-31,AGING_WATCH,,2026-07-29,YES,N
Основной склад,"Бархат шелк, золото 6-025",6-025,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,11.0,14300.0,B,2026-05-31,DEAD_STOCK,14300.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, красный 6-044",6-044,11,3,7,2024-10-31,2026-02-28,2026-02-18,2026-02-18,151,91_180_WARM,Закрытие месяца 6 от 28.02.2026,WH_ART,28.7,71750.0,A,2026-05-31,OK_ACTIVE,60298.43,2026-07-29,YES,N
Основной склад,"Бархат шелк, серый 6-031",6-031,4,1,3,2024-10-31,2026-04-22,2024-10-31,2026-04-22,98,91_180_WARM,Перемещение запасов 157 от 22.04.2026,WH_ART,24.9,32370.0,A,2026-05-31,OK_ACTIVE,31980.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, синий 6-032",6-032,5,3,2,2024-10-31,2026-02-12,2026-02-12,2025-10-29,167,91_180_WARM,Перемещение запасов 45 от 12.02.2026,WH_ART,22.2,28860.0,A,2026-05-31,OK_ACTIVE,9945.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, темно-синий 6-033",6-033,3,2,1,2024-10-31,2026-06-03,2026-06-03,2025-08-12,56,0_90_HOT,Перемещение запасов 245 от 03.06.2026,WH_ART,14.2,18460.0,A,2026-05-31,OK_ACTIVE,17745.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, фиолетовый 6-038",6-038,3,1,2,2024-10-31,2026-02-16,2024-10-31,2026-02-16,163,91_180_WARM,Перемещение запасов 47 от 16.02.2026,WH_ART,29.6,38480.0,A,2026-05-31,OK_ACTIVE,33800.0,2026-07-29,YES,N
Основной склад,"Бархат шелк, черный 6-046",6-046,23,6,17,2024-10-31,2026-06-23,2026-06-23,2026-05-21,36,0_90_HOT,Перемещение запасов 272 от 23.06.2026,WH_ART,72.7,138130.0,A,2026-05-31,OK_ACTIVE,49173.34,2026-07-29,YES,N
Основной склад,"Бархат шелк, черный Италия 6-043",6-043,2,1,1,2025-06-27,2025-06-27,2025-06-27,2025-06-27,397,365PLUS_STALE,Перемещение запасов 183 от 27.06.2025,NO_INV,0,0,,,CLEARED_OLD,,2026-07-29,YES,N
Основной склад,"Батист бежевый, 4-059",4-059,5,1,4,2024-12-16,2026-06-23,2024-12-16,2026-06-23,36,0_90_HOT,Перемещение запасов 276 от 23.06.2026,WH_ART,25.1,15060.0,B,2026-05-31,OK_ACTIVE,10380.0,2026-07-29,YES,N
Основной склад,"Батист белый, 4-023",4-023,19,6,13,2025-02-25,2026-06-30,2026-04-03,2026-06-30,29,0_90_HOT,Перемещение запасов 295 от 30.06.2026,NO_INV,0,0,,,MOVE_WITHOUT_SNAPSHOT,2043.29,2026-07-29,YES,N
Основной склад,"Батист белый, 4-026",4-026,6,3,3,2024-12-16,2026-02-24,2026-02-24,2025-12-22,155,91_180_WARM,Перемещение запасов 57 от 24.02.2026,WH_ART,29.5,13275.0,B,2026-05-31,OK_ACTIVE,12865.57,2026-07-29,YES,N
Основной склад,"Батист белый, 4-027",4-027,2,1,1,2024-12-16,2026-02-26,2024-12-16,2026-02-26,153,91_180_WARM,Перемещение запасов 63 от 26.02.2026,WH_ART,20.5,9225.0,B,2026-05-31,OK_ACTIVE,5625.0,2026-07-29,YES,N
Основной склад,"Батист розовый, 4-036",4-036,5,2,3,2024-12-16,2026-06-23,2026-06-22,2026-06-23,36,0_90_HOT,Перемещение запасов 279 от 23.06.2026,WH_ART,5.0,1500.0,C,2026-05-31,OK_ACTIVE,3780.0,2026-07-29,YES,N
Основной склад,"Батист розовый, 4-049",4-049,3,1,2,2024-12-16,2025-03-12,2024-12-16,2025-03-12,504,365PLUS_STALE,Перемещение запасов 37 от 12.03.2025,NO_INV,0,0,,,CLEARED_OLD,,2026-07-29,YES,N
Основной склад,"Батист серо-бежевый атласный, 4-028",4-028,3,1,2,2024-12-16,2026-06-05,2024-12-16,2026-06-05,54,0_90_HOT,Перемещение запасов 253 от 05.06.2026,WH_ART,7.3,5110.0,C,2026-05-31,OK_ACTIVE,4130.0,2026-07-29,YES,N
Основной склад,"Батист серый плотный, 4-021",4-021,1,1,0,2024-12-16,2024-12-16,2024-12-16,,590,365PLUS_STALE,Оприходование запасов 23 от 16.12.2024,WH_ART,4.0,1600.0,C,2026-05-31,DEAD_STOCK,1600.0,2026-07-29,YES,N
Основной склад,"Батист серый, 4-039",4-039,5,2,3,2024-12-16,2026-04-08,2026-04-08,2026-03-19,112,91_180_WARM,Перемещение запасов 139 от 08.04.2026,WH_ART,14.9,5960.0,C,2026-05-31,OK_ACTIVE,4360.0,2026-07-29,YES,N
Основной склад,Батист черный 4-025,4-025,3,1,2,2024-12-16,2026-05-07,2024-12-16,2026-05-07,83,0_90_HOT,Перемещение запасов 190 от 07.05.2026,WH_ART,28.0,11200.0,B,2026-05-31,OK_ACTIVE,8800.0,2026-07-29,YES,N
Основной склад,"Батист черный плотный, 4-022",4-022,12,2,10,2024-12-16,2026-06-09,2026-05-13,2026-06-09,50,0_90_HOT,Перемещение запасов 255 от 09.06.2026,WH_ART,15.5,6200.0,C,2026-05-31,OK_ACTIVE,8798.89,2026-07-29,YES,N
Основной склад,"Батист черный, 4-024",4-024,15,5,10,2024-12-16,2026-06-23,2026-04-13,2026-06-23,36,0_90_HOT,Перемещение запасов 273 от 23.06.2026,WH_ART,28.7,5480.78,C,2026-05-31,OK_ACTIVE,4779.04,2026-07-29,YES,N
Основной склад,"Батист черный, 4-046",4-046,2,1,1,2024-12-16,2026-02-26,2024-12-16,2026-02-26,153,91_180_WARM,Перемещение запасов 63 от 26.02.2026,WH_ART,10.4,6240.0,C,2026-05-31,OK_ACTIVE,3240.0,2026-07-29,YES,N
Основной склад,Бифлекс бежевыфй 23-011,23-011,2,1,1,2024-12-09,2025-03-20,2024-12-09,2025-03-20,496,365PLUS_STALE,Перемещение запасов 47 от 20.03.2025,NO_INV,0,0,,,CLEARED_OLD,,2026-07-29,YES,N
Основной склад,"БРАК Х/Б папайя, бирюзовый фон, 4А-096",,1,1,0,2025-05-28,2025-05-28,2025-05-28,,427,365PLUS_STALE,Приходная накладная 70 от 28.05.2025,WH_NAME,30.0,10980.0,B,2026-05-31,DEAD_STOCK,10980.0,2026-07-29,YES,N
Основной склад,"БРАК Х/Б папайя, светло-голубой фон, 4А-097",,1,1,0,2025-05-28,2025-05-28,2025-05-28,,427,365PLUS_STALE,Приходная накладная 70 от 28.05.2025,WH_NAME,30.0,1829.7,C,2026-05-31,DEAD_STOCK,1829.7,2026-07-29,YES,N
Основной склад,"БРАК Х/Б рубашка-горох, белый, 4А-099",,1,1,0,2025-05-28,2025-05-28,2025-05-28,,427,365PLUS_STALE,Приходная накладная 70 от 28.05.2025,WH_NAME,25.0,1830.0,C,2026-05-31,DEAD_STOCK,1830.0,2026-07-29,YES,N
Основной склад,"БРАК Х/Б рубашка-горох, розовый, 4А-098",,1,1,0,2025-05-28,2025-05-28,2025-05-28,,427,365PLUS_STALE,Приходная накладная 70 от 28.05.2025,WH_NAME,25.0,7320.0,B,2026-05-31,DEAD_STOCK,7320.0,2026-07-29,YES,N
Основной склад,"БРАК Х/Б рубашка-перец белый, 4А-100",,1,1,0,2025-05-28,2025-05-28,2025-05-28,,427,365PLUS_STALE,Приходная накладная 70 от 28.05.2025,WH_NAME,24.6,1830.0,C,2026-05-31,DEAD_STOCK,1830.0,2026-07-29,YES,N
Основной склад,Бязь макетная 4-007,4-007,39,7,32,2024-12-16,2026-05-19,2026-05-12,2026-05-19,71,0_90_HOT,Перемещение запасов 205 от 19.05.2026,WH_ART,42.5,4291.64,C,2026-05-31,OK_ACTIVE,6438.26,2026-07-29,YES,N
Основной склад,Вечерняя ткань бежевая сетка 12-012,12-012,2,1,1,2024-10-31,2025-10-03,2024-10-31,2025-10-03,299,181_365_COOL,Перемещение запасов 325 от 03.10.2025,WH_ART,1.0,2200.0,C,2026-05-31,AGING_WATCH,,2026-07-29,YES,N
Основной склад,Вечерняя ткань бежевая сетка со стеклярусом 12-010,12-010,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,2.8,6160.0,C,2026-05-31,DEAD_STOCK,6160.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань белая сетка с белыми пайетками 12-060,12-060,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,4.5,15750.0,B,2026-05-31,DEAD_STOCK,15750.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань белая сетка с жемчужинами белыми 12-059,12-059,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,6.0,21000.0,A,2026-05-31,DEAD_STOCK,21000.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань белая сетка с перьями 12-092,12-092,2,1,1,2024-10-31,2026-04-13,2024-10-31,2026-04-13,107,91_180_WARM,Перемещение запасов 145 от 13.04.2026,WH_ART,5.15,231750.0,A,2026-05-31,OK_ACTIVE,,2026-07-29,YES,N
Основной склад,Вечерняя ткань белая сетка с перьями 12-095,12-095,1,1,0,2026-02-25,2026-02-25,2026-02-25,,154,91_180_WARM,Приходная накладная 16 от 25.02.2026,NO_INV,0,0,,,MOVE_WITHOUT_SNAPSHOT,64500.0,2026-07-29,YES,N
Основной склад,"Вечерняя ткань белая сетка с перьями, расшивкой пайетками 12-090",12-090,4,2,2,2024-10-31,2025-05-16,2025-04-28,2025-05-16,439,365PLUS_STALE,Перемещение запасов 118 от 16.05.2025,WH_ART,0.45,3375.0,C,2026-05-31,DEAD_STOCK,3375.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань белые бусины на белой сетке 12-062,12-062,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,21.7,8680.0,B,2026-05-31,DEAD_STOCK,8680.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань белые пайетки на трикотаже 12-053,12-053,2,1,1,2024-10-31,2024-12-13,2024-10-31,2024-12-13,593,365PLUS_STALE,Перемещение запасов 16 от 13.12.2024,WH_ART,17.5,7875.0,B,2026-05-31,DEAD_STOCK,7875.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань белый шифон с пайетками камушки 12-019,12-019,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,3.0,9000.0,B,2026-05-31,DEAD_STOCK,9000.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань бронзовые пайетки квадраты 12-030,12-030,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,2.6,42900.0,A,2026-05-31,DEAD_STOCK,42900.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань бронзовые пайетки круглые 12-031,12-031,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,0.68,11220.0,B,2026-05-31,DEAD_STOCK,11220.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань голубые пайетки 12-036,12-036,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,2.35,38775.0,A,2026-05-31,DEAD_STOCK,38775.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань графит шелк с пайетками 12-003,12-003,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,2.5,5500.0,C,2026-05-31,DEAD_STOCK,5500.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань желтая сетка вышивка бисер 12-013,12-013,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,2.4,5280.0,C,2026-05-31,DEAD_STOCK,5280.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань зеленое с пайетками 12-040,12-040,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,6.0,4200.0,C,2026-05-31,DEAD_STOCK,4200.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань зеленые пайетки 12-034,12-034,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,7.2,118800.0,A,2026-05-31,DEAD_STOCK,118800.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань зеленые пайетки на сетке 12-070,12-070,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,9.6,5760.0,C,2026-05-31,DEAD_STOCK,5760.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань золото 12-068,12-068,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,21.0,7350.0,B,2026-05-31,DEAD_STOCK,7350.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань коричневые пайетки 12-025,12-025,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,5.8,95700.0,A,2026-05-31,DEAD_STOCK,95700.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань на белой сетки золотая вышивка канителью 12-014,12-014,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,4.0,8800.0,B,2026-05-31,DEAD_STOCK,8800.0,2026-07-29,YES,N
Основной склад,"Вечерняя ткань розовая  сетка с перьями, расшивкой пайетками 12-089",12-089,3,1,2,2024-10-31,2026-04-14,2024-10-31,2026-04-14,106,91_180_WARM,Перемещение запасов 147 от 14.04.2026,WH_ART,9.2,172040.0,A,2026-05-31,OK_ACTIVE,59840.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань розовое кружево вышитое 12-039,12-039,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,5.9,4130.0,C,2026-05-31,DEAD_STOCK,4130.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань розовые пайетки прямоугольные 12-045,12-045,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,1.3,13650.0,B,2026-05-31,DEAD_STOCK,13650.0,2026-07-29,YES,N
Основной склад,"Вечерняя ткань серая сетка с перьями, расшивкой пайетками 12-088",12-088,7,2,5,2024-10-31,2025-10-28,2025-07-04,2025-10-28,274,181_365_COOL,Перемещение запасов 368 от 28.10.2025,NO_INV,0,0,,,REVIEW,,2026-07-29,YES,N
Основной склад,Вечерняя ткань серебро пайетки 12-026,12-026,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,6.1,109800.0,A,2026-05-31,DEAD_STOCK,109800.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань синие пайетки на сетке 12-069,12-069,2,1,1,2024-10-31,2025-05-23,2024-10-31,2025-05-23,432,365PLUS_STALE,Перемещение запасов 130 от 23.05.2025,WH_ART,7.1,4260.0,C,2026-05-31,DEAD_STOCK,4260.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань черная сетка с глитером 12-058,12-058,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,26.7,21360.0,A,2026-05-31,DEAD_STOCK,21360.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань черная сетка с перьями 12-091,12-091,2,1,1,2024-10-31,2025-03-24,2024-10-31,2025-03-24,492,365PLUS_STALE,Перемещение запасов 50 от 24.03.2025,NO_INV,0,0,,,CLEARED_OLD,,2026-07-29,YES,N
Основной склад,Вечерняя ткань черная сетка с перьями 12-096,12-096,1,1,0,2026-02-25,2026-02-25,2026-02-25,,154,91_180_WARM,Приходная накладная 16 от 25.02.2026,NO_INV,0,0,,,MOVE_WITHOUT_SNAPSHOT,67500.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань черная сетка с перьями и пайетками 12-094,12-094,11,4,7,2025-04-28,2026-06-23,2026-05-28,2026-06-23,36,0_90_HOT,Перемещение запасов 273 от 23.06.2026,WH_ART,6.35,48506.94,A,2026-05-31,OK_ACTIVE,,2026-07-29,YES,N
