source_file_id_master,file_name_master,domain,period,entity_scope,lifecycle_status,risk,match_type,file_name_local,sha256_local,source_file_id_local,category_local
FILE-037,ЗП за февраль 2025.xlsx,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за февраль 2025.xlsx,2fd7298151e1a5d9ae8c4ce520e9613a78e16e7e8b851f218ca7c3278d1b8041,SRC-2FD7298151E1,payroll_monthly
FILE-035,ЗП за март 2025.xlsx,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за март 2025.xlsx,bbdde3bd1fdf91f390564c24b53a7e2dfdb1d81798fc53d6bc2c18cb0d119b53,SRC-BBDDE3BD1FDF,payroll_monthly
FILE-030,ЗП за апрель 2025.xlsx,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за апрель 2025.xlsx,bd6b213893f2c7b34aca27074eb51daafb68ce9163623b63cc21f962479c567b,SRC-BD6B213893F2,payroll_monthly
FILE-033,ЗП за май 2025.xlsx,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за май 2025.xlsx,5cdda43eb16378f186c51bf58bff4101d49d9188de2f899955b11efcb54166af,SRC-5CDDA43EB163,payroll_monthly
FILE-032,ЗП за июнь 2025.xlsx,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за июнь 2025.xlsx,fb5cfe41ed03d0742bdff0d1e392b1cd6f20e1654ddec6980aca3f634ed2aaab,SRC-FB5CFE41ED03,payroll_monthly
FILE-040,ЗП за январь 2026.xlsx,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Quarantine — исправить до использования,Критический,EXACT,ЗП за январь 2026.xlsx,b4ed2a1be4900c1f275865b9e8918f7d2dde9d347f6b12e84a6c390deaf56e93,SRC-B4ED2A1BE490,payroll_monthly
FILE-038,ЗП за февраль 2026.xlsx,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Quarantine — исправить до использования,Критический,EXACT,ЗП за февраль 2026.xlsx,cb8e8dd591819aef6e585d3b2c8cbbfbbda250f11fdcaf9390e309f62fe91e1f,SRC-CB8E8DD59181,payroll_monthly
FILE-036,ЗП за март 2026.xlsx,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за март 2026.xlsx,0bb9ee76440947352d23014c5be96fddd514ddf12a0ea99c13dddfbd86f256ba,SRC-0BB9EE764409,payroll_monthly
FILE-031,ЗП за апрель 2026.xlsx,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за апрель 2026.xlsx,a3d0ba92fb36c1a6eda83cf583c84a2bc0d074b45bf92023e946bc6aba98ec78,SRC-A3D0BA92FB36,payroll_monthly
FILE-034,ЗП за май 2026.xlsx,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за май 2026.xlsx,3de974947bcad3855ebb6685bac9733f2093d16069206b857f8e94e3676227cd,SRC-3DE974947BCA,payroll_monthly
FILE-064,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,2024,ООО «ДЕКОР»,Active source candidate,Низкий,EXACT,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,8b2e6e29f3b1354bc1951d33d0041877f841cfde506c041422d18fe0d439c827,SRC-8B2E6E29F3B1,tax_insurance
FILE-066,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,2025,ООО «ДЕКОР»,Active source candidate,Низкий,EXACT,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,011873cc74e26353685e937c2e0e18356ab318b5befea9ca07fdcf3115c977c5,SRC-011873CC74E2,tax_insurance
FILE-065,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,db643e47a4e75326e6db7c23c36f5cb9c70549034f873fc7b993474a363ba9fd,SRC-DB643E47A4E7,tax_insurance
FILE-067,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,8dbbd4be38b074b5ef437b0c010204e59150d1d267eb610eba554a908427842e,SRC-8DBBD4BE38B0,tax_insurance
FILE-063,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,1 кв. 2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,65decad2cb32bd2381bcd501f125a712db98fc2c099b67823d5bd6af06479e91,SRC-65DECAD2CB32,tax_insurance
FILE-007,SALES 2024-2026.xlsx,Финансы и денежные потоки,2024–2026,Не указано в названии,Controlled source — проверить скрытые листы,Средний,EXACT,SALES 2024-2026.xlsx,fc6c0194884c06ffde494e1bbb2624f267ede82ba86f48abdd1dce29ca7e2343,SRC-FC6C0194884C,sales_general
FILE-091,Факт анализ продаж B2B 2025.xlsx,Продажи и каналы,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Факт анализ продаж B2B 2025.xlsx,758f1723b3d6a9b1e7b32f2b971bff97bf5734bb46cc38187a6e245669460ed8,SRC-758F1723B3D6,sales_b2b
FILE-092,Факт анализ продаж B2B 2026.xlsx,Продажи и каналы,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Quarantine — исправить до использования,Средний,EXACT,Факт анализ продаж B2B 2026.xlsx,8cd1b3a3570f40b5344a8b0cb0751eb18e566953d4b2fde437fe9d33dcae29f6,SRC-8CD1B3A3570F,sales_b2b
FILE-057,Продажи ЦУМ 2024.xlsx,Продажи и каналы,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Продажи ЦУМ 2024.xlsx,cc75592daf4117c0cde38741cf8cb62b185cb381096e8e715973bb4a4c961235,SRC-CC75592DAF41,sales_tsum
FILE-058,Продажи ЦУМ 2025.xlsx,Продажи и каналы,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Продажи ЦУМ 2025.xlsx,a2b1d2b1ed4e71dbd5bfe584489bbc74dc82fb0f966c7d6cfaf84abe717e6658,SRC-A2B1D2B1ED4E,sales_tsum
FILE-059,Продажи ЦУМ 2026.xlsx,Продажи и каналы,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Продажи ЦУМ 2026.xlsx,463526e0fbb41a8edf0e3adcbb788351067d1b79c40769f04d05be9150937b1a,SRC-463526E0FBB4,sales_tsum
FILE-012,Бюджет 2026.xlsx,Финансы и денежные потоки,2026,Не указано в названии,Active source candidate,Низкий,EXACT,Бюджет 2026.xlsx,7b59f03fc58cdbed34e9acb5a9554b3b10995ba398df5d2c43905f0ba2aab17c,SRC-7B59F03FC58C,budget
FILE-011,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,2025,Не указано в названии,Active source candidate,Низкий,EXACT,Бюджет 2-е полугодие 2025(1).xlsx,47b23059c04824e80994501c130695ea0d92d4c915ed4f111af0bb90d491853e,SRC-47B23059C048,budget
FILE-016,Вышивка себестоимость 2024-2026.xlsx,Себестоимость и производство,2024–2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Вышивка себестоимость 2024-2026.xlsx,627daa533ffd16aae4cbeeda651e6012595d9fcbb4e0586b4e2d3b8c5f2a7509,SRC-627DAA533FFD,cost_embroidery
FILE-020,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,1 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,f74a077718eabd5a25bda1f1f7d84c320e27b65a9c8b9b97263170d98be328ec,SRC-F74A077718EA,tax_nds
FILE-021,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,1 кв. 2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,58e7c0a3c0a6a7a02e1604b53ac39e08da7c020f7984c526e85316538a637186,SRC-58E7C0A3C0A6,tax_nds
FILE-022,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,2 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,751e72cc84b854ccfa8337778f0292e2ec3d4db787406b27c620d4004fe50fb4,SRC-751E72CC84B8,tax_nds
FILE-023,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,3 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,4189b452903722c4ecbc1a72c3a2a4d418bafb67d6a8a2132c936c79f8bbdd8a,SRC-4189B4529037,tax_nds
FILE-024,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,4 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,fd5d253e7ee2ba66265b17ef91dc4112a2241272885bbf706155ad881d29c836,SRC-FD5D253E7EE2,tax_nds
FILE-025,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,2024,ООО «ДЕКОР»,Active source candidate,Низкий,EXACT,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,3c28c9e1de553f4200e67d8a4c1ba533cc8e651d76e6a888b4195ed10a50a99d,SRC-3C28C9E1DE55,tax_usn
FILE-027,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,Налоги и обязательная отчётность,2025,ООО «ДЕКОР»,Active source candidate,Низкий,EXACT,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,12d1111a4489bb076f09469cafbccc8518fbfd2c1a237f73928c5d717f63db98,SRC-12D1111A4489,tax_usn
FILE-026,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,384293b40f8c821fe09c03dadf6526cf0189aed733aa1cfd85a872ed0c2bf721,SRC-384293B40F8C,tax_usn
FILE-028,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,6f9b905decfd14564f228f9dcce3e3806b42234cfea27b4cc9cf510544cbfae6,SRC-6F9B905DECFD,tax_usn
FILE-029,Договор_комплексной_диагностики_ИП_Янина_+_паспорт.docx,Договоры и проектные документы,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Договор_комплексной_диагностики_ИП_Янина_+_паспорт.docx,0e9a2e8aa89b4fa9de90726540538048b5e1d1f215851d3cb39d74e0b0baccae,SRC-0E9A2E8AA89B,contracts
FILE-041,зп_конструкторы_01.26.xlsx,Персонал и оплата труда,01.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,зп_конструкторы_01.26.xlsx,d0aa6a1a63832e0184b1654f899acbb0cd418c65a90e4ba26c91ca2b63a58c37,SRC-D0AA6A1A6383,payroll_designers
FILE-042,зп_конструкторы_02.26.xlsx,Персонал и оплата труда,02.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,зп_конструкторы_02.26.xlsx,1d6289fef8a44651b165c336b8ebb2332a13a6fb9b0b1008b61e26aa5cbf686a,SRC-1D6289FEF8A4,payroll_designers
FILE-043,зп_конструкторы_03.26.xlsx,Персонал и оплата труда,03.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,зп_конструкторы_03.26.xlsx,17cbbbf54cf2909d71a4e254aa34fedfede6700865d35c4c5ab352ee2c243d46,SRC-17CBBBF54CF2,payroll_designers
FILE-044,зп_конструкторы_04.26.xlsx,Персонал и оплата труда,04.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,зп_конструкторы_04.26.xlsx,098d5b89e567506fa9b002b41339c2e428abe702c31c7af5f948a73f79bbca1b,SRC-098D5B89E567,payroll_designers
FILE-045,зп_конструкторы_05.26.xlsx,Персонал и оплата труда,05.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,зп_конструкторы_05.26.xlsx,d2207ee54fbefd9fa34f8a21b6b30ba7010a60206989506a3bda6a55cb2e15d2,SRC-D2207EE54FBE,payroll_designers
FILE-046,ЗП_ЦЕХ 01.26.xlsx,Персонал и оплата труда,01.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП_ЦЕХ 01.26.xlsx,baf7bff99489bf3b33d0214d5a29a9f333b2dd9a0fa290032d74abdfc46a32d2,SRC-BAF7BFF99489,payroll_shop
FILE-047,ЗП_ЦЕХ 02.26.xlsx,Персонал и оплата труда,02.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП_ЦЕХ 02.26.xlsx,bd500a7bc88ce62a53382c9ba4a8401878125fcbda24b7695cac35ff0aa11b09,SRC-BD500A7BC88C,payroll_shop
FILE-048,ЗП_ЦЕХ 03.26.xlsx,Персонал и оплата труда,03.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП_ЦЕХ 03.26.xlsx,dc5e6177775f710e5326359751f2e30e75ee628d0a1aafe4a084384d4246155c,SRC-DC5E6177775F,payroll_shop
FILE-049,ЗП_ЦЕХ 04.26.xlsx,Персонал и оплата труда,04.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП_ЦЕХ 04.26.xlsx,400d80f1258c2081bf06559290a7c34f2000c571944dd0bd2aef00b601989c2e,SRC-400D80F1258C,payroll_shop
FILE-050,ЗП_ЦЕХ 05.26.xlsx,Персонал и оплата труда,05.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП_ЦЕХ 05.26.xlsx,83e3de58784856c6dd0ddb810d1ac32a35998b734490c8b55e8e263020644ba3,SRC-83E3DE587848,payroll_shop
FILE-051,МД — копия.xlsx,Себестоимость и производство,Не определён из названия,Не указано в названии,Active source candidate,Низкий,EXACT,МД — копия.xlsx,47d5b18b8e3a5494d32af6b38a6f4b6ba6adb6abd590cbf131e36d37eec60c1c,SRC-47D5B18B8E3A,md
FILE-052,Орг. структура на 28.05.2026.pdf,Персонал и оплата труда,2026,Не указано в названии,Active source candidate,Низкий,EXACT,Орг. структура на 28.05.2026.pdf,6ff053438e3246cabc00f86470b834f07b3aa3270ce031bcbf1f4b1f3db71e91,SRC-6FF053438E32,org
