canonical_sku,channels,lines,revenue_rub,cogs_current,margin_current,bom_unit,alt_margin_if_bom,unit_to_bom_ratio_max,name_jaccard,sale_name,bom_name,cogs_sources,status,note
0-3073,TSUM,3,124545.0,76602.73,47942.27,2663.0,116556.0,10.47,0.125,"Свитшот женский, голубой, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",СВИТШОТ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3186,TSUM,3,490860.93,265864.38,224996.55,7200.685,454857.51,10.42,0.667,"Юбка женская, черная, из стрейч бархата, длинная",Юбка длинная из черного стрейч бархата,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2806,TSUM,5,608418.64,372470.14,235948.5,7593.298333333334,570452.15,10.38,0.333,"Брюки женские, черные с принтом ""белый горох"", из шелка, широкие",Брюки широкие принт ГОРОХ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2893,TSUM,2,252000.0,155273.82,96726.18,7819.911999999999,236360.18,10.11,0.222,"Брюки женские, черные с принтом ""белый горох"", из шелка",Брюки с кантом принт ГОРОХ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2974A,TSUM,3,1041067.66,576964.54,464103.12,8933.607,969598.8,10.03,0.333,"Рубашка женская, белая, из хлопка, с декором принт ""цветы""",Рубашка цветы,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3349,IM,2,184450.0,21718.0,162732.0,1100.0,182250.0,9.87,0.143,"Брюки женские, черные, из крепа, широкие, со складками по талии",БРЮКИ,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2885,TSUM,1,175288.91,110350.25,64938.66,11300.345,163988.57,9.77,0.25,"Пальто-халат женское, розовое с принтом ""цветы"", из хлопка ",Халат накидка принт ЦВЕТЫ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2909,TSUM,2,203700.0,129283.32,74416.68,7074.664,189550.67,9.14,0.2,"Брюки женские, розовые, из шелка",Брюки шелковые,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2604,TSUM,4,547308.35,334122.09,213186.26,5744.823,507094.59,8.97,0.286,"Юбка-карандаш женская, черная, из стрейч бархата",Юбка черный стрейч-бархат,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2805,TSUM,2,526200.0,337067.34,189132.66,13194.784,486615.65,8.52,0.125,"Жилет женский, черный в белый горох, из шифона",Туника шифон принт ГОРОХ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3182,IM,3,92720.0,39666.0,53054.0,1600.0,87920.0,8.26,0.2,"Свитшот женский, серый из футера, с вышивкой ""Ришелье""",СВИТШОТ,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3023,TSUM,2,1105861.48,711712.69,394148.79,29317.065,1017910.29,8.13,0.875,"Платье женское, черное, из шелкового бархата, с кружевом и аппликацией ""Цветы""",Платье черное мини из шелкового бархата с кружевом и аппликацией ЦВЕТЫ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3156D,TSUM,4,258320.35,163298.39,95021.96,5381.25625,236795.32,8.05,0.2,"Брюки-капри женские, черные с принтом ""зеленый горох"", из батиста, с отделкой черно-зеленой каймой","брюки укороченные, батист с авторским принтом ""горох""",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3137A,TSUM,2,394220.0,254694.68,139525.32,15937.339166666667,362345.32,7.99,0.385,"Пальто-халат женское, черное с принтом ""белые ласточки"", из шелка, с рукавами ""кимоно"" и поясом","пальто-кимоно, черный шелк с авторским принтом белые ласточки",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3110B,TSUM,5,774100.19,466770.27,307329.92,9753.846666666666,705823.26,7.96,0.273,"Брюки женские, голубые с принтом ""крупный микс"", из шелка","брюки широкие, белый шелк с авторским принтом микс",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2470,TSUM,7,631474.77,405170.15,226304.62,4541.82111111111,576972.92,7.92,0.091,"Юбка женская, черная, из футера, с декором принт ""дерево, Yanina"", с отделкой ""лампас"" прямая",Юбка джерси,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3133A,TSUM,2,168926.0,107537.72,61388.28,7155.86125,154614.28,7.88,0.333,"Платье женское, черное с принтом ""зеленый горох"", из батиста, длина мини","платье мини, без рукавов, батист с авторским принтом ""горох""",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3136A,TSUM,1,120060.0,77737.14,42322.86,9877.135555555556,110182.86,7.87,0.286,"Брюки женские, черные с принтом ""белые ласточки"", из шелка, с отделкой ""лампас","брюки широкие, с лампасами, черный шелк с авторским принтом белые ласточки",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2359,TSUM,9,687285.62,471888.51,215397.11,5109.0992857142855,620867.33,7.87,0.2,"Свитшот женский, черный, из футера, с декором принт ""сердце, Yanina"", с белой обтачкой",Свитшот джерси Сердце,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2987,TSUM,1,416070.0,269555.91,146514.09,34385.90666666666,381684.09,7.84,0.091,"Куртка женская, черная, из натуральной кожи, со съемным декором ""Бант""",Жакет черный кожаный со съемным бантом,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2873,TSUM,4,900084.36,550930.2,349154.16,10538.726999999999,815774.54,7.81,0.125,"Брюки женские, черные с принтом ""хаотичные Y"", из шелка",Брюки с лампасом Y хаотичный,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2037E,TSUM,3,293884.43,185164.23,108720.2,8510.52125,268352.87,7.68,0.0,"Брюки женские, черные, из шелка, с отделкой черной каймой по низу",Капри шелк,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3152B,TSUM,6,762347.19,494005.69,268341.5,10753.52,697826.07,7.68,0.273,"Платье-кафтан, женское, белое с принтом ""перцы"", из батиста, с вышивкой","кафтан длинный, с вышивкой ""папайя"", батист с авторским принтом ""папайя""",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3179A,TSUM,5,365178.53,244897.69,120280.84,3412.96,331048.93,7.62,0.222,"Футболка женская, черная, из трикотажа, декорирована вышивкой ""Папайя""","футболка с вышивкой ""горох"", белый хлопок",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3339,IM,1,100725.0,31524.11,69200.89,4215.433333333333,96509.57,7.48,0.125,"Платье женское, фиолетовое, из крепового шифона, с вышивкой из страз на воротнике",Платье Комбинация,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2540,IM,2,330840.0,40982.0,289858.0,2750.0,325340.0,7.45,0.143,"Блуза женская, черная с принтом ""большие синие капли"", из шелка",БЛУЗА,FILE|W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2872,TSUM,4,1290283.72,804847.96,485435.76,15559.527,1165807.5,7.37,0.0,"Блуза женская, черная с принтом ""хаотичные Y"", из шелка",Блузон с лампасом по низу Y хаотичный,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3088,TSUM,1,320050.0,209317.9,110732.1,28417.9,291632.1,7.37,0.333,"Кейп-накидка женская, черная, из шелкового бархата, с завязкой на вортнике, длинная",Кейп из черного шелкового бархата,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3049,IM,2,185895.0,44802.0,141093.0,3080.0,179735.0,7.27,0.143,"Куртка-бомбер женская, черная, из стрейч бархата, с декором ""Жучки""",БОМБЕР,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2892,TSUM,2,351000.0,230207.94,120792.06,15842.974,319314.05,7.27,0.25,"Жакет женский, черный с принтом ""белый горох"", из шелка",Жакет с карманами принт ГОРОХ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2873C,TSUM,1,126000.0,82685.26,43314.74,11468.264285714286,114531.74,7.21,0.222,"Брюки женские, бежевые с принтом ""голубые капли"", из шелка",Брюки без лампас капли,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2862,TSUM,5,799414.0,520618.88,278795.12,9433.607,723945.14,7.1,0.333,"Рубашка женская, белая  из хлопка, с декором принт ""дерево""",Рубашка дерево,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3122,TSUM,4,702463.83,451218.83,251245.0,13701.001428571428,633958.82,7.07,0.143,"Блуза женская, синяя с принтом ""маленькие девочки"", из шелка, с декором ""Попугай"" ","блузон длинный, с рукавами, синий шелк с авторским принтом девочки",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3001,TSUM,3,1755600.0,1165286.56,590313.44,41482.600000000006,1589669.6,7.04,0.444,"Куртка женская, черная, из шелкового бархата, с вышитым декором ""Цветы""",Куртка черная из шелкого бархата с вышивкой ЦВЕТЫ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2472,TSUM,5,571894.14,368431.83,203462.31,4768.413636363637,509904.76,6.78,0.083,"Брюки женские, черные, из футера, с декором принт ""дерево, Yanina"", отделкой ""лампас"", широкие",Брюки джерси,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2455A,TSUM,2,230397.97,159713.32,70684.65,13038.0,204321.97,6.75,0.143,"Юбка женская, черная, из фатина, с вышивкой ""Дерево, птицы, Yanina""",ЮБКА,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3168A,TSUM,7,935490.48,613525.94,321964.54,8722.758461538462,839540.14,6.65,0.333,"Рубашка женская, розовая с принтом ""зеленый горох"", из батиста, удлиненная","рубашка, батист с авторским принтом ""горох""",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2804,TSUM,2,838334.39,545911.59,292422.8,17754.438000000002,749562.2,6.56,0.222,"Жакет женский, черный с принтом ""белый горох"", из шелка, с кливанте",Жакет с клевантами принт ГОРОХ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2861A,TSUM,1,85034.28,39109.84,45924.44,3059.7799999999997,78914.72,6.39,0.333,"Футболка женская, белая с принтом ""дерево"", из трикотажа",Футболка принт ДЕРЕВО,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2381,TSUM,8,480439.32,326538.35,153900.97,5370.067777777777,426738.64,6.36,0.571,"Блуза-топ женская, черная, из шелка, на тонких бретельках",Блуза-топ черный из шелка на бретельках,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-1418,TSUM,7,647134.13,429852.29,217281.84,6444.0,576250.13,6.36,0.111,"Свитшот женский, черный, из бархата, с декоративными оборками на рукавах",Пуловер стрейч-бархат черный,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-1984P,TSUM,8,383507.68,242845.18,140662.5,3645.3725,343408.58,6.33,0.125,"Футболка женская, белая, из трикотажа, с декором принт ""дерево, птица, Yanina""",Футболка,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2754,TSUM,9,2352127.72,1579801.98,772325.74,12427.0,2078733.72,6.31,0.125,"Платье женское, черное с принтом ""белые балерины"", из шелка, на бретелях",Платье комбинация,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3092A,TSUM,4,1523877.8,1013820.44,510057.36,28040.441250000003,1355635.15,6.24,0.4,"Кейп-накидка женская, черная, из х/б бархата, с вышивкой ""Цветы"" и бахромой","Накидка с прорезями для рук, из черного х/б бархата с вышивкой и бахромой",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3108,TSUM,1,101850.0,68820.76,33029.24,11253.76375,90596.24,6.12,0.143,"Брюки женские, белые, из хлопка, прямого кроя ",Брюки сигаретки хб,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3118A,TSUM,3,668400.0,441549.36,226850.64,18242.58,595429.68,6.05,0.188,"Платье-кафтан, женское, синее с принтом ""белые Y, грибы"", из шелка, декорировано брошью ""Попугай""","кафтан длинный, с воротником, темно-синий шелк с авторским принтом грибы",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2673,TSUM,2,304000.0,194256.0,109744.0,16500.385000000002,270999.23,5.89,0.0,"Блуза женская, черная, из бархата стрейч, с аппликацией ""Цветок""",Блузка бархатная с вышивкой,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3140A,TSUM,4,2826980.0,1941221.48,885758.52,38216.72363636363,2483029.49,5.86,0.143,"Платье женское, черное с принтом ""белые листья"" из шифона, декорировано объемной вышивкой ","платье длинное, свободного кроя, с рукавами, с вышитыми объемными бабочками на полочке, белый шифон ",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3049,TSUM,1,155371.22,99759.98,55611.24,17038.755,138332.46,5.85,0.5,"Куртка-бомбер женская, черная, из стрейч бархата, с вышивкой ""Мушка"" ","Бомбер с вышивкой, из
черного стрейч бархата",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2406,IM,1,67221.0,4628.3,62592.7,797.0,66424.0,5.81,0.167,"Юбка женская, черная, из бархата, средней длины, с поясом",ЮБКА,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2921,TSUM,4,237879.44,159659.54,78219.9,5813.02125,208814.33,5.8,0.125,"Шорты женские, черные, из шелка, с закруглением по боковому шву",Шорты шелк,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3120A,TSUM,1,158923.2,108144.79,50778.41,18821.58625,140101.61,5.75,0.375,"Платье женское, синее с принтом "" маленькие девочки"", из шелка, длина миди",Платье с принтом девочки,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3014B,TSUM,4,1130531.42,740358.76,390172.66,27393.666666666664,993563.09,5.7,0.286,"Свитер женский, черный, из кашемира, с расшивкой камнями на рукавах",Свитер черный КАМНИ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3031A,IM,1,33570.0,6831.0,26739.0,1206.0,32364.0,5.66,0.125,"Брюки-джоггеры женские, синие, из стрейч бархата, с отделкой ""лампас""",ДЖОГГЕРЫ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2541,TSUM,5,888820.0,597421.92,291398.08,14130.0,775780.0,5.48,0.125,"Брюки женские, черные с принтом ""большие синие капли"", из шелка",БРЮКИ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3090,TSUM,2,1029035.74,709203.72,319832.02,66183.9925,896667.76,5.44,0.154,"Кейп-накидка женская, черная, из тафты, с вышивкой и бахромой","Накидка из черной тафтына подкладке, с вышивкой на рукавах и отделкой мехом (норка)",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2928,TSUM,1,163812.93,107435.96,56376.97,19862.02857142857,143950.9,5.41,0.111,"Блуза женская, бежевая с принтом ""голубые капли"", из шелка, с камнями по планке",Блузон капли,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3062,TSUM,3,203320.0,141111.08,62208.92,6547.767692307692,177128.93,5.39,0.714,"Блуза-топ женская, черная, из шелка, без рукавов",Блуза-топ черный из шелка без рукавов,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-1960,TSUM,10,1036509.0,720662.0,315847.0,12587.0,898052.0,5.33,0.143,"Блуза женская, черная, из шифона, с воротником ""стойка"", переходящая в бант",БЛУЗА,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3079,TSUM,1,780060.0,543500.13,236559.87,34196.705,677469.89,5.3,0.667,"Платье женское, черное, из стрейч бархата, длинное",Платье длинное из черного стрейч бархата,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2985,TSUM,5,809050.0,574428.33,234621.67,22087.129999999997,698614.35,5.29,0.429,"Юбка женская, черная, из натурального шелка, с аппликацией ""Листья""",Юбка  из шифона  с аппликацией ЛИСТЬЯ,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-3109B,TSUM,3,644962.22,433792.87,211169.35,11940.092222222222,561381.57,5.2,0.154,"Жилет женский, голубой с принтом ""крупный микс"", из шифона","туника на пугвицах, без рукавов, белый шифон с авторским принтом микс",FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-1416,TSUM,5,351617.97,249588.23,102029.74,5425.78,302785.95,5.12,0.111,"Брюки-джоггеры женские, черные, из стрейч бархата, с шелковым лампасом",Брюки джогеры,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2792,TSUM,4,1092000.0,773226.04,318773.96,38483.43666666667,938066.25,5.04,0.125,"Платья женское, серое с принтом ""белый горох"", из шифона, с поясом",Платье из шифона,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2924,TSUM,1,133350.0,94142.3,39207.7,18770.374285714286,114579.63,5.02,0.4,"Пальто-халат женское, черное, из шифона",Пальто-халат шифон,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
