formula_error_id,source_file_id,version_id,file_name,sheet,cell,error_type,formula,shared_formula_si,shared_anchor,shared_anchor_formula,shared_ref,classification,referenced_error_cells,proposed_patch,patch_confidence,application_status,owner_role,required_evidence,analysis_impact
FERR-0011,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,I10,#REF!,окладники!J41+окладники!J43/2+окладники!#REF!/2,,,,,Root structural reference error,,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0012,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,I14,#REF!,SUM(I10:I13),,,,,Root structural reference error,I10,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0013,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,J10,#REF!,SUM(F10:I10),,,,,Root structural reference error,"F10, I10","DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0014,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,J14,#REF!,SUM(F14:I14),,,,,Root structural reference error,"F14, I14","DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0015,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,B22,#DIV/0!,B15/B21,,,,,Root denominator error,,"=IF(B21=0,"""",B15/B21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0016,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,C22,#DIV/0!,C15/C21,,,,,Root denominator error,,"=IF(C21=0,"""",C15/C21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0017,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,E22,#DIV/0!,E15/E21,15,E22,E15/E21,E22:J22,Root denominator error,,"=IF(E21=0,"""",E15/E21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0018,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,F22,#DIV/0!,,15,E22,E15/E21,E22:J22,Root denominator error,,"=IF(E21=0,"""",E15/E21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0019,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,G11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0020,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,G12,#DIV/0!,G4/G10,,,,,Root denominator error,,"=IF(G10=0,"""",G4/G10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0021,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,G22,#DIV/0!,,15,E22,E15/E21,E22:J22,Root denominator error,,"=IF(E21=0,"""",E15/E21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0022,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,G43,#DIV/0!,,23,C43,C31/C42,C43:G43,Root denominator error,,"=IF(C42=0,"""",C31/C42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0023,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,H11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0024,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,H12,#DIV/0!,H4/H10,,,,,Root denominator error,,"=IF(H10=0,"""",H4/H10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0025,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,H22,#DIV/0!,,15,E22,E15/E21,E22:J22,Root denominator error,,"=IF(E21=0,"""",E15/E21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0026,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,H43,#DIV/0!,H31/H42,24,H43,H31/H42,H43:L43,Root denominator error,,"=IF(H42=0,"""",H31/H42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0027,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,I11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0028,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,I12,#DIV/0!,I4/I10,7,I12,I4/I10,I12:L12,Root denominator error,,"=IF(I10=0,"""",I4/I10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0029,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,I22,#DIV/0!,,15,E22,E15/E21,E22:J22,Root denominator error,,"=IF(E21=0,"""",E15/E21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0030,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,I43,#DIV/0!,,24,H43,H31/H42,H43:L43,Root denominator error,,"=IF(H42=0,"""",H31/H42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0031,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,J11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0032,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,J12,#DIV/0!,,7,I12,I4/I10,I12:L12,Root denominator error,,"=IF(I10=0,"""",I4/I10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0033,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,J22,#DIV/0!,,15,E22,E15/E21,E22:J22,Root denominator error,,"=IF(E21=0,"""",E15/E21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0034,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,J43,#DIV/0!,,24,H43,H31/H42,H43:L43,Root denominator error,,"=IF(H42=0,"""",H31/H42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0035,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,K11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0036,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,K12,#DIV/0!,,7,I12,I4/I10,I12:L12,Root denominator error,,"=IF(I10=0,"""",I4/I10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0037,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,K43,#DIV/0!,,24,H43,H31/H42,H43:L43,Root denominator error,,"=IF(H42=0,"""",H31/H42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0038,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,L11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0039,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,L12,#DIV/0!,,7,I12,I4/I10,I12:L12,Root denominator error,,"=IF(I10=0,"""",I4/I10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0040,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,L43,#DIV/0!,,24,H43,H31/H42,H43:L43,Root denominator error,,"=IF(H42=0,"""",H31/H42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0041,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,M11,#DIV/0!,,5,C11,C2/C10,C11:N11,Root denominator error,,"=IF(C10=0,"""",C2/C10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0042,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,M12,#DIV/0!,M4/M10,,,,,Root denominator error,,"=IF(M10=0,"""",M4/M10)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0043,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,M43,#DIV/0!,M31/M42,,,,,Root denominator error,,"=IF(M42=0,"""",M31/M42)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0044,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,N22,#DIV/0!,N15/N21,,,,,Root denominator error,,"=IF(N21=0,"""",N15/N21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0045,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,O15,#DIV/0!,N15/N21,,,,,Root denominator error,,"=IF(N21=0,"""",N15/N21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0046,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Лист1,O16,#DIV/0!,N16/N21,,,,,Root denominator error,,"=IF(N21=0,"""",N16/N21)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0047,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,G29,#DIV/0!,,10,C29,C23/C24,C29:M29,Root denominator error,,"=IF(C24=0,"""",C23/C24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0048,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,H29,#DIV/0!,,10,C29,C23/C24,C29:M29,Root denominator error,,"=IF(C24=0,"""",C23/C24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0049,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,I29,#DIV/0!,,10,C29,C23/C24,C29:M29,Root denominator error,,"=IF(C24=0,"""",C23/C24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0050,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,J29,#DIV/0!,,10,C29,C23/C24,C29:M29,Root denominator error,,"=IF(C24=0,"""",C23/C24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0051,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,K29,#DIV/0!,,10,C29,C23/C24,C29:M29,Root denominator error,,"=IF(C24=0,"""",C23/C24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0052,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,L29,#DIV/0!,L23/L24,,,,,Root denominator error,,"=IF(L24=0,"""",L23/L24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0053,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,M29,#DIV/0!,,10,C29,C23/C24,C29:M29,Root denominator error,,"=IF(C24=0,"""",C23/C24)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0054,FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Итоги,N15,#DIV/0!,N10/N11,,,,,Root denominator error,,"=IF(N11=0,"""",N10/N11)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Коммерция,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0055,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1927,#DIV/0!,SUM(T1927:T1936)/G1927,,,,,Root denominator error,,"=IF(G1927=0,"""",SUM(T1927:T1936)/G1927)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0056,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1937,#DIV/0!,SUM(T1937:T1946)/G1937,,,,,Root denominator error,,"=IF(G1937=0,"""",SUM(T1937:T1946)/G1937)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0057,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1947,#DIV/0!,SUM(T1947:T1956)/G1947,,,,,Root denominator error,,"=IF(G1947=0,"""",SUM(T1947:T1956)/G1947)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0058,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1957,#DIV/0!,SUM(T1957:T1966)/G1957,,,,,Root denominator error,,"=IF(G1957=0,"""",SUM(T1957:T1966)/G1957)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0059,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1967,#DIV/0!,SUM(T1967:T1976)/G1967,,,,,Root denominator error,,"=IF(G1967=0,"""",SUM(T1967:T1976)/G1967)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0060,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1977,#DIV/0!,SUM(T1977:T1986)/G1977,,,,,Root denominator error,,"=IF(G1977=0,"""",SUM(T1977:T1986)/G1977)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0061,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1987,#DIV/0!,SUM(T1987:T1996)/G1987,,,,,Root denominator error,,"=IF(G1987=0,"""",SUM(T1987:T1996)/G1987)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0062,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I1997,#DIV/0!,SUM(T1997:T2006)/G1997,,,,,Root denominator error,,"=IF(G1997=0,"""",SUM(T1997:T2006)/G1997)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0063,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2007,#DIV/0!,SUM(T2007:T2016)/G2007,,,,,Root denominator error,,"=IF(G2007=0,"""",SUM(T2007:T2016)/G2007)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0064,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2017,#DIV/0!,SUM(T2017:T2026)/G2017,,,,,Root denominator error,,"=IF(G2017=0,"""",SUM(T2017:T2026)/G2017)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0065,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2027,#DIV/0!,SUM(T2027:T2036)/G2027,,,,,Root denominator error,,"=IF(G2027=0,"""",SUM(T2027:T2036)/G2027)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0066,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2037,#DIV/0!,SUM(T2037:T2046)/G2037,,,,,Root denominator error,,"=IF(G2037=0,"""",SUM(T2037:T2046)/G2037)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0067,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2047,#DIV/0!,SUM(T2047:T2056)/G2047,,,,,Root denominator error,,"=IF(G2047=0,"""",SUM(T2047:T2056)/G2047)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0068,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2057,#DIV/0!,SUM(T2057:T2066)/G2057,,,,,Root denominator error,,"=IF(G2057=0,"""",SUM(T2057:T2066)/G2057)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0069,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2067,#DIV/0!,SUM(T2067:T2076)/G2067,,,,,Root denominator error,,"=IF(G2067=0,"""",SUM(T2067:T2076)/G2067)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0070,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2077,#DIV/0!,SUM(T2077:T2086)/G2077,,,,,Root denominator error,,"=IF(G2077=0,"""",SUM(T2077:T2086)/G2077)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0071,FILE-081,VER-052-001,Себестоимость Жукова.xlsx,2026,I2087,#DIV/0!,SUM(T2087:T2096)/G2087,,,,,Root denominator error,,"=IF(G2087=0,"""",SUM(T2087:T2096)/G2087)",Средняя — apply only to DRAFT copy after business review,Prepared — not applied to original,Производство/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
