field_id,source_file_id,version_id,file_name,domain,sheet,sheet_state,header_row,header_confidence,source_column,source_field,normalized_field,tags,entity,data_type,nonempty,estimated_rows,completeness_pct,sample_unique,uniqueness_pct,key_candidate,formula_count,error_count,min_date,max_date,min_number,max_number,sensitivity,current_target_system,target_system,target_register,target_primary_key,proposed_target_field,mapping_rule,join_role,mapping_status,quality_risk,missing_for_production_use,owner_role,approval_status
FLD-0011,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,13,Nov,nov,unclassified,Не классифицировано,number,111,183,60.7,85,76.6,Нет,26,0,,,0,327202.92250000004,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,nov,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0012,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,14,Dec,dec,unclassified,Не классифицировано,number,120,183,65.6,93,77.5,Нет,26,0,,,0,509740.1424210526,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,dec,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0013,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,15,Total,total,unclassified,Не классифицировано,number,155,183,84.7,128,82.6,Нет,91,0,,,-1082.2111111111112,2771687.3588,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,total,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0014,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,3,курс 95 / Jan,курс_95_jan,currency,Финансовая операция,number,26,34,76.5,17,65.4,Нет,10,0,,,-4200,118766.81,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_jan,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0015,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,4,курс 95 / Feb,курс_95_feb,currency,Финансовая операция,number,14,34,41.2,13,92.9,Нет,9,0,,,191.28,400290.82250000007,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_feb,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0016,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,5,курс 95 / March,курс_95_march,currency,Финансовая операция,number,12,34,35.3,11,91.7,Нет,5,0,,,-436.5,179493.971,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_march,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0017,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,6,курс 95 / Apr,курс_95_apr,currency,Финансовая операция,number,11,34,32.4,10,90.9,Нет,4,0,,,9238.252,329115.64,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_apr,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0018,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,7,курс 95 / May,курс_95_may,currency,Финансовая операция,number,18,34,52.9,17,94.4,Нет,12,0,,,-1788,254326.5715,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_may,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0019,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,8,курс 95 / June,курс_95_june,currency,Финансовая операция,number,12,34,35.3,11,91.7,Нет,5,0,,,-11480.56,227563.65,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_june,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0020,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,9,курс 95 / July,курс_95_july,currency,Финансовая операция,number,9,34,26.5,8,88.9,Нет,3,0,,,0,298799.30830000003,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_july,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0021,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,10,курс 95 / Aug,курс_95_aug,currency,Финансовая операция,number,9,34,26.5,8,88.9,Нет,3,0,,,0,95648.31,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_95_aug,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0022,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,11,курс 100 / Sept,курс_100_sept,currency,Финансовая операция,number,8,34,23.5,7,87.5,Нет,2,0,,,0,178315.028,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_100_sept,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0023,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,12,курс 100 / Oct,курс_100_oct,currency,Финансовая операция,number,10,34,29.4,9,90,Нет,4,0,,,-1496,297269.7935,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_100_oct,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0024,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,13,курс 100 / Nov,курс_100_nov,currency,Финансовая операция,number,9,34,26.5,8,88.9,Нет,3,0,,,-867.6,232012.10249999998,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_100_nov,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0025,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,14,курс 100 / Dec,курс_100_dec,currency,Финансовая операция,number,8,34,23.5,7,87.5,Нет,3,0,,,0,270001.9795,Обычные внутренние,ERP / финансовый регистр,ERP / финансовый регистр,data_quarantine,,курс_100_dec,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,low completeness | key not unique,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0026,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,ДДС - доход,visible,23,Высокая,15,Total,total,unclassified,Не классифицировано,number,32,34,94.1,26,81.2,Нет,5,0,,,-11480.56,2771687.3588,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,total,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0027,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,3,Jan,jan,unclassified,Не классифицировано,number,29,40,72.5,22,75.9,Нет,6,0,,,0,154661,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,jan,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0028,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,4,Feb,feb,unclassified,Не классифицировано,number,29,40,72.5,22,75.9,Нет,2,0,,,0,275425,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,feb,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0029,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,5,БЕЗ УЧЕТА РАСХОДОВ / March,без_учета_расходов_march,unclassified,Не классифицировано,number,28,40,70,16,57.1,Нет,1,0,,,0,241921,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,без_учета_расходов_march,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0030,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,6,Apr,apr,unclassified,Не классифицировано,number,25,40,62.5,16,64,Нет,1,0,,,0,253113,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,apr,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0031,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,7,May,may,unclassified,Не классифицировано,number,25,40,62.5,16,64,Нет,1,0,,,-1539,201479,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,may,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0032,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,8,June,june,unclassified,Не классифицировано,number,25,40,62.5,14,56,Нет,1,0,,,0,261287,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,june,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0033,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,9,July,july,unclassified,Не классифицировано,number,25,40,62.5,16,64,Нет,1,0,,,0,376044,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,july,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0034,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,10,Aug,aug,unclassified,Не классифицировано,number,25,40,62.5,15,60,Нет,1,0,,,-2698,100162,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,aug,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0035,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,11,Sept,sept,unclassified,Не классифицировано,number,25,40,62.5,17,68,Нет,1,0,,,0,303850,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,sept,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0036,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,12,Oct,oct,unclassified,Не классифицировано,number,25,40,62.5,16,64,Нет,1,0,,,0,251569,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,oct,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0037,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,13,Nov,nov,unclassified,Не классифицировано,number,25,40,62.5,19,76,Нет,1,0,,,0,255085,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,nov,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0038,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,14,Dec,dec,unclassified,Не классифицировано,number,25,40,62.5,17,68,Нет,1,0,,,0,460683,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,dec,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0039,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,реальные деньги без учета расхо,hidden,3,Высокая,15,Total,total,unclassified,Не классифицировано,number,21,40,52.5,19,90.5,Нет,21,0,,,10000,2763941,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,total,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0040,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,3,Jan,jan,unclassified,Не классифицировано,number,60,78,76.9,53,88.3,Нет,26,0,,,-107530.25,8755500,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,jan,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0041,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,4,Feb,feb,unclassified,Не классифицировано,number,63,78,80.8,61,96.8,Нет,29,0,,,-42146,9108700,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,feb,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0042,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,5,"ДОХОДЫ МИНУС РАСХОДЫ, ВКЛЮЧАЯ ЗП / March",доходы_минус_расходы_включая_зп_march,unclassified,Не классифицировано,number,63,78,80.8,55,87.3,Нет,27,0,,,-49136.02900000001,5661100,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,доходы_минус_расходы_включая_зп_march,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0043,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,6,Apr,apr,unclassified,Не классифицировано,number,63,78,80.8,56,88.9,Нет,28,0,,,-58006.818000000014,6074650,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,apr,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0044,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,7,May,may,unclassified,Не классифицировано,number,63,78,80.8,58,92.1,Нет,27,0,,,-120275.92063157863,6223500,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,may,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0045,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,8,June,june,unclassified,Не классифицировано,number,55,78,70.5,48,87.3,Нет,18,0,,,0,6475800,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,june,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0046,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,9,July,july,unclassified,Не классифицировано,number,51,78,65.4,42,82.4,Нет,14,0,,,-5064.691699999967,7896900,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,july,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0047,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,10,Aug,aug,unclassified,Не классифицировано,number,51,78,65.4,43,84.3,Нет,15,0,,,-67993.69,6545000,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,aug,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0048,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,11,Sept,sept,unclassified,Не классифицировано,number,52,78,66.7,43,82.7,Нет,14,0,,,-88845.61060000001,5582000,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,sept,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0049,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,12,Oct,oct,unclassified,Не классифицировано,number,51,78,65.4,43,84.3,Нет,16,0,,,-68496,6726100,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,oct,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0050,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,13,Nov,nov,unclassified,Не классифицировано,number,51,78,65.4,44,86.3,Нет,13,0,,,-120486,6521400,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,nov,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0051,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,14,Dec,dec,unclassified,Не классифицировано,number,52,78,66.7,43,82.7,Нет,18,0,,,-52565.020499999984,13631000,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,dec,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0052,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,visible,2,Высокая,15,Total,total,unclassified,Не классифицировано,number,57,78,73.1,56,98.2,Да,42,0,,,-133591.6411999999,79027850,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,total,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0053,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,visible,3,Высокая,1,БЮДЖЕТ НА 2-Е ПОЛУГОДИЕ 2025 Г. / Статьи бюджета,бюджет_на_2_е_полугодие_2025_г_статьи_бюджета,unclassified,Не классифицировано,text,20,20,100,20,100,Да,0,0,,,,,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,бюджет_на_2_е_полугодие_2025_г_статьи_бюджета,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0054,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,visible,3,Высокая,2,2025-07-01 00:00:00 / План,2025_07_01_00_00_00_план,budget_plan,Бюджет,number,16,20,80,16,100,Да,1,0,,,60,168489.8105263158,Обычные внутренние,FP&A / BI,FP&A / BI,data_quarantine,,2025_07_01_00_00_00_план,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,,owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0055,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,visible,3,Высокая,3,Факт,факт,budget_actual,Бюджет,number,19,20,95,19,100,Да,4,0,,,0,284852,Обычные внутренние,FP&A / BI,FP&A / BI,data_quarantine,,факт,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,,owner approval + uniqueness test | canonical key mapping,,Draft
