pc_line_id,source_person,source_year,client,product_name,article_raw,article_norm,fabric_note,cost_rub_indicative,source_file,source_file_id,so_t,hours
ZHU2026-835,zhukova,2026,,РУБАШКА,0-3419,0-3419,КРУИЗ,5500.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-843,zhukova,2026,,ЧОКЕР,0-3094,0-3094,МД ЗАКАЗ,640.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-851,zhukova,2026,,БЛУЗОН,0-3365,0-3365,КРУИЗ,3747.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-859,zhukova,2026,,БРАСЛЕТ,0-3331А,0-3331А,МД ЗАКАЗ,930.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-867,zhukova,2026,,платье,0-3396А,0-3396А,КРУИЗ,2490.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-877,zhukova,2026,,БЛУЗА,0-3385А,0-3385А,КРУИЗ,2175.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-887,zhukova,2026,,ПЛАТЬЕ,0-3064А,0-3064А,ИМ ЗАКАЗ,3750.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-897,zhukova,2026,,ЧОКЕР,0-3094,0-3094,ИМ ЗАКАЗ,640.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-907,zhukova,2026,,РУБАШКА,0-3424,0-3424,КРУИЗ,6025.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-917,zhukova,2026,,ШОРТЫ,0-3425,0-3425,КРУИЗ,3357.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-927,zhukova,2026,,ЮБКА,0-1442,0-1442,ЗАКАЗ ИМ,5603.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1027,zhukova,2026,,ЛЕКАЛА,0-3415,0-3415,КРУИЗ,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1037,zhukova,2026,,ПЕРЕДЕЛКА,0-3426,0-3426,КРУИЗ,8600.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1047,zhukova,2026,,ПЕРЕДЕЛКА,0-3409,0-3409,КРУИЗ,8400.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1067,zhukova,2026,,КЕЙП,0-3082,0-3082,МД ЗАКАЗ,44379.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1087,zhukova,2026,,ЮБКА,0-2985,0-2985,ИМ ЗАКАЗ,9430.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1097,zhukova,2026,,БЛУЗА,0-3043,0-3043,ИМ ЗАКАЗ,2633.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1107,zhukova,2026,,ПАЛЬТО-ХАЛАТ,0-2850,0-2850,ИМ ЗАКАЗ,10110.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1117,zhukova,2026,,КАФТАН,0-2852,0-2852,ИМ ЗАКАЗ,15447.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1127,zhukova,2026,,ЧОКЕР,0-3094А,0-3094А,МД ЗАКАЗ,640.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1137,zhukova,2026,,ЛЕКАЛА,0-3375,0-3375,КРУИЗ,1300.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1147,zhukova,2026,,ЛЕКАЛА,0-3389,0-3389,КРУИЗ,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1157,zhukova,2026,,ЛЕКАЛА,0-3406,0-3406,КРУИЗ,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1167,zhukova,2026,,ЛЕКАЛА,0-3385,0-3385,КРУИЗ,1600.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1177,zhukova,2026,,ЛЕКАЛА,0-3395,0-3395,КРУИЗ,1500.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1187,zhukova,2026,,ЛЕКАЛА,0-3396,0-3396,КРУИЗ,1500.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1197,zhukova,2026,,ЛЕКАЛА,0-3405,0-3405,КРУИЗ,1900.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1207,zhukova,2026,,ЛЕКАЛА,0-3407,0-3407,КРУИЗ,2100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1217,zhukova,2026,,ЛЕКАЛА,0-3374,0-3374,КРУИЗ,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1227,zhukova,2026,,ЛЕКАЛА,0-3378,0-3378,КРУИЗ,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1237,zhukova,2026,,БЛУЗА,0-3385,0-3385,ЗАКАЗ МД,2175.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1247,zhukova,2026,,КЕЙП,0-2779,0-2779,ИМ ЗАКАЗ,17857.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1257,zhukova,2026,,БЛУЗА,0-3378,0-3378,КРУИЗ ТИРАЖ,1105.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1267,zhukova,2026,,ПЛАТЬЕ,0-3038,0-3038,ИМ ПЕРЕДЕЛКА,3400.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1277,zhukova,2026,,ПЛАТЬЕ,0-3395,0-3395,КРУИЗ ТИРАЖ,2015.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1287,zhukova,2026,,ПЛАТЬЕ,48-30,48-30,КУТЮР,10900.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1297,zhukova,2026,,ПЛАТЬЕ,48-21,48-21,КУТЮР,115923.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1307,zhukova,2026,,Н.ЮБКА,48-21,48-21,КУТЮР,4509.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1317,zhukova,2026,,ТОП,48-24,48-24,КУТЮР,1081.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1327,zhukova,2026,,ЖАКЕТ,48-24,48-24,КУТЮР,33600.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1337,zhukova,2026,,БРЮКИ,48-24,48-24,КУТЮР,3345.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1347,zhukova,2026,,БЛУЗА,48-27,48-27,КУТЮР,3576.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1357,zhukova,2026,,ТОП,48-27,48-27,КУТЮР,1232.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1367,zhukova,2026,,ЮБКА,48-27,48-27,КУТЮР,24450.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1377,zhukova,2026,,ЛЕГГИНСЫ,48-27,48-27,КУТЮР,1572.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1387,zhukova,2026,,ПЛАТЬЕ,0-3405А,0-3405А,МД ЗАКАЗ,10297.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1397,zhukova,2026,,ПЛАТЬЕ,0-3405А,0-3405А,МД ЗАКАЗ,10297.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1407,zhukova,2026,,БРАСЛЕТЫ,0-3331А,0-3331А,МД ЗАКАЗ,930.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1417,zhukova,2026,,БРАСЛЕТЫ,0-3331А,0-3331А,МД ЗАКАЗ,930.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1427,zhukova,2026,,БРАСЛЕТЫ,0-3331А,0-3331А,МД ЗАКАЗ,930.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1457,zhukova,2026,,ПЛАТЬЕ,0-3407,0-3407,МД ЗАКАЗ,14500.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1467,zhukova,2026,,ПАЛЬТО,0-3200,0-3200,ПЛОЩАДКИ,35000.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1477,zhukova,2026,,ЧОКЕР,0-3094А,0-3094А,МД ЗАКАЗ,640.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1487,zhukova,2026,,БЛУЗА,0-3414А,0-3414А,МД ЗАКАЗ,516.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1497,zhukova,2026,,БЛУЗА,0-3414,0-3414,МД ЗАКАЗ,516.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1527,zhukova,2026,,ПЛАТЬЕ,0-3400,0-3400,МД ЗАКАЗ,8583.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1537,zhukova,2026,,КИМОНО,0-2546/4,0-2546,МД ТИРАЖ,6660.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1547,zhukova,2026,,ПАЛЬТО-ХАЛАТ,0-1178,0-1178,ИМ ЗАКАЗ,1799.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1557,zhukova,2026,,ЮБКА,0-3354,0-3354,МД ТИРАЖ,2803.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1567,zhukova,2026,,БЛУЗА,0-3073,0-3073,МД ТИРАЖ,1073.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1577,zhukova,2026,,ПЛАТЬЕ,0-3380,0-3380,МД ТИРАЖ,3048.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1587,zhukova,2026,,ПЛАТЬЕ,0-3380С,0-3380С,МД ТИРАЖ,3048.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1597,zhukova,2026,,СВИТШОТ,0-3432,0-3432,ИМ,1394.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-1617,zhukova,2026,,БЛУЗА,0-3371С,0-3371С,МД ТИРАЖ,3212.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
