period_month,opex_bucket,budget_plan_eur,budget_fact_eur,budget_fact_rub_fx100,opex_classified_rub,opex_vs_budget_fact_ratio,note,so_t
2025-07,ACQUIRING_FEE,1200.0,1095.0,109500.0,32870.14,0.3,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,ACQUIRING_FEE,1200.0,3673.0,367300.0,308570.73,0.84,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,LOGISTICS,4202.25,12187.0,1218700.0,409096.81,0.336,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,MARKETING,8700.0,48875.0,4887500.0,212766.0,0.044,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,MATERIALS_MEMO,10000.0,9122.0,912200.0,643732.9,0.706,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,OPEX_OTHER,350.0,2328.0,232800.0,399109.4,1.714,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,OUTSOURCE,29150.0,20851.0,2085100.0,596489.2,0.286,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,PAYROLL,96200.0,101818.0,10181800.0,3867932.08,0.38,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,RENT,12500.0,12599.0,1259900.0,844910.52,0.671,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-11,TAX,0.0,4449.0,444900.0,444930.0,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,ACQUIRING_FEE,1200.0,3068.0,306800.0,214015.53,0.698,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,LOGISTICS,8868.74,5942.0,594200.0,244302.81,0.411,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,MARKETING,67000.0,7919.0,791900.0,425532.0,0.537,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,MATERIALS_MEMO,15000.0,7806.0,780600.0,398811.71,0.511,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,OPEX_OTHER,1380.0,1969.0,196900.0,531775.21,2.701,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,OUTSOURCE,23120.0,26697.0,2669700.0,1046033.02,0.392,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,PAYROLL,201200.0,197670.0,19767000.0,6383938.82,0.323,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,RENT,13740.0,17584.0,1758400.0,877381.71,0.499,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-12,TAX,0.0,4986.0,498600.0,498588.0,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,ACQUIRING_FEE,1000.0,757.0,75700.0,38407.84,0.507,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,INTERNAL_TRANSFER_MEMO,25000.0,6395.0,639500.0,290274.91,0.454,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,LOGISTICS,7000.0,8275.0,827500.0,50277.23,0.061,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,MARKETING,19000.0,100616.0,10061600.0,100000.0,0.01,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,MATERIALS_MEMO,2500.0,2108.24,210823.8,35813.8,0.17,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,OPEX_OTHER,1500.0,1647.0,164700.0,242174.5,1.47,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,OUTSOURCE,31800.0,21575.66,2157565.8,904474.0,0.419,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,PAYROLL,43623.0,47764.24,4776424.0,2014014.41,0.422,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,RENT,12800.0,6309.0,630900.0,506609.47,0.803,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-01,TAX,5000.0,8776.0,877600.0,877612.27,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,ACQUIRING_FEE,1400.0,901.0,90100.0,73811.83,0.819,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,INTERNAL_TRANSFER_MEMO,25000.0,6127.0,612700.0,3581.35,0.006,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,LOGISTICS,7000.0,4413.0,441300.0,83671.51,0.19,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,MARKETING,6000.0,59601.0,5960100.0,402766.0,0.068,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,MATERIALS_MEMO,30350.0,6049.0,604900.0,455612.09,0.753,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,OPEX_OTHER,6000.0,1220.0,122000.0,364754.45,2.99,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,OUTSOURCE,70350.0,21080.0,2108000.0,235380.0,0.112,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,PAYROLL,217642.79,196517.0,19651700.0,3632647.01,0.185,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,RENT,12800.0,16370.0,1637000.0,1226507.87,0.749,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-02,TAX,5000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,ACQUIRING_FEE,1400.0,1701.0,170100.0,133534.73,0.785,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,INTERNAL_TRANSFER_MEMO,45000.0,24073.0,2407300.0,82715.66,0.034,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,LOGISTICS,4500.0,3799.0,379900.0,124000.5,0.326,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,MARKETING,17000.0,11008.0,1100800.0,420293.0,0.382,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,MATERIALS_MEMO,29350.0,7695.0,769500.0,617208.81,0.802,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,OPEX_OTHER,2500.0,1908.0,190800.0,496755.96,2.604,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,OUTSOURCE,72250.0,34053.0,3405300.0,339150.0,0.1,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,PAYROLL,182141.18,181863.0,18186300.0,4714435.37,0.259,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,RENT,12800.0,11916.0,1191600.0,698143.37,0.586,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-03,TAX,5000.0,14304.0,1430400.0,1430366.21,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,ACQUIRING_FEE,1400.0,2198.0,219800.0,127950.2,0.582,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,INTERNAL_TRANSFER_MEMO,25000.0,59589.0,5958900.0,118050.51,0.02,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,LOGISTICS,4500.0,9418.0,941800.0,91739.82,0.097,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,MARKETING,61000.0,13772.0,1377200.0,627532.0,0.456,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,MATERIALS_MEMO,19700.0,22267.0,2226700.0,299977.15,0.135,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,OPEX_OTHER,2000.0,10462.0,1046200.0,539946.96,0.516,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,OUTSOURCE,56800.0,44400.0,4440000.0,408843.0,0.092,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,PAYROLL,199751.36,192004.0,19200400.0,4269884.28,0.222,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,RENT,12800.0,16434.0,1643400.0,1193062.62,0.726,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-04,TAX,46000.0,29145.0,2914500.0,2914477.5,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,ACQUIRING_FEE,1400.0,1032.0,103200.0,70073.69,0.679,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,INTERNAL_TRANSFER_MEMO,25000.0,56611.0,5661100.0,12801.52,0.002,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,LOGISTICS,7000.0,15011.0,1501100.0,210507.36,0.14,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,MARKETING,36000.0,35958.0,3595800.0,76000.0,0.021,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,MATERIALS_MEMO,20700.0,9313.0,931300.0,564613.61,0.606,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,OPEX_OTHER,2000.0,1317.0,131700.0,100736.86,0.765,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,OUTSOURCE,56500.0,34469.0,3446900.0,561155.95,0.163,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,PAYROLL,181096.23,180953.0,18095300.0,4443931.16,0.246,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,RENT,12800.0,13553.0,1355300.0,882430.75,0.651,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-05,TAX,13000.0,4810.0,481000.0,481001.0,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,ACQUIRING_FEE,1400.0,0.0,0.0,167207.24,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,INTERNAL_TRANSFER_MEMO,45000.0,0.0,0.0,56320.83,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,LOGISTICS,7000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,MARKETING,36000.0,0.0,0.0,288766.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,MATERIALS_MEMO,21100.0,0.0,0.0,112601.96,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,OPEX_OTHER,2500.0,0.0,0.0,278744.16,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,OUTSOURCE,62900.0,0.0,0.0,291630.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,PAYROLL,200465.28,0.0,0.0,3223054.94,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,RENT,12800.0,0.0,0.0,866111.74,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-06,TAX,13000.0,0.0,0.0,200964.3,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,ACQUIRING_FEE,1000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,INTERNAL_TRANSFER_MEMO,35000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,LOGISTICS,7000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,MARKETING,19000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,MATERIALS_MEMO,17600.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,OPEX_OTHER,2500.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,OUTSOURCE,50400.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,PAYROLL,221950.96,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,RENT,12800.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-07,TAX,37400.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,ACQUIRING_FEE,1000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,INTERNAL_TRANSFER_MEMO,30000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,LOGISTICS,4000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,MARKETING,14000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,MATERIALS_MEMO,4250.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,OPEX_OTHER,1000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,OUTSOURCE,44850.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,PAYROLL,194157.28,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,RENT,12800.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-08,TAX,12400.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,ACQUIRING_FEE,1500.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,INTERNAL_TRANSFER_MEMO,45000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,LOGISTICS,4000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,MARKETING,6000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,MATERIALS_MEMO,25250.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,OPEX_OTHER,2000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,OUTSOURCE,46850.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,PAYROLL,175830.13,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,RENT,12800.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-09,TAX,12400.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,ACQUIRING_FEE,1500.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,INTERNAL_TRANSFER_MEMO,25000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,LOGISTICS,4000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,MARKETING,56000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,MATERIALS_MEMO,13000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,OPEX_OTHER,3000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,OUTSOURCE,49900.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,PAYROLL,192984.08,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,RENT,12800.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-10,TAX,31000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,ACQUIRING_FEE,2000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,INTERNAL_TRANSFER_MEMO,30000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,LOGISTICS,4000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,MARKETING,9000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,MATERIALS_MEMO,4000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,OPEX_OTHER,2500.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,OUTSOURCE,34900.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,PAYROLL,200683.15,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,RENT,12800.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-11,TAX,11000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,ACQUIRING_FEE,2000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,INTERNAL_TRANSFER_MEMO,45000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,LOGISTICS,4000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,MARKETING,14000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,MATERIALS_MEMO,5000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,OPEX_OTHER,3500.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,OUTSOURCE,29900.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,PAYROLL,383966.31,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,RENT,13900.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2026-12,TAX,11000.0,0.0,0.0,0.0,,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
