budget_id,period_month,article,section,plan_eur,fact_eur,variance_eur,variance_pct,plan_rub_fx100,fact_rub_fx100,opex_bucket_map,source_file,source_file_id,unit_assumption,so_t
BUD2025H2,2025-09,Производство продукции (аутсорсинг),expense,20000.0,6612.0,-13388.0,-66.9,2000000.0,661200.0,OUTSOURCE,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-05,"Заработная плата, в том числе:",expense,71396.23,84649.0,13252.77,18.6,7139623.0,8464900.0,PAYROLL,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-05,наличные,expense,65000.0,51865.0,-13135.0,-20.2,6500000.0,5186500.0,PAYROLL,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-03,ИМ,income,19000.0,6365.0,-12635.0,-66.5,1900000.0,636500.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-03,наличные,expense,65000.0,52641.0,-12359.0,-19.0,6500000.0,5264100.0,PAYROLL,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-02,"Заработная плата, в том числе:",expense,107942.79000000001,95879.0,-12063.79,-11.2,10794279.0,9587900.0,PAYROLL,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-02,"Производство продукции (аутсорсинг), в т.ч.:",expense,19400.0,7429.0,-11971.0,-61.7,1940000.0,742900.0,OUTSOURCE,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-04,Производство МД,expense,10000.0,21655.0,11655.0,116.5,1000000.0,2165500.0,OUTSOURCE,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-05,"Материалы (ткани, фурнитура), в т.ч.:",expense,20700.0,9313.0,-11387.0,-55.0,2070000.0,931300.0,MATERIALS_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-02,производство Площадки+ИМ (Меркушина),expense,13900.0,3337.0,-10563.0,-76.0,1390000.0,333700.0,OUTSOURCE,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-08,Производство продукции (аутсорсинг),expense,20000.0,9682.0,-10318.0,-51.6,2000000.0,968200.0,OUTSOURCE,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-02,ЦУМ,income,20000.0,9842.89,-10157.11,-50.8,2000000.0,984289.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-07,Налоги с доходов,expense,30000.0,20158.0,-9842.0,-32.8,3000000.0,2015800.0,TAX,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-04,ИМ,income,22000.0,31791.0,9791.0,44.5,2200000.0,3179100.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
