canonical_sku,name,channels,lines,qty,revenue_rub,cogs_rub,margin_rub,margin_pct
0-3355,"Блуза женская, белая с принтом ""черные листья"", из шифона, с объемными рукавами",IM,12,6.0,331500.0,318038.3,13461.7,4.1
0-2829,"Платье женское, белое, из шелка, с рисунком ""ЦВЕТЫ""",IM,1,1.0,20000.0,18650.0,1350.0,6.8
0-3183,"Юбка женская, белая, из футера, с вышивкой ""Ришелье""",IM,9,3.0,107300.0,98389.0,8911.0,8.3
0-1241A,"Юбка женская, белая, из фатина, расшита крупными пайетками",IM,1,1.0,15000.0,13650.0,1350.0,9.0
0-3356,"Платье женское, черное с принтом ""белые листья"", из шелка, с объемными рукавами на резинке",IM,2,1.0,81600.0,71785.8,9814.2,12.0
0-3240,"Юбка женская, черная, из сетки, с шелковым поясом, А-силуэт",IM,2,1.0,31450.0,27334.99,4115.01,13.1
0-3341,"Брюки женские, черные, из костюмной ткани, зауженные к низу",IM,4,2.0,68000.0,57417.2,10582.8,15.6
0-3185,"Блуза женская, черная, из трикотажа, с вышивкой ""Ришелье""",IM,6,3.0,108100.0,90894.0,17206.0,15.9
0-2502,"Юбка женская, черная с принтом ""девочки"", из шёлка, c отделкой ""лампас""",IM,2,1.0,30130.0,25301.28,4828.72,16.0
0-3035,"Куртка-бомбер женская, черная, из эко-кожи, с расшивкой камнями",IM,2,1.0,53300.0,44064.0,9236.0,17.3
0-1695,"Туфли женские, серые, из кожи, без каблука, с вышивкой YC",IM,2,1.0,15750.0,13000.0,2750.0,17.5
0-1690,"Туфли женские, синие, из бархата, без каблука, с расшивкой Y",IM,2,1.0,15750.0,13000.0,2750.0,17.5
0-3053,"Платье женское, черное, из джерси, декорировано кружевом",IM,2,1.0,48550.0,38184.0,10366.0,21.4
0-1549,"Кеды женские, черные, из тканного материала, с расшитой Y",IM,2,1.0,9000.0,7000.0,2000.0,22.2
T-2760,"Юбка женская, черная, из натуральной кожи",TSUM,5,9.0,775496.08,596443.08,179053.0,23.1
0-2536,"Платье женское, белое с принтом ""голубые цветы"", из батиста",B2B,1,1.0,20761.0,15970.0,4791.0,23.1
0-2524,"Рубашка женская, белая с принтом ""голубые цветы"", из батиста, с рукавом ""кимоно""",B2B,1,1.0,12909.0,9930.0,2979.0,23.1
0-2523,"Брюки женские, белые с принтом ""голубые цветы"", из батиста",B2B,1,1.0,6986.0,5374.0,1612.0,23.1
0-1942,"Шорты женские, черные, из бархата, удлиненные",IM,2,2.0,6300.0,4846.0,1454.0,23.1
0-1971,"Платье женское, голубое, из шифона, декорировано вышитыми цветами",IM,1,1.0,20000.0,15080.0,4920.0,24.6
0-2596,"Пальто женское, черное, из шерсти, короткое, с аппликацией ""Большой цветок"" из бархата",TSUM,2,2.0,491400.0,366466.8,124933.2,25.4
0-2515,"Пальто женское, розовое, из костюмной ткани ""Шанель"", декорировано тесьмой по низу рукава",IM,3,2.0,49900.0,37203.0,12697.0,25.4
0-2465A,"Блуза женская, белая, из хлопка, с вышивкой ""Дерево, птицы, Yanina"", с длинным рукавом",IM,2,1.0,31825.0,23588.0,8237.0,25.9
0-1973,"Юбка женская, черная, из крепа, декорирована по низу юбки вышитыми цветами",IM,1,1.0,9000.0,6670.0,2330.0,25.9
0-2468A,"Платье женское, черное в белый горох, из шелка, со съемным воротником и белыми манжетами",TSUM,2,2.0,504000.0,372998.67,131001.33,26.0
