channel,period_month,lines,lines_with_cogs,cogs_coverage,qty,revenue_rub,revenue_costed_rub,cogs_rub,margin_rub,margin_pct,status
IM,2024-06,84,79,0.94,84.0,3546814.0,3540014.0,625951.33,2914062.67,82.3,OK
IM,2024-07,30,24,0.8,26.0,1290985.0,1282385.0,178067.45,1104317.55,86.1,PARTIAL
IM,2024-08,45,44,0.978,17.0,977346.0,975846.0,277623.63,698222.37,71.6,OK
IM,2024-09,69,66,0.957,34.0,2401875.0,2397675.0,728814.75,1668860.25,69.6,OK
IM,2024-10,52,50,0.962,34.0,2393932.0,2390932.0,526662.96,1864269.04,78.0,OK
IM,2024-11,103,100,0.971,51.0,2959801.0,2879641.0,771868.47,2107772.53,73.2,OK
IM,2024-12,153,141,0.922,81.0,4007322.0,3842672.0,1074823.71,2767848.29,72.0,OK
IM,2025-01,31,29,0.935,17.0,776530.0,773830.0,258280.37,515549.63,66.6,OK
IM,2025-02,73,68,0.932,40.0,1604595.0,1599095.0,535833.25,1063261.75,66.5,OK
IM,2025-03,174,160,0.92,102.0,2968405.0,2921961.26,1352088.54,1569872.72,53.7,OK
IM,2025-04,47,42,0.894,26.0,1837645.0,1798345.0,448386.14,1349958.86,75.1,OK
IM,2025-05,74,69,0.932,39.0,1973876.0,1930246.0,595756.59,1334489.41,69.1,OK
IM,2025-06,31,27,0.871,19.0,1092781.0,1088381.0,322270.27,766110.73,70.4,OK
IM,2025-07,73,66,0.904,44.0,2030938.0,2022938.0,668115.88,1354822.12,67.0,OK
IM,2025-08,167,153,0.916,99.0,3594028.0,3535528.0,1305736.94,2229791.06,63.1,OK
IM,2025-09,33,29,0.879,20.0,848535.0,843435.0,311309.43,532125.57,63.1,OK
IM,2025-10,20,18,0.9,10.0,676092.0,673692.0,166213.42,507478.58,75.3,OK
IM,2025-11,49,47,0.959,24.0,2225327.0,2222927.0,613266.2,1609660.8,72.4,OK
IM,2025-12,28,27,0.964,16.0,1858768.0,1857568.0,434763.76,1422804.24,76.6,OK
IM,2026-01,86,84,0.977,47.0,1561180.0,1538130.0,757456.31,780673.69,50.8,OK
IM,2026-02,28,28,1.0,14.0,761200.0,761200.0,252042.54,509157.46,66.9,OK
IM,2026-03,20,18,0.9,11.0,408090.0,406490.0,145100.57,261389.43,64.3,OK
IM,2026-04,68,64,0.941,36.0,3399021.0,3394421.0,1331386.69,2063034.31,60.8,OK
IM,2026-05,70,68,0.971,37.0,2080322.05,2077622.05,999313.83,1078308.22,51.9,OK
IM,2026-06,40,40,1.0,20.0,1852602.0,1852602.0,694895.97,1157706.03,62.5,OK
TSUM,2024-01,27,27,1.0,31.0,4773903.0,4773903.0,2988897.73,1785005.27,37.4,OK
TSUM,2024-02,18,18,1.0,22.0,3159867.53,3159867.53,2007553.37,1152314.16,36.5,OK
TSUM,2024-03,13,13,1.0,16.0,2368171.81,2368171.81,1570450.79,797721.02,33.7,OK
TSUM,2024-04,33,33,1.0,45.0,4922025.18,4922025.18,3239596.42,1682428.76,34.2,OK
TSUM,2024-05,29,29,1.0,46.0,5842029.52,5842029.52,3989840.74,1852188.78,31.7,OK
TSUM,2024-06,39,39,1.0,75.0,8225662.05,8225662.05,5424081.32,2801580.73,34.1,OK
TSUM,2024-07,32,32,1.0,46.0,4562870.54,4562870.54,2743492.49,1819378.05,39.9,OK
TSUM,2024-08,15,15,1.0,17.0,2264524.36,2264524.36,1535302.08,729222.28,32.2,OK
TSUM,2024-09,25,25,1.0,34.0,5063730.48,5063730.48,3443729.59,1620000.89,32.0,OK
TSUM,2024-10,19,19,1.0,28.0,3467827.43,3467827.43,2327354.46,1140472.97,32.9,OK
TSUM,2024-11,18,18,1.0,24.0,2596099.57,2596099.57,1703908.92,892190.65,34.4,OK
TSUM,2024-12,26,26,1.0,33.0,4372973.86,4372973.86,2610997.5,1761976.36,40.3,OK
TSUM,2025-01,25,25,1.0,24.0,3048185.24,3048185.24,1988473.66,1059711.58,34.8,OK
TSUM,2025-02,14,14,1.0,18.0,2889937.38,2889937.38,1885400.35,1004537.03,34.8,OK
TSUM,2025-03,13,13,1.0,14.0,1962786.85,1962786.85,1244408.71,718378.14,36.6,OK
TSUM,2025-04,23,23,1.0,43.0,4671545.62,4671545.62,3095488.0,1576057.62,33.7,OK
TSUM,2025-05,17,17,1.0,21.0,2306379.36,2306379.36,1481284.77,825094.59,35.8,OK
TSUM,2025-06,41,41,1.0,60.0,5835153.12,5835153.12,3551676.35,2283476.77,39.1,OK
TSUM,2025-07,36,36,1.0,46.0,5851754.15,5851754.15,3845165.32,2006588.83,34.3,OK
TSUM,2025-08,26,26,1.0,31.0,3589891.43,3589891.43,2306897.97,1282993.46,35.7,OK
TSUM,2025-09,27,27,1.0,32.0,5041066.72,5041066.72,3234202.43,1806864.29,35.8,OK
TSUM,2025-10,18,18,1.0,23.0,2377033.0,2377033.0,1581307.35,795725.65,33.5,OK
TSUM,2025-11,26,26,1.0,32.0,4301450.01,4301450.01,2587966.39,1713483.62,39.8,OK
TSUM,2025-12,28,28,1.0,46.0,6804909.2,6804909.2,4348111.4,2456797.8,36.1,OK
TSUM,2026-01,14,14,1.0,15.0,2043925.49,2043925.49,1297046.47,746879.02,36.5,OK
TSUM,2026-02,33,33,1.0,34.0,4032236.59,4032236.59,2641128.1,1391108.49,34.5,OK
TSUM,2026-03,27,27,1.0,37.0,4083280.88,4083280.88,2668329.38,1414951.5,34.7,OK
TSUM,2026-04,22,22,1.0,26.0,3064886.59,3064886.59,1965440.06,1099446.53,35.9,OK
TSUM,2026-05,27,27,1.0,40.0,5525456.6,5525456.6,3702066.65,1823389.95,33.0,OK
TSUM,2026-06,33,33,1.0,39.0,3799712.0,3799712.0,2303321.07,1496390.93,39.4,OK
