period_month,channel,amount_eur,source_file_id,source
2025-04,Salon+Shop,192370.0,FILE-007,SALES_DDS_INCOME
2025-05,Salon+Shop,207701.0,FILE-007,SALES_DDS_INCOME
2025-06,Salon+Shop,214728.0,FILE-007,SALES_DDS_INCOME
2025-07,Salon+Shop,252254.0,FILE-007,SALES_DDS_INCOME
2025-08,Salon+Shop,31181.0,FILE-007,SALES_DDS_INCOME
2025-09,Salon+Shop,156103.0,FILE-007,SALES_DDS_INCOME
2025-10,Salon+Shop,259389.0,FILE-007,SALES_DDS_INCOME
2025-11,Salon+Shop,197527.0,FILE-007,SALES_DDS_INCOME
2025-12,Salon+Shop,232401.0,FILE-007,SALES_DDS_INCOME
2025-01,ИМ,10141.0,FILE-007,SALES_DDS_INCOME
2025-02,ИМ,13156.45,FILE-007,SALES_DDS_INCOME
2025-03,ИМ,29683.69,FILE-007,SALES_DDS_INCOME
2025-04,ИМ,19877.93,FILE-007,SALES_DDS_INCOME
2025-05,ИМ,18189.86,FILE-007,SALES_DDS_INCOME
2025-06,ИМ,13490.47,FILE-007,SALES_DDS_INCOME
2025-07,ИМ,16651.15,FILE-007,SALES_DDS_INCOME
2025-08,ИМ,37590.08,FILE-007,SALES_DDS_INCOME
2025-09,ИМ,4915.34,FILE-007,SALES_DDS_INCOME
2025-10,ИМ,13886.84,FILE-007,SALES_DDS_INCOME
2025-11,ИМ,21650.05,FILE-007,SALES_DDS_INCOME
2025-12,ИМ,18087.68,FILE-007,SALES_DDS_INCOME
2025-06,возврат депозита,-11480.56,FILE-007,SALES_DDS_INCOME
2025-03,возврат ИМ,-436.5,FILE-007,SALES_DDS_INCOME
2025-06,возврат ИМ,-308.2,FILE-007,SALES_DDS_INCOME
2025-10,возврат ИМ,-1496.0,FILE-007,SALES_DDS_INCOME
2025-11,возврат ИМ,-867.6,FILE-007,SALES_DDS_INCOME
2025-01,Марьяна SR,100.0,FILE-007,SALES_DDS_INCOME
2025-01,Владивосток,698.5,FILE-007,SALES_DDS_INCOME
2025-02,Владивосток,191.28,FILE-007,SALES_DDS_INCOME
2025-01,Жуковский,589.58,FILE-007,SALES_DDS_INCOME
2025-06,Жуковский,100.0,FILE-007,SALES_DDS_INCOME
2025-01,Иваново,2554.76,FILE-007,SALES_DDS_INCOME
2025-05,Иваново,684.0,FILE-007,SALES_DDS_INCOME
2025-08,Иваново,78.0,FILE-007,SALES_DDS_INCOME
2025-06,Краснодар,200.0,FILE-007,SALES_DDS_INCOME
2025-05,Махачкала,1477.82,FILE-007,SALES_DDS_INCOME
2025-05,Пенза,273.0,FILE-007,SALES_DDS_INCOME
2025-07,Пенза,669.61,FILE-007,SALES_DDS_INCOME
2025-02,Сочи,1715.0,FILE-007,SALES_DDS_INCOME
2025-05,Сочи,1000.0,FILE-007,SALES_DDS_INCOME
2025-05,Королев,3048.54,FILE-007,SALES_DDS_INCOME
2025-05,НБ-Ритейл (Белгород),832.9,FILE-007,SALES_DDS_INCOME
2025-10,СИЗОНС,1959.03,FILE-007,SALES_DDS_INCOME
2025-01,ЦУМ,23372.8,FILE-007,SALES_DDS_INCOME
2025-02,ЦУМ,14340.09,FILE-007,SALES_DDS_INCOME
2025-03,ЦУМ,12965.78,FILE-007,SALES_DDS_INCOME
2025-04,ЦУМ,9238.25,FILE-007,SALES_DDS_INCOME
2025-05,ЦУМ,21119.45,FILE-007,SALES_DDS_INCOME
2025-06,ЦУМ,10833.94,FILE-007,SALES_DDS_INCOME
2025-07,ЦУМ,29224.55,FILE-007,SALES_DDS_INCOME
2025-08,ЦУМ,26799.23,FILE-007,SALES_DDS_INCOME
2025-09,ЦУМ,17296.69,FILE-007,SALES_DDS_INCOME
2025-10,ЦУМ,23530.92,FILE-007,SALES_DDS_INCOME
2025-11,ЦУМ,13702.65,FILE-007,SALES_DDS_INCOME
2025-12,ЦУМ,19513.3,FILE-007,SALES_DDS_INCOME
2025-01,Хабаровск,2000.0,FILE-007,SALES_DDS_INCOME
2025-02,Хабаровск,3000.0,FILE-007,SALES_DDS_INCOME
2025-01,TOTAL,116479.64,FILE-007,SALES_DDS_INCOME
2025-02,TOTAL,400290.82,FILE-007,SALES_DDS_INCOME
2025-03,TOTAL,179493.97,FILE-007,SALES_DDS_INCOME
2025-04,TOTAL,221486.18,FILE-007,SALES_DDS_INCOME
2025-05,TOTAL,254326.57,FILE-007,SALES_DDS_INCOME
2025-06,TOTAL,227563.65,FILE-007,SALES_DDS_INCOME
2025-07,TOTAL,298799.31,FILE-007,SALES_DDS_INCOME
2025-08,TOTAL,95648.31,FILE-007,SALES_DDS_INCOME
2025-09,TOTAL,178315.03,FILE-007,SALES_DDS_INCOME
2025-10,TOTAL,297269.79,FILE-007,SALES_DDS_INCOME
2025-11,TOTAL,232012.1,FILE-007,SALES_DDS_INCOME
2025-12,TOTAL,270001.98,FILE-007,SALES_DDS_INCOME
2026-01,Salon+Shop,74560.0,FILE-007,SALES_DDS_INCOME
2026-02,Salon+Shop,200940.0,FILE-007,SALES_DDS_INCOME
2026-03,Salon+Shop,150875.0,FILE-007,SALES_DDS_INCOME
2026-04,Salon+Shop,278197.0,FILE-007,SALES_DDS_INCOME
2026-05,Salon+Shop,161608.0,FILE-007,SALES_DDS_INCOME
2026-01,ИМ,15623.8,FILE-007,SALES_DDS_INCOME
2026-02,ИМ,7612.1,FILE-007,SALES_DDS_INCOME
2026-03,ИМ,6365.1,FILE-007,SALES_DDS_INCOME
2026-04,ИМ,31790.51,FILE-007,SALES_DDS_INCOME
2026-05,ИМ,14041.79,FILE-007,SALES_DDS_INCOME
2026-01,возврат депозита,-4200.0,FILE-007,SALES_DDS_INCOME
2026-05,возврат ИМ,-1788.0,FILE-007,SALES_DDS_INCOME
2026-01,ЦУМ,32783.01,FILE-007,SALES_DDS_INCOME
2026-02,ЦУМ,9842.89,FILE-007,SALES_DDS_INCOME
2026-03,ЦУМ,18432.83,FILE-007,SALES_DDS_INCOME
2026-04,ЦУМ,19128.13,FILE-007,SALES_DDS_INCOME
2026-05,ЦУМ,14548.51,FILE-007,SALES_DDS_INCOME
2026-01,TOTAL,118766.81,FILE-007,SALES_DDS_INCOME
2026-02,TOTAL,218394.99,FILE-007,SALES_DDS_INCOME
2026-03,TOTAL,175672.93,FILE-007,SALES_DDS_INCOME
2026-04,TOTAL,329115.64,FILE-007,SALES_DDS_INCOME
2026-05,TOTAL,188410.3,FILE-007,SALES_DDS_INCOME
