decision_id,object_type,object_id,issue,evidence,recommended_decision,owner,priority,analysis_unlocked,source_ref,decision,comment,status,due_date,source_stage,priority_score,wave
DEC-00011,SKU alias,MAP-0011,T-3092A ↔ 0-3092A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 200; результат НГ 2024.xlsx / прайс / строка 208,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00012,SKU alias,MAP-0012,T-3092A ↔ 0-3092A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 328 / 40872.00; Себестоимость Жукова.xlsx / 2024 / строка 638 / 33312.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00013,SKU alias,MAP-0013,T-2872 ↔ 0-2872,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 1306; результат круиз 14.04.26.xlsx / прайс / строка 42; результат круиз 22.04.24.xlsx / прайс / строка 399,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00014,SKU alias,MAP-0014,T-2703 ↔ 0-2703,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 1333 / 14975.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00015,SKU alias,MAP-0015,T-2974A ↔ 0-2974A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 1347; результат круиз 22.04.24.xlsx / прайс / строка 912,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00016,SKU alias,MAP-0016,T-2754A ↔ 0-2754A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 1533,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00017,SKU alias,MAP-0017,T-2754A ↔ 0-2754A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 201 / 21551.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 202 / 21551.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 203 / 21271.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 208 / 22960.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 209 / 22960.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00018,SKU alias,MAP-0018,T-3023 ↔ 0-3023,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 662; результат капсула 2024.xlsx / прайс / строка 347,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00019,SKU alias,MAP-0019,T-2792 ↔ 0-2792,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 76,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00020,SKU alias,MAP-0020,T-2984 ↔ 0-2984,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 393; результат капсула 2024.xlsx / прайс / строка 10,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00021,SKU alias,MAP-0021,T-3090 ↔ 0-3090,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 152,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00022,SKU alias,MAP-0022,T-3090 ↔ 0-3090,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 308 / 42027.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00023,SKU alias,MAP-0023,T-2873 ↔ 0-2873,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 1310; результат круиз 14.04.26.xlsx / прайс / строка 52; результат круиз 22.04.24.xlsx / прайс / строка 409,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00024,SKU alias,MAP-0024,T-2873 ↔ 0-2873,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 2501 / 10003.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 172 / 43471.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00025,SKU alias,MAP-0025,T-2541 ↔ 0-2541,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 717 / 10338.00; Себестоимость Жукова.xlsx / 2026 / строка 1767 / 2200.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00026,SKU alias,MAP-0026,T-2985 ↔ 0-2985,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 401; результат капсула 2024.xlsx / прайс / строка 18,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00027,SKU alias,MAP-0027,T-2985 ↔ 0-2985,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2026 / строка 1087 / 28510.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00028,SKU alias,MAP-0028,T-2862 ↔ 0-2862,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 1298; результат круиз 22.04.24.xlsx / прайс / строка 281,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00029,SKU alias,MAP-0029,T-2546 ↔ 0-2546,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 1234,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00030,SKU alias,MAP-0030,T-2546 ↔ 0-2546,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 306 / 20196.67,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00031,SKU alias,MAP-0031,T-2804 ↔ 0-2804,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 92,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00032,SKU alias,MAP-0032,T-1418 ↔ 0-1418,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 15 / 6986.00; Себестоимость Жукова.xlsx / 2024 / строка 474 / 9332.00; Себестоимость Жукова.xlsx / 2025 / строка 1893 / 8837.00; Себестоимость Жукова.xlsx / 2025 / строка 316 / 9607.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00033,SKU alias,MAP-0033,T-2788 ↔ 0-2788,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 43,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00034,SKU alias,MAP-0034,T-2788 ↔ 0-2788,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 272 / 1200.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00035,SKU alias,MAP-0035,T-3079 ↔ 0-3079,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 10; результат НГ 2024.xlsx / прайс / строка 2,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00036,SKU alias,MAP-0036,T-3079 ↔ 0-3079,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 360 / 17922.00; Себестоимость Жукова.xlsx / 2024 / строка 604 / 11647.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00037,SKU alias,MAP-0037,T-3122 ↔ 0-3122,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 221,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00038,SKU alias,MAP-0038,T-3122 ↔ 0-3122,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 404 / 19639.00; Себестоимость Жукова.xlsx / 2025 / строка 583 / 1300.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00039,SKU alias,MAP-0039,T-2472 ↔ 0-2472,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 47 / 7441.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00040,SKU alias,MAP-0040,T-2988 ↔ 0-2988,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 425; результат капсула 2024.xlsx / прайс / строка 42,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00041,SKU alias,MAP-0041,T-3014A ↔ 0-3014A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 613; результат капсула 2024.xlsx / прайс / строка 264,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00042,SKU alias,MAP-0042,T-1960 ↔ 0-1960,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 458 / 8656.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00043,SKU alias,MAP-0043,T-3118A ↔ 0-3118A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 156,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00044,SKU alias,MAP-0044,T-3049 ↔ 0-3049,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 120 / 22401.00; Себестоимость Жукова.xlsx / 2025 / строка 664 / 3080.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00045,SKU alias,MAP-0045,T-3118A ↔ 0-3118A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 460 / 23090.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00046,SKU alias,MAP-0046,T-3088 ↔ 0-3088,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 136,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00047,SKU alias,MAP-0047,T-3088 ↔ 0-3088,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 320 / 83856.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00048,SKU alias,MAP-0048,T-2470 ↔ 0-2470,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 43 / 7178.00; Себестоимость Жукова.xlsx / 2024 / строка 694 / 6623.00; Себестоимость Жукова.xlsx / 2025 / строка 224 / 8673.00; Себестоимость Жукова.xlsx / 2025 / строка 517 / 8673.00; Себестоимость Жукова.xlsx / 2025 / строка 61 / 10023.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00049,SKU alias,MAP-0049,T-2359A ↔ 0-2359A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 698 / 9247.00; Себестоимость Жукова.xlsx / 2025 / строка 216 / 11497.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00050,SKU alias,MAP-0050,T-2806 ↔ 0-2806,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 115,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00051,SKU alias,MAP-0051,T-3109B ↔ 0-3109B,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 36,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00052,SKU alias,MAP-0052,T-3109B ↔ 0-3109B,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 292 / 33621.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00053,SKU alias,MAP-0053,T-2604 ↔ 0-2604,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат капсула 2025.xlsx / прайс / строка 2,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00054,SKU alias,MAP-0054,T-2604 ↔ M-2604,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат капсула 2024.xlsx / прайс / строка 2,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00055,SKU alias,MAP-0055,T-2604 ↔ 0-2604,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 168 / 5530.00; Себестоимость Жукова.xlsx / 2024 / строка 592 / 5705.00; Себестоимость Жукова.xlsx / 2024 / строка 758 / 2705.00; Себестоимость Жукова.xlsx / 2025 / строка 284 / 5391.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 518 / 37562.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 527 / 37557.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 528 / 41393.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 590 / 43019.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 607 / 21395.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00056,SKU alias,MAP-0056,T-1416 ↔ 0-1416,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 1753 / 6894.00; Себестоимость Жукова.xlsx / 2025 / строка 1885 / 6219.00; Себестоимость Жукова.xlsx / 2025 / строка 2397 / 6894.00; Себестоимость Жукова.xlsx / 2025 / строка 312 / 7344.00; Себестоимость Жукова.xlsx / 2025 / строка 859 / 6894.00; Себестоимость Меркушина.xlsx / Площадки / строка 294 / 5571.46,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00057,SKU alias,MAP-0057,T-2911 ↔ 0-2911,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 724,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00058,SKU alias,MAP-0058,T-2924 ↔ 0-2924,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 851,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00059,SKU alias,MAP-0059,T-2805 ↔ 0-2805,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 102,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00060,SKU alias,MAP-0060,T-2805 ↔ POT-2805,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,себестоимость Мокеева 2026.xlsx / 2026 / строка 340 / 23002.95,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00061,SKU alias,MAP-0061,T-2928 ↔ 0-2928,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 861,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00062,SKU alias,MAP-0062,0-2673 ↔ T-2673,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Меркушина.xlsx / ИМ / строка 117 / 16435.89,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00063,SKU alias,MAP-0063,T-3014B ↔ 0-3014B,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат капсула 2024.xlsx / прайс / строка 274,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00064,SKU alias,MAP-0064,T-2973 ↔ 0-2973,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 896,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
