file_id,file_name,type,size_mb,domain,period,entity_scope,technical_content,machine_readability,risk,quality_flags,current_state,current_use,confidentiality,target_system,target_register,required_action,sha256,source
FILE-011,Бюджет 2-е полугодие 2025(1).xlsx,Excel,0.015,Финансы и денежные потоки,2025,Не указано в названии,1 лист(ов); 293 непустых ячеек; 25 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,47b23059c04824e80994501c130695ea0d92d4c915ed4f111af0bb90d491853e,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-012,Бюджет 2026.xlsx,Excel,0.027,Финансы и денежные потоки,2026,Не указано в названии,1 лист(ов); 816 непустых ячеек; 158 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,7b59f03fc58cdbed34e9acb5a9554b3b10995ba398df5d2c43905f0ba2aab17c,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-013,Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx,Excel,0.085,Финансы и денежные потоки,01.01.2024–31.12.2024,Не указано в названии,1 лист(ов); 8 931 непустых ячеек; 0 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,3bb52ee0aff1f384b776bedf4aecf5890d2c69c9b6ee62367a5149b609c72ce3,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-014,Выписка_40802810202620002686_01.01.2025–31.12.2025.xlsx,Excel,0.097,Финансы и денежные потоки,01.01.2025–31.12.2025,Не указано в названии,1 лист(ов); 10 403 непустых ячеек; 0 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,e56d76d98c0100d2f488a5e9cb129f7691d12f0ee7220897395539e7a866c8ea,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-015,Выписка_40802810202620002686_01.01.2026–23.06.2026.xlsx,Excel,0.036,Финансы и денежные потоки,01.01.2026–23.06.2026,Не указано в названии,1 лист(ов); 3 478 непустых ячеек; 0 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,f7e9f79d4112a6de86882297d503d012943fe0e2f282e4436eb04a093cd0e4b5,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-016,Вышивка себестоимость 2024-2026.xlsx,Excel,2.22,Себестоимость и производство,2024–2026,ИП Янина / операционный контур (требует подтверждения по части файлов),7 лист(ов); 66 623 непустых ячеек; 3 945 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Встроенных медиафайлов: 28,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,PLM/ERP/MES,"BOM, production order, операции, cost version",Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,627daa533ffd16aae4cbeeda651e6012595d9fcbb4e0586b4e2d3b8c5f2a7509,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-017,ДДС 2024.xlsx,Excel,0.309,Финансы и денежные потоки,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),9 лист(ов); 19 037 непустых ячеек; 288 формул,Полная: значения и формулы извлечены по всем листам,Средний,Внешние ссылки на локальные пути: 2,Есть частично/с ограничениями,Можно использовать как источник после содержательной сверки. Перед обновлением ссылок заменить локальные пути или зафиксировать значения.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,cc92902423d37a432056be76995f96aac6593c803d63f9a250797c68f8fe4dc8,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-018,ДДС 2025.xlsx,Excel,0.366,Финансы и денежные потоки,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),9 лист(ов); 28 368 непустых ячеек; 102 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,a4ff290aba3fc9e7828c43781ef3383b7a2308855cc54c5d2fe87086e6ea1f98,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-019,ДДС 2026.xlxs.xlsx,Excel,0.189,Финансы и денежные потоки,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),8 лист(ов); 11 069 непустых ячеек; 47 формул,Полная: значения и формулы извлечены по всем листам,Средний,Внешние ссылки на локальные пути: 2,Есть частично/с ограничениями,Можно использовать как источник после содержательной сверки. Перед обновлением ссылок заменить локальные пути или зафиксировать значения.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,ebe873a7ce956dc8fcffdb33a52fa89347a98e1f7ac7294457e409461390a2d3,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-020,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,PDF,1.951,Налоги и обязательная отчётность,1 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),83 стр.; текстовый слой 83/83,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,f74a077718eabd5a25bda1f1f7d84c320e27b65a9c8b9b97263170d98be328ec,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-021,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,PDF,1.856,Налоги и обязательная отчётность,1 кв. 2026,ИП Янина / операционный контур (требует подтверждения по части файлов),75 стр.; текстовый слой 75/75,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,58e7c0a3c0a6a7a02e1604b53ac39e08da7c020f7984c526e85316538a637186,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-022,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,PDF,1.91,Налоги и обязательная отчётность,2 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),81 стр.; текстовый слой 81/81,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,751e72cc84b854ccfa8337778f0292e2ec3d4db787406b27c620d4004fe50fb4,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-023,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,PDF,1.629,Налоги и обязательная отчётность,3 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),68 стр.; текстовый слой 68/68,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,4189b452903722c4ecbc1a72c3a2a4d418bafb67d6a8a2132c936c79f8bbdd8a,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-024,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,PDF,1.907,Налоги и обязательная отчётность,4 кв. 2025,ИП Янина / операционный контур (требует подтверждения по части файлов),81 стр.; текстовый слой 81/81,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,fd5d253e7ee2ba66265b17ef91dc4112a2241272885bbf706155ad881d29c836,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-025,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,PDF,0.236,Налоги и обязательная отчётность,2024,ООО «ДЕКОР»,6 стр.; текстовый слой 6/6,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,3c28c9e1de553f4200e67d8a4c1ba533cc8e651d76e6a888b4195ed10a50a99d,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-026,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,PDF,0.214,Налоги и обязательная отчётность,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),4 стр.; текстовый слой 4/4,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,384293b40f8c821fe09c03dadf6526cf0189aed733aa1cfd85a872ed0c2bf721,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-027,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,PDF,0.236,Налоги и обязательная отчётность,2025,ООО «ДЕКОР»,6 стр.; текстовый слой 6/6,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,12d1111a4489bb076f09469cafbccc8518fbfd2c1a237f73928c5d717f63db98,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-028,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,PDF,0.206,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),4 стр.; текстовый слой 4/4,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,6f9b905decfd14564f228f9dcce3e3806b42234cfea27b4cc9cf510544cbfae6,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-029,Договор_комплексной_диагностики_ИП_Янина_+_паспорт.docx,Word DOCX,0.042,Договоры и проектные документы,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Извлечение: complete,Полная: текст/таблицы извлечены,Низкий,Содержит паспортные/персональные данные,Есть,Использовать только в защищённом контуре; не включать персональные данные в аналитические витрины.,Ограниченный доступ: паспортные/персональные данные,DMS/GRC,"Договоры, NDA, регламенты, approvals",Хранить только в защищённом DMS; не загружать в аналитические витрины,0e9a2e8aa89b4fa9de90726540538048b5e1d1f215851d3cb39d74e0b0baccae,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-030,ЗП за апрель 2025.xlsx,Excel,0.411,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 340 непустых ячеек; 282 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Встроенных медиафайлов: 1,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,bd6b213893f2c7b34aca27074eb51daafb68ce9163623b63cc21f962479c567b,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-031,ЗП за апрель 2026.xlsx,Excel,0.079,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),12 лист(ов); 3 906 непустых ячеек; 376 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,a3d0ba92fb36c1a6eda83cf583c84a2bc0d074b45bf92023e946bc6aba98ec78,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-032,ЗП за июнь 2025.xlsx,Excel,0.07,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 458 непустых ячеек; 309 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,fb5cfe41ed03d0742bdff0d1e392b1cd6f20e1654ddec6980aca3f634ed2aaab,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-033,ЗП за май 2025.xlsx,Excel,0.065,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 191 непустых ячеек; 271 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,5cdda43eb16378f186c51bf58bff4101d49d9188de2f899955b11efcb54166af,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-034,ЗП за май 2026.xlsx,Excel,0.079,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),12 лист(ов); 3 694 непустых ячеек; 368 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,3de974947bcad3855ebb6685bac9733f2093d16069206b857f8e94e3676227cd,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-035,ЗП за март 2025.xlsx,Excel,0.589,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 180 непустых ячеек; 247 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Встроенных медиафайлов: 1,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,bbdde3bd1fdf91f390564c24b53a7e2dfdb1d81798fc53d6bc2c18cb0d119b53,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-036,ЗП за март 2026.xlsx,Excel,0.071,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 749 непустых ячеек; 348 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,0bb9ee76440947352d23014c5be96fddd514ddf12a0ea99c13dddfbd86f256ba,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-037,ЗП за февраль 2025.xlsx,Excel,0.125,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 032 непустых ячеек; 281 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Встроенных медиафайлов: 1,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,2fd7298151e1a5d9ae8c4ce520e9613a78e16e7e8b851f218ca7c3278d1b8041,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-038,ЗП за февраль 2026.xlsx,Excel,0.073,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 3 604 непустых ячеек; 337 формул,Полная: значения и формулы извлечены по всем листам,Критический,10 × #REF!,Есть,Не использовать зависимые итоги и распределения до восстановления ссылок.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,cb8e8dd591819aef6e585d3b2c8cbbfbbda250f11fdcaf9390e309f62fe91e1f,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-039,ЗП за январь 2025.xlsx,Excel,0.329,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),11 лист(ов); 2 735 непустых ячеек; 239 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Встроенных медиафайлов: 1,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,9b9fb12c59e9ef47a35d6d95ab8d48ee46a400ed8bad276a4eb353986a6123d7,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-040,ЗП за январь 2026.xlsx,Excel,0.077,Персонал и оплата труда,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),12 лист(ов); 3 635 непустых ячеек; 352 формул,Полная: значения и формулы извлечены по всем листам,Критический,4 × #REF!,Есть,Не использовать зависимые итоги и распределения до восстановления ссылок.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,b4ed2a1be4900c1f275865b9e8918f7d2dde9d347f6b12e84a6c390deaf56e93,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-041,зп_конструкторы_01.26.xlsx,Excel,0.043,Персонал и оплата труда,01.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),4 лист(ов); 1 289 непустых ячеек; 166 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,d0aa6a1a63832e0184b1654f899acbb0cd418c65a90e4ba26c91ca2b63a58c37,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-042,зп_конструкторы_02.26.xlsx,Excel,0.042,Персонал и оплата труда,02.2026,ИП Янина / операционный контур (требует подтверждения по части файлов),4 лист(ов); 1 291 непустых ячеек; 167 формул,Полная: значения и формулы извлечены по всем листам,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Карантин → исправление → контрольная загрузка,1d6289fef8a44651b165c336b8ebb2332a13a6fb9b0b1008b61e26aa5cbf686a,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
