edge_id,domain,from_file,to_file,relation,period,current_join,current_status,status_class,evidence,missing_key_or_control,target_join,analysis_enabled,owner,false_join_risk
TAX-EDGE-022,Налоги/ФОТ,ЗП за апрель 2026.xlsx,ДДС 2026.xlxs.xlsx,Payroll calculation ↔ ДДС payroll cash,2026-04,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-023,Налоги/ФОТ,ЗП за апрель 2026.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2026-04,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-024,Налоги/ФОТ,ЗП за апрель 2026.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2026-04,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-025,Налоги/ФОТ,ЗП за апрель 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2026-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-026,Налоги/ФОТ,ЗП за апрель 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2026-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-027,Налоги/ФОТ,ЗП за июнь 2025.xlsx,ДДС 2025.xlsx,Payroll calculation ↔ ДДС payroll cash,2025-06,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-028,Налоги/ФОТ,ЗП за июнь 2025.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2025-06,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-029,Налоги/ФОТ,ЗП за июнь 2025.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2025-06,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-030,Налоги/ФОТ,ЗП за июнь 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-06,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-031,Налоги/ФОТ,ЗП за июнь 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-06,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-032,Налоги/ФОТ,ЗП за июнь 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-06,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-033,Налоги/ФОТ,ЗП за июнь 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-06,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-034,Налоги/ФОТ,ЗП за июнь 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-06,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-035,Налоги/ФОТ,ЗП за июнь 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-06,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-036,Налоги/ФОТ,ЗП за май 2025.xlsx,ДДС 2025.xlsx,Payroll calculation ↔ ДДС payroll cash,2025-05,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-037,Налоги/ФОТ,ЗП за май 2025.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2025-05,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-038,Налоги/ФОТ,ЗП за май 2025.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2025-05,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-039,Налоги/ФОТ,ЗП за май 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-040,Налоги/ФОТ,ЗП за май 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-041,Налоги/ФОТ,ЗП за май 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-042,Налоги/ФОТ,ЗП за май 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-043,Налоги/ФОТ,ЗП за май 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-044,Налоги/ФОТ,ЗП за май 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-045,Налоги/ФОТ,ЗП за май 2026.xlsx,ДДС 2026.xlxs.xlsx,Payroll calculation ↔ ДДС payroll cash,2026-05,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-046,Налоги/ФОТ,ЗП за май 2026.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2026-05,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-047,Налоги/ФОТ,ЗП за май 2026.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2026-05,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-048,Налоги/ФОТ,ЗП за май 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2026-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-049,Налоги/ФОТ,ЗП за май 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2026-05,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-050,Налоги/ФОТ,ЗП за март 2025.xlsx,ДДС 2025.xlsx,Payroll calculation ↔ ДДС payroll cash,2025-03,month + displayed control total,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-051,Налоги/ФОТ,ЗП за март 2025.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2025-03,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-052,Налоги/ФОТ,ЗП за март 2025.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2025-03,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-053,Налоги/ФОТ,ЗП за март 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-054,Налоги/ФОТ,ЗП за март 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-055,Налоги/ФОТ,ЗП за март 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-056,Налоги/ФОТ,ЗП за март 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-057,Налоги/ФОТ,ЗП за март 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-058,Налоги/ФОТ,ЗП за март 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-059,Налоги/ФОТ,ЗП за март 2026.xlsx,ДДС 2026.xlxs.xlsx,Payroll calculation ↔ ДДС payroll cash,2026-03,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-060,Налоги/ФОТ,ЗП за март 2026.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2026-03,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-061,Налоги/ФОТ,ЗП за март 2026.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2026-03,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-062,Налоги/ФОТ,ЗП за март 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2026-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-063,Налоги/ФОТ,ЗП за март 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2026-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
