canonical_sku,period_year,qty,sales_amount_rub,unit_cost_rub,cogs_rub,margin_rub,margin_pct,cost_version_id,cost_owner,sales_line_id
T-2541,2025,1.0,50400.0,14130.0,14130.0,36270.0,71.96,CV-6452e36061ecce6a,ZHUKOVA,SL-1442f0383e2562e4
T-2750B,2025,2.0,42000.0,5350.272727272727,10700.55,31299.45,74.52,CV-98101a4547510f16,MERKUSHINA,SL-8e78cc79799e1185
T-1960,2025,2.0,84210.0,12587.0,25174.0,59036.0,70.11,CV-31d4b0b9159c30c4,ZHUKOVA,SL-c0ad5760b6d01206
T-1960,2025,1.0,42105.0,12587.0,12587.0,29518.0,70.11,CV-31d4b0b9159c30c4,ZHUKOVA,SL-8d4e7407c84c6653
T-2703,2025,2.0,110251.995,22134.833333333332,44269.67,65982.33,59.85,CV-bc48d74829029943,MERKUSHINA,SL-65c644020afed13d
T-2703,2025,1.0,55125.9975,22134.833333333332,22134.83,32991.16,59.85,CV-bc48d74829029943,MERKUSHINA,SL-36299f57768152c2
T-2703,2025,1.0,55125.0,22134.833333333332,22134.83,32990.17,59.85,CV-bc48d74829029943,MERKUSHINA,SL-8b8555ccd2d26404
T-2381,2025,1.0,21000.0,5370.067777777777,5370.07,15629.93,74.43,CV-15b95167298bbc28,MERKUSHINA,SL-da8eb03b66582fe4
T-2381,2025,1.0,21000.0,5370.067777777777,5370.07,15629.93,74.43,CV-15b95167298bbc28,MERKUSHINA,SL-708044e77659f63e
T-2381,2025,1.0,21000.0,5370.067777777777,5370.07,15629.93,74.43,CV-15b95167298bbc28,MERKUSHINA,SL-6413a8c5c71805bf
T-2359,2025,1.0,20000.001,6005.702222222222,6005.7,13994.3,69.97,CV-ad40dd546c016603,MERKUSHINA,SL-ba37c92311daa313
T-2359,2025,2.0,40000.002,6005.702222222222,12011.4,27988.6,69.97,CV-ad40dd546c016603,MERKUSHINA,SL-0eaba84b185466a3
T-2359,2025,2.0,40000.002,6005.702222222222,12011.4,27988.6,69.97,CV-ad40dd546c016603,MERKUSHINA,SL-c0132da78c069694
T-1444A,2025,1.0,27199.998,7298.82375,7298.82,19901.17,73.17,CV-4c1d30852ba664fd,MERKUSHINA,SL-8e632499a3cf3b61
T-2472,2025,1.0,21000.0,7185.633333333333,7185.63,13814.37,65.78,CV-e66f275349def41d,MERKUSHINA,SL-0b7cd34c947ef09d
T-2472,2025,2.0,42000.0,7185.633333333333,14371.27,27628.73,65.78,CV-e66f275349def41d,MERKUSHINA,SL-7b37fa4cba27f66f
T-2472,2025,3.0,63000.0,7185.633333333333,21556.9,41443.1,65.78,CV-e66f275349def41d,MERKUSHINA,SL-b1e68f2b0206b060
T-2359A,2025,2.0,49999.992,7465.469090909091,14930.94,35069.05,70.14,CV-883229fb4ff5fabf,MERKUSHINA,SL-9870023dc47204a1
T-2359A,2025,3.0,74999.988,7465.469090909091,22396.41,52603.58,70.14,CV-883229fb4ff5fabf,MERKUSHINA,SL-6caa58717f0ed2ce
T-2359A,2025,1.0,24999.996,7465.469090909091,7465.47,17534.53,70.14,CV-883229fb4ff5fabf,MERKUSHINA,SL-9d3869e74fc3e4f7
T-1418,2025,2.0,52800.006,6445.52,12891.04,39908.97,75.59,CV-81f7fe11b3c74f86,MERKUSHINA,SL-df2aa101d9567f66
T-1418,2025,1.0,26400.003,6445.52,6445.52,19954.48,75.59,CV-81f7fe11b3c74f86,MERKUSHINA,SL-b967ea71348f1ecd
T-1418,2025,2.0,52800.006,6445.52,12891.04,39908.97,75.59,CV-81f7fe11b3c74f86,MERKUSHINA,SL-735283ac8be7362d
T-2470,2025,1.0,22999.998,7329.383333333333,7329.38,15670.61,68.13,CV-a852d3e21511801d,MERKUSHINA,SL-97302147cabe6a17
T-2470,2025,2.0,45999.996,7329.383333333333,14658.77,31341.23,68.13,CV-a852d3e21511801d,MERKUSHINA,SL-466031c0a29a2cbd
T-2470,2025,1.0,22999.998,7329.383333333333,7329.38,15670.61,68.13,CV-a852d3e21511801d,MERKUSHINA,SL-a63f258658422cd8
T-1416,2025,1.0,17000.004,5425.780769230769,5425.78,11574.22,68.08,CV-d8ff60c4383cc0d8,MERKUSHINA,SL-3d26d8637fa93762
T-1416,2025,1.0,17000.004,5425.780769230769,5425.78,11574.22,68.08,CV-d8ff60c4383cc0d8,MERKUSHINA,SL-0dae75b25b65abde
T-1416,2025,3.0,51000.012,5425.780769230769,16277.34,34722.67,68.08,CV-d8ff60c4383cc0d8,MERKUSHINA,SL-d6bd0a591c5ae005
T-2750C,2025,1.0,21000.0,5400.703,5400.7,15599.3,74.28,CV-e492aca3d0c5ac46,MERKUSHINA,SL-9a423336c9bc266b
T-2037E,2025,1.0,41913.56,8510.52125,8510.52,33403.04,79.7,CV-b3a35ab535a0b80f,MERKUSHINA,SL-f16e14e40a0d1a74
T-2037E,2025,1.0,44283.0045,8510.52125,8510.52,35772.48,80.78,CV-b3a35ab535a0b80f,MERKUSHINA,SL-03657ecff787cd7d
T-2806,2025,1.0,54783.0045,7593.298333333334,7593.3,47189.71,86.14,CV-b1c5ec83461aa1fa,MERKUSHINA,SL-15c63c5d9d26f363
T-2750D,2025,2.0,42000.0,5414.3862500000005,10828.77,31171.23,74.22,CV-a82832bc6ebc43a7,MERKUSHINA,SL-dcc6a80f50a2a70f
T-2804,2025,1.0,76238.9985,17754.438000000002,17754.44,58484.56,76.71,CV-8243bd83839bd62c,MERKUSHINA,SL-748ba06a161967a3
T-2804,2025,1.0,76238.9985,17754.438000000002,17754.44,58484.56,76.71,CV-8243bd83839bd62c,MERKUSHINA,SL-6cb4b0ee4c051b3f
T-2804,2025,1.0,76238.9985,17754.438000000002,17754.44,58484.56,76.71,CV-8243bd83839bd62c,MERKUSHINA,SL-1c5c81d282122005
T-2974A,2025,4.0,268435.986,8933.607,35734.43,232701.56,86.69,CV-768590f71e3983bc,MERKUSHINA,SL-cd1c9fbbc1d3feac
T-2974A,2025,2.0,134217.993,8933.607,17867.21,116350.78,86.69,CV-768590f71e3983bc,MERKUSHINA,SL-50447df41304baf4
T-2921,2025,1.0,21457.002,5813.02125,5813.02,15643.98,72.91,CV-36f1d6e620b9667b,MERKUSHINA,SL-06e8a7d86b1a2224
T-2862,2025,1.0,44283.0045,9433.607,9433.61,34849.4,78.7,CV-e1fc5f6411514ae6,MERKUSHINA,SL-81d64c00ce74b9d2
T-2862,2025,1.0,44283.0045,9433.607,9433.61,34849.4,78.7,CV-e1fc5f6411514ae6,MERKUSHINA,SL-ea43c45ef1699370
T-2871A,2025,1.0,43728.63,5535.4525,5535.45,38193.18,87.34,CV-6532ca9b42173557,MERKUSHINA,SL-ce219a966bfcdbc9
T-2973,2025,1.0,32869.998,7499.25,7499.25,25370.75,77.19,CV-b43490f2ff5ea49e,MERKUSHINA,SL-21cf3306fb858080
T-2973,2025,2.0,65739.996,7499.25,14998.5,50741.5,77.19,CV-b43490f2ff5ea49e,MERKUSHINA,SL-4da623f1f47a1db4
T-2911,2025,1.0,57977.997,19554.75,19554.75,38423.25,66.27,CV-2842e34b4170ab60,MERKUSHINA,SL-6ea6a82024e3b8f0
T-2973B,2025,2.0,65739.996,6757.474999999999,13514.95,52225.05,79.44,CV-b389209735ee51e2,MERKUSHINA,SL-771bcbf582416863
T-2973B,2025,2.0,65739.996,6757.474999999999,13514.95,52225.05,79.44,CV-b389209735ee51e2,MERKUSHINA,SL-0c539f952be93938
T-2924,2025,2.0,115955.994,18770.374285714286,37540.75,78415.25,67.63,CV-9d09f1c64acf1b7a,MERKUSHINA,SL-42cb409333bfef36
T-2924,2025,1.0,57977.997,18770.374285714286,18770.37,39207.62,67.63,CV-9d09f1c64acf1b7a,MERKUSHINA,SL-5ca4af32b11a8cac
T-2873,2025,2.0,109566.009,11138.726999999999,22277.45,87288.56,79.67,CV-cb65303d29531c59,MERKUSHINA,SL-939ff068ebe62b35
T-2873,2025,1.0,54783.0045,11138.726999999999,11138.73,43644.28,79.67,CV-cb65303d29531c59,MERKUSHINA,SL-ed3e021a7cc3a78c
T-2865A,2025,2.0,271174.008,35609.58375,71219.17,199954.84,73.74,CV-318f00aa42aab4b6,MERKUSHINA,SL-8b416a16f9bac0ec
T-2873C,2025,1.0,54783.0045,11468.264285714286,11468.26,43314.74,79.07,CV-ea1a547774dcd79d,MERKUSHINA,SL-c6a4088bc911faa1
T-2873C,2025,1.0,54783.0045,11468.264285714286,11468.26,43314.74,79.07,CV-ea1a547774dcd79d,MERKUSHINA,SL-fc5dd896c7a3aed9
T-2861,2025,1.0,26022.003,3548.6688888888893,3548.67,22473.33,86.36,CV-2eedaab074bd1933,MERKUSHINA,SL-fb8006b6c144a2d1
T-2928,2025,1.0,76238.9985,19862.02857142857,19862.03,56376.97,73.95,CV-97723a173ac7e1e9,MERKUSHINA,SL-440c7c1ef26cf5ae
T-2792,2025,1.0,119792.02,38483.43666666667,38483.44,81308.58,67.87,CV-e17f2cabf753f35b,MERKUSHINA,SL-54eb1172476b3ea5
T-2792,2025,1.0,118696.0005,38483.43666666667,38483.44,80212.56,67.58,CV-e17f2cabf753f35b,MERKUSHINA,SL-7008315a2a9b0966
T-2792A,2025,1.0,118696.0005,39521.584,39521.58,79174.42,66.7,CV-60482f9de1fabd0b,MERKUSHINA,SL-6bbbea3ed34dbe20
T-2792A,2025,1.0,118696.0005,39521.584,39521.58,79174.42,66.7,CV-60482f9de1fabd0b,MERKUSHINA,SL-98542f420eba62b0
T-1984P,2025,2.0,31199.994,3645.3725,7290.74,23909.25,76.63,CV-f0b4f1878740fabf,MERKUSHINA,SL-0864786ddc887f06
T-1984P,2025,1.0,15599.997,3645.3725,3645.37,11954.62,76.63,CV-f0b4f1878740fabf,MERKUSHINA,SL-4f36681ebec3a0db
T-2872,2025,2.0,152477.997,15559.527,31119.05,121358.94,79.59,CV-8086297a77c9a7ca,MERKUSHINA,SL-6aaf3dcb046b12ba
T-2872,2025,1.0,76238.9985,15559.527,15559.53,60679.47,79.59,CV-8086297a77c9a7ca,MERKUSHINA,SL-a613ed1f008079f4
T-2865,2025,1.0,135587.004,25377.704,25377.7,110209.3,81.28,CV-fac2e5626ba7c8b0,MERKUSHINA,SL-986ae22afce66773
T-2861A,2025,1.0,26022.003,3059.7799999999997,3059.78,22962.22,88.24,CV-25fc020b020c9e68,MERKUSHINA,SL-365821da482c66d6
T-2861A,2025,1.0,26022.003,3059.7799999999997,3059.78,22962.22,88.24,CV-25fc020b020c9e68,MERKUSHINA,SL-69b709ea3118f7d3
T-2788,2025,1.0,89934.999,38600.976,38600.98,51334.02,57.08,CV-d5058f88a2f18461,MERKUSHINA,SL-ee4e97cc6a4d1bae
T-2788,2025,1.0,89934.999,38600.976,38600.98,51334.02,57.08,CV-d5058f88a2f18461,MERKUSHINA,SL-b8af18e12652c226
T-3023,2025,1.0,160700.001,29317.065,29317.06,131382.94,81.76,CV-e8876ed9a8449317,MERKUSHINA,SL-61ede9196dffb63d
T-2985,2025,2.0,140700.0,25659.64,51319.28,89380.72,63.53,CV-25a5603ab51c4fa6,MERKUSHINA,SL-b9d533d42472423b
T-2604,2025,2.0,72399.999,5744.823,11489.65,60910.35,84.13,CV-81fe8cc869a99a86,MERKUSHINA,SL-e5f8a821ed6956c2
T-2988,2025,1.0,60299.9985,15850.285,15850.28,44449.71,73.71,CV-38b8caf780b66541,MERKUSHINA,SL-60088e46a4603686
T-2988,2025,1.0,60299.9985,15850.285,15850.28,44449.71,73.71,CV-38b8caf780b66541,MERKUSHINA,SL-b89684399ea04da8
T-2381,2025,1.0,22100.001,5370.067777777777,5370.07,16729.93,75.7,CV-15b95167298bbc28,MERKUSHINA,SL-66f28c1699335e29
T-3014C,2025,1.0,98999.9955,16680.0,16680.0,82320.0,83.15,CV-b00e483e0fc4e03b,MERKUSHINA,SL-3f3cfa63aca38116
T-3062,2025,1.0,22100.001,6547.767692307693,6547.77,15552.23,70.37,CV-5085823621dc7e2f,MERKUSHINA,SL-4a039c6d74a313e3
T-3062,2025,1.0,22100.001,6547.767692307693,6547.77,15552.23,70.37,CV-5085823621dc7e2f,MERKUSHINA,SL-3970b6e96ad78517
T-3062,2025,1.0,22100.001,6547.767692307693,6547.77,15552.23,70.37,CV-5085823621dc7e2f,MERKUSHINA,SL-2dfb3a07e7bb52eb
T-3014A,2025,2.0,197999.991,16680.0,33360.0,164639.99,83.15,CV-a98653ae4b3fa3d8,MERKUSHINA,SL-c93655a0ff059264
T-3014B,2025,1.0,98999.9955,56550.0,56550.0,42450.0,42.88,CV-a73f663d10840f6a,MERKUSHINA,SL-5480aa54aa779e2c
0-2455A,2025,1.0,18215.001,13038.0,13038.0,5177.0,28.42,CV-1e65cc72dc5e2f38,MERKUSHINA,SL-e13e528920f98f97
T-2472,2025,2.0,42000.0,7185.633333333333,14371.27,27628.73,65.78,CV-e66f275349def41d,MERKUSHINA,SL-dff6a48706a9a52c
T-3001,2025,1.0,190826.0025,46130.81,46130.81,144695.19,75.83,CV-7de5e1408d461859,MERKUSHINA,SL-71e3f06bcab99e2f
T-3001,2025,2.0,381652.005,46130.81,92261.62,289390.39,75.83,CV-7de5e1408d461859,MERKUSHINA,SL-34ca3208c6c438ca
T-3001,2025,1.0,190826.0025,46130.81,46130.81,144695.19,75.83,CV-7de5e1408d461859,MERKUSHINA,SL-9591396c3081a3fa
T-2984,2025,1.0,231000.0,77050.55799999999,77050.56,153949.44,66.64,CV-0204ac74839eac3f,MERKUSHINA,SL-21dc8573d2e07673
T-3090,2025,1.0,226099.9965,66183.9925,66183.99,159916.0,70.73,CV-3a3d02e468756ff3,MERKUSHINA,SL-0f5bb084008921f3
T-3187,2025,1.0,55250.0025,23815.215714285714,23815.22,31434.79,56.9,CV-744f562467d73279,MERKUSHINA,SL-6e671f88bf4f3403
T-3088,2025,1.0,139150.0005,28417.9,28417.9,110732.1,79.58,CV-4d10f7fa0dcdd406,MERKUSHINA,SL-f932ba333494f5ca
T-3187A,2025,1.0,55250.0025,22462.05,22462.05,32787.95,59.34,CV-ef35f6b857d8b3cd,MERKUSHINA,SL-0822a42da42f4c04
T-3186,2025,1.0,52200.0045,7200.685,7200.69,44999.32,86.21,CV-75562f6092bb2db2,MERKUSHINA,SL-7f1c4509cd0473cc
T-3186,2025,1.0,52200.0045,7200.685,7200.69,44999.32,86.21,CV-75562f6092bb2db2,MERKUSHINA,SL-2a65e164a8909c82
T-3091D,2025,1.0,42200.004,10879.685714285713,10879.69,31320.32,74.22,CV-228527a2e28c206d,MERKUSHINA,SL-21565f163b1f6e2b
T-3079,2025,1.0,113050.0035,34196.705,34196.71,78853.3,69.75,CV-2e029e9b92aacc87,MERKUSHINA,SL-d6e978fb5bcc12e5
T-3079,2025,2.0,226100.007,34196.705,68393.41,157706.6,69.75,CV-2e029e9b92aacc87,MERKUSHINA,SL-54ca2f14b1e4bc06
T-3092A,2025,1.0,113050.0035,28040.441250000003,28040.44,85009.56,75.2,CV-fe65ec683c31a92e,MERKUSHINA,SL-54ac95c30b373097
T-3049,2025,2.0,145300.008,17038.755,34077.51,111222.5,76.55,CV-f5d578c2a293eb31,MERKUSHINA,SL-6d750b96bd9aab8d
T-3049,2025,1.0,72650.004,17038.755,17038.76,55611.25,76.55,CV-f5d578c2a293eb31,MERKUSHINA,SL-424061e9f999beea
T-1960,2025,1.0,42696.28,12587.0,12587.0,30109.28,70.52,CV-31d4b0b9159c30c4,ZHUKOVA,SL-750494104f6551e6
T-2359A,2025,1.0,26856.95,7465.469090909091,7465.47,19391.48,72.2,CV-883229fb4ff5fabf,MERKUSHINA,SL-5b7c25a95166f90f
T-2470,2025,1.0,24708.44,7329.383333333333,7329.38,17379.06,70.34,CV-a852d3e21511801d,MERKUSHINA,SL-fa3a28c2643b45ed
T-1416,2025,1.0,17388.06,5425.780769230769,5425.78,11962.28,68.8,CV-d8ff60c4383cc0d8,MERKUSHINA,SL-e9ef9b2ade470698
T-1416,2025,1.0,16584.25,5425.780769230769,5425.78,11158.47,67.28,CV-d8ff60c4383cc0d8,MERKUSHINA,SL-74bd93071e1db7c9
T-2750C,2025,1.0,21739.27,5400.703,5400.7,16338.57,75.16,CV-e492aca3d0c5ac46,MERKUSHINA,SL-708e638bf2330789
T-2750D,2025,1.0,20177.16,5414.3862500000005,5414.39,14762.77,73.17,CV-a82832bc6ebc43a7,MERKUSHINA,SL-ab4136ad6764f2f0
T-2804,2025,1.0,76085.84,17754.438000000002,17754.44,58331.4,76.67,CV-8243bd83839bd62c,MERKUSHINA,SL-76cb8c3921c87573
T-2862,2025,2.0,92660.42,9433.607,18867.21,73793.21,79.64,CV-e1fc5f6411514ae6,MERKUSHINA,SL-defc3888e5a15ff4
T-2862,2025,1.0,44289.23,9433.607,9433.61,34855.62,78.7,CV-e1fc5f6411514ae6,MERKUSHINA,SL-36a20a9900955d2e
T-2892,2025,1.0,78310.37,15842.974,15842.97,62467.4,79.77,CV-e8a32028c5680d73,MERKUSHINA,SL-4f2f92f2d0565eab
T-2892,2025,1.0,79703.0,15842.974,15842.97,63860.03,80.12,CV-e8a32028c5680d73,MERKUSHINA,SL-d9da8d0d3f4946b4
T-2865A,2025,1.0,138785.48,35609.58375,35609.58,103175.9,74.34,CV-318f00aa42aab4b6,MERKUSHINA,SL-ae60f6097521d2c9
T-2893,2025,1.0,56271.48,7819.911999999999,7819.91,48451.57,86.1,CV-d6a0881634223252,MERKUSHINA,SL-f16eac76104e237a
T-2893,2025,2.0,112550.56,7819.911999999999,15639.82,96910.74,86.1,CV-d6a0881634223252,MERKUSHINA,SL-48fa5e2ddd01d2b6
T-2805,2025,1.0,76943.35,13194.784,13194.78,63748.57,82.85,CV-22dc9cd75e6bf919,MERKUSHINA,SL-0dd93ff8969c2090
T-2792A,2025,1.0,119620.84,39521.584,39521.58,80099.26,66.96,CV-60482f9de1fabd0b,MERKUSHINA,SL-3e286ea2fc45e116
T-3187A,2025,1.0,54667.3,22462.05,22462.05,32205.25,58.91,CV-ef35f6b857d8b3cd,MERKUSHINA,SL-6f7ba7e8aec4e5f4
T-2750B,2025,1.0,21000.0,5350.272727272727,5350.27,15649.73,74.52,CV-98101a4547510f16,MERKUSHINA,SL-5729c8891cb8d7a2
T-1960,2025,1.0,0.0,12587.0,12587.0,-12587.0,,CV-31d4b0b9159c30c4,ZHUKOVA,SL-f3d512f9ef5f0357
T-2359,2025,1.0,20000.001,6005.702222222222,6005.7,13994.3,69.97,CV-ad40dd546c016603,MERKUSHINA,SL-769cf715a1fb6b42
T-2359,2025,1.0,20000.001,6005.702222222222,6005.7,13994.3,69.97,CV-ad40dd546c016603,MERKUSHINA,SL-d97e1ae146dece16
T-2472,2025,1.0,21000.0,7185.633333333333,7185.63,13814.37,65.78,CV-e66f275349def41d,MERKUSHINA,SL-057da046b0d0afe6
T-2472,2025,1.0,21000.0,7185.633333333333,7185.63,13814.37,65.78,CV-e66f275349def41d,MERKUSHINA,SL-f1ff88ecea24f05a
T-1418,2025,1.0,26400.003,6445.52,6445.52,19954.48,75.59,CV-81f7fe11b3c74f86,MERKUSHINA,SL-21b0f16b6ecdb4a6
T-1416,2025,1.0,17000.004,5425.780769230769,5425.78,11574.22,68.08,CV-d8ff60c4383cc0d8,MERKUSHINA,SL-c8c6fbe50f875c60
T-2750D,2025,1.0,21000.0,5414.3862500000005,5414.39,15585.61,74.22,CV-a82832bc6ebc43a7,MERKUSHINA,SL-bc07bad4c1636547
T-2974A,2025,1.0,67108.9965,8933.607,8933.61,58175.39,86.69,CV-768590f71e3983bc,MERKUSHINA,SL-88d128f7b338d748
T-2862,2025,1.0,44283.0045,9433.607,9433.61,34849.4,78.7,CV-e1fc5f6411514ae6,MERKUSHINA,SL-644df0758872bc24
T-2862,2025,2.0,88342.5945,9433.607,18867.21,69475.38,78.64,CV-e1fc5f6411514ae6,MERKUSHINA,SL-71c9877c1c8c2f81
T-2871,2025,1.0,44283.0045,6005.504,6005.5,38277.5,86.44,CV-12bf4709e9e78c85,MERKUSHINA,SL-3ec7ab8dbade1c47
T-2871,2025,1.0,44283.0045,6005.504,6005.5,38277.5,86.44,CV-12bf4709e9e78c85,MERKUSHINA,SL-8a460cd1de602a67
T-2973,2025,1.0,32869.998,7499.25,7499.25,25370.75,77.19,CV-b43490f2ff5ea49e,MERKUSHINA,SL-1b6003be120b7614
