canonical_sku,article_aliases,name_samples,seen_in_tsum,seen_in_cost,in_intersection,tsum_qty_total,tsum_amount_total
0-2037,0-2037,БРЮКИ | брюки батист,N,Y,N,0.0,0.0
0-2050,0-2050,пальто-халат | шорты,N,Y,N,0.0,0.0
0-2050F,0-2050F,ШОРТЫ,N,Y,N,0.0,0.0
0-2050M,0-2050М,ШОРТЫ,N,Y,N,0.0,0.0
0-2052,0-2052,юбка батист,N,Y,N,0.0,0.0
0-2075B,0-2075В,КЕЙП,N,Y,N,0.0,0.0
0-2117,0-2117,платье,N,Y,N,0.0,0.0
0-2125,0-2125,Платье женское(Черный/M-L)НЕ00788177,Y,N,N,1.0,98186.29
0-2137,0-2137,БЛУЗА,N,Y,N,0.0,0.0
0-2173A,0-2173А,БЛУЗА,N,Y,N,0.0,0.0
0-2246B,0-2246B,Платье женское(Розовый/M-L)НЕ00830951 | Платье женское(Розовый/S-M)НЕ00830951,Y,N,N,2.0,84674.0
0-2317,0-2317,ПАЛЬТО,N,Y,N,0.0,0.0
0-2319,0-2319,КУРТКА,N,Y,N,0.0,0.0
0-2320A,0-2320А,"Юбка женская, с черным принтом(Белый/S)НЕ00788215",Y,N,N,1.0,17378.0
0-2352C,0-2352с,пальто,N,Y,N,0.0,0.0
0-2359A,0-2359А,СВИТШОТ,N,Y,N,0.0,0.0
0-2364A,0-2364А,БЛУЗА,N,Y,N,0.0,0.0
0-2393,0-2393,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-2397,0-2397,Платье женское(Черный/S-M)НЕ00798825,Y,N,N,1.0,119960.43
0-2397B,0-2397B,Накидка-болеро(Черный/M-L)НЕ00861923,Y,N,N,1.0,103500.0
0-2401B,0-2401в,брюки,N,Y,N,0.0,0.0
0-2406,0-2406,ЮБКА,N,Y,N,0.0,0.0
0-2415,0-2415,Блуза-боди женская декорирован(Т-серый/S-M)НЕ00815806,Y,N,N,0.0,0.0
0-2455,0-2455,Юбка женская(Черный/S)НЕ00904248 | Юбка женская(Черный/S-M)НЕ00904248,Y,N,N,2.0,109917.33
0-2455A,0-2455 А | 0-2455А,ЮБКА | Юбка женская(Черный/S)НЕ00922111,Y,Y,Y,1.0,18215.0
0-2456A,0-2456А,Платье женское(Черный/M-L)НЕ00849675 | Платье женское(Черный/S-M)НЕ00849675,Y,N,N,2.0,220151.55
0-2458,0-2458,"Блуза-боди женская, черная, из(Черный/S-M)НЕ00849672",Y,N,N,1.0,34043.0
0-2460A,0-2460А/3,БОМБЕР,N,Y,N,0.0,0.0
0-2461,0-2461,"Платье женское, из исскуственн(Черный/S-M)НЕ00850286",Y,N,N,1.0,94321.55
0-2462A,0-2462А,"Жакет женский, черный, из стре(Черный/M-L)НЕ00849676 | Жакет женский, черный, из стре(Черный/S-M)НЕ00849676",Y,N,N,1.0,54783.0
0-2464,0-2464,"Пальто женское, черное, из стр(Черный/M-L)НЕ00849750",Y,N,N,1.0,70435.0
0-2468A,0-2468А,"Платье женское, черное в белый(Черный/M-L)НЕ00849674",Y,N,N,2.0,219130.0
0-2469A,0-2469A,Платье женское(Черный/L)НЕ00850285 | Платье женское(Черный/S-M)НЕ00850285,Y,N,N,3.0,266869.7
0-2470,0-2470,ЮБКА,N,Y,N,0.0,0.0
0-2471,0-2471,БРЮКИ | СВИТШОТ,N,Y,N,0.0,0.0
0-2472,0-2472,БРЮКИ,N,Y,N,0.0,0.0
0-2473,0-2473,КАРДИГАН,N,Y,N,0.0,0.0
0-2475B,0-2475B,Рубашка женская свободного сил(Серый/NS)НЕ00879845,Y,N,N,3.0,76124.95
0-2475C,0-2475С,Рубашка женская свободного сил(Белый/NS)НЕ00830864,Y,N,N,1.0,22319.0
0-2477A,0-2477А,"Рубашка пижамная женская, черн(Разноцв/M-L)НЕ00831092",Y,N,N,1.0,59270.91
0-2478,0-2478,"Рубашка женская, из хлопка, с(Белый/S-M)НЕ00830858",Y,N,N,2.0,44638.0
0-2479A,0-2479А,"Рубашка пижамная женская, черн(Разноцв/S-M)НЕ00830861",Y,N,N,1.0,42337.0
0-2480A,0-2480А,"Блуза женская, белая с принтом(Белый/S-M)НЕ00831084",Y,N,N,1.0,48981.0
0-2481A,0-2481А,"Брюки пижамные женские, черные(Разноцв/S-M)НЕ00831080",Y,N,N,1.0,34336.75
0-2481D,0-2481D,Брюки женские(Белый/S-M)НЕ00831100,Y,N,N,1.0,27259.0
0-2482A,0-2482A,"Брюки женские, чёрные с принто(Черный/S-M)НЕ00830866",Y,N,N,2.0,54518.0
0-2487A,0-2487A,"Пальто-халат женское, белое, и(Белый/S-M)НЕ00831109",Y,N,N,1.0,63058.8
0-2487B,0-2487B,"Пальто-халат женское, черное,(Разноцв/S-M)НЕ00830870",Y,N,N,1.0,51430.55
0-2489,0-2489,"Куртка женская, синяя, из дени(Синий/S-M)НЕ00831110 | жакет",Y,Y,Y,1.0,65593.0
0-2490,0-2490,"Юбка женская, синяя, из денима(Синий/M-L)НЕ00831087",Y,N,N,1.0,17293.0
0-2491,0-2491,Платье женское длинное из бело(Белый/NS)НЕ00830862,Y,N,N,1.0,53326.0
0-2492,0-2492,"Платье женское, черное с 3D пр(Черный/M-L)НЕ00831094 | Платье женское, черное с 3D пр(Черный/S-M)НЕ00831094",Y,N,N,2.0,160148.0
0-2493,0-2493,"Платье женское, белое с принто(Белый/M-L)НЕ00831093 | Платье женское, белое с принто(Белый/S-M)НЕ00831093",Y,N,N,5.0,203722.57
0-2499,0-2499,"Платье женское, розовое с прин(Розовый/M-L)НЕ00831079 | Платье женское, розовое с прин(Розовый/S-M)НЕ00831079",Y,N,N,4.0,160227.52
0-2540,0-2540,БЛУЗА,N,Y,N,0.0,0.0
0-2541,0-2541,БРЮКИ,N,Y,N,0.0,0.0
0-2546,0-2546 | 0-2546/4,КИМОНО,N,Y,N,0.0,0.0
0-2548,0-2548 | 0-2548/1,КАФТАН | Туника,N,Y,N,0.0,0.0
0-2560,0-2560,КИМОНО,N,Y,N,0.0,0.0
0-2560A,0-2560А,Кимоно,N,Y,N,0.0,0.0
0-2560C,0-2560с,ниж.юбка,N,Y,N,0.0,0.0
0-2573A,0-2573А,Шорты,N,Y,N,0.0,0.0
0-2590,0-2590,"Платье женское, черное, корсет(Черный/S-M)НЕ00849681",Y,N,N,0.0,0.0
0-2592,0-2592/1 | 0-2592/4,"Свитер женский, зеленый, из ка(Зеленый/S-M)НЕ00849559 | Свитер женский, черный, из каш(Черный/S-M)НЕ00849560",Y,N,N,2.0,93914.0
0-2593,0-2593/2,Свитер женский вязаный на вяза(Черный/S-M)НЕ00849558,Y,N,N,1.0,57521.74
0-2594,0-2594,"Куртка-бомбер женская, черная,(Черный/M-L)НЕ00849749 | Куртка-бомбер женская, черная,(Черный/S-M)НЕ00849749",Y,N,N,2.0,281738.0
0-2595,0-2595,"Жакет женский, черный, из барх(Черный/S-M)НЕ00850008",Y,N,N,1.0,101739.0
0-2596,0-2596,"Пальто женское, из шерсти, на(Черный/S-M)НЕ00849748",Y,N,N,2.0,213651.9
0-2597,0-2597,"Пальто женское, черное, из шер(Черный/S-M)НЕ00849756",Y,N,N,1.0,141746.05
0-2598,0-2598,"Брюки женские, черные, из шелк(Черный/M-L)НЕ00850009 | Брюки женские, черные, из шелк(Черный/S-M)НЕ00850009",Y,N,N,6.0,288886.43
0-2599,0-2599,"Жакет женский, черный, из креп(Черный/M-L)НЕ00849673",Y,N,N,1.0,124752.77
0-2600,0-2600,БРЮКИ | Брюки,Y,Y,Y,1.0,37957.0
0-2600A,0-2600 А | 0-2600А,БРЮКИ | Брюки,N,Y,N,0.0,0.0
0-2604,0-2604,"ЮБКА | Юбка женская, черная, из стрей(Черный/M-L)НЕ00849680",Y,Y,Y,2.0,60000.0
0-2658,0-2658,"Платье женское, черное, из бар(Черный/M-L)НЕ00866519 | Платье женское, черное, из бар(Черный/S-M)НЕ00866519",Y,N,N,5.0,253240.5
0-2658A,0-2658A | 0-2658А,"Платье женское, из паейток, с(Серебряный/S-M)НЕ00866888 | Платье женское, серебро, из па(NS/M-L)НЕ00879846",Y,N,N,4.0,325443.19
0-2661,0-2661,"Платье женское, черное, из шел(Черный/S-M)НЕ00866889",Y,N,N,2.0,265850.96
0-2665,0-2665,"Блуза женская, белая, из шелка(Белый/M-L)НЕ00866897 | Блуза женская, белая, из шелка(Белый/S-M)НЕ00866897",Y,N,N,4.0,207297.48
0-2666,0-2666,Юбка женская(NS/M-L)НЕ00866883 | Юбка женская(Серебряный/M-L)НЕ00866883,Y,N,N,5.0,265107.93
0-2668,0-2668,"Платье женское, черное, длинно(Черный/M-L)НЕ00866893 | Платье женское, черное, длинно(Черный/S-M)НЕ00866893",Y,N,N,2.0,186283.5
0-2669A,0-2669A | 0-2669А,"Платье женское, из бархата стр(Черный/M-L)НЕ00866886 | Платье женское, черное, из бар(Черный/M-L)НЕ00879853",Y,N,N,5.0,538348.08
0-2671,0-2671,"Блуза женская, из шифона, с кр(Черный/M-L)НЕ00866890 | Блуза женская, из шифона, с кр(Черный/S-M)НЕ00866890",Y,N,N,4.0,159825.1
0-2672,0-2672,"Юбка женская, черная, из пайет(Черный/M-L)НЕ00866895",Y,N,N,1.0,66846.93
0-2673,0-2673,"БЛУЗОН | Блуза женская,из бархата стрей(Черный/M-L)НЕ00866898",Y,Y,Y,3.0,198261.0
0-2674,0-2674,"Брюки женские, из бархата стре(Черный/M-L)НЕ00866885",Y,N,N,1.0,40065.0
0-2675,0-2675,Жакет женский(Черный/M-L)НЕ00865007 | Жакет женский(Черный/S-M)НЕ00865007,Y,N,N,5.0,400424.25
0-2676,0-2676,"Брюки женские, черные, из барх(Черный/M-L)НЕ00865006 | Брюки женские, черные, из барх(Черный/S-M)НЕ00865006",Y,N,N,5.0,201380.51
0-2683,0-2683,"Платье женское, из шелка в бел(Черный/M-L)НЕ00865008 | Платье женское, из шелка в бел(Черный/S-M)НЕ00865008",Y,N,N,3.0,352963.75
0-2686,0-2686,БЛУЗА,N,Y,N,0.0,0.0
0-2689,0-2689,Юбка женская(Черный/M-L)НЕ00866894 | Юбка женская(Черный/S-M)НЕ00866894,Y,N,N,3.0,198261.0
0-2690,0-2690,"Блуза женская,из ткани с пайет(Черный/M-L)НЕ00866896",Y,N,N,1.0,90870.0
0-2691,0-2691,"Брюки женские, черные, из барх(Черный/M-L)НЕ00866892 | Брюки женские, черные, из барх(Черный/S-M)НЕ00866892",Y,N,N,3.0,84136.5
0-2702,0-2702,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-2703,0-2703,БЛУЗА,N,Y,N,0.0,0.0
0-2721,0-2721,"Платье женское, из шифона, дли(Бежевый/M-L)НЕ00866887",Y,N,N,1.0,132200.0
0-2750A,0-2750а,топ,N,Y,N,0.0,0.0
0-2754,0-2754,платье | платье сорочка,N,Y,N,0.0,0.0
0-2754A,0-2754а,платье | платье комб,N,Y,N,0.0,0.0
0-2779,0-2779,КЕЙП | кейп,N,Y,N,0.0,0.0
0-2779A,0-2779А,КЕЙП,N,Y,N,0.0,0.0
0-2781,0-2781,ЮБКА | юбка,N,Y,N,0.0,0.0
0-2788,0-2788,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-2814,0-2814,"Платье женское, красное, из дю(Красный/M-L)НЕ00866891 | Платье женское, красное, из дю(Красный/S-M)НЕ00866891",Y,N,N,3.0,470871.0
0-2815,0-2815,Платье женское(Черный/M-L)НЕ00866518 | Платье женское(Черный/S-M)НЕ00866518,Y,N,N,6.0,445281.16
0-2816,0-2816,"Платье женское, черное, из бар(Черный/M-L)НЕ00866517 | Платье женское, черное, из бар(Черный/S-M)НЕ00866517",Y,N,N,3.0,327542.55
0-2817,0-2817,Блуза женская(Белый/M-L)НЕ00866884 | Блуза женская(Белый/S-M)НЕ00866884,Y,N,N,4.0,212625.0
0-2850,0-2850,ПАЛЬТО-ХАЛАТ,N,Y,N,0.0,0.0
0-2852,0-2852,КАФТАН,N,Y,N,0.0,0.0
0-2854,0-2854,КАФТАН | КЕЙП,N,Y,N,0.0,0.0
0-2854A,0-2854А,КАФТАН,N,Y,N,0.0,0.0
0-2855,0-2855,КАФТАН,N,Y,N,0.0,0.0
0-2873,0-2873,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-2885,0-2885,КИМОНО,N,Y,N,0.0,0.0
0-2892,0-2892,БЛУЗА,N,Y,N,0.0,0.0
0-2894,0-2894,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-2931A,0-2931А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-2983,0-2983,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-2985,0-2985,ЮБКА,N,Y,N,0.0,0.0
0-2991,0-2991,водолазка,N,Y,N,0.0,0.0
0-2992,0-2992,сарафан,N,Y,N,0.0,0.0
0-2993,0-2993,юбка н/п,N,Y,N,0.0,0.0
0-2993A,0-2993А,жакет,N,Y,N,0.0,0.0
0-3001,0-3001,КУРТКА,N,Y,N,0.0,0.0
0-3014,0-3014,СВИТЕР,N,Y,N,0.0,0.0
0-3018,0-3018,платье колье,N,Y,N,0.0,0.0
0-3019,0-3019,ПАЛЬТО,N,Y,N,0.0,0.0
0-3024,0-3024,ЮБКА,N,Y,N,0.0,0.0
0-3025,0-3025,БЛУЗОН | жакет,N,Y,N,0.0,0.0
0-3026,0-3026,брюки,N,Y,N,0.0,0.0
0-3029,0-3029,БРЮКИ | Брюки шелковые  на резинке,N,Y,N,0.0,0.0
0-3030,0-3030,БЛУЗА,N,Y,N,0.0,0.0
0-3030A,0-3030А,БЛУЗА | БЛУЗОН,N,Y,N,0.0,0.0
0-3030B,0-3030В,БЛУЗА,N,Y,N,0.0,0.0
0-3031,0-3031,БРЮКИ,N,Y,N,0.0,0.0
0-3031A,0-3031А,БРЮКИ | ДЖОГГЕРЫ,N,Y,N,0.0,0.0
0-3031B,0-3031В,БРЮКИ,N,Y,N,0.0,0.0
0-3032,0-3032,ЮБКА,N,Y,N,0.0,0.0
0-3032A,0-3032А,ЮБКА,N,Y,N,0.0,0.0
0-3036,0-3036,ЮБКА,N,Y,N,0.0,0.0
0-3038,0-3038,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3039,0-3039,БЛУЗА,N,Y,N,0.0,0.0
0-3040,0-3040,БРЮКИ,N,Y,N,0.0,0.0
0-3041A,0-3041А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3042A,0-3042а,блуза с цветк,N,Y,N,0.0,0.0
0-3042C,0-3042С,БЛУЗА,N,Y,N,0.0,0.0
0-3043,0-3043,БЛУЗА,N,Y,N,0.0,0.0
0-3043A,0-3043А,БЛУЗА,N,Y,N,0.0,0.0
0-3043B,0-3043В,БЛУЗА,N,Y,N,0.0,0.0
0-3044,0-3044,ШОРТЫ,N,Y,N,0.0,0.0
0-3044A,0-3044А,ШОРТЫ,N,Y,N,0.0,0.0
0-3045,0-3045,КОЛЬЕ,N,Y,N,0.0,0.0
0-3049,0-3049,БОМБЕР,N,Y,N,0.0,0.0
0-3051,0-3051,БРЮКИ,N,Y,N,0.0,0.0
0-3052,0-3052,ЮБКА,N,Y,N,0.0,0.0
0-3054,0-3054,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3055,0-3055,БЛУЗА | РУБАШКА,N,Y,N,0.0,0.0
0-3055A,0-3055А,БЛУЗА | Рубашка шелк Черный Игрик хаотичный,N,Y,N,0.0,0.0
0-3055B,0-3055В,БЛУЗА,N,Y,N,0.0,0.0
0-3058,0-3058,БЛУЗА | СВИТШОТ,N,Y,N,0.0,0.0
0-3059,0-3059,БРЮКИ,N,Y,N,0.0,0.0
0-3059B,0-3059В,БРЮКИ,N,Y,N,0.0,0.0
0-3060,0-3060,ЮБКА,N,Y,N,0.0,0.0
0-3061,0-3061,ПАЛЬТО,N,Y,N,0.0,0.0
0-3061(1178),0-3061 (1178),ХалатЧерныйСтрейч-Бархат + пайетки,N,Y,N,0.0,0.0
0-3061C,0-3061с,пальто-халат,N,Y,N,0.0,0.0
0-3062,0-3062,МАЙКА | ПЛАТЬЕ-ТОП,N,Y,N,0.0,0.0
0-3062C,0-3062с,майка,N,Y,N,0.0,0.0
0-3063,0-3063,БРЮКИ,N,Y,N,0.0,0.0
0-3063C,0-3063с,брюки,N,Y,N,0.0,0.0
0-3064A,0-3064А | 0-3064а,Н/ПЛАТЬЕ | ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3065,0-3065,БЛУЗА,N,Y,N,0.0,0.0
0-3066,0-3066,БРЮКИ,N,Y,N,0.0,0.0
0-3067A,0-3067А,БЛУЗОН,N,Y,N,0.0,0.0
0-3067B,0-3067В,БЛУЗОН,N,Y,N,0.0,0.0
0-3068,0-3068,"Брюки бархат
Стрейч бархат",N,Y,N,0.0,0.0
0-3068A,0-3068А,БРЮКИ,N,Y,N,0.0,0.0
0-3068B,0-3068В,БРЮКИ,N,Y,N,0.0,0.0
0-3069A,0-3069А,топ,N,Y,N,0.0,0.0
0-3073,0-3073,БЛУЗА | СВИТШОТ,N,Y,N,0.0,0.0
0-3073A,0-3073A | 0-3073А,БЛУЗА | Свитшот(Белый/L)НЕ00920074,Y,Y,Y,2.0,38000.0
0-3073C,0-3073C,Свитшот(Голубой/L)НЕ00920075 | Свитшот(Голубой/M)НЕ00920075,Y,N,N,4.0,76000.01
0-3075,0-3075,ФУТБОЛКА,N,Y,N,0.0,0.0
0-3075A,0-3075А,ФУТБОЛКА,N,Y,N,0.0,0.0
0-3075B,0-3075В,ФУТБОЛКА,N,Y,N,0.0,0.0
0-3076A,0-3076А,СВИТШОТ,N,Y,N,0.0,0.0
0-3077A,0-3077А,БЛУЗА | ЛОНГСЛИВ,N,Y,N,0.0,0.0
0-3078,0-3078,ЮБКА | ЮБКИ,N,Y,N,0.0,0.0
0-3079,0-3079,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3080,0-3080,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3081,0-3081,КЕЙП | НАКИДКА,N,Y,N,0.0,0.0
0-3082,0-3082,КЕЙП,N,Y,N,0.0,0.0
0-3082A,0-3082А,КЕЙП,N,Y,N,0.0,0.0
0-3083,0-3083,КЕЙП | кейп перья с барх завяз,N,Y,N,0.0,0.0
0-3083A,0-3083А,КЕЙП,N,Y,N,0.0,0.0
0-3083B,0-3083В,КЕЙП,N,Y,N,0.0,0.0
0-3084,0-3084,КЕЙП | КЕЙП С БОА,N,Y,N,0.0,0.0
0-3084A,0-3084А,КЕЙП С БОА,N,Y,N,0.0,0.0
0-3085,0-3085,ПЕРЧАТКИ,N,Y,N,0.0,0.0
0-3086,0-3086,КЕЙП,N,Y,N,0.0,0.0
0-3087,0-3087,СУМКА | СУМКИ,N,Y,N,0.0,0.0
0-3087A,0-3087А,КИСЕТ | СУМКИ,N,Y,N,0.0,0.0
0-3087B,0-3087В,СУМКИ | СУМОЧКИ,N,Y,N,0.0,0.0
0-3088,0-3088,КЕЙП | КЕЙП С ДЕКОРОМ,N,Y,N,0.0,0.0
0-3089,0-3089,КЕЙП | КЕЙП С ДЕКОРОМ,N,Y,N,0.0,0.0
0-3090,0-3090,КЕЙП | НАКИДКА,N,Y,N,0.0,0.0
0-3090A,0-3090А,НАКИДКА,N,Y,N,0.0,0.0
0-3091,0-3091,ТОП,N,Y,N,0.0,0.0
0-3091A,0-3091А | 0-3091а,БОДИ | боди,N,Y,N,0.0,0.0
0-3091B,0-3091В,ТОП,N,Y,N,0.0,0.0
0-3091C,0-3091С,БЛУЗА,N,Y,N,0.0,0.0
0-3091Д,0-3091Д,ТОП,N,Y,N,0.0,0.0
0-3092,0-3092,НАКИДКА | ПАЛАНТИН,N,Y,N,0.0,0.0
0-3092A,0-3092А,ПАЛАНТИН,N,Y,N,0.0,0.0
0-3092C,0-3092С,ПАЛАНТИН,N,Y,N,0.0,0.0
0-3093,0-3093,КОЛЬЕ | МАНИШКА,N,Y,N,0.0,0.0
0-3094,0-3094,СТОЙКА | ЧОКЕР,N,Y,N,0.0,0.0
0-3094A,0-3094А,ЧОКЕР,N,Y,N,0.0,0.0
0-3095,0-3095,НАКИДКА | ПАЛАНТИН,N,Y,N,0.0,0.0
0-3096,0-3096,ТОП | топ,N,Y,N,0.0,0.0
0-3096A,0-3096А | 0-3096а,ТОП | топ,N,Y,N,0.0,0.0
0-3096B,0-3096в,ТОП,N,Y,N,0.0,0.0
0-3096Д,0-3096Д,ТОП,N,Y,N,0.0,0.0
0-3097,0-3097,ПАЛЬТО,N,Y,N,0.0,0.0
0-3098,0-3098,ПЕРЧАТКИ,N,Y,N,0.0,0.0
0-3100,0-3100,ПАЛЬТО,N,Y,N,0.0,0.0
0-3101,0-3101,ПАЛЬТО,N,Y,N,0.0,0.0
0-3102,0-3102,ПАЛЬТО,N,Y,N,0.0,0.0
0-3105,0-3105,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3105A,0-3105А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3106,0-3106,ПАЛЬТО,N,Y,N,0.0,0.0
0-3107,0-3107,ПАЛЬТО,N,Y,N,0.0,0.0
0-3107A,0-3107А,ПАЛЬТО,N,Y,N,0.0,0.0
0-3109,0-3109,ЖИЛЕТ | туника,N,Y,N,0.0,0.0
0-3109A,0-3109А | 0-3109а,ЖИЛЕТ | туника,N,Y,N,0.0,0.0
0-3109B,0-3109в,туника,N,Y,N,0.0,0.0
0-3109B0-3109,0-3109В 0-3109,ЖИЛЕТ,N,Y,N,0.0,0.0
0-3110,0-3110,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3110A,0-3110А | 0-3110а,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3110B,0-3110В | 0-3110в,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3110B0-3110,0-3110В 0-3110,БРЮКИ,N,Y,N,0.0,0.0
0-3111,0-3111,ЖАКЕТ | жакет с выш на спине,N,Y,N,0.0,0.0
0-3112,0-3112,ЮБКА | юбка,N,Y,N,0.0,0.0
0-3113,0-3113,ЖАКЕТ | КОСТЮМ,N,Y,N,0.0,0.0
0-3114,0-3114,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3115,0-3115,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3115A,0-3115А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3116,0-3116,ЖАКЕТ | жакет,N,Y,N,0.0,0.0
"0-3116,17","0-3116,17",КОСТЮМ,N,Y,N,0.0,0.0
0-3116A,0-3116А,ЖАКЕТ,N,Y,N,0.0,0.0
0-3117,0-3117,ШОРТЫ,N,Y,N,0.0,0.0
0-3117A,0-3117А | 0-3117а,ШОРТЫ | шорты,N,Y,N,0.0,0.0
0-3118,0-3118,КАФТАН,N,Y,N,0.0,0.0
0-3118A,0-3118А,КАФТАН,N,Y,N,0.0,0.0
0-3119,0-3119,КАФТАН,N,Y,N,0.0,0.0
0-3119A,0-3119А,КАФТАН,N,Y,N,0.0,0.0
0-3120,0-3120,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3120B,0-3120В | 0-3120в,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3121A,0-3121А | 0-3121а,ПЛАТЬЕ | сарафан,N,Y,N,0.0,0.0
0-3122,0-3122,РУБАШКА,N,Y,N,0.0,0.0
0-3122A,0-3122A | 0-3122А | 0-3122а,РУБАШКА | рубашка,N,Y,N,0.0,0.0
0-3123,0-3123,БРЮКИ | брюки н/п,N,Y,N,0.0,0.0
0-3124,0-3124,ПЛАТЬЕ | ШОРТЫ,N,Y,N,0.0,0.0
0-3125,0-3125,БЛУЗА | ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3125B,0-3125В,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3126,0-3126,БОМБЕР,N,Y,N,0.0,0.0
0-3127,0-3127,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3127A,0-3127А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3128,0-3128,жакет,N,Y,N,0.0,0.0
0-3128B,0-3128в,жакет,N,Y,N,0.0,0.0
0-3128C,0-3128с,жакет,N,Y,N,0.0,0.0
0-3128Д,0-3128д,жакет,N,Y,N,0.0,0.0
0-3129,0-3129,жакет,N,Y,N,0.0,0.0
0-3130,0-3130,платье,N,Y,N,0.0,0.0
0-3130A,0-3130а,платье,N,Y,N,0.0,0.0
0-3130B,0-3130в,платье,N,Y,N,0.0,0.0
0-3131,0-3131,кейп,N,Y,N,0.0,0.0
0-3131A,0-3131а,кейп,N,Y,N,0.0,0.0
0-3132,0-3132,Платье,N,Y,N,0.0,0.0
0-3132A,0-3132а,Платье | платье,N,Y,N,0.0,0.0
0-3133,0-3133,ЖИЛЕТ | платье,N,Y,N,0.0,0.0
