cost_version_id,canonical_sku,article_raw,name,direction,color,size,qty,material_cost,labor_cost,unit_cost_rub,order_cost_rub,cost_date,cost_year,owner_file,channel_hint,collection,completeness,source_file_id,source_sheet,source_row_id
CV-bd3a27b18543a325,0-3014,0-3014,СВИТЕР,МД,МОЛОКО,,3.0,,,0.0,0.0,2024-11-28,2024,ZHUKOVA,,,FULL,FILE-081,2024,r208
CV-d1e3201766ad67d8,T-2699,Т-2699,ЮБКА,ИМ,ЧЕРНЫЙ,,,,,0.0,0.0,2024-11-25,2024,ZHUKOVA,,,FULL,FILE-081,2024,r212
CV-9b84dc3453f9f664,0-3081,0-3081,НАКИДКА,МД,КОРИЧН,S,1.0,33763.0,6625.0,40388.0,40388.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r216
CV-86a54985a32b311e,0-3095,0-3095,НАКИДКА,МД,СЕРЕБРО,S,1.0,9877.0,7300.0,17177.0,17177.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r220
CV-8ef146c86622407e,0-3095,0-3095,НАКИДКА,МД,ЗЕЛЕНЫЙ,S,1.0,9877.0,7300.0,17177.0,17177.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r224
CV-f4393ff2e62a0390,0-3097,0-3097,ПАЛЬТО,МД,СИНИЙ,F/S,1.0,13007.0,13007.0,26014.0,26014.0,2024-11-21,2024,ZHUKOVA,,,FULL,FILE-081,2024,r228
CV-a55b26a9b8878b22,0-3097,0-3097,ПАЛЬТО,МД,ЧЕРНЫЙ,F/S,1.0,13007.0,13007.0,26014.0,26014.0,2024-11-25,2024,ZHUKOVA,,,FULL,FILE-081,2024,r232
CV-0a1890428d0ea978,0-2007A,0-2007А,БРЮКИ,ИМ ЗАКАЗ,ЧЕРНЫЙ,L,1.0,951.0,3000.0,3951.0,3951.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r236
CV-3a1401327e7b173b,0-3059,0-3059,БРЮКИ,ИМ ЗАКАЗ,ЧЕРНЫЙ,М,1.0,1259.0,3000.0,4259.0,4259.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r240
CV-2240d0ca0fe6c856,0-3030A,0-3030А,БЛУЗОН,ИМ ЗАКАЗ,СИНИЙ,S,1.0,1222.0,6000.0,7222.0,7222.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r244
CV-3535d94f87a07a0d,0-3031A,0-3031А,БРЮКИ,ИМ ЗАКАЗ,СИНИЙ,S,1.0,1206.0,3000.0,4206.0,4206.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r248
CV-9c557335e5fd7081,0-3040,0-3040,БРЮКИ,ИМ ЗАКАЗ,ЧЕРНЫЙ,L,1.0,1596.0,3000.0,4596.0,4596.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r252
CV-5802516b7a69e934,0-3043,0-3043,БЛУЗА,ИМ ЗАКАЗ,ЧЕРНЫЙ,М,1.0,2458.0,5000.0,7458.0,7458.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r256
CV-a97ec0f2b19750d4,0-3030A,0-3030А,БЛУЗА,ИМ ЗАКАЗ,СИНИЙ,S,1.0,1222.0,5000.0,6222.0,6222.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r260
CV-65015c0ec00a3e39,0-3063,0-3063,БРЮКИ,ИМ ЗАКАЗ,СИНИЙ,S,1.0,876.0,2500.0,3376.0,3376.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r264
CV-f5fd7b9249595699,0-3092,0-3092,ПАЛАНТИН,МД,ЧЕРНЫЙ,F/S,1.0,5912.0,27400.0,33312.0,33312.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r268
CV-163835603394a56c,0-3096,0-3096,ТОП,МД,ЧЕРНЫЙ,S,1.0,8227.0,3450.0,11677.0,11677.0,2024-11-27,2024,ZHUKOVA,,,FULL,FILE-081,2024,r272
CV-384a7a35df9e82a4,0-3091C,0-3091С,БЛУЗА,МД,БЕЖ,S,1.0,4587.0,11450.0,16037.0,16037.0,2024-11-26,2024,ZHUKOVA,,,FULL,FILE-081,2024,r276
CV-491d5b0ee70cbe3e,0-3095,0-3095,НАКИДКА,МД,КРАСНАЯ,S,1.0,9877.0,7300.0,17177.0,17177.0,2024-11-25,2024,ZHUKOVA,,,FULL,FILE-081,2024,r280
CV-dcd664f8c10841e0,0-3096,0-3096,ТОП,МД,ЧЕРНЫЙ,L,1.0,4801.0,3950.0,8751.0,8751.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r284
CV-6305738babe997e8,0-3091Д,0-3091Д,ТОП,МД,Ч/БЕЖ,S,1.0,7006.0,4400.0,11406.0,11406.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r288
CV-643b946db41fc965,0-3096B,0-3096в,ТОП,МД,БЕЛ,S   L,2.0,4801.0,3950.0,8751.0,17502.0,2024-11-28,2024,ZHUKOVA,,,FULL,FILE-081,2024,r292
CV-e58088ed07432c33,0-3087B,0-3087В,СУМКИ,МД,ЧЕРНЫЙ,,2.0,1842.0,5225.0,7067.0,14134.0,2024-11-27,2024,ZHUKOVA,,,FULL,FILE-081,2024,r296
CV-9c05bfccca1ebbf0,0-3086,0-3086,КЕЙП,МД,ЧЕРНЫЙ,F/S,1.0,4942.0,24050.0,28992.0,28992.0,2024-11-14,2024,ZHUKOVA,,,FULL,FILE-081,2024,r304
CV-7292993950e9b999,0-3090,0-3090,НАКИДКА,МД,ЧЕРНЫЙ,S,1.0,16777.0,25250.0,42027.0,42027.0,2024-11-18,2024,ZHUKOVA,,,FULL,FILE-081,2024,r308
CV-06c55d0173dd785b,0-3091,0-3091,ТОП,МД,БЕЖ,S,2.0,,,0.0,0.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r312
CV-99913bfa7184d0c9,0-3100,0-3100,ПАЛЬТО,МД,ЧЕРНЫЙ,S,1.0,46181.0,20250.0,66431.0,66431.0,2024-11-19,2024,ZHUKOVA,,,FULL,FILE-081,2024,r316
CV-a829934546e17d71,0-3088,0-3088,КЕЙП С ДЕКОРОМ,МД,ГРАФИТ,,1.0,10857.0,72999.0,83856.0,83856.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r320
CV-3281f4662cdc5672,0-3091B,0-3091В,ТОП,МД,БЕЖ,S,2.0,4587.0,11450.0,16037.0,32074.0,2024-11-27,2024,ZHUKOVA,,,FULL,FILE-081,2024,r324
CV-ecbaf977600ba02c,0-3092A,0-3092А,ПАЛАНТИН,МД,ЧЕРНЫЙ,F/S,1.0,5422.0,35450.0,40872.0,40872.0,2024-11-28,2024,ZHUKOVA,,,FULL,FILE-081,2024,r328
CV-c336408aa0ec522a,0-3084,0-3084,КЕЙП С БОА,МД,ЧЕРНЫЙ,F/S,1.0,21397.0,16350.0,37747.0,37747.0,2024-11-18,2024,ZHUKOVA,,,FULL,FILE-081,2024,r332
CV-3e9b76b46eb9c32d,0-3084A,0-3084А,КЕЙП С БОА,МД,ЧЕРНЫЙ,F/S,1.0,21397.0,18350.0,39747.0,39747.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r336
CV-3d4ee27f25455df4,0-3092,0-3092,НАКИДКА,МД,ГОЛУБОЙ,F/S,1.0,5422.0,35450.0,40872.0,40872.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r340
CV-6c59cd6c42d1e5ae,0-2393,0-2393,ПЛАТЬЕ,ИМ,ЧЕРНЫЙ,L,1.0,,,0.0,0.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r344
CV-f87a675e12aba346,0-3102,0-3102,ПАЛЬТО,МД,ГРАФИТ,,1.0,17677.0,25350.0,43027.0,43027.0,2024-11-27,2024,ZHUKOVA,,,FULL,FILE-081,2024,r348
CV-6dafbf2b7171dd74,0-3080,0-3080,ПЛАТЬЕ,МД,ЧЕРНЫЙ,S,1.0,6270.0,13075.0,19345.0,19345.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r352
CV-c15153d3b57cd8bd,0-3089,0-3089,КЕЙП С ДЕКОРОМ,МД,ЧЕРНЫЙ,F/S,1.0,5927.0,39900.0,45827.0,45827.0,2024-11-27,2024,ZHUKOVA,,,FULL,FILE-081,2024,r356
CV-ffde6518deae2477,0-3079,0-3079,ПЛАТЬЕ,МД,ЧЕРНЫЙ,S,1.0,4847.0,13075.0,17922.0,17922.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r360
CV-a2abacccacfcb055,M-B24(18),М-В24(18),ПЛАТЬЕ,МД,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-02,2024,ZHUKOVA,,,FULL,FILE-081,2024,r364
CV-38ea8730e2d4bc02,0-3085,0-3085,ПЕРЧАТКИ,МД,ЧЕРНЫЙ,,1.0,1217.0,4000.0,5217.0,5217.0,2024-11-29,2024,ZHUKOVA,,,FULL,FILE-081,2024,r368
CV-0393bb179b3e3773,0-3024,0-3024,ЮБКА,ИМ,ЧЕРНЫЙ,ИНД МЕРКИ,1.0,2380.0,5000.0,7380.0,7380.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r372
CV-03f1e1dd1d9b301b,0-3060,0-3060,ЮБКА,ИМ,ЧЕРНЫЙ,ИНД МЕРКИ,1.0,947.0,3500.0,4447.0,4447.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r376
CV-502efbb588b64400,0-3058,0-3058,СВИТШОТ,ИМ,ЧЕРНЫЙ,M L,2.0,1396.0,5400.0,6796.0,13592.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r380
CV-40e86001990b4990,0-3024,0-3024,ЮБКА,ИМ,ЧЕРНЫЙ,S,1.0,2380.0,5000.0,7380.0,7380.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r384
CV-8d501812b09a48ed,0-3102,0-3102,ПАЛЬТО,МД,СИНИЙ,S,1.0,17677.0,25350.0,43027.0,43027.0,2024-12-02,2024,ZHUKOVA,,,FULL,FILE-081,2024,r390
CV-be62789a60a463f9,0-3096A,0-3096А,ТОП,МД,ЧЕРНЫЙ,S,1.0,9237.0,3450.0,12687.0,12687.0,2024-12-02,2024,ZHUKOVA,,,FULL,FILE-081,2024,r394
CV-39f5024f3adf81e5,0-3084,0-3084,КЕЙП,МД,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-04,2024,ZHUKOVA,,,FULL,FILE-081,2024,r398
CV-05d1df9bced93625,0-3098,0-3098,ПЕРЧАТКИ,МД,ЧЕРНЫЙ,,3.0,2877.0,5000.0,7877.0,23631.0,2024-12-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r402
CV-2acd19ca79f8f33b,0-1486,0-1486,ЮБКА,ИМ,ЧЕРНЫЙ,XL,1.0,1797.0,15450.0,17247.0,17247.0,2024-12-09,2024,ZHUKOVA,,,FULL,FILE-081,2024,r406
CV-7907e6b8b96da149,0-3094,0-3094,СТОЙКА,МД,ЧЕРНЫЙ,,1.0,607.0,7832.0,8439.0,8439.0,2024-01-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r410
CV-a7d7343205261042,0-3095,0-3095,ПАЛАНТИН,МД НГ,КРАСНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r418
CV-eee69fb18cc6a84e,0-3091,0-3091,ТОП,МД НГ,2 ЦВЕТА,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r422
CV-5ee05f8357b91602,0-3097,0-3097,ПАЛЬТО,МД НГ,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r426
CV-952a6281791a77d5,0-3083,0-3083,КЕЙП,МД НГ,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r430
CV-02928a6ed6eb2921,0-3079,0-3079,ПЛАТЬЕ,МД НГ,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r434
CV-2a3ce900ec22b6a1,0-3083A,0-3083А,КЕЙП,МД НГ,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r438
CV-e63b84b9df890bc4,0-3082,0-3082,КЕЙП,МД НГ,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r442
CV-66735ecc4123984e,0-3088,0-3088,КЕЙП,МД НГ,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r446
CV-d77c6fb8f138ff6d,0-3019,0-3019,ПАЛЬТО,МД,ЧЕРНЫЙ,ПО ЛЕКАЛАМ,1.0,,,0.0,0.0,2024-12-16,2024,ZHUKOVA,,,FULL,FILE-081,2024,r450
CV-e56d9c1965c6320c,0-2137,0-2137,БЛУЗА,ИМ,ЧЕРНЫЙ,F/S,3.0,977.0,3675.0,4652.0,13956.0,2024-12-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r454
CV-970385b86b2268b8,0-1960,0-1960,БЛУЗА,ИМ,ЧЕРНЫЙ,L,1.0,2306.0,6350.0,8656.0,8656.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r458
CV-05e2d3af78f23426,0-3092C,0-3092С,ПАЛАНТИН,МД,ЧЕРНЫЙ,,2.0,20817.0,9100.0,29917.0,59834.0,2024-12-13,2024,ZHUKOVA,,,FULL,FILE-081,2024,r462
CV-74234d7aa9a8a5dd,0-3052,0-3052,ЮБКА,ИМ,ЧЕРНЫЙ,ПО ИНД МЕРКАМ,1.0,569.0,4900.0,5469.0,5469.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r466
CV-6218685402572381,0-2673,0-2673,БЛУЗОН,ИМ,ЧЕРНЫЙ,М,1.0,1608.0,16900.0,18508.0,18508.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r470
CV-2aceb6a55712bfd6,0-1418,0-1418,БЛУЗА,ИМ,ЧЕРНЫЙ,М,1.0,2807.0,6525.0,9332.0,9332.0,2024-12-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r474
CV-113a082d9f5c0ffe,0-3096,0-3096,ТОП,МД,БЕЛЫЙ,,2.0,,,0.0,0.0,2024-12-02,2024,ZHUKOVA,,,FULL,FILE-081,2024,r478
CV-037847fe007fc435,0-3085,0-3085,ПЕРЧАТКИ,МД,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r482
CV-4fc08e2acd06dbd6,0-3094,0-3094,СТОЙКА,МД,,,1.0,607.0,7225.0,7832.0,7832.0,2024-12-03,2024,ZHUKOVA,,,FULL,FILE-081,2024,r486
CV-2c751b97cc3c9c6e,0-3093,0-3093,КОЛЬЕ,МД,,,1.0,,,0.0,0.0,2024-12-23,2024,ZHUKOVA,,,FULL,FILE-081,2024,r490
CV-8335a5990840b1e1,43-25,43-25,БОДИ,МД,,,1.0,,,0.0,0.0,2024-12-23,2024,ZHUKOVA,,,FULL,FILE-081,2024,r494
CV-00925483f8d42d3b,0-3082A,0-3082А,КЕЙП,МД,,,1.0,,,0.0,0.0,2024-12-03,2024,ZHUKOVA,,,FULL,FILE-081,2024,r500
CV-3f0627fc9314351e,0-3087A,0-3087А,СУМКИ,МД,,,2.0,,,0.0,0.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r504
CV-cb325827b9b140ee,0-3098,0-3098,ПЕРЧАТКИ,МД,КОЖА,,1.0,,,0.0,0.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r508
CV-d04a5edb5c24b71d,0-3096Д,0-3096Д,ТОП,МД,ТКАНЬ,,1.0,,,0.0,0.0,2024-12-04,2024,ZHUKOVA,,,FULL,FILE-081,2024,r512
CV-1d5f9a2c789ec1ff,0-3094,0-3094,СТОЙКА,МД,,ЗАКАЗ,1.0,607.0,7225.0,7832.0,7832.0,2024-12-16,2024,ZHUKOVA,,,FULL,FILE-081,2024,r516
CV-9c689d3df1ae8d75,0-3083A,0-3083А,КЕЙП,МД,ЧЕРНЫЙ,,1.0,,,0.0,0.0,2024-12-03,2024,ZHUKOVA,,,FULL,FILE-081,2024,r520
CV-06292a3d913b9934,0-3083B,0-3083В,КЕЙП,МД,ПЕРЬЯ,,,,,0.0,0.0,2024-12-03,2024,ZHUKOVA,,,FULL,FILE-081,2024,r524
CV-8e1ef9de8b147614,0-2007A,0-2007А,БРЮКИ,ИМ,ЧЕРНЫЙ,L,1.0,951.0,3000.0,3951.0,3951.0,2024-12-23,2024,ZHUKOVA,,,FULL,FILE-081,2024,r528
