budget_line_id,budget_version,period_month,section,article_name,plan_eur,fact_eur,var_eur,currency,source_file_id,source_row_id
BL-8859388f8fb6ff35,BUD-2026,2026-04,Поступления,Salon+Shop,270000.0,278197.0,8197.0,EUR,FILE-012,r5
BL-c151cb6fdd1087b0,BUD-2026,2026-05,Поступления,Salon+Shop,210000.0,161608.0,-48392.0,EUR,FILE-012,r5
BL-460a52440b179250,BUD-2026,2026-06,Поступления,Salon+Shop,200000.0,,,EUR,FILE-012,r5
BL-0e34be19a6789c41,BUD-2026,2026-07,Поступления,Salon+Shop,250000.0,,,EUR,FILE-012,r5
BL-ee9fef401c1a01d1,BUD-2026,2026-08,Поступления,Salon+Shop,150000.0,,,EUR,FILE-012,r5
BL-11cd4eb553cb6a8f,BUD-2026,2026-09,Поступления,Salon+Shop,200000.0,,,EUR,FILE-012,r5
BL-4aea098a583f8c20,BUD-2026,2026-10,Поступления,Salon+Shop,250000.0,,,EUR,FILE-012,r5
BL-deea65fc1dac0fdf,BUD-2026,2026-11,Поступления,Salon+Shop,250000.0,,,EUR,FILE-012,r5
BL-7c23f865418465fb,BUD-2026,2026-12,Поступления,Salon+Shop,450000.0,,,EUR,FILE-012,r5
BL-920dac7569e62213,BUD-2026,2026-01,Поступления,ИМ,11000.0,15623.8,4623.8,EUR,FILE-012,r6
BL-391867369c5951ca,BUD-2026,2026-02,Поступления,ИМ,12000.0,7612.0,-4388.0,EUR,FILE-012,r6
BL-1e4d3de450193126,BUD-2026,2026-03,Поступления,ИМ,19000.0,6365.0,-12635.0,EUR,FILE-012,r6
BL-4135c991e2d0c82f,BUD-2026,2026-04,Поступления,ИМ,22000.0,31791.0,9791.0,EUR,FILE-012,r6
BL-8e4e099f9d7a6892,BUD-2026,2026-05,Поступления,ИМ,18000.0,12254.0,-5746.0,EUR,FILE-012,r6
BL-13824e466c070a30,BUD-2026,2026-06,Поступления,ИМ,19000.0,,,EUR,FILE-012,r6
BL-3ed0aeaa326aa943,BUD-2026,2026-07,Поступления,ИМ,18000.0,,,EUR,FILE-012,r6
BL-1042dd33d892f667,BUD-2026,2026-08,Поступления,ИМ,19000.0,,,EUR,FILE-012,r6
BL-2f39405fe3a274fd,BUD-2026,2026-09,Поступления,ИМ,23000.0,,,EUR,FILE-012,r6
BL-d853351f6d60418a,BUD-2026,2026-10,Поступления,ИМ,22000.0,,,EUR,FILE-012,r6
BL-76aa959da00ad5af,BUD-2026,2026-11,Поступления,ИМ,25000.0,,,EUR,FILE-012,r6
BL-21ad4e28ac1853eb,BUD-2026,2026-12,Поступления,ИМ,32000.0,,,EUR,FILE-012,r6
BL-29399ebfcebc63de,BUD-2026,2026-03,Поступления,СИЗОНС,22500.0,,,EUR,FILE-012,r7
BL-a337854ecebb5532,BUD-2026,2026-06,Поступления,СИЗОНС,22500.0,,,EUR,FILE-012,r7
BL-2988f7aa31bd7fe3,BUD-2026,2026-09,Поступления,СИЗОНС,22500.0,,,EUR,FILE-012,r7
BL-3bc6f3a3a7a12fce,BUD-2026,2026-12,Поступления,СИЗОНС,22500.0,,,EUR,FILE-012,r7
BL-2daf96f9b3c9ba1e,BUD-2026,2026-03,Поступления,Культура ковров (роялти 30%),30000.0,,,EUR,FILE-012,r8
BL-e4e24787984d513b,BUD-2026,2026-06,Поступления,Культура ковров (роялти 30%),30000.0,,,EUR,FILE-012,r8
BL-63c435ff8a5af139,BUD-2026,2026-12,Поступления,Культура ковров (роялти 30%),30000.0,,,EUR,FILE-012,r8
BL-bda1bc3721223cb3,BUD-2026,2026-01,Поступления,ЦУМ,23000.0,32783.01,9783.01,EUR,FILE-012,r9
BL-abcda90a83b37149,BUD-2026,2026-02,Поступления,ЦУМ,20000.0,9842.89,-10157.11,EUR,FILE-012,r9
BL-0562cd2f427d08ac,BUD-2026,2026-03,Поступления,ЦУМ,27000.0,18433.0,-8567.0,EUR,FILE-012,r9
BL-c058c516560ccf8f,BUD-2026,2026-04,Поступления,ЦУМ,23000.0,19128.0,-3872.0,EUR,FILE-012,r9
BL-a923b58ffa91c5a6,BUD-2026,2026-05,Поступления,ЦУМ,19000.0,14549.0,-4451.0,EUR,FILE-012,r9
BL-b54e8ce12c027720,BUD-2026,2026-06,Поступления,ЦУМ,17000.0,,,EUR,FILE-012,r9
BL-1ac2400458b6f9c7,BUD-2026,2026-07,Поступления,ЦУМ,24000.0,,,EUR,FILE-012,r9
BL-b89b9ec9b93cac4f,BUD-2026,2026-08,Поступления,ЦУМ,23000.0,,,EUR,FILE-012,r9
BL-87125089b369846b,BUD-2026,2026-09,Поступления,ЦУМ,25000.0,,,EUR,FILE-012,r9
BL-068c1eafb5f0648f,BUD-2026,2026-10,Поступления,ЦУМ,23000.0,,,EUR,FILE-012,r9
BL-150b1fec35fa15ca,BUD-2026,2026-11,Поступления,ЦУМ,21000.0,,,EUR,FILE-012,r9
BL-41bf7f7809b5e854,BUD-2026,2026-12,Поступления,ЦУМ,35000.0,,,EUR,FILE-012,r9
BL-4a82e71d06330977,BUD-2026,2026-01,Расходы,Расходы,113423.0,172946.07,59523.07,EUR,FILE-012,r10
BL-b8915f5d09a64312,BUD-2026,2026-02,Расходы,Расходы,235842.79,203821.0,-32021.79,EUR,FILE-012,r10
BL-5e3b4aefa26f7b11,BUD-2026,2026-03,Расходы,Расходы,239291.18,191138.0,-48153.18,EUR,FILE-012,r10
BL-29849a2b6ab35819,BUD-2026,2026-04,Расходы,Расходы,294951.36,276561.0,-18390.36,EUR,FILE-012,r10
BL-f4f72e927545b8f8,BUD-2026,2026-05,Расходы,Расходы,222146.23,247771.0,25624.77,EUR,FILE-012,r10
BL-4d50743ebc3cf880,BUD-2026,2026-06,Расходы,Расходы,271915.28,,,EUR,FILE-012,r10
BL-07079c78e774cd84,BUD-2026,2026-07,Расходы,Расходы,274900.96,,,EUR,FILE-012,r10
BL-7c2a7ed91db37671,BUD-2026,2026-08,Расходы,Расходы,191157.28,,,EUR,FILE-012,r10
BL-b997fa63509d0905,BUD-2026,2026-09,Расходы,Расходы,211830.13,,,EUR,FILE-012,r10
BL-55f65da8f3454d7a,BUD-2026,2026-10,Расходы,Расходы,266484.08,,,EUR,FILE-012,r10
BL-f894fe84386b002d,BUD-2026,2026-11,Расходы,Расходы,195183.15,,,EUR,FILE-012,r10
BL-def69935c847568f,BUD-2026,2026-12,Расходы,Расходы,315766.31,,,EUR,FILE-012,r10
BL-9ad0e8ee10b21783,BUD-2026,2026-01,Расходы,Собственники,25000.0,6395.0,-18605.0,EUR,FILE-012,r11
BL-8a997897ff586b84,BUD-2026,2026-02,Расходы,Собственники,25000.0,6127.0,-18873.0,EUR,FILE-012,r11
BL-32feba07ca80028e,BUD-2026,2026-03,Расходы,Собственники,45000.0,24073.0,-20927.0,EUR,FILE-012,r11
BL-ebfaa2ec9c1770c1,BUD-2026,2026-04,Расходы,Собственники,25000.0,59589.0,34589.0,EUR,FILE-012,r11
BL-21556cf728337536,BUD-2026,2026-05,Расходы,Собственники,25000.0,56611.0,31611.0,EUR,FILE-012,r11
BL-4210daf7016467b3,BUD-2026,2026-06,Расходы,Собственники,45000.0,,,EUR,FILE-012,r11
BL-a10165427c5afe1c,BUD-2026,2026-07,Расходы,Собственники,35000.0,,,EUR,FILE-012,r11
BL-7162d18512b8a3d0,BUD-2026,2026-08,Расходы,Собственники,30000.0,,,EUR,FILE-012,r11
BL-e47aa7061c65c34e,BUD-2026,2026-09,Расходы,Собственники,45000.0,,,EUR,FILE-012,r11
BL-0748a7c74a93e2a6,BUD-2026,2026-10,Расходы,Собственники,25000.0,,,EUR,FILE-012,r11
BL-f5527083ab7fe14a,BUD-2026,2026-11,Расходы,Собственники,30000.0,,,EUR,FILE-012,r11
BL-71879934e26b7fbe,BUD-2026,2026-12,Расходы,Собственники,45000.0,,,EUR,FILE-012,r11
BL-74cea3c5e661c302,BUD-2026,2026-01,Расходы,Аренда помещений (вкл. страхование),8800.0,5066.0,-3734.0,EUR,FILE-012,r12
BL-024ef22886ec9b28,BUD-2026,2026-02,Расходы,Аренда помещений (вкл. страхование),8800.0,12265.0,3465.0,EUR,FILE-012,r12
BL-f4f7e5f3b24cdb6a,BUD-2026,2026-03,Расходы,Аренда помещений (вкл. страхование),8800.0,6981.0,-1819.0,EUR,FILE-012,r12
BL-700b471def1aa9b0,BUD-2026,2026-04,Расходы,Аренда помещений (вкл. страхование),8800.0,11931.0,3131.0,EUR,FILE-012,r12
BL-20098ffa013f5f5b,BUD-2026,2026-05,Расходы,Аренда помещений (вкл. страхование),8800.0,8824.0,24.0,EUR,FILE-012,r12
BL-5494149563cc8495,BUD-2026,2026-06,Расходы,Аренда помещений (вкл. страхование),8800.0,,,EUR,FILE-012,r12
BL-d9d5a74cef07ab72,BUD-2026,2026-07,Расходы,Аренда помещений (вкл. страхование),8800.0,,,EUR,FILE-012,r12
BL-6c7bff50ad6b46c1,BUD-2026,2026-08,Расходы,Аренда помещений (вкл. страхование),8800.0,,,EUR,FILE-012,r12
BL-91fc99681d5cdc3b,BUD-2026,2026-09,Расходы,Аренда помещений (вкл. страхование),8800.0,,,EUR,FILE-012,r12
BL-3fa67dc39e6090a6,BUD-2026,2026-10,Расходы,Аренда помещений (вкл. страхование),8800.0,,,EUR,FILE-012,r12
BL-d33f4782e0dcc2f2,BUD-2026,2026-11,Расходы,Аренда помещений (вкл. страхование),8800.0,,,EUR,FILE-012,r12
BL-da8e2d3bcaebd97b,BUD-2026,2026-12,Расходы,Аренда помещений (вкл. страхование),9900.0,,,EUR,FILE-012,r12
BL-d0108562421c36c3,BUD-2026,2026-01,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,1243.0,-2757.0,EUR,FILE-012,r13
BL-d0ed53941cdb10cb,BUD-2026,2026-02,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,4105.0,105.0,EUR,FILE-012,r13
BL-e5814372e78d1e59,BUD-2026,2026-03,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,4935.0,935.0,EUR,FILE-012,r13
BL-53792833dee7439c,BUD-2026,2026-04,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,4503.0,503.0,EUR,FILE-012,r13
BL-5de29638aed757d6,BUD-2026,2026-05,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,4729.0,729.0,EUR,FILE-012,r13
BL-332bcfe2ca5555e7,BUD-2026,2026-06,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-7ac31b3d3c67de13,BUD-2026,2026-07,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-4d620725724272d1,BUD-2026,2026-08,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-6051f578fe051e7d,BUD-2026,2026-09,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-08421402002cd1dc,BUD-2026,2026-10,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-a7649e070a17ad70,BUD-2026,2026-11,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-ccb36c7e4bc778f6,BUD-2026,2026-12,Расходы,"Расходы на помещения (ремонт, коммуналка)",4000.0,,,EUR,FILE-012,r13
BL-4e54ef0390cc0caf,BUD-2026,2026-01,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",14050.0,9618.21,-4431.79,EUR,FILE-012,r14
BL-a291b4b2d9f005ea,BUD-2026,2026-02,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",19400.0,7429.0,-11971.0,EUR,FILE-012,r14
BL-5a3063f0ed1c07cf,BUD-2026,2026-03,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",15850.0,13077.0,-2773.0,EUR,FILE-012,r14
BL-7b0196d62d066560,BUD-2026,2026-04,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",18350.0,10670.0,-7680.0,EUR,FILE-012,r14
BL-536d54cdeda500ac,BUD-2026,2026-05,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",20200.0,12413.0,-7787.0,EUR,FILE-012,r14
BL-39678b2341a1ef85,BUD-2026,2026-06,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",20700.0,,,EUR,FILE-012,r14
BL-8600225f18794c0d,BUD-2026,2026-07,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",16200.0,,,EUR,FILE-012,r14
BL-604f7fec41b6b92c,BUD-2026,2026-08,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",14600.0,,,EUR,FILE-012,r14
BL-a88e5d2f2cfb1522,BUD-2026,2026-09,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",13600.0,,,EUR,FILE-012,r14
BL-7fcaa09508246a0a,BUD-2026,2026-10,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",13250.0,,,EUR,FILE-012,r14
BL-68e52e58a467727d,BUD-2026,2026-11,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",15250.0,,,EUR,FILE-012,r14
BL-5f25cc6936802b84,BUD-2026,2026-12,Расходы,"Производство продукции (аутсорсинг), в т.ч.:",12250.0,,,EUR,FILE-012,r14
BL-492fa1f19dbe5772,BUD-2026,2026-01,Расходы,производство МД (Мокеева+Жукова),5500.0,1236.21,-4263.79,EUR,FILE-012,r15
BL-14b453c711b8dbfe,BUD-2026,2026-02,Расходы,производство МД (Мокеева+Жукова),5500.0,4092.0,-1408.0,EUR,FILE-012,r15
BL-a0d454ffab55c486,BUD-2026,2026-03,Расходы,производство МД (Мокеева+Жукова),8000.0,10976.0,2976.0,EUR,FILE-012,r15
BL-98377a242fc0cf9b,BUD-2026,2026-04,Расходы,производство МД (Мокеева+Жукова),10500.0,7661.0,-2839.0,EUR,FILE-012,r15
BL-f623c28498675ed7,BUD-2026,2026-05,Расходы,производство МД (Мокеева+Жукова),10000.0,8110.0,-1890.0,EUR,FILE-012,r15
BL-7d2b0e64a78ab29c,BUD-2026,2026-06,Расходы,производство МД (Мокеева+Жукова),10500.0,,,EUR,FILE-012,r15
BL-bd065a4bb90b4369,BUD-2026,2026-07,Расходы,производство МД (Мокеева+Жукова),6000.0,,,EUR,FILE-012,r15
BL-d9e1a1a8adbb946d,BUD-2026,2026-08,Расходы,производство МД (Мокеева+Жукова),6500.0,,,EUR,FILE-012,r15
BL-c2712d0324c00bca,BUD-2026,2026-09,Расходы,производство МД (Мокеева+Жукова),3500.0,,,EUR,FILE-012,r15
BL-68eeae60639dbf51,BUD-2026,2026-10,Расходы,производство МД (Мокеева+Жукова),6500.0,,,EUR,FILE-012,r15
BL-f45e9bfab39b99a6,BUD-2026,2026-11,Расходы,производство МД (Мокеева+Жукова),8500.0,,,EUR,FILE-012,r15
BL-295a06f8ca795858,BUD-2026,2026-12,Расходы,производство МД (Мокеева+Жукова),8000.0,,,EUR,FILE-012,r15
BL-8cb0e1def0ded9cc,BUD-2026,2026-01,Расходы,производство Площадки+ИМ (Меркушина),8550.0,8382.0,-168.0,EUR,FILE-012,r16
BL-4a5121aafd8b420e,BUD-2026,2026-02,Расходы,производство Площадки+ИМ (Меркушина),13900.0,3337.0,-10563.0,EUR,FILE-012,r16
BL-7afe18c18fc03820,BUD-2026,2026-03,Расходы,производство Площадки+ИМ (Меркушина),7850.0,2101.0,-5749.0,EUR,FILE-012,r16
BL-550527fd9718b25c,BUD-2026,2026-04,Расходы,производство Площадки+ИМ (Меркушина),7850.0,3009.0,-4841.0,EUR,FILE-012,r16
BL-cdb6d647b4dfbfb1,BUD-2026,2026-05,Расходы,производство Площадки+ИМ (Меркушина),10200.0,4303.0,-5897.0,EUR,FILE-012,r16
BL-a77ba318ece178f1,BUD-2026,2026-06,Расходы,производство Площадки+ИМ (Меркушина),10200.0,,,EUR,FILE-012,r16
BL-0db14790cae00888,BUD-2026,2026-07,Расходы,производство Площадки+ИМ (Меркушина),10200.0,,,EUR,FILE-012,r16
BL-a31f7f243592f875,BUD-2026,2026-08,Расходы,производство Площадки+ИМ (Меркушина),8100.0,,,EUR,FILE-012,r16
BL-060736feaf25bda7,BUD-2026,2026-09,Расходы,производство Площадки+ИМ (Меркушина),10100.0,,,EUR,FILE-012,r16
BL-4f700033f3d229ef,BUD-2026,2026-10,Расходы,производство Площадки+ИМ (Меркушина),6750.0,,,EUR,FILE-012,r16
BL-12c23e8aeb8ccb6f,BUD-2026,2026-11,Расходы,производство Площадки+ИМ (Меркушина),6750.0,,,EUR,FILE-012,r16
BL-bba4f5d524fe0c98,BUD-2026,2026-12,Расходы,производство Площадки+ИМ (Меркушина),4250.0,,,EUR,FILE-012,r16
BL-8d43afaab8fc00fb,BUD-2026,2026-03,Расходы,Производство продукции (за рубежом),10000.0,,,EUR,FILE-012,r17
BL-c7e604b2c33a037b,BUD-2026,2026-10,Расходы,Производство продукции (за рубежом),10000.0,,,EUR,FILE-012,r17
BL-e6c66ef4f3c8d98a,BUD-2026,2026-01,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",2500.0,2108.24,-391.76,EUR,FILE-012,r18
BL-0515ccb91fc97863,BUD-2026,2026-02,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",30350.0,6049.0,-24301.0,EUR,FILE-012,r18
BL-f19f98952a030f90,BUD-2026,2026-03,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",29350.0,7695.0,-21655.0,EUR,FILE-012,r18
BL-b40da3cdf2930c61,BUD-2026,2026-04,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",19700.0,22267.0,2567.0,EUR,FILE-012,r18
BL-86422116d4da6676,BUD-2026,2026-05,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",20700.0,9313.0,-11387.0,EUR,FILE-012,r18
BL-f1303758e132d37a,BUD-2026,2026-06,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",21100.0,,,EUR,FILE-012,r18
BL-a15e2a16aebd669e,BUD-2026,2026-07,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",17600.0,,,EUR,FILE-012,r18
BL-3fbafeb4112539fa,BUD-2026,2026-08,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",4250.0,,,EUR,FILE-012,r18
BL-d8fcbf9a3289b7e6,BUD-2026,2026-09,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",25250.0,,,EUR,FILE-012,r18
BL-5cedc8c9218c1942,BUD-2026,2026-10,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",13000.0,,,EUR,FILE-012,r18
BL-69eb8e629a7bf576,BUD-2026,2026-11,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",4000.0,,,EUR,FILE-012,r18
BL-ac952e1cbc681009,BUD-2026,2026-12,Расходы,"Материалы (ткани, фурнитура), в т.ч.:",5000.0,,,EUR,FILE-012,r18
BL-8224249e7682ba3d,BUD-2026,2026-01,Расходы,Производство МД,2500.0,1814.0,-686.0,EUR,FILE-012,r19
BL-9378b88da494d4d1,BUD-2026,2026-02,Расходы,Производство МД,22000.0,5877.0,-16123.0,EUR,FILE-012,r19
BL-e04733db28c655a1,BUD-2026,2026-03,Расходы,Производство МД,21000.0,7301.0,-13699.0,EUR,FILE-012,r19
BL-c302bf5826de3b76,BUD-2026,2026-04,Расходы,Производство МД,10000.0,21655.0,11655.0,EUR,FILE-012,r19
BL-a8d57b2442c5fbe1,BUD-2026,2026-05,Расходы,Производство МД,6000.0,6376.0,376.0,EUR,FILE-012,r19
BL-9f4011981962d102,BUD-2026,2026-06,Расходы,Производство МД,18000.0,,,EUR,FILE-012,r19
BL-0f06687dc58486ec,BUD-2026,2026-07,Расходы,Производство МД,6000.0,,,EUR,FILE-012,r19
BL-9868a307d8eecc6e,BUD-2026,2026-08,Расходы,Производство МД,5000.0,,,EUR,FILE-012,r19
BL-174489dcec34489e,BUD-2026,2026-09,Расходы,Производство МД,9000.0,,,EUR,FILE-012,r19
BL-adc2e66829775435,BUD-2026,2026-10,Расходы,Производство МД,13000.0,,,EUR,FILE-012,r19
BL-c76a3fcedb0d2042,BUD-2026,2026-11,Расходы,Производство МД,4000.0,,,EUR,FILE-012,r19
BL-d31378a6c8ed763e,BUD-2026,2026-12,Расходы,Производство МД,5000.0,,,EUR,FILE-012,r19
BL-53a0f2e89cbe40db,BUD-2026,2026-01,Расходы,Производство ИМ,,237.54,,EUR,FILE-012,r20
BL-bbf5362f1a0d4c6e,BUD-2026,2026-02,Расходы,Производство ИМ,1800.0,172.0,-1628.0,EUR,FILE-012,r20
BL-ce59e21f33308ee6,BUD-2026,2026-03,Расходы,Производство ИМ,1800.0,225.0,-1575.0,EUR,FILE-012,r20
BL-b995d7ba23511144,BUD-2026,2026-04,Расходы,Производство ИМ,1800.0,534.0,-1266.0,EUR,FILE-012,r20
BL-9048089d2896a224,BUD-2026,2026-05,Расходы,Производство ИМ,1800.0,29.0,-1771.0,EUR,FILE-012,r20
BL-172d4cdde0d0ec78,BUD-2026,2026-06,Расходы,Производство ИМ,1800.0,,,EUR,FILE-012,r20
BL-311da9c6b320c262,BUD-2026,2026-07,Расходы,Производство ИМ,1800.0,,,EUR,FILE-012,r20
BL-083a04b32a5e1676,BUD-2026,2026-08,Расходы,Производство ИМ,1800.0,,,EUR,FILE-012,r20
BL-32704529738f67b0,BUD-2026,2026-09,Расходы,Производство ИМ,1800.0,,,EUR,FILE-012,r20
BL-5d5704504c66ca61,BUD-2026,2026-01,Расходы,Производство Площадки,,56.7,,EUR,FILE-012,r21
BL-dd1e7556f1385019,BUD-2026,2026-02,Расходы,Производство Площадки,6550.0,0.0,-6550.0,EUR,FILE-012,r21
BL-19b47aa1ae36c1f3,BUD-2026,2026-03,Расходы,Производство Площадки,6550.0,169.0,-6381.0,EUR,FILE-012,r21
BL-781a97d4820e0e82,BUD-2026,2026-04,Расходы,Производство Площадки,7900.0,78.0,-7822.0,EUR,FILE-012,r21
BL-178b30c823447d17,BUD-2026,2026-05,Расходы,Производство Площадки,7900.0,2908.0,-4992.0,EUR,FILE-012,r21
BL-54e529fa50a6e009,BUD-2026,2026-06,Расходы,Производство Площадки,1300.0,,,EUR,FILE-012,r21
BL-f61536168d2fbed6,BUD-2026,2026-07,Расходы,Производство Площадки,9800.0,,,EUR,FILE-012,r21
BL-fb4c7bbc472419ea,BUD-2026,2026-08,Расходы,Производство Площадки,8450.0,,,EUR,FILE-012,r21
BL-8c3db66bbf326b56,BUD-2026,2026-09,Расходы,Производство Площадки,8450.0,,,EUR,FILE-012,r21
BL-6dd6b62b2d6d69c4,BUD-2026,2026-01,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,128.0,-622.0,EUR,FILE-012,r22
BL-0d5ae0061f242f93,BUD-2026,2026-02,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,0.0,-750.0,EUR,FILE-012,r22
BL-661a6783caba1197,BUD-2026,2026-03,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,1668.0,918.0,EUR,FILE-012,r22
BL-fd1bf7b535cdcb3d,BUD-2026,2026-04,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,0.0,-750.0,EUR,FILE-012,r22
BL-b5029e632250a6d8,BUD-2026,2026-05,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,1119.0,369.0,EUR,FILE-012,r22
BL-17b8efe4db5e81b5,BUD-2026,2026-06,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-a43aa169127d53f2,BUD-2026,2026-07,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-2fe459d4de961628,BUD-2026,2026-08,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-9176b2f65d3dfe82,BUD-2026,2026-09,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-e53c859d76aa24f1,BUD-2026,2026-10,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-a2c20be832ab7d4f,BUD-2026,2026-11,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-d11eea44ee88b567,BUD-2026,2026-12,Расходы,"Расходы на товар (кофры, коробки, бумага, вешалки)",750.0,,,EUR,FILE-012,r22
BL-a8f7038ccb3905b5,BUD-2026,2026-01,Расходы,"Заработная плата, в том числе:",21623.0,19678.62,-1944.38,EUR,FILE-012,r23
BL-4695cf231efb9bc6,BUD-2026,2026-02,Расходы,"Заработная плата, в том числе:",107942.79,95879.0,-12063.79,EUR,FILE-012,r23
BL-ad070a2061c2d13c,BUD-2026,2026-03,Расходы,"Заработная плата, в том числе:",72441.18,82078.0,9636.82,EUR,FILE-012,r23
BL-b68938d1142a017a,BUD-2026,2026-04,Расходы,"Заработная плата, в том числе:",90051.36,90191.0,139.64,EUR,FILE-012,r23
BL-3069a85f15693e50,BUD-2026,2026-05,Расходы,"Заработная плата, в том числе:",71396.23,84649.0,13252.77,EUR,FILE-012,r23
BL-34dc3cf10eb19a5a,BUD-2026,2026-06,Расходы,"Заработная плата, в том числе:",90765.28,,,EUR,FILE-012,r23
BL-2e891273b964e1a1,BUD-2026,2026-07,Расходы,"Заработная плата, в том числе:",112250.96,,,EUR,FILE-012,r23
BL-062f1394848da265,BUD-2026,2026-08,Расходы,"Заработная плата, в том числе:",84457.28,,,EUR,FILE-012,r23
BL-ccafbd95491c96e3,BUD-2026,2026-09,Расходы,"Заработная плата, в том числе:",66130.13,,,EUR,FILE-012,r23
