canonical_sku,priority,stock_qty_end,stock_im_qty,stock_tsum_qty,sales_qty,sales_revenue_rub,sellthrough_proxy,reason,owner_ask,do_not_auto_accept,so_t
0-2655A,HIGH,4.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2818B,HIGH,4.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3073B,HIGH,4.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3209A,HIGH,4.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3152A,HIGH,4.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1691,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1693,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1719,HIGH,3.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2037B,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2037M,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2487,HIGH,3.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2624,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3221B,HIGH,3.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3069A,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3152,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3156,HIGH,3.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3168,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3168B,HIGH,3.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2959,MED,22.0,1.0,0.0,7.0,59610.0,0.2414,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-3221C,MED,10.0,6.0,0.0,3.0,51300.0,0.2308,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-2488,MED,8.0,5.0,0.0,3.0,150520.0,0.2727,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-1187D,MED,6.0,0.0,0.0,1.0,126000.0,0.1429,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-1695,MED,6.0,5.0,0.0,1.0,15750.0,0.1429,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-2490,MED,6.0,4.0,0.0,2.0,88711.0,0.25,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-1690,MED,5.0,4.0,0.0,1.0,15750.0,0.1667,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-2626,MED,5.0,5.0,0.0,1.0,43065.0,0.1667,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-3342,MED,5.0,5.0,0.0,1.0,36125.0,0.1667,low_sellthrough_proxy,Confirm markdown / move / write-off / missing sales file,YES,N
0-1425,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1706,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1726,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1728,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1735,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1742,MED,2.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1823B,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1869B,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1976,MED,2.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2032D/A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2032M,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2477,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2495,MED,2.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2504,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2550,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2589,MED,2.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2613A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2614A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2631A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2845,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3068,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3075A,MED,2.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3246A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3338A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3342A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3351,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3353,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3358,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-2573,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-2792A,MED,2.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3196,MED,2.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3197,MED,2.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3275,MED,2.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1187G,MED,1.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1310,MED,1.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
