article_norm,collection_types,collection_orders_n,collection_sale_eur,in_stock_cost_move,stock_name,stock_qty_sum,stock_cost_rub_sum,in_sku_master,sku_name,in_alias_master,alias_status,link_coverage,priority,so_t
0-3167/2,cruise,6,17560.0,N,,,,N,,N,,NONE,HIGH,N
0-2990,capsule|nye,7,17552.0,N,,,,N,,N,,NONE,HIGH,N
44-27,collection,4,17010.0,N,,,,N,,N,,NONE,HIGH,N
0-3274,capsule,4,16940.0,N,,,,N,,N,,NONE,HIGH,N
43-07,collection,5,16860.0,N,,,,N,,N,,NONE,HIGH,N
45-31,collection,3,16700.0,N,,,,N,,N,,NONE,HIGH,N
0-3189,capsule,4,16344.0,N,,,,N,,N,,NONE,HIGH,N
45-04,collection,2,16240.0,N,,,,N,,N,,NONE,HIGH,N
0-3276,capsule,6,16190.0,N,,,,N,,N,,NONE,HIGH,N
0-3192,capsule,3,16120.0,N,,,,N,,N,,NONE,HIGH,N
47-23,collection,2,16010.0,N,,,,N,,N,,NONE,HIGH,N
43-05,collection,3,15920.0,N,,,,N,,N,,NONE,HIGH,N
44-11,collection,2,15760.0,N,,,,N,,N,,NONE,HIGH,N
45-01,collection,3,15710.0,N,,,,N,,N,,NONE,HIGH,N
43-15,collection,1,15680.0,N,,,,N,,N,,NONE,HIGH,N
44-17,collection,3,15600.0,N,,,,N,,N,,NONE,HIGH,N
47-28,collection,1,15520.0,N,,,,N,,N,,NONE,HIGH,N
ICONIC,cruise,19,15420.0,N,,,,N,,N,,NONE,HIGH,N
0-2865А,cruise,13,15419.0,N,,,,N,,N,,NONE,HIGH,N
0-3212,capsule,5,15200.0,N,,,,N,,N,,NONE,HIGH,N
0-3202,capsule,4,14950.0,N,,,,N,,N,,NONE,HIGH,N
0-2987,capsule,5,14340.0,N,,,,N,,N,,NONE,HIGH,N
45-23,collection,1,14240.0,N,,,,N,,N,,NONE,HIGH,N
43-01,collection,2,14100.0,N,,,,N,,N,,NONE,HIGH,N
0-3045,capsule|nye,3,13940.0,N,,,,N,,N,,NONE,HIGH,N
0-3229,capsule,4,13230.0,N,,,,N,,N,,NONE,HIGH,N
0-3286,nye,14,12986.0,N,,,,N,,N,,NONE,HIGH,N
44-04,collection,3,12960.0,N,,,,N,,N,,NONE,HIGH,N
47-13,collection,5,12860.0,N,,,,N,,N,,NONE,HIGH,N
0-3196,capsule,5,12660.0,N,,,,N,,N,,NONE,HIGH,N
47-27,collection,4,12580.0,N,,,,N,,N,,NONE,HIGH,N
0-3141А,cruise,5,12540.0,N,,,,N,,N,,NONE,HIGH,N
0-3242,nye,2,12240.0,N,,,,N,,N,,NONE,HIGH,N
47-26,collection,1,12150.0,N,,,,N,,N,,NONE,HIGH,N
0-3014А,capsule|nye,8,12103.0,N,,,,N,,N,,NONE,HIGH,N
46-10,collection,1,12070.0,N,,,,N,,N,,NONE,HIGH,N
0-3258,capsule,6,12050.0,N,,,,N,,N,,NONE,HIGH,N
0-3083В,nye,2,11880.0,N,,,,N,,N,,NONE,HIGH,N
0-3057,capsule,9,11723.0,N,,,,N,,N,,NONE,HIGH,N
45-19,collection,1,11680.0,N,,,,N,,N,,NONE,HIGH,N
45-20,collection,1,11360.0,N,,,,N,,N,,NONE,HIGH,N
46-22,collection,1,11340.0,N,,,,N,,N,,NONE,HIGH,N
0-3097,nye,5,11280.0,N,,,,N,,N,,NONE,HIGH,N
47-18,collection,2,11200.0,N,,,,N,,N,,NONE,HIGH,N
44-20,collection,2,11120.0,N,,,,N,,N,,NONE,HIGH,N
0-3167А/2,cruise,4,11120.0,N,,,,N,,N,,NONE,HIGH,N
0-3231,capsule,3,11040.0,N,,,,N,,N,,NONE,HIGH,N
0-3100,nye,1,11000.0,N,,,,N,,N,,NONE,HIGH,N
43-17,collection,2,10950.0,N,,,,N,,N,,NONE,HIGH,N
0-3232,capsule,5,10880.0,N,,,,N,,N,,NONE,HIGH,N
43-13,collection,8,10860.0,N,,,,N,,N,,NONE,HIGH,N
0-3092А,nye,3,10810.0,N,,,,N,,N,,NONE,HIGH,N
46-03,collection,3,10620.0,N,,,,N,,N,,NONE,HIGH,N
0-3140,cruise,4,10400.0,N,,,,N,,N,,NONE,HIGH,N
0-1043,nye,2,10020.0,Y,"Пальто женское, черное, из бархата, с расшитыми ""звездами""",0.0,0.0,Y,"Пальто женское, черное, из бархата, с расшитыми ""звездами""",N,,FULL,MED,N
45-22,collection,2,9896.0,N,,,,N,,N,,NONE,HIGH,N
44-02,collection,3,9895.0,N,,,,N,,N,,NONE,HIGH,N
0-3205,capsule,3,9870.0,N,,,,N,,N,,NONE,HIGH,N
43-16,collection,1,9760.0,N,,,,N,,N,,NONE,HIGH,N
0-2992,capsule,3,9714.0,N,,,,N,,N,,NONE,HIGH,N
46-19,collection,1,9700.0,N,,,,N,,N,,NONE,HIGH,N
0-2872,cruise,7,9671.0,N,,,,N,,N,,NONE,HIGH,N
46-24,collection,1,9525.0,N,,,,N,,N,,NONE,HIGH,N
0-3191,capsule,3,9235.0,N,,,,N,,N,,NONE,HIGH,N
0-2779А,nye,2,9100.0,N,,,,N,,N,,NONE,HIGH,N
43-10,collection,1,9030.0,N,,,,N,,N,,NONE,HIGH,N
43-23,collection,7,8730.0,N,,,,N,,N,,NONE,HIGH,N
0-2862А,cruise,12,8699.0,N,,,,N,,N,,NONE,HIGH,N
0-3233,capsule,6,8646.0,N,,,,N,,N,,NONE,HIGH,N
0-2993A,capsule,4,8610.0,N,,,,N,,N,,NONE,HIGH,N
0-3273,capsule,4,8580.0,N,,,,N,,N,,NONE,HIGH,N
0-2891,cruise,6,8580.0,N,,,,N,,N,,NONE,HIGH,N
0-3407,cruise,2,8550.0,N,,,,N,,N,,NONE,HIGH,N
0-3271,capsule,2,8545.0,N,,,,N,,N,,NONE,HIGH,N
43-11,collection,1,8540.0,N,,,,N,,N,,NONE,HIGH,N
0-3354,cruise,5,8540.0,N,,,,N,,N,,NONE,HIGH,N
0-3113,cruise,4,8450.0,N,,,,N,,N,,NONE,HIGH,N
0-2352,capsule,6,8320.0,Y,"Пальто женское, коричневое, из пальтовой ткани, декорировано бахромой",1.0,12737.0,Y,"Пальто женское, коричневое, из пальтовой ткани, декорировано бахромой",N,,FULL,MED,N
0-3084А,nye,2,8280.0,N,,,,N,,N,,NONE,HIGH,N
44-07,collection,2,8245.0,N,,,,N,,N,,NONE,HIGH,N
0-3400,cruise,6,8182.0,N,,,,N,,N,,NONE,HIGH,N
0-2918,cruise,9,8048.0,N,,,,N,,N,,NONE,HIGH,N
45-12,collection,1,7800.0,N,,,,N,,N,,NONE,HIGH,N
0-3168,cruise,11,7741.0,N,,,,N,,N,,NONE,HIGH,N
0-2805,cruise,6,7671.0,N,,,,N,,N,,NONE,HIGH,N
0-3294,nye,3,7360.0,N,,,,N,,N,,NONE,HIGH,N
0-3277А,capsule,1,7275.0,N,,,,N,,N,,NONE,HIGH,N
0-2931,cruise,4,7260.0,N,,,,N,,N,,NONE,HIGH,N
0-3370,cruise,7,7239.0,N,,,,N,,N,,NONE,HIGH,N
44-01,collection,2,7160.0,N,,,,N,,N,,NONE,HIGH,N
0-2924,cruise,7,7043.0,N,,,,N,,N,,NONE,HIGH,N
0-2998,capsule|nye,3,7000.0,N,,,,N,,N,,NONE,HIGH,N
0-3405,cruise,3,6979.0,N,,,,N,,N,,NONE,HIGH,N
0-3114,cruise,4,6820.0,N,,,,N,,N,,NONE,HIGH,N
0-2873,cruise,7,6800.0,N,,,,N,,N,,NONE,HIGH,N
0-2988,capsule,7,6720.0,N,,,,N,,N,,NONE,HIGH,N
0-2910,cruise,10,6665.0,N,,,,N,,N,,NONE,HIGH,N
0-3080,nye,3,6580.0,N,,,,N,,N,,NONE,HIGH,N
0-3380А,cruise,5,6574.0,N,,,,N,,N,,NONE,HIGH,N
0-3009,capsule,2,6510.0,Y,"Куртка женская, черная, из плащевой ткани, с вышивкой ""Цветы"" на рукавах",2.0,120808.0,Y,"Куртка женская, черная, из плащевой ткани, с вышивкой ""Цветы"" на рукавах",N,,FULL,MED,N
45-13,collection,2,6450.0,N,,,,N,,N,,NONE,HIGH,N
0-3018,capsule,2,6446.0,N,,,,N,,N,,NONE,HIGH,N
46-08,collection,1,6376.0,N,,,,N,,N,,NONE,HIGH,N
0-3093,nye,2,6300.0,N,,,,N,,N,,NONE,HIGH,N
0-3102,nye,3,6300.0,N,,,,N,,N,,NONE,HIGH,N
0-3395,cruise,3,6240.0,N,,,,N,,N,,NONE,HIGH,N
0-3414,cruise,6,6192.0,N,,,,N,,N,,NONE,HIGH,N
0-3206,capsule,2,6080.0,N,,,,N,,N,,NONE,HIGH,N
0-3382А,cruise,1,6030.0,N,,,,N,,N,,NONE,HIGH,N
КЛ-2024,nye,8,6017.0,N,,,,N,,N,,NONE,HIGH,N
0-3247,nye,6,5940.0,N,,,,N,,N,,NONE,HIGH,N
0-3167/1,cruise,2,5940.0,N,,,,N,,N,,NONE,HIGH,N
0-3297,nye,4,5850.0,N,,,,N,,N,,NONE,HIGH,N
0-3159,cruise,8,5822.0,N,,,,N,,N,,NONE,HIGH,N
0-3019,capsule,2,5760.0,N,,,,N,,N,,NONE,HIGH,N
0-3249,nye,1,5740.0,N,,,,N,,N,,NONE,HIGH,N
0-3198С,capsule,3,5735.0,N,,,,N,,N,,NONE,HIGH,N
0-3230,capsule,5,5670.0,N,,,,N,,N,,NONE,HIGH,N
0-3168В,cruise,8,5609.0,N,,,,N,,N,,NONE,HIGH,N
0-3383,cruise,1,5580.0,N,,,,N,,N,,NONE,HIGH,N
0-2806,cruise,6,5520.0,N,,,,N,,N,,NONE,HIGH,N
0-2997,capsule|nye,3,5500.0,N,,,,N,,N,,NONE,HIGH,N
0-2996,capsule|nye,2,5440.0,N,,,,N,,N,,NONE,HIGH,N
0-3128В,cruise,2,5440.0,N,,,,N,,N,,NONE,HIGH,N
0-3368А,cruise,4,5428.0,N,,,,N,,N,,NONE,HIGH,N
0-2999,capsule,4,5390.0,N,,,,N,,N,,NONE,HIGH,N
0-3261,capsule,3,5390.0,N,,,,N,,N,,NONE,HIGH,N
АКЦИЯ,cruise,7,5355.0,N,,,,N,,N,,NONE,HIGH,N
0-3157,cruise,2,5280.0,N,,,,N,,N,,NONE,HIGH,N
0-3015,capsule,2,5250.0,N,,,,N,,N,,NONE,HIGH,N
0-2862,cruise,8,5233.0,N,,,,N,,N,,NONE,HIGH,N
0-3391,cruise,1,5220.0,N,,,,N,,N,,NONE,HIGH,N
0-3266,capsule,5,5200.0,N,,,,N,,N,,NONE,HIGH,N
0-3074,capsule|nye,3,5180.0,N,,,,N,,N,,NONE,HIGH,N
0-3023,capsule|nye,3,5120.0,N,,,,N,,N,,NONE,HIGH,N
0-3198,capsule,3,5120.0,N,,,,N,,N,,NONE,HIGH,N
0-2804,cruise,4,5085.0,N,,,,N,,N,,NONE,HIGH,N
0-3275,capsule,4,5035.0,N,,,,N,,N,,NONE,HIGH,N
0-2430,cruise,3,5019.0,N,,,,N,,N,,NONE,HIGH,N
0-3143,cruise,5,5016.0,N,,,,N,,N,,NONE,HIGH,N
43-21,collection,3,4980.0,N,,,,N,,N,,NONE,MED,N
0-1373,nye,1,4960.0,N,,,,N,,N,,NONE,MED,N
0-3116,cruise,3,4827.0,N,,,,N,,N,,NONE,MED,N
0-3014С,capsule,3,4810.0,N,,,,N,,N,,NONE,MED,N
0-3167А/1,cruise,3,4800.0,N,,,,N,,N,,NONE,MED,N
0-2754А,cruise,5,4740.0,N,,,,N,,N,,NONE,MED,N
0-2854,cruise,3,4732.0,N,,,,N,,N,,NONE,MED,N
0-3141,cruise,2,4710.0,N,,,,N,,N,,NONE,MED,N
0-2165,nye,19,4692.0,N,,,,N,,N,,NONE,MED,N
0-2792,cruise,2,4680.0,N,,,,N,,N,,NONE,MED,N
0-3267,capsule,2,4620.0,N,,,,N,,N,,NONE,MED,N
44-08,collection,1,4560.0,N,,,,N,,N,,NONE,MED,N
0-3014В,capsule,3,4525.0,N,,,,N,,N,,NONE,MED,N
0-2548/2,cruise,4,4514.0,N,,,,Y,"Платье-кафтан, женское, фуксия с принтом ""цветок"", с длинным рукавом",N,,SKU_ONLY,MED,N
0-2916,cruise,7,4510.0,N,,,,N,,N,,NONE,MED,N
45-07,collection,4,4506.0,N,,,,N,,N,,NONE,MED,N
0-3079,nye,2,4480.0,N,,,,N,,N,,NONE,MED,N
0-3264,capsule,9,4480.0,N,,,,N,,N,,NONE,MED,N
0-3278,capsule,2,4455.0,N,,,,N,,N,,NONE,MED,N
0-2919,cruise,4,4424.0,N,,,,N,,N,,NONE,MED,N
0-3168А,cruise,7,4350.0,N,,,,N,,N,,NONE,MED,N
0-3082А,nye,1,4340.0,N,,,,N,,N,,NONE,MED,N
0-2548/1,cruise,3,4174.0,Y,"Платье-кафтан женское, черное с принтом ""цветок"", из шелка, с длинным рукавом",2.0,24124.0,Y,"Платье-кафтан женское, черное с принтом ""цветок"", из шелка, с длинным рукавом",N,,FULL,MED,N
0-3090,nye,1,4160.0,N,,,,N,,N,,NONE,MED,N
0-3392,cruise,1,4160.0,N,,,,N,,N,,NONE,MED,N
0-3370А,cruise,4,4128.0,N,,,,N,,N,,NONE,MED,N
0-2861,cruise,9,4123.0,Y,"Футболка женская, белая с принтом ""цветы"", из трикотажа",2.0,8280.0,Y,"Футболка женская, белая с принтом ""цветы"", из трикотажа",N,,FULL,MED,N
0-3012,capsule,1,4080.0,N,,,,N,,N,,NONE,MED,N
0-2018,cruise,2,4080.0,N,,,,N,,N,,NONE,MED,N
0-3281,nye,1,4060.0,N,,,,N,,N,,NONE,MED,N
0-2843,cruise,5,4020.0,N,,,,N,,N,,NONE,MED,N
0-2604,capsule,5,4006.0,Y,"Юбка женская, черная, из стрейч бархата, прямая, зауженная к низу, средней длины",17.0,85848.5,Y,"Юбка женская, черная, из стрейч бархата, прямая, зауженная к низу, средней длины",N,,FULL,MED,N
0-3160,cruise,7,4002.0,N,,,,N,,N,,NONE,MED,N
0-2974А,cruise,3,3966.0,N,,,,N,,N,,NONE,MED,N
0-2911,cruise,4,3936.0,N,,,,N,,N,,NONE,MED,N
0-3371А,cruise,7,3928.0,N,,,,N,,N,,NONE,MED,N
0-3369А,cruise,4,3900.0,N,,,,N,,N,,NONE,MED,N
0-3112,cruise,5,3826.0,N,,,,N,,N,,NONE,MED,N
0-2913,cruise,3,3740.0,N,,,,N,,N,,NONE,MED,N
0-3120В,cruise,3,3680.0,N,,,,N,,N,,NONE,MED,N
0-2883,cruise,3,3675.0,N,,,,N,,N,,NONE,MED,N
КР-105,cruise,4,3654.0,N,,,,N,,N,,NONE,MED,N
0-3072,capsule,1,3570.0,N,,,,N,,N,,NONE,MED,N
0-3267В,capsule,1,3570.0,N,,,,N,,N,,NONE,MED,N
0-3168С,cruise,5,3566.0,N,,,,N,,N,,NONE,MED,N
0-2994A,capsule,4,3530.0,N,,,,N,,N,,NONE,MED,N
44-03,collection,1,3450.0,N,,,,N,,N,,NONE,MED,N
0-3094,nye,6,3448.0,Y,"Чокер женский, с серебряными стразами, широкий",2.0,16280.0,Y,"Чокер женский, с серебряными стразами, широкий",N,,FULL,MED,N
0-3013,capsule,4,3446.0,N,,,,N,,N,,NONE,MED,N
0-2018А,cruise,2,3434.0,N,,,,N,,N,,NONE,MED,N
0-3396,cruise,3,3381.0,N,,,,N,,N,,NONE,MED,N
0-3084,nye,1,3360.0,N,,,,N,,N,,NONE,MED,N
46-06,collection,1,3360.0,N,,,,N,,N,,NONE,MED,N
0-3137,cruise,2,3348.0,N,,,,Y,"Пальто-халат женское, белое с принтом ""черные ласточки"", из шелка, с рукавом ""кимоно""",N,,SKU_ONLY,MED,N
0-3385,cruise,4,3265.0,N,,,,N,,N,,NONE,MED,N
0-3137А,cruise,3,3245.0,N,,,,N,,N,,NONE,MED,N
0-3087А,nye,3,3240.0,N,,,,N,,N,,NONE,MED,N
0-3265,capsule,13,3235.0,N,,,,N,,N,,NONE,MED,N
0-3092,nye,1,3220.0,N,,,,N,,N,,NONE,MED,N
0-3152В/1,cruise,3,3174.0,N,,,,N,,N,,NONE,MED,N
0-3193,capsule,1,3170.0,N,,,,N,,N,,NONE,MED,N
0-3116А,cruise,2,3152.0,N,,,,N,,N,,NONE,MED,N
0-2866,cruise,2,3146.0,N,,,,N,,N,,NONE,MED,N
0-2874,cruise,2,3116.0,N,,,,N,,N,,NONE,MED,N
0-2975,cruise,19,3081.0,N,,,,N,,N,,NONE,MED,N
0-3300,nye,4,3066.0,N,,,,N,,N,,NONE,MED,N
0-3003,capsule,1,3060.0,N,,,,N,,N,,NONE,MED,N
0-3157А,cruise,1,3060.0,N,,,,N,,N,,NONE,MED,N
0-3165,cruise,1,3060.0,N,,,,Y,"Платье женское, розовое с принтом "" цветы, грибы"", из шифона",N,,SKU_ONLY,MED,N
0-3085,nye,3,3010.0,N,,,,N,,N,,NONE,MED,N
0-2909,cruise,4,3002.0,N,,,,N,,N,,NONE,MED,N
0-3225,capsule,4,3000.0,N,,,,N,,N,,NONE,MED,N
0-3110В,cruise,3,3000.0,N,,,,N,,N,,NONE,MED,N
0-2842,cruise,3,3000.0,N,,,,N,,N,,NONE,MED,N
0-3121А,cruise,2,2970.0,N,,,,N,,N,,NONE,MED,N
0-2865,cruise,2,2970.0,N,,,,N,,N,,NONE,MED,N
0-3198А,capsule,1,2880.0,N,,,,N,,N,,NONE,MED,N
0-3224,capsule,3,2880.0,N,,,,N,,N,,NONE,MED,N
0-3129,cruise,1,2880.0,N,,,,N,,N,,NONE,MED,N
0-3426,cruise,2,2880.0,N,,,,N,,N,,NONE,MED,N
0-3096,nye,5,2855.0,N,,,,N,,N,,NONE,MED,N
0-3368,cruise,2,2839.0,N,,,,N,,N,,NONE,MED,N
0-2929,cruise,3,2820.0,N,,,,N,,N,,NONE,MED,N
0-2861А,cruise,7,2731.0,N,,,,N,,N,,NONE,MED,N
0-3089,nye,2,2727.0,N,,,,N,,N,,NONE,MED,N
0-3296,nye,2,2720.0,N,,,,N,,N,,NONE,MED,N
0-2534,cruise,1,2720.0,N,,,,N,,N,,NONE,MED,N
0-3372А,cruise,7,2713.0,N,,,,N,,N,,NONE,MED,N
0-3153,cruise,2,2586.0,N,,,,N,,N,,NONE,MED,N
0-3307A,nye,1,2560.0,N,,,,N,,N,,NONE,MED,N
0-3011,capsule,1,2560.0,N,,,,N,,N,,NONE,MED,N
0-3131А,cruise,1,2560.0,N,,,,N,,N,,NONE,MED,N
0-3223D,capsule,1,2520.0,N,,,,Y,"Свитер женский, черный, из кашемира, с расшивкой ""Колье""",N,,SKU_ONLY,MED,N
0-2884,cruise,3,2425.0,N,,,,N,,N,,NONE,MED,N
0-3109В,cruise,3,2424.0,N,,,,N,,N,,NONE,MED,N
0-3131,cruise,1,2400.0,N,,,,N,,N,,NONE,MED,N
0-2004,cruise,1,2380.0,N,,,,N,,N,,NONE,MED,N
0-3371С,cruise,5,2376.0,N,,,,N,,N,,NONE,MED,N
0-3299,nye,2,2352.0,N,,,,N,,N,,NONE,MED,N
0-3122А,cruise,2,2352.0,N,,,,N,,N,,NONE,MED,N
0-3365,cruise,2,2352.0,N,,,,N,,N,,NONE,MED,N
0-3365А,cruise,2,2352.0,N,,,,N,,N,,NONE,MED,N
0-2974,cruise,3,2340.0,N,,,,N,,N,,NONE,MED,N
0-3260,capsule,3,2328.0,N,,,,N,,N,,NONE,MED,N
45-0,collection,4,2311.0,N,,,,N,,N,,NONE,MED,N
0-2985,capsule,3,2310.0,Y,"Юбка женская, черная, из шелка, с аппликацией ""Листья""",2.0,57020.0,Y,"Юбка женская, черная, из шелка, с аппликацией ""Листья""",N,,FULL,MED,N
0-2904А,cruise,5,2287.0,N,,,,N,,N,,NONE,MED,N
0-2859,cruise,18,2272.0,N,,,,N,,N,,NONE,MED,N
ИМ-2604,capsule,4,2268.0,N,,,,N,,N,,NONE,MED,N
0-2555А,cruise,2,2254.0,N,,,,N,,N,,NONE,MED,N
0-3021,capsule,1,2240.0,N,,,,N,,N,,NONE,MED,N
0-3128,cruise,1,2240.0,N,,,,N,,N,,NONE,MED,N
0-2888,cruise,1,2240.0,N,,,,N,,N,,NONE,MED,N
0-2840,cruise,1,2220.0,N,,,,N,,N,,NONE,MED,N
0-3091А,nye,1,2210.0,N,,,,N,,N,,NONE,MED,N
0-3267А,capsule,1,2210.0,N,,,,N,,N,,NONE,MED,N
0-2849,cruise,1,2210.0,N,,,,N,,N,,NONE,MED,N
0-2789А,cruise,2,2205.0,N,,,,N,,N,,NONE,MED,N
0-3386,cruise,3,2182.0,N,,,,N,,N,,NONE,MED,N
0-2920,cruise,3,2160.0,N,,,,N,,N,,NONE,MED,N
0-3156,cruise,3,2159.0,N,,,,N,,N,,NONE,MED,N
0-2894,cruise,2,2100.0,N,,,,N,,N,,NONE,MED,N
0-3152В,cruise,2,2095.0,N,,,,N,,N,,NONE,MED,N
0-2246С,cruise,2,2095.0,N,,,,N,,N,,NONE,MED,N
0-3222С,capsule,1,2080.0,N,,,,N,,N,,NONE,MED,N
0-3222Е,capsule,1,2080.0,N,,,,N,,N,,NONE,MED,N
45-18,collection,1,2080.0,N,,,,N,,N,,NONE,MED,N
СУ-2024,nye,2,2079.0,N,,,,N,,N,,NONE,MED,N
0-3272,capsule,2,2064.0,N,,,,N,,N,,NONE,MED,N
0-3152А,cruise,2,2052.0,N,,,,N,,N,,NONE,MED,N
0-3110А,cruise,2,2040.0,N,,,,N,,N,,NONE,MED,N
0-3369,cruise,2,2040.0,N,,,,N,,N,,NONE,MED,N
0-3152,cruise,2,2032.0,N,,,,Y,"Платье-кафтан женское, розовое с принтом ""зеленый горох"", из батиста",N,,SKU_ONLY,MED,N
0-2899,cruise,5,1996.0,N,,,,N,,N,,NONE,LOW,N
0-3087,nye,2,1980.0,N,,,,N,,N,,NONE,LOW,N
0-3419,cruise,3,1980.0,N,,,,N,,N,,NONE,LOW,N
0-3152В/2,cruise,2,1968.0,N,,,,N,,N,,NONE,LOW,N
0-3370В,cruise,2,1968.0,N,,,,N,,N,,NONE,LOW,N
0-3393,cruise,2,1968.0,N,,,,N,,N,,NONE,LOW,N
0-3250,nye,1,1950.0,N,,,,N,,N,,NONE,LOW,N
0-3017,capsule,2,1920.0,N,,,,N,,N,,NONE,LOW,N
0-2867,cruise,2,1920.0,N,,,,N,,N,,NONE,LOW,N
0-3109А,cruise,2,1919.0,N,,,,N,,N,,NONE,LOW,N
0-2917,cruise,5,1872.0,N,,,,N,,N,,NONE,LOW,N
0-3095,nye,1,1870.0,N,,,,N,,N,,NONE,LOW,N
0-3222D/1,capsule,1,1870.0,N,,,,N,,N,,NONE,LOW,N
44-26,collection,1,1870.0,N,,,,N,,N,,NONE,LOW,N
0-3111,cruise,1,1870.0,N,,,,N,,N,,NONE,LOW,N
0-3126А,cruise,1,1820.0,N,,,,N,,N,,NONE,LOW,N
0-2912,cruise,2,1800.0,N,,,,N,,N,,NONE,LOW,N
0-3298,nye,1,1760.0,N,,,,N,,N,,NONE,LOW,N
0-3302,nye,1,1760.0,N,,,,N,,N,,NONE,LOW,N
0-3302В,nye,1,1760.0,N,,,,N,,N,,NONE,LOW,N
0-3197,capsule,1,1760.0,N,,,,N,,N,,NONE,LOW,N
0-3222D,capsule,1,1760.0,N,,,,N,,N,,NONE,LOW,N
0-3132А,cruise,1,1760.0,N,,,,N,,N,,NONE,LOW,N
0-3384,cruise,1,1760.0,N,,,,N,,N,,NONE,LOW,N
