article_norm,collection_sale_eur,collection_types,person_cost_hit,owner_action,so_t
43-16,9760.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2992,9714.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-19,9700.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2872,9671.0,cruise,N,NEED alias OR MD line / workshop card,N
46-24,9525.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3191,9235.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2779А,9100.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-10,9030.0,collection,N,NEED alias OR MD line / workshop card,N
43-23,8730.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2862А,8699.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3233,8646.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2993A,8610.0,capsule,N,NEED alias OR MD line / workshop card,N
0-3273,8580.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2891,8580.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3407,8550.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3271,8545.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-11,8540.0,collection,N,NEED alias OR MD line / workshop card,N
0-3354,8540.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3113,8450.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3084А,8280.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-07,8245.0,collection,N,NEED alias OR MD line / workshop card,N
0-3400,8182.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2918,8048.0,cruise,N,NEED alias OR MD line / workshop card,N
45-12,7800.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3168,7741.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2805,7671.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3294,7360.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3277А,7275.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2931,7260.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3370,7239.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-01,7160.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2924,7043.0,cruise,N,NEED alias OR MD line / workshop card,N
0-2998,7000.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3405,6979.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3114,6820.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2873,6800.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2988,6720.0,capsule,N,NEED alias OR MD line / workshop card,N
0-2910,6665.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3080,6580.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3380А,6574.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-13,6450.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3018,6446.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-08,6376.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3093,6300.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3102,6300.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3395,6240.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3414,6192.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3206,6080.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3382А,6030.0,cruise,N,NEED alias OR MD line / workshop card,N
КЛ-2024,6017.0,nye,N,NEED alias OR MD line / workshop card,N
0-3247,5940.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3167/1,5940.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3297,5850.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3159,5822.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3019,5760.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3249,5740.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3198С,5735.0,capsule,N,NEED alias OR MD line / workshop card,N
0-3230,5670.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3168В,5609.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3383,5580.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2806,5520.0,cruise,N,NEED alias OR MD line / workshop card,N
0-2997,5500.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2996,5440.0,capsule|nye,N,NEED alias OR MD line / workshop card,N
0-3128В,5440.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3368А,5428.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2999,5390.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3261,5390.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
АКЦИЯ,5355.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3157,5280.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3015,5250.0,capsule,N,NEED alias OR MD line / workshop card,N
0-2862,5233.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3391,5220.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3266,5200.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3074,5180.0,capsule|nye,N,NEED alias OR MD line / workshop card,N
0-3023,5120.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3198,5120.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2804,5085.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3275,5035.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2430,5019.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3143,5016.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
