canonical_sku,name,class,priority,stock_qty_end,stock_im_qty,stock_tsum_qty,stock_b2b_qty,warehouses,sales_qty,sales_revenue_rub,sales_lines_n,sales_channels,im_sales_qty,im_sales_rev_rub,tsum_sales_qty,tsum_sales_rev_rub,b2b_sales_qty,sellthrough_proxy,align_flags,do_not_auto_accept,so_t
0-1442,"Юбка женская, черная, из фатина, с принтом ""горошек""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,19.0,420842.0,21,B2B|IM,9.0,281448.0,0.0,0.0,10.0,1.0,,YES,N
0-1442C,"Юбка женская,белая,из фатина, с декором ""круги""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,18850.0,1,IM,1.0,18850.0,0.0,0.0,0.0,1.0,,YES,N
0-1444A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",STOCK_AND_SALES,LOW,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,3.0,100040.0,9,IM,3.0,100040.0,0.0,0.0,0.0,0.75,,YES,N
0-1463,Мягкая маска из хлопка цвета электрик Girls,STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1464,"Свитшот женский, белый с черным, из футера, с декоративной деталью по рукаву",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,11950.0,1,IM,1.0,11950.0,0.0,0.0,0.0,1.0,,YES,N
0-1486,"Юбка женская, черная, из пайеточной ткани",STOCK_AND_SALES,LOW,2.0,2.0,0.0,0.0,Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),6.0,892896.0,10,IM,6.0,892896.0,0.0,0.0,0.0,0.75,IM_ALIGNED,YES,N
0-1486C,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1487,"Юбка женская, темно-серая, из пайеточной ткани",STOCK_AND_SALES,LOW,3.0,3.0,0.0,0.0,Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),5.0,257566.0,9,B2B|IM,4.0,227175.0,0.0,0.0,1.0,0.625,IM_ALIGNED,YES,N
0-1487A,"Юбка женская, золотистая, из пайеточной ткани",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,2.0,65341.0,2,B2B|IM,1.0,34950.0,0.0,0.0,1.0,1.0,,YES,N
0-1491,"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1492,"Брошь из пайеток с добавлением бусин и страз, черная с белым Basic",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1494,"Брошь из пайеток с добавлением бусин и страз, белая с черным Basic",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,1.0,25500.0,2,IM,1.0,25500.0,0.0,0.0,0.0,1.0,,YES,N
0-1495,"Брошь из пайеток с добавлением бусин и страз, черная Basic",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,1.0,25500.0,2,IM,1.0,25500.0,0.0,0.0,0.0,1.0,,YES,N
0-1500,"Бейсболка женская, черная, из хлопка, декорированная вуалеткой с аппликацией Girls",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1505,"Свитшот женский, розовый, из футера, с вышитым лого ""YANINA""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ,1.0,17600.0,1,IM,1.0,17600.0,0.0,0.0,0.0,1.0,,YES,N
0-1506,"Свитшот женский, белый, из футера, с вышитым лого ""YANINA""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ,1.0,17600.0,1,IM,1.0,17600.0,0.0,0.0,0.0,1.0,,YES,N
0-1511,"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",STOCK_AND_SALES,LOW,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,1.0,36365.0,2,IM,1.0,36365.0,0.0,0.0,0.0,0.5,,YES,N
0-1522,"Юбка женская, белая, из фатина, с принтом ""горошек""",STOCK_AND_SALES,LOW,1.0,1.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,9.0,142494.0,7,B2B|IM,2.0,44710.0,0.0,0.0,7.0,0.9,IM_ALIGNED,YES,N
0-1549,"Кеды женские, черные, из тканного материала, с расшитой Y",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ,1.0,9000.0,2,IM,1.0,9000.0,0.0,0.0,0.0,1.0,,YES,N
0-1550,"Кеды женские, черные, из тканного материала, на белой подошве",STOCK_AND_SALES,LOW,1.0,1.0,0.0,0.0,Подарки|Склад ИМ,1.0,18000.0,2,IM,1.0,18000.0,0.0,0.0,0.0,0.5,IM_ALIGNED,YES,N
0-1569,"Пальто женское, черное, из пайеточной ткани, декорировано черно-белой расшитой тесьмой",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,150000.0,2,IM,1.0,150000.0,0.0,0.0,0.0,1.0,,YES,N
0-1584A,"Платье женское, черное. из пайеточной ткани, приталенного силуэта",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,56700.0,1,IM,1.0,56700.0,0.0,0.0,0.0,1.0,,YES,N
0-1585,"Пальто женское, оранжевое, из тафты, свободного силуэта",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1593,"Платок женский, белый с принтом ""YANINA"", из шелка",STOCK_NO_SALES,MED,1.0,0.0,0.0,0.0,Подарки|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,YES,N
0-1622B,"Юбка женская, белая, из шифона, со сборкой по передней половине юбки",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,10000.0,1,IM,1.0,10000.0,0.0,0.0,0.0,1.0,,YES,N
0-1666,"Комбинезон женский, черный, из пайеточной ткани, с ремнем из бархата",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,2.0,200030.0,3,IM,2.0,200030.0,0.0,0.0,0.0,1.0,,YES,N
0-1672,"Рубашка женская, белая, из хлопка, свободного силуэта",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,11.0,221045.17,18,IM|TSUM,10.0,200960.0,1.0,20085.17,0.0,1.0,,YES,N
0-1672C,"Рубашка женская, голубая, из хлопка, с вышивкой по планке и манжетам",STOCK_AND_SALES,LOW,3.0,2.0,0.0,0.0,Подарки|Салон (Лена М.)|Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),33.0,485278.01,33,B2B|IM,17.0,308755.01,0.0,0.0,16.0,0.9167,IM_ALIGNED,YES,N
0-1682,"Туфли женские, красные, из бархата, с серебряной расшивкой",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1684,"Балетки женские, серые, из бархата, декорированы серебрянной расшивкой",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1689,"Туфли женские, зеленые, из бархата, без каблука, с расшивкой Y",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1690,"Туфли женские, синие, из бархата, без каблука, с расшивкой Y",STOCK_AND_SALES,MED,5.0,4.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),1.0,15750.0,2,IM,1.0,15750.0,0.0,0.0,0.0,0.1667,IM_ALIGNED,YES,N
0-1691,"Туфли женские, серебряные, из бархата, без каблука, с расшивкой Y",STOCK_NO_SALES,HIGH,3.0,3.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1693,"Туфли женские, черные, из кожи, без каблука, с вышивкой YC",STOCK_NO_SALES,HIGH,3.0,3.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1694,"Туфли женские, черные, из бархата, без каблука, с расшивкой Y",STOCK_AND_SALES,LOW,1.0,1.0,0.0,0.0,Подарки|Салон (Лена М.)|Склад ИМ,1.0,35000.0,1,IM,1.0,35000.0,0.0,0.0,0.0,0.5,IM_ALIGNED,YES,N
0-1695,"Туфли женские, серые, из кожи, без каблука, с вышивкой YC",STOCK_AND_SALES,MED,6.0,5.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),1.0,15750.0,2,IM,1.0,15750.0,0.0,0.0,0.0,0.1429,IM_ALIGNED,YES,N
0-1696,"Туфли женские, серые, из бархата, без каблука, с расшивкой Y",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,2.0,44100.0,4,IM,2.0,44100.0,0.0,0.0,0.0,1.0,,YES,N
0-1705,"Туфли женские, бордовые, из бархата, на каблуке",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1706,"Туфли женские, черные, из бархата, на каблуке",STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Подарки|Склад ИМ|Склад производства (Жукова),0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1719,"Туфли женские, бордовые, из бархата, на каблуке, декорированы пряжкой",STOCK_NO_SALES,HIGH,3.0,2.0,0.0,0.0,Подарки|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1722,"Туфли женские, черные, из бархата, декорированы пряжкой",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1723,"Сабо женские, серые, из бархата, с пряжкой",STOCK_NO_SALES,MED,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,YES,N
0-1726,"Сабо женские, зеленые, из бархата, с пряжкой",STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1727,"Босоножки женские, серебряные, из глиттера, на платформе",STOCK_NO_SALES,HIGH,5.0,4.0,0.0,0.0,Подарки|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1728,"Босоножки женские, черные, из глиттера, на платформе",STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Подарки|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1729,"Босоножки женские, розовые, из глиттера, на платформе",STOCK_NO_SALES,HIGH,7.0,6.0,0.0,0.0,Подарки|Склад ИМ|Склад производства (Жукова),0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1730,"Туфли женские, серебряные, из глиттера, на платформе",STOCK_AND_SALES,LOW,4.0,2.0,0.0,0.0,Подарки|Склад ИМ,1.0,114300.0,2,IM,1.0,114300.0,0.0,0.0,0.0,0.2,IM_ALIGNED,YES,N
0-1735,"Сапоги женские, серые, из кожи, на платформе",STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1736,"Сапоги женские, черные, из кожи, на платформе",STOCK_NO_SALES,HIGH,5.0,4.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1738,"Сапоги женские, рыжие, из кожи, на платформе",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1742,"Сапоги женские, черные, из ткани стрейч, на каблуке, с расшивкой Y",STOCK_NO_SALES,MED,2.0,1.0,0.0,0.0,Подарки|Склад ИМ|Склад производства (Жукова),0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1810,"Платье женское, черное, из сетки, с вышитыми птицами ""снегири""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,3.0,324778.96,3,IM,3.0,324778.96,0.0,0.0,0.0,1.0,,YES,N
0-1811,"Платье женское, бежевое, из фатина, с вышивкой ""Цветы""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,127631.0,2,IM,1.0,127631.0,0.0,0.0,0.0,1.0,,YES,N
0-1812,"Платье женское, бежевое, из фатина, с вышивкой ""Листья"", с объемными ракавами",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,75750.0,1,IM,1.0,75750.0,0.0,0.0,0.0,1.0,,YES,N
0-1813,"Платье женское, бежевое, из фатина, с вышивкой ""Листья""",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1821A,"Комбинезон женский, бежевый, из шифона, декорирован перьями страуса",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,101000.0,1,IM,1.0,101000.0,0.0,0.0,0.0,1.0,,YES,N
0-1823B,"Юбка женская, черная, из крепа",STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1862,"Юбка женская, черная, из футера, с вышивкой на боковом шве",STOCK_NO_SALES,MED,1.0,0.0,0.0,0.0,Салон (Лена М.),0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,YES,N
0-1868A,"Рубашка женская, черная с принтом "" белая Y"", из шелка, с рукавом ""кимоно""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,5.0,237362.0,7,B2B|IM,3.0,120600.0,0.0,0.0,2.0,1.0,,YES,N
0-1869A,"Брюки женские, черные с принтом ""белая Y"", из шелка, с отделкой ""лампас"", широкие",STOCK_AND_SALES,LOW,3.0,3.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,6.0,156871.0,5,B2B|IM,3.0,92500.0,0.0,0.0,3.0,0.6667,IM_ALIGNED,YES,N
0-1869B,"Брюки женские, черные с принтом ""цветные капли"", из батиста, расклешенные к низу",STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1871A,,SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,,14.0,214340.0,9,B2B|IM,2.0,47900.0,0.0,0.0,12.0,1.0,,YES,N
0-1871B,"Юбка женская, черная, из фатина, с принтом ""листья""",STOCK_AND_SALES,LOW,2.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,2.0,30000.0,2,IM,2.0,30000.0,0.0,0.0,0.0,0.5,,YES,N
0-1871Г,"Юбка женская, серая, из сетки, с розовым принтом ""листья""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),2.0,30950.0,2,IM,2.0,30950.0,0.0,0.0,0.0,1.0,,YES,N
0-1871Д,"Юбка женская, розовая, из фатина, с принтом ""листья""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ|Склад оптовых продаж,3.0,45770.0,3,B2B|IM,2.0,31900.0,0.0,0.0,1.0,1.0,,YES,N
0-1873,"Куртка женская, черная, из эко-кожи, с вышивкой ""Цветок""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,1.0,18900.0,2,IM,1.0,18900.0,0.0,0.0,0.0,1.0,,YES,N
0-1876,"Платье женское, черное, из стрейч бархата, с белым кружевным воротником, приталенное",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,1.0,13800.0,2,IM,1.0,13800.0,0.0,0.0,0.0,1.0,,YES,N
0-1878,"Жакет женский, темно-синий, из джерси, с принтом ""Цветок""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),1.0,11850.0,1,IM,1.0,11850.0,0.0,0.0,0.0,1.0,,YES,N
0-1879,"Юбка женская, темно-синяя, из джерси, с принтом ""цветок""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,2.0,39800.0,2,IM,2.0,39800.0,0.0,0.0,0.0,1.0,,YES,N
0-1882A,"Юбка женская, белая, из фатина, с шелковой отделкой по низу юбки",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,15000.0,1,IM,1.0,15000.0,0.0,0.0,0.0,1.0,,YES,N
0-1899,"Брюки женские, черные, из футера, с поясом ""рибана""",STOCK_AND_SALES,LOW,3.0,2.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),19.0,158484.0,10,B2B|IM,3.0,49430.0,0.0,0.0,16.0,0.8636,IM_ALIGNED,YES,N
0-1899B,"Брюки женские, голубые, из футера, с поясом ""рибана""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад оптовых продаж,2.0,13218.0,1,B2B,0.0,0.0,0.0,0.0,2.0,1.0,,YES,N
0-1899C,"Брюки женские, розовые, из футера, с поясом ""рибана""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад оптовых продаж,5.0,33045.0,2,B2B,0.0,0.0,0.0,0.0,5.0,1.0,,YES,N
0-1906A,"Платье женское, черное, из фатина, с принтом ""листья""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ,1.0,96030.0,1,IM,1.0,96030.0,0.0,0.0,0.0,1.0,,YES,N
0-1933A,"Платье женское, черное, из трикотажа, с мягкой драпировкой",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ,1.0,28700.0,1,IM,1.0,28700.0,0.0,0.0,0.0,1.0,,YES,N
0-1940,"Брюки-джоггеры женские, черные, из стрейч бархата",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),3.0,42300.0,4,IM,3.0,42300.0,0.0,0.0,0.0,1.0,,YES,N
0-1942,"Шорты женские, черные, из бархата, удлиненные",STOCK_AND_SALES,LOW,2.0,2.0,0.0,0.0,Подарки|Склад ИМ,2.0,6300.0,2,IM,2.0,6300.0,0.0,0.0,0.0,0.5,IM_ALIGNED,YES,N
