stock_cost_id,article_raw,canonical_sku,warehouse,name,open_qty,open_cost_rub,in_qty,in_cost_rub,out_qty,out_cost_rub,unit_cost_rub,unit_cost_source,source_file_id,source_row_id
SC-0f8487abfe7faff6,0-2480,0-2480,Aldo Coppola (Основное подразделение),"Блуза женская, черная, из батиста, декорирована расшивкой кристаллами по воротнику",,,1,14149.6,1,14149.6,14149.6,IN,FILE-099,r31
SC-a9e2db2b63361867,0-2480D,0-2480D,Aldo Coppola (Основное подразделение),"Блуза женская, белая с принтом ""оранжевые Y"", из шёлка, с отделкой ""лампас""",,,1,10121,1,10121,10121.0,IN,FILE-099,r33
SC-7abd15071db284ef,0-2480С/2,0-2480C,Aldo Coppola (Основное подразделение),"Блуза женская, красная с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас""",,,1,10121,1,10121,10121.0,IN,FILE-099,r35
SC-4642292e090dd2ba,0-2481B,0-2481B,Aldo Coppola (Основное подразделение),"Блуза женская, розовая с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас""",,,1,13734.68,1,13734.68,13734.68,IN,FILE-099,r37
SC-9b50819c6ff0f9b2,0-2481E,0-2481E,Aldo Coppola (Основное подразделение),"Брюки женские, белые с принтом ""оранжевые Y"", из шёлка, с оранжевым кантом",,,1,5374,1,5374,5374.0,IN,FILE-099,r39
SC-b05237d73d04d444,0-2481F,0-2481F,Aldo Coppola (Основное подразделение),"Брюки женские, розовые с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас""",,,1,5374,1,5374,5374.0,IN,FILE-099,r41
SC-a792f1d5c8fc7106,0-2485A,0-2485A,Aldo Coppola (Основное подразделение),"Брюки женские, красные с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас""",,,1,2447.34,1,2447.34,2447.34,IN,FILE-099,r43
SC-84a13cd0ac890870,0-2493,0-2493,Aldo Coppola (Основное подразделение),"Шорты женские, чёрные с принтом ""белые Y и девочки"", из батиста, с отделкой ""лампас"" по низу",,,1,11961.52,1,11961.52,11961.52,IN,FILE-099,r45
SC-1f22fe8cbfbdef93,0-2494,0-2494,Aldo Coppola (Основное подразделение),"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с широкими бретелями-завязками",,,2,25272.42,2,25272.42,12636.21,IN,FILE-099,r47
SC-84d87b99dc08f399,0-2496,0-2496,Aldo Coppola (Основное подразделение),"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с поясом",,,2,24718.54,2,24718.54,12359.27,IN,FILE-099,r49
SC-4570682ae9552505,0-2523,0-2523,Aldo Coppola (Основное подразделение),"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",,,1,5374,1,5374,5374.0,IN,FILE-099,r51
SC-e9caf138e4a576ba,0-2524,0-2524,Aldo Coppola (Основное подразделение),"Брюки женские, белые с принтом ""голубые цветы"", из батиста",,,2,19860,2,19860,9930.0,IN,FILE-099,r53
SC-b0514d477c64f68f,0-2527,0-2527,Aldo Coppola (Основное подразделение),"Рубашка женская, белая с принтом ""голубые цветы"", из батиста, с рукавом ""кимоно""",,,1,4539,1,4539,4539.0,IN,FILE-099,r55
SC-8534588114b9b338,0-2532,0-2532,Aldo Coppola (Основное подразделение),"Шорты женские, белые с принтом ""синие цветы"", из батиста",,,1,11000,1,11000,11000.0,IN,FILE-099,r57
SC-2ff74faec809bba9,0-2533,0-2533,Aldo Coppola (Основное подразделение),"Блуза женская, белая с принтом ""голубые цветы"", из батиста",,,1,5374,1,5374,5374.0,IN,FILE-099,r59
SC-a46866132fad1c54,0-2536,0-2536,Aldo Coppola (Основное подразделение),"Брюки женские, белые с принтом ""голубые цветы"", из батиста, зауженые к низу",,,1,15970,1,15970,15970.0,IN,FILE-099,r61
SC-6db33b9951164331,0-2545,0-2545,Aldo Coppola (Основное подразделение),"Платье женское, белое с принтом ""голубые цветы"", из батиста",,,1,2360,1,2360,2360.0,IN,FILE-099,r63
SC-c876b4bd184bb1b6,0-2545/2,0-2545,Aldo Coppola (Основное подразделение),"Футболка женская, цвета фуксия с принтом ""грибы"", из трикотажа",,,1,2360,1,2360,2360.0,IN,FILE-099,r65
SC-d8873c64ceef2efd,0-2545/3,0-2545,Aldo Coppola (Основное подразделение),"Футболка женская, белая с принтом ""грибы"", из трикотажа",,,1,2360,1,2360,2360.0,IN,FILE-099,r67
SC-21742be5c2ab4219,0-2545A,0-2545A,Aldo Coppola (Основное подразделение),"Футболка женская, розовая с принтом ""грибы"", из трикотажа",,,1,2360,1,2360,2360.0,IN,FILE-099,r69
SC-e0aecef3a1b72b0e,0-2549,0-2549,Aldo Coppola (Основное подразделение),"Футболка женская, белая с принтом ""грибы"" по горловине, из трикотажа",,,1,12978,1,12978,12978.0,IN,FILE-099,r71
SC-3d425343f5e832a2,0-2549/1,0-2549,Aldo Coppola (Основное подразделение),"Блуза женская, зеленая с принтом ""девочки, грибы, цветы"", из шелка, декорирована контрастной тесьмой",,,1,12978,1,12978,12978.0,IN,FILE-099,r73
SC-9b03c8364fd83282,0-2550,0-2550,Aldo Coppola (Основное подразделение),"Блуза женская, розовая с принтом ""девочки, грибы, цветы"", из шелка, декорирована контрастной тесьмой",,,1,8730,1,8730,8730.0,IN,FILE-099,r75
SC-d22ddeafa9772a87,0-2550/1,0-2550,Aldo Coppola (Основное подразделение),"Брюки женские, зеленые с принтом ""девочки, грибы, цветы"", из шелка, с отделкой ""лампас""",,,1,8730,1,8730,8730.0,IN,FILE-099,r77
SC-7aef3a711ee9d04e,0-2554A/2,0-2554A,Aldo Coppola (Основное подразделение),"Брюки женские, розовые с принтом ""девочки, грибы, цветы"", из шелка, с отделкой ""лампас""",,,1,10428,1,10428,10428.0,IN,FILE-099,r79
SC-c9b7838e192c519f,0-2554А,0-2554A,Aldo Coppola (Основное подразделение),"Платье-кафтан женское, черное, из шелка, декорировано тесьмой ""YANINA""",,,1,8555,1,8555,8555.0,IN,FILE-099,r81
SC-e3e760863b5a262d,0-2566,0-2566,Aldo Coppola (Основное подразделение),"Платье-кафтан женское, черное, из хлопка, декорировано тесьмой ""YANINA""",,,1,13650,1,13650,13650.0,IN,FILE-099,r83
SC-ef8c86a859d6733a,0-2567A,0-2567A,Aldo Coppola (Основное подразделение),"Платье-рубашка женское, белое, из батиста, с принтом ""черные Y и грибы"" с надписью ""YANINA""",,,1,13650,1,13650,13650.0,IN,FILE-099,r85
SC-dd3db9f2cc6d0d6f,0-2572,0-2572,Aldo Coppola (Основное подразделение),"Платье-рубашка женское, белое, из батиста, с принтом ""черные Y и грибы""",,,3,28059,3,28059,9353.0,IN,FILE-099,r87
SC-7305b3bc393feffb,0-2573,0-2573,Aldo Coppola (Основное подразделение),"Блуза женская, черная с принтом ""Y"", из батиста, декорирована контрастной тесьмой",,,1,2748,1,2748,2748.0,IN,FILE-099,r89
SC-1ee7c59e54c0f5c4,0-2655,0-2655,Aldo Coppola (Основное подразделение),"Шорты женские, черные с принтом ""Y"", из батиста, декорированы контрастной тесьмой",,,14,44800,14,44800,3200.0,IN,FILE-099,r91
SC-9fd483ece8f620ea,0-2655A,0-2655A,Aldo Coppola (Основное подразделение),Косметичка пляжная,,,4,20800,4,20800,5200.0,IN,FILE-099,r93
SC-f0faaafa86ad5e4b,0-321,0-321,Aldo Coppola (Основное подразделение),"Сумка-тоут  женская, черная, с принтом ""YANINA""",,,1,3862,1,3862,3862.0,IN,FILE-099,r95
SC-b142ded7045ca223,T-2401B/3,T-2401B,Aldo Coppola (Основное подразделение),"Брюки женские, белые, из хлопка, зауженные к низу",,,1,11519.08,1,11519.08,11519.08,IN,FILE-099,r97
SC-7440cadf08bbd345,T-2420A/3,T-2420A,Aldo Coppola (Основное подразделение),"Брюки женские, белые с принтом ""оранжевые ""Y"", из шелка",,,1,15437.52,1,15437.52,15437.52,IN,FILE-099,r99
SC-8c908290fa5fe022,T-2573A/1,T-2573A,Aldo Coppola (Основное подразделение),"Блуза женская, белая с принтом ""оранжевые ""Y"", из шелка,  с отделкой черным кантом",,,1,7436.24,1,7436.24,7436.24,IN,FILE-099,r101
SC-7e238089346a3838,0-136,0-136,ДЕМИ (Основное подразделение),"Шорты женские, белые с принтом ""оранжевые Y"", из шелка, с отделкой ""лампас""",1,856,,,1,856,856.0,OUT,FILE-099,r104
SC-c36e2b36b97e1f3b,0-1498,0-1498,ДЕМИ (Основное подразделение),"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",3,11673,,,3,11673,3891.0,OUT,FILE-099,r106
SC-81c0e2a3dc1b0aa4,0-321,0-321,ДЕМИ (Основное подразделение),"Свитшот женский, белый, из футера, с черным лого YANINA",1,3862,,,1,3862,3862.0,OUT,FILE-099,r108
SC-8732f9d550e0b0f3,FW17-248,FW17-248,ДЕМИ (Основное подразделение),"Брюки женские, белые, из хлопка, зауженные к низу",1,7100,,,1,7100,7100.0,OUT,FILE-099,r110
SC-9c639a1a5c9496f0,ДК190,ДK190,ДЕМИ (Основное подразделение),"Платье женское, коричневое, из шерсти средней длины",1,7800,,,1,7800,7800.0,OUT,FILE-099,r112
SC-fb4c0a514f3b1995,0-1178,0-1178,ДЕМИ (Основное подразделение),ИП Алещенко Марина Николаевна,,,,,,,,,FILE-099,r115
SC-83249fce588195a9,0-1187D,0-1187D,ДЕМИ (Основное подразделение),"Пальто-халат женское, черное, из бархата, длинное, с поясом",,,,,,,,,FILE-099,r117
SC-cf003cadd105115b,0-1187E,0-1187E,ДЕМИ (Основное подразделение),"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",,,,,,,,,FILE-099,r119
SC-217f2f69b7d9e389,0-1237,0-1237,ДЕМИ (Основное подразделение),"Брюки женские, черные, из шелка, с белым кантом",,,,,,,,,FILE-099,r121
SC-31f08ffb03830fd6,0-1355А,0-1355A,ДЕМИ (Основное подразделение),"Платье женское, черное, из крепа, с объемным ярусом по низу",,,,,,,,,FILE-099,r123
SC-ddd6fb7026e385db,0-1379,0-1379,ДЕМИ (Основное подразделение),"Юбка женская, розовая, из шелка, декорирована пайетками",,,,,,,,,FILE-099,r125
SC-15c6b132661e8ed3,0-1416,0-1416,ДЕМИ (Основное подразделение),"Юбка женская, черная, из бархата, декорирована вставкой из кружева и помпонами",,,,,,,,,FILE-099,r127
SC-f1e95b751924e729,0-1418,0-1418,ДЕМИ (Основное подразделение),"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",,,,7546,,7546,,,FILE-099,r129
SC-784a8327b619df0b,0-1442,0-1442,ДЕМИ (Основное подразделение),"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",,,,,,,,,FILE-099,r131
SC-20b23096f8660ab4,0-1487,0-1487,ДЕМИ (Основное подразделение),"Юбка женская, черная, из фатина, с принтом ""горошек""",,,,-1146,,-1146,,,FILE-099,r133
SC-8c89a3c3c7d25b83,0-1487А,0-1487A,ДЕМИ (Основное подразделение),"Юбка женская, темно-серая, из пайеточной ткани",,,,,,,,,FILE-099,r135
SC-4afe138541e362b5,0-1491,0-1491,ДЕМИ (Основное подразделение),"Юбка женская, золотистая, из пайеточной ткани",,,,,,,,,FILE-099,r137
SC-362d0b4e6e045d92,0-1511,0-1511,ДЕМИ (Основное подразделение),"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",,,,,,,,,FILE-099,r139
SC-cb93453c55af20ae,0-1522,0-1522,ДЕМИ (Основное подразделение),"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",,,,,,,,,FILE-099,r141
SC-649fc3e7c8c3af2b,0-1665,0-1665,ДЕМИ (Основное подразделение),"Юбка женская, белая, из фатина, с принтом ""горошек""",,,,,,,,,FILE-099,r143
SC-fb079a14174e3714,0-1672С,0-1672C,ДЕМИ (Основное подразделение),"Платье женское, черное, из пайеточной ткани, короткое, приталенное",,,,,,,,,FILE-099,r145
SC-5f6f2d43ff29e986,0-1868A,0-1868A,ДЕМИ (Основное подразделение),"Рубашка женская, белая, из хлопка, с вышивкой по планке и манжетам",,,,,,,,,FILE-099,r147
SC-94e8b25496712efa,0-1871,0-1871,ДЕМИ (Основное подразделение),"Рубашка женская, черная с принтом "" белая Y"", из шелка, с рукавом ""кимоно""",,,,,,,,,FILE-099,r149
SC-6221bf054a8b13f2,0-1871Д,0-1871Д,ДЕМИ (Основное подразделение),"Юбка женская, бежевая, из фатина, с принтом ""листья""",,,,,,,,,FILE-099,r151
SC-1c48bb95bb47be2f,0-1876,0-1876,ДЕМИ (Основное подразделение),"Юбка женская, розовая, из фатина, с принтом ""листья""",,,,,,,,,FILE-099,r153
SC-77460bf5d491d830,0-1899,0-1899,ДЕМИ (Основное подразделение),"Платье женское, черное, из стрейч бархата, с белым кружевным воротником, приталенное",,,,,,,,,FILE-099,r155
SC-362185da48218776,0-1949,0-1949,ДЕМИ (Основное подразделение),"Брюки женские, черные, из футера, с поясом ""рибана""",,,,,,,,,FILE-099,r157
SC-3cc3e2f67c9cbd3d,0-1951,0-1951,ДЕМИ (Основное подразделение),"Платье женское, черное, из бархата, с декором ""Цветы"" на рукавах",,,,,,,,,FILE-099,r159
SC-228647e651b47fac,0-1962,0-1962,ДЕМИ (Основное подразделение),"Платье женское, черное в горох, из атласа, по лифу вставка из белого кружева",,,,,,,,,FILE-099,r161
SC-f4e4f33196fe9993,0-1976,0-1976,ДЕМИ (Основное подразделение),"Платье женское, фиолетово-черное, из пайеточной ткани, с декоративной съемной деталью",,,,,,,,,FILE-099,r163
SC-e91a1158897951c8,0-2029,0-2029,ДЕМИ (Основное подразделение),"Платье женское, черное, из кружевной ткани и фатина, декорировано по горловине вышитыми цветами",,,,,,,,,FILE-099,r165
SC-8fbab4f0f37762fa,0-2121,0-2121,ДЕМИ (Основное подразделение),"Шорты женские, черные с принтом ""белые Y"", из шелка, с отделкой ""лампас""",,,,,,,,,FILE-099,r167
SC-21bb7286a2956697,0-2121А,0-2121A,ДЕМИ (Основное подразделение),"Юбка женская, бежевая с принтом ""девочки"", из хлопка, со складками",,,,,,,,,FILE-099,r169
SC-05718b5175bd0062,0-2122,0-2122,ДЕМИ (Основное подразделение),"Юбка женская, серая с принтом ""девочки"", из хлопка, со складками по правой стороне",,,,,,,,,FILE-099,r171
SC-7c65cfc7ecf55192,0-2122A,0-2122A,ДЕМИ (Основное подразделение),"Платье женское, черное с принтом ""девочки"", из шелка, со съемным поясом",,,,,,,,,FILE-099,r173
SC-5c4c8773b2b9e71e,0-2122B,0-2122B,ДЕМИ (Основное подразделение),"Платье женское, черное, из крепа, с белым воротником и белой отделкой по борту",,,,20905,,20905,,,FILE-099,r175
SC-ee434fd00b8f7aa7,0-2144,0-2144,ДЕМИ (Основное подразделение),"Платье женское, серое с принтом ""девочки"", из шелка, со съемным поясом",,,,,,,,,FILE-099,r177
SC-07a3b4d93bc3f926,0-2152А,0-2152A,ДЕМИ (Основное подразделение),"Платье женское, черное, из фатина, с геометричным принтом, c накидкой ""балеро"" из органзы",,,,,,,,,FILE-099,r179
SC-87dd13215c520ca1,0-2312,0-2312,ДЕМИ (Основное подразделение),"Платье женское, черное, из джерси, декорировано черным принтом и жемчугом",,,,0.04,,0.04,,,FILE-099,r181
SC-c4a48806fa3f2def,0-2320А,0-2320A,ДЕМИ (Основное подразделение),"Платье женское, черное, из джерси, с белым воротником и манжетами",,,,,,,,,FILE-099,r183
SC-30eb9e931982a5f6,0-2352,0-2352,ДЕМИ (Основное подразделение),"Юбка женская, белая, из фатина, с декором принт ""черные камешки""",,,,,,,,,FILE-099,r185
SC-c4b4f45a6058749a,0-2353,0-2353,ДЕМИ (Основное подразделение),"Пальто женское, коричневое, из пальтовой ткани, декорировано бахромой",,,,,,,,,FILE-099,r187
SC-467b4e6067160018,0-2359,0-2359,ДЕМИ (Основное подразделение),"Юбка женская, коричневая, из пальтовой ткани, с отделкой бахромой по низу юбки",,,,,,,,,FILE-099,r189
SC-25e302b60b575450,0-2359A,0-2359A,ДЕМИ (Основное подразделение),"Свитшот женский, черный, из футера, с декором принт ""сердце, Yanina""",,,,,,,,,FILE-099,r191
SC-e3aa5f8d868edc07,0-2362,0-2362,ДЕМИ (Основное подразделение),"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina""",,,,,,,,,FILE-099,r193
SC-01fc15b62ee0f053,0-2393,0-2393,ДЕМИ (Основное подразделение),"Юбка женская, коричневая, из шерсти, со складками и отделкой из коричневой тафты по борту",,,,,,,,,FILE-099,r195
SC-6d77601bc1864906,0-2421,0-2421,ДЕМИ (Основное подразделение),"Платье женское, черное, из шелка, с бахромой и кокеткой расшитой бисером",,,,,,,,,FILE-099,r197
SC-45d38dfdaa7dd7f3,0-2431B,0-2431B,ДЕМИ (Основное подразделение),"Платье женское, розовое, из шелкового бархата, с воротником и манжетами из пайеток",,,,,,,,,FILE-099,r199
SC-f19c04d178cb1879,0-2455,0-2455,ДЕМИ (Основное подразделение),"Шорты женские, черные, из футера",,,,,,,,,FILE-099,r201
SC-6dcce90cd74b5b32,0-2455А,0-2455A,ДЕМИ (Основное подразделение),"Юбка женская, черная, из фатина, с вышивкой ""Дерево, птицы, Yanina""",,,,11948,,11948,,,FILE-099,r203
SC-b33d5f80ac5698e6,0-2458,0-2458,ДЕМИ (Основное подразделение),"Юбка женская, черная, из фатина, с декором принт ""дерево, птицы, Yanina""",,,,,,,,,FILE-099,r205
SC-d1bef6f4bff02715,0-2459А,0-2459A,ДЕМИ (Основное подразделение),"Блуза-боди женская, черная, из стрейч бархата, с белым воротником",,,,,,,,,FILE-099,r207
SC-169c802600c55240,0-2467,0-2467,ДЕМИ (Основное подразделение),"Юбка женская, белая, из фатина, с декором принт ""птицы""",,,,,,,,,FILE-099,r209
SC-00b02f6693c83206,0-2470,0-2470,ДЕМИ (Основное подразделение),"Платье женское, черное, из бархата, со съемным воротником с бантом, с расшивкой белыми бусинами",,,,,,,,,FILE-099,r211
SC-b3c8a8ebcadbc699,0-2472,0-2472,ДЕМИ (Основное подразделение),"Юбка женская, черная, из футера, с декором принт ""дерево, Yanina"", с отделкой ""лампас""",,,,,,,,,FILE-099,r213
SC-b280e2078e4d0cbf,0-2480B,0-2480B,ДЕМИ (Основное подразделение),"Брюки женские, черные, из футера, с декором принт ""дерево, Yanina"", отделкой ""лампас""",,,,,,,,,FILE-099,r215
SC-9596107e6f1adef6,0-2481D,0-2481D,ДЕМИ (Основное подразделение),"Блуза женская, белая с принтом ""оранжевые Y"", из батиста, с отделкой ""лампас""",,,,,,,,,FILE-099,r217
SC-d1c59e4325fc35d5,0-2488,0-2488,ДЕМИ (Основное подразделение),"Брюки женские, белые с принтом ""оранжево-черные Y"", из батиста, с оранжевым кантом",,,,,,,,,FILE-099,r219
SC-25e3150c955eb2f1,0-2490,0-2490,ДЕМИ (Основное подразделение),"Брюки женские, синие с принтом ""белые Y и грибочки"", из денима",,,,,,,,,FILE-099,r221
SC-8328cac3ff7a2d89,0-2498,0-2498,ДЕМИ (Основное подразделение),"Юбка женская, синяя с принтом ""белые Y и грибочки"", из денима",,,,,,,,,FILE-099,r223
SC-314e08d9c1f88174,0-2515,0-2515,ДЕМИ (Основное подразделение),"Платье женское, розовое с принтом ""пион"", из штапеля, без рукавов",,,,,,,,,FILE-099,r225
SC-4f27b179e29eb9f2,0-2516,0-2516,ДЕМИ (Основное подразделение),"Пальто женское, розовое, из костюмной ткани ""Шанель"", декорировано тесьмой по низу рукава",,,,,,,,,FILE-099,r227
SC-4b6d9d95c627e2f8,0-2517,0-2517,ДЕМИ (Основное подразделение),"Платье женское, черное, из костюмной ткани ""шанель"" и шифона, декорировано тесьмой",,,,,,,,,FILE-099,r229
SC-bb98887c1fa8a786,0-2589,0-2589,ДЕМИ (Основное подразделение),"Юбка женская, черная, из фатина, с декором принт ""белая Y""",,,,,,,,,FILE-099,r231
SC-af25eb14a98e5bda,0-2658A,0-2658A,ДЕМИ (Основное подразделение),"Платье женское, черное, из хлопкового кружева, с вышивкой ""Цветы""",,,,,,,,,FILE-099,r233
SC-1518f333d9e6d37a,0-2671,0-2671,ДЕМИ (Основное подразделение),"Платье женское, серебро, из паейток, с аппликацией ""Цветок""",,,,,,,,,FILE-099,r235
SC-a782edf2b10a47b1,0-2679,0-2679,ДЕМИ (Основное подразделение),"Блуза женская, черная, из шифона, с кружевом",,,,,,,,,FILE-099,r237
SC-8653cf20a376bcad,0-2680,0-2680,ДЕМИ (Основное подразделение),"Жакет женский, черный, из джерси, декорирован отлетными деталями",,,,,,,,,FILE-099,r239
SC-49e3572370eb12ab,0-2715,0-2715,ДЕМИ (Основное подразделение),"Брюки женские, черные, из джерси, со стрелками, расклешенные к низу",,,,,,,,,FILE-099,r241
SC-737765b953c30462,0-2716,0-2716,ДЕМИ (Основное подразделение),"Жакет женский, черный, из шерсти, с аппликационной вышивкой ""Листья"", с баской",,,,,,,,,FILE-099,r243
SC-6689ef53dd14783b,0-2717,0-2717,ДЕМИ (Основное подразделение),"Юбка женская, черная, из шерсти, с аппликационной вышивкой ""Листья""",,,,,,,,,FILE-099,r245
SC-7bc41c1b4bf655c0,0-2718,0-2718,ДЕМИ (Основное подразделение),"Жакет женский, коричневый, из шерсти, с аппликационной вышивкой ""Листья""",,,,,,,,,FILE-099,r247
SC-d2b38e35fa44c93f,0-2721,0-2721,ДЕМИ (Основное подразделение),"Брюки женские, коричневые, из шерсти, со стрелками, расклешенные к низу",,,,,,,,,FILE-099,r249
SC-e16adb51e93cff17,0-2816,0-2816,ДЕМИ (Основное подразделение),"Платье женское, бежевое, из шифона, длинное",,,,,,,,,FILE-099,r251
SC-3562fd756f4e1bb1,0-2828,0-2828,ДЕМИ (Основное подразделение),"Платье женское, черное, из бархата хлопчатобумажного, с декором ""Бант с цветком""",,,,,,,,,FILE-099,r253
SC-db0ca9e56c1da320,0-3073C,0-3073C,ДЕМИ (Основное подразделение),"Платье женское, черное, из крепа, с лифом из сетки, с кружевным декором",,,,,,,,,FILE-099,r255
SC-1076450fc6a524d5,T-2401B/6,T-2401B,ДЕМИ (Основное подразделение),"Свитшот женский, голубой, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",,,,,,,,,FILE-099,r257
SC-645935439cc1b1f0,T-2420A/1,T-2420A,ДЕМИ (Основное подразделение),"Брюки женские, белые с принтом ""черные балерины"", из шелка, с отделкой черным кантом",,,,,,,,,FILE-099,r259
SC-67f8a7294ef214ce,T-2475B/1,T-2475B,ДЕМИ (Основное подразделение),"Блуза женская, белая с принтом ""черные балерины"", из шелка, с отделкой черным кантом",,,,,,,,,FILE-099,r261
SC-4bc5484accc2f0e7,T-2475B/3,T-2475B,ДЕМИ (Основное подразделение),"Рубашка женская свободного силуэта, белая, из батиста, с вышивкой YC на кармане",,,,,,,,,FILE-099,r263
SC-ea2fa1d384304285,T-2495A,T-2495A,ДЕМИ (Основное подразделение),"Рубашка женская свободного силуэта, синяя, из батиста, с вышивкой YC на кармане",,,,,,,,,FILE-099,r265
SC-c1dc4a003b1c6552,T-2546,T-2546,ДЕМИ (Основное подразделение),"Платье женское, синее с принтом ""белые Y и девочки"", из шелкового шифона",,,,,,,,,FILE-099,r267
SC-aea7be51c041fe4c,0-1178,0-1178,ДЕМИ (Основное подразделение),ИП Руденко Анатолий Андреевич,,,,-202,,-202,,,FILE-099,r270
SC-d9ecc9a8cf28d278,0-1187D,0-1187D,ДЕМИ (Основное подразделение),"Пальто-халат женское, черное, из бархата, длинное, с поясом",,,,,,,,,FILE-099,r272
SC-d3a2fa1a2813b7f6,0-1187E,0-1187E,ДЕМИ (Основное подразделение),"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",,,,,,,,,FILE-099,r274
SC-42cb34c7cdd18b10,0-1416,0-1416,ДЕМИ (Основное подразделение),"Брюки женские, черные, из шелка, с белым кантом",,,,,,,,,FILE-099,r276
SC-138adbbc41e01d97,0-1418,0-1418,ДЕМИ (Основное подразделение),"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",,,,,,,,,FILE-099,r278
SC-2bb734abf885ad91,0-1442,0-1442,ДЕМИ (Основное подразделение),"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",,,,,,,,,FILE-099,r280
SC-46f7911545354ca6,0-1444A,0-1444A,ДЕМИ (Основное подразделение),"Юбка женская, черная, из фатина, с принтом ""горошек""",,,,,,,,,FILE-099,r282
SC-3a9c2d108caf8224,0-1486С,0-1486C,ДЕМИ (Основное подразделение),"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",,,,,,,,,FILE-099,r284
SC-08ae41ff2b0b96f6,0-1511,0-1511,ДЕМИ (Основное подразделение),"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",,,,,,,,,FILE-099,r286
SC-0c9b9e07875f842c,0-1823С,0-1823C,ДЕМИ (Основное подразделение),"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",,,,,,,,,FILE-099,r288
