period_month,exp_opex_rub,exp_hub_vtb_alfa_rub,exp_total_row_rub,bank_out_operating_rub,dds_b_all_rub,dds_b_bn_rub,delta_opex_vs_bank,status_opex_vs_bank,delta_hub_vs_bank,status_hub_vs_bank,delta_total_row_vs_dds,status_total_row_vs_dds,delta_total_row_vs_dds_bn,status_total_row_vs_dds_bn,exp_IP_VTB,exp_IP_ALFA,exp_DEKOR,note
2024-01,3873354.94,2617693.97,3566504.94,3440248.46,18057052.16,3271073.36,433106.48,SOFT_GAP,-822554.49,WIDE_GAP,-14490547.22,GAP,295431.58,SOFT_GAP,1649803.3,967890.67,537109.84,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-05,6648992.32,5540085.33,4774123.06,4811738.94,12686086.31,4774126.87,1837253.38,WIDE_GAP,728346.39,SOFT_GAP,-7911963.25,GAP,-3.81,CLOSE,2514629.07,3025456.26,999373.29,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-06,7044366.84,4832580.71,6207331.24,6511364.38,15573276.83,6207331.33,533002.46,SOFT_GAP,-1678783.67,WIDE_GAP,-9365945.59,GAP,-0.09,CLOSE,3684781.24,1147799.47,2108588.23,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-07,9924541.65,7162810.82,8674984.64,9118268.33,19341522.36,8721493.8,806273.32,SOFT_GAP,-1955457.51,WIDE_GAP,-10666537.72,GAP,-46509.16,CLOSE,2692131.16,4470679.66,2611114.03,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-08,5857182.87,4294877.97,5689111.13,5596034.6,14026042.22,5777142.66,261148.27,CLOSE,-1301156.63,WIDE_GAP,-8336931.09,GAP,-88031.53,CLOSE,2845770.36,1449107.61,1392288.77,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-09,6505299.04,5102230.73,5238264.21,5208714.08,11486015.09,5238264.18,1296584.96,WIDE_GAP,-106483.35,CLOSE,-6247750.88,GAP,0.03,CLOSE,3244745.03,1857485.7,1232667.37,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-10,9127534.03,7146162.82,8364265.33,8202712.74,18491922.77,8364265.78,924821.29,SOFT_GAP,-1056549.92,SOFT_GAP,-10127657.44,GAP,-0.45,CLOSE,3966293.12,3179869.7,1831230.16,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-11,11963544.47,10042298.44,7525947.23,7233643.69,16741283.19,7525947.77,4729900.78,GAP,2808654.75,WIDE_GAP,-9215335.96,GAP,-0.54,CLOSE,3079530.76,6962767.68,1793653.83,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-12,11633259.93,8559380.24,11243625.93,11214918.14,27368602.12,11243626.12,418341.79,CLOSE,-2655537.9,WIDE_GAP,-16124976.19,GAP,-0.19,CLOSE,5047981.12,3511399.12,2909985.76,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2026-01,5088270.02,4429358.05,4761846.84,4555956.88,7623771.43,4761846.84,532313.14,SOFT_GAP,-126598.83,CLOSE,-2861924.59,GAP,-0.0,CLOSE,1930623.05,2498735.0,525264.46,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2026-02,6608229.77,5193094.59,6529234.45,4989764.76,14576912.97,6529234.45,1618465.01,WIDE_GAP,203329.83,CLOSE,-8047678.52,GAP,0.0,CLOSE,4885820.27,307274.32,105258.67,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2026-03,9171229.99,8779551.71,8881677.23,8526925.4,16297227.59,8881677.23,644304.59,SOFT_GAP,252626.31,CLOSE,-7415550.36,GAP,0.0,CLOSE,5519556.14,3259995.57,254782.76,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2026-04,10690974.08,10187665.51,10445054.0,10238454.96,20013581.45,10445054.28,452519.12,CLOSE,-50789.45,CLOSE,-9568527.45,GAP,-0.28,CLOSE,7106345.91,3081319.6,279115.39,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2026-05,7466265.87,7185853.33,7339859.33,7548702.78,15022050.7,7312359.03,-82436.91,CLOSE,-362849.45,CLOSE,-7682191.37,GAP,27500.3,CLOSE,4727851.0,2458002.33,150318.96,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2026-06,5547172.17,5320633.61,5485401.17,5446495.63,815500.0,0,100676.54,CLOSE,-125862.02,CLOSE,4669901.17,GAP,,LEFT_ONLY,3561075.68,1759557.93,68878.7,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
