material_movement_id,material_id,name,article_hint,qty,amount_rub,unit_cost_rub,snapshot_date,warehouse,movement_type,source_file_id,source_row_id
MAT-6820b845e033635d,MAT-6820b845e033635d,"Бархат стрейч, темно-синий 6-051",6-051,26.3,10783.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r14
MAT-8d015882e4a05247,MAT-8d015882e4a05247,"Бархат стрейч, темно-синий 6-055",6-055,5.8,2378.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r15
MAT-cb2dc898b2338b09,MAT-cb2dc898b2338b09,"Бархат стрейч, черный 6-030",6-030,32.5,16652.96,512.4,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r16
MAT-e319db354d20217f,MAT-e319db354d20217f,"Бархат стрейч,черный, стрейч плотный 6-054",6-054,51.5,32187.5,625.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r17
MAT-cfba6e15b371f69a,MAT-cfba6e15b371f69a,"Бархат х/б стрейч, фуксия 6-041",6-041,13.7,34250.0,2500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r18
MAT-2b3f8dcdaffd5108,MAT-2b3f8dcdaffd5108,"Бархат х/б стреч, бирюзовый 6-040",6-040,13.4,33500.0,2500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r19
MAT-ff4a29bc6ad59675,MAT-ff4a29bc6ad59675,"Бархат х/б стреч, серый 6-045",6-045,8.5,21250.0,2500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r20
MAT-548ba25a44e7381a,MAT-548ba25a44e7381a,"Бархат х/б, баклажан 6-003",6-003,7.1,11715.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r21
MAT-83fb085039a72119,MAT-83fb085039a72119,"Бархат х/б, бежевый 6-039",6-039,4.3,10750.0,2500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r22
MAT-db2c80d6fbcdef9c,MAT-db2c80d6fbcdef9c,"Бархат х/б, голубой 6-014",6-014,13.0,21450.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r23
MAT-e867e553e77b2e40,MAT-e867e553e77b2e40,"Бархат х/б, зелено-голубой 6-012",6-012,8.4,13860.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r24
MAT-b4eb76f70141d427,MAT-b4eb76f70141d427,"Бархат х/б, зеленый 6-011",6-011,14.0,23100.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r25
MAT-cd4c0841a791ab89,MAT-cd4c0841a791ab89,"Бархат х/б, коричневый 6-007",6-007,10.4,17160.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r26
MAT-972fa30b37050416,MAT-972fa30b37050416,"Бархат х/б, розовый 6-016",6-016,4.2,6930.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r27
MAT-6575a1a2a8588039,MAT-6575a1a2a8588039,"Бархат х/б, светло-голубой 6-013",6-013,11.2,18480.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r28
MAT-f12c47ca7fe90da3,MAT-f12c47ca7fe90da3,"Бархат х/б, светло-коричневый 6-009",6-009,14.0,23100.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r29
MAT-c4c83064813bf64a,MAT-c4c83064813bf64a,"Бархат х/б, темно-синий, морская волна 6-042",6-042,21.8,54500.0,2500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r30
MAT-98665a5d9d8dc7f6,MAT-98665a5d9d8dc7f6,"Бархат х/б, фиолетовый 6-005",6-005,12.0,19800.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r31
MAT-83b83544008ae983,MAT-83b83544008ae983,"Бархат х/б, черный 6-001",6-001,37.8,99355.5,2628.45,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r32
MAT-2de85fb6be7a3c84,MAT-2de85fb6be7a3c84,"Бархат х/б, черный со стрейчем 6-002",6-002,31.4,51810.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r33
MAT-6a079a1005553c83,MAT-6a079a1005553c83,"Бархат шелк, бордовый 6-017",6-017,11.5,14950.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r34
MAT-9655103d5672258b,MAT-9655103d5672258b,"Бархат шелк, бордовый 6-018",6-018,3.25,4225.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r35
MAT-cbac26a246c6da5f,MAT-cbac26a246c6da5f,"Бархат шелк, зелено-фиолетовый 6-037",6-037,62.0,80600.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r36
MAT-40398dd324162b46,MAT-40398dd324162b46,"Бархат шелк, зеленый 6-035",6-035,10.7,13910.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r37
MAT-d18356ea010d0aef,MAT-d18356ea010d0aef,"Бархат шелк, золото 6-025",6-025,11.0,14300.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r38
MAT-06faf0d3a1382a0d,MAT-06faf0d3a1382a0d,"Бархат шелк, красный 6-044",6-044,28.7,71750.0,2500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r39
MAT-2d251c9ce803518a,MAT-2d251c9ce803518a,"Бархат шелк, серый 6-031",6-031,24.9,32370.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r40
MAT-7b3a9fce11e66ee2,MAT-7b3a9fce11e66ee2,"Бархат шелк, синий 6-032",6-032,22.2,28860.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r41
MAT-f67c8a0cc0703a80,MAT-f67c8a0cc0703a80,"Бархат шелк, темно-синий 6-033",6-033,14.2,18460.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r42
MAT-6901b5ecaffc3002,MAT-6901b5ecaffc3002,"Бархат шелк, фиолетовый 6-038",6-038,29.6,38480.0,1300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r43
MAT-85342e03ecd70b0f,MAT-85342e03ecd70b0f,"Бархат шелк, черный 6-046",6-046,72.7,138130.0,1900.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r44
MAT-d2222bf619de36c0,MAT-d2222bf619de36c0,"Батист бежевый, 4-059",4-059,25.1,15060.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r45
MAT-83d8aa98703e2327,MAT-83d8aa98703e2327,"Батист белый, 4-026",4-026,29.5,13275.0,450.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r46
MAT-055b9f8068cfdc17,MAT-055b9f8068cfdc17,"Батист белый, 4-027",4-027,20.5,9225.0,450.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r47
MAT-73369f196d4c7894,MAT-73369f196d4c7894,"Батист розовый, 4-036",4-036,5.0,1500.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r48
MAT-4d1d6b358c5eb25e,MAT-4d1d6b358c5eb25e,"Батист серо-бежевый атласный, 4-028",4-028,7.3,5110.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r49
MAT-cf24012a979401b8,MAT-cf24012a979401b8,"Батист серый плотный, 4-021",4-021,4.0,1600.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r50
MAT-c56030f41c72c48f,MAT-c56030f41c72c48f,"Батист серый, 4-039",4-039,14.9,5960.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r51
MAT-04ccd4905f3f3bae,MAT-04ccd4905f3f3bae,Батист черный 4-025,4-025,28.0,11200.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r52
MAT-184f5ad3e5c8897b,MAT-184f5ad3e5c8897b,"Батист черный плотный, 4-022",4-022,15.5,6200.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r53
MAT-d4b53c99ac93fc62,MAT-d4b53c99ac93fc62,"Батист черный, 4-024",4-024,28.7,5480.78,190.97,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r54
MAT-2870967ce6da894d,MAT-2870967ce6da894d,"Батист черный, 4-046",4-046,10.4,6240.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r55
MAT-50d38a3a022a5021,MAT-50d38a3a022a5021,"БРАК Х/Б папайя, бирюзовый фон, 4А-096",,30.0,10980.0,366.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r56
MAT-26e70527bcbf49bd,MAT-26e70527bcbf49bd,"БРАК Х/Б папайя, светло-голубой фон, 4А-097",,30.0,1829.7,60.99,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r57
MAT-dde638f71e33acf6,MAT-dde638f71e33acf6,"БРАК Х/Б рубашка-горох, белый, 4А-099",,25.0,1830.0,73.2,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r58
MAT-c063a366b32f22ad,MAT-c063a366b32f22ad,"БРАК Х/Б рубашка-горох, розовый, 4А-098",,25.0,7320.0,292.8,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r59
MAT-bc9f0d018dc04791,MAT-bc9f0d018dc04791,"БРАК Х/Б рубашка-перец белый, 4А-100",,24.6,1830.0,74.39,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r60
MAT-70a7a59485477aab,MAT-70a7a59485477aab,Бязь макетная 4-007,4-007,42.5,4291.64,100.98,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r61
MAT-c6493a9fb544f767,MAT-c6493a9fb544f767,Вечерняя ткань бежевая сетка 12-012,12-012,1.0,2200.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r62
MAT-dd2b4f05c9035b64,MAT-dd2b4f05c9035b64,Вечерняя ткань бежевая сетка со стеклярусом 12-010,12-010,2.8,6160.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r63
MAT-5b731f0604f741d6,MAT-5b731f0604f741d6,Вечерняя ткань белая сетка с белыми пайетками 12-060,12-060,4.5,15750.0,3500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r64
MAT-1615a1bb225776e0,MAT-1615a1bb225776e0,Вечерняя ткань белая сетка с жемчужинами белыми 12-059,12-059,6.0,21000.0,3500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r65
MAT-a7477d81d901b4cf,MAT-a7477d81d901b4cf,Вечерняя ткань белая сетка с перьями 12-092,12-092,5.15,231750.0,45000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r66
MAT-a64565149a91a3bb,MAT-a64565149a91a3bb,"Вечерняя ткань белая сетка с перьями, расшивкой пайетками 12-090",12-090,0.45,3375.0,7500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r67
MAT-06e38491a6b63f93,MAT-06e38491a6b63f93,Вечерняя ткань белые бусины на белой сетке 12-062,12-062,21.7,8680.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r68
MAT-bc2ad3198a7615ba,MAT-bc2ad3198a7615ba,Вечерняя ткань белые пайетки на трикотаже 12-053,12-053,17.5,7875.0,450.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r69
MAT-7deef3ea0d2efc75,MAT-7deef3ea0d2efc75,Вечерняя ткань белый шифон с пайетками камушки 12-019,12-019,3.0,9000.0,3000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r70
MAT-bd5f5ba7cc6bd979,MAT-bd5f5ba7cc6bd979,Вечерняя ткань бронзовые пайетки квадраты 12-030,12-030,2.6,42900.0,16500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r71
MAT-84c1b36749463ac1,MAT-84c1b36749463ac1,Вечерняя ткань бронзовые пайетки круглые 12-031,12-031,0.68,11220.0,16500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r72
MAT-228177a6fe1a117a,MAT-228177a6fe1a117a,Вечерняя ткань голубые пайетки 12-036,12-036,2.35,38775.0,16500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r73
MAT-69f91e01c45c2b07,MAT-69f91e01c45c2b07,Вечерняя ткань графит шелк с пайетками 12-003,12-003,2.5,5500.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r74
MAT-267824b79a0c344b,MAT-267824b79a0c344b,Вечерняя ткань желтая сетка вышивка бисер 12-013,12-013,2.4,5280.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r75
MAT-5ae27d49a2c1d192,MAT-5ae27d49a2c1d192,Вечерняя ткань зеленое с пайетками 12-040,12-040,6.0,4200.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r76
MAT-d0e4d1dbff57a4c0,MAT-d0e4d1dbff57a4c0,Вечерняя ткань зеленые пайетки 12-034,12-034,7.2,118800.0,16500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r77
MAT-a061dd70a85f6086,MAT-a061dd70a85f6086,Вечерняя ткань зеленые пайетки на сетке 12-070,12-070,9.6,5760.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r78
MAT-1627f13c60823b85,MAT-1627f13c60823b85,Вечерняя ткань золото 12-068,12-068,21.0,7350.0,350.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r79
MAT-d72a23bc28864467,MAT-d72a23bc28864467,Вечерняя ткань коричневые пайетки 12-025,12-025,5.8,95700.0,16500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r80
MAT-def7d2935fb2ef16,MAT-def7d2935fb2ef16,Вечерняя ткань на белой сетки золотая вышивка канителью 12-014,12-014,4.0,8800.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r81
MAT-5984d8f2152c126b,MAT-5984d8f2152c126b,"Вечерняя ткань розовая  сетка с перьями, расшивкой пайетками 12-089",12-089,9.2,172040.0,18700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r82
MAT-c845e31d8649d94c,MAT-c845e31d8649d94c,Вечерняя ткань розовое кружево вышитое 12-039,12-039,5.9,4130.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r83
MAT-7cdf35573d45ad1a,MAT-7cdf35573d45ad1a,Вечерняя ткань розовые пайетки прямоугольные 12-045,12-045,1.3,13650.0,10500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r84
MAT-925763fd4e2407e0,MAT-925763fd4e2407e0,Вечерняя ткань серебро пайетки 12-026,12-026,6.1,109800.0,18000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r85
MAT-89e51c9e4d057aa3,MAT-89e51c9e4d057aa3,Вечерняя ткань синие пайетки на сетке 12-069,12-069,7.1,4260.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r86
MAT-c45b96b51ce6525f,MAT-c45b96b51ce6525f,Вечерняя ткань черная сетка с глитером 12-058,12-058,26.7,21360.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r87
MAT-49577d55cbfb7d92,MAT-49577d55cbfb7d92,Вечерняя ткань черная сетка с перьями и пайетками 12-094,12-094,6.35,48506.94,7638.89,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r88
MAT-3e37fd9c5570caf3,MAT-3e37fd9c5570caf3,Вечерняя ткань черная сетка с серым стеклярусом 12-005,12-005,4.5,9900.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r89
MAT-b7ce57f439154fa4,MAT-b7ce57f439154fa4,Вечерняя ткань черные бусины на черной сетке 12-061,12-061,7.0,2800.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r90
MAT-bd3e129d9de7960f,MAT-bd3e129d9de7960f,Вечерняя ткань черные пайетки матовые 12-024,12-024,10.25,184500.0,18000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r91
MAT-9a74c5f93e4ed430,MAT-9a74c5f93e4ed430,"Вечерняя ткань черные пайетки на трикотаже с серебром, мелкие 12-016",12-016,25.5,21675.0,850.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r92
MAT-b55502bd6aca7fc7,MAT-b55502bd6aca7fc7,Вечерняя ткань черный коричневый бисер 12-001,12-001,1.9,4180.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r93
MAT-81b48fecdf0f5daf,MAT-81b48fecdf0f5daf,"Вечерняя ткань, глитер на сетке,  зеленый 12-057",12-057,23.0,13800.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r94
MAT-523921db8f49dccf,MAT-523921db8f49dccf,"Вечерняя ткань, глитер на сетке, розовый 12-056",12-056,35.5,21300.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r95
MAT-73b89a35fff8f7eb,MAT-73b89a35fff8f7eb,"Вечерняя ткань, глитер на сетке, серебро 12-051",12-051,9.5,5700.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r96
MAT-d7f8e68772103c57,MAT-d7f8e68772103c57,"Вечерняя ткань, глитер на сетке, серебро 12-055",12-055,18.7,11220.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r97
MAT-2c6a141e63b9303b,MAT-2c6a141e63b9303b,"Вечерняя ткань, глитер на сетке, черный 12-054",12-054,33.0,19800.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r98
MAT-7b641ce5b8f4d2e0,MAT-7b641ce5b8f4d2e0,"Вечерняя ткань, графитовые пайетки 12-047",12-047,4.3,2150.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r99
MAT-5d48de9141aa2583,MAT-5d48de9141aa2583,"Вечерняя ткань, мелкие пайетки, серебро  12-017",12-017,23.3,15145.0,650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r100
MAT-6f62dc9cab38eabf,MAT-6f62dc9cab38eabf,"Вечерняя ткань, на темной сетке серебро 12-052",12-052,8.0,4800.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r101
MAT-e8f1f764437cdff2,MAT-e8f1f764437cdff2,"Вечерняя ткань, пайетки крупные, на сетке, розовые 12-042",12-042,6.0,3000.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r102
MAT-73ab97fb9b4fcd80,MAT-73ab97fb9b4fcd80,"Вечерняя ткань, пайетки крупные, на сетке, синие 12-046",12-046,11.5,5750.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r103
MAT-f5e32b10d7a1f66f,MAT-f5e32b10d7a1f66f,"Вечерняя ткань, пайетки на сетке, черно-серебрянные 12-049",12-049,3.2,1600.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r104
MAT-725ddc4114b2cdbf,MAT-725ddc4114b2cdbf,"Вечерняя ткань, пайетки серебро 12-008",12-008,52.7,79050.0,1500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r105
MAT-53625722ada8c4d3,MAT-53625722ada8c4d3,"Вечерняя ткань, сетка белая с серебрянными  стразами 12-081",12-081,37.5,52500.0,1400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r106
MAT-1cef8318c3a46504,MAT-1cef8318c3a46504,"Вечерняя ткань, сетка розовая со стразами 12-082",12-082,24.35,34090.0,1400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r107
MAT-7bb9e1181e75ac34,MAT-7bb9e1181e75ac34,"Вечерняя ткань, сетка с черными стразами 12-079",12-079,27.9,39060.0,1400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r108
MAT-b5935320e3629aa5,MAT-b5935320e3629aa5,"Вечерняя ткань, сетка синяя с синими стразами 12-083",12-083,23.2,32480.0,1400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r109
MAT-7632a1a3365d65d7,MAT-7632a1a3365d65d7,"Вечерняя ткань, сетка черная со стразами 12-080",12-080,27.55,38570.0,1400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r110
MAT-302e6c738360348a,MAT-302e6c738360348a,"Вечерняя ткань, трикотаж с квадратиками приклеенные 12-050",12-050,30.7,27630.0,900.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r111
MAT-51998998129c41d6,MAT-51998998129c41d6,"Вечерняя ткань, трикотаж с люрексом бежевая 12-064",12-064,15.5,12400.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r112
MAT-57dfffa250e1379f,MAT-57dfffa250e1379f,"Вечерняя ткань, трикотаж с люрексом бежевый 12-072",12-072,16.0,4800.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r113
MAT-23270d590158baed,MAT-23270d590158baed,"Вечерняя ткань, трикотаж с люрексом бордовый 12-075",12-075,26.5,7950.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r114
MAT-8780614984081d2d,MAT-8780614984081d2d,"Вечерняя ткань, трикотаж с люрексом бронзовая 12-063",12-063,4.8,3840.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r115
MAT-bae5e0da4e1d7e6c,MAT-bae5e0da4e1d7e6c,"Вечерняя ткань, трикотаж с люрексом серебро 12-071",12-071,17.0,5100.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r116
MAT-3b790b42d60d5053,MAT-3b790b42d60d5053,"Вечерняя ткань, трикотаж с люрексом синий 12-074",12-074,19.0,5700.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r117
MAT-c0f5b320d104fc47,MAT-c0f5b320d104fc47,"Вечерняя ткань, трикотаж с люрексом фиолетовая 12-065",12-065,12.5,10000.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r118
MAT-fc9f21c91300f220,MAT-fc9f21c91300f220,"Вечерняя ткань, трикотаж с люрексом черное серебро 12-077",12-077,6.0,1800.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r119
MAT-fcd99c04bd981dcd,MAT-fcd99c04bd981dcd,"Вечерняя ткань, трикотаж с люрексом черный 12-066",12-066,10.5,8400.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r120
MAT-569e6ad93fa584e5,MAT-569e6ad93fa584e5,"Вечерняя ткань, трикотаж с люрексом черный 12-078",12-078,15.0,4500.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r121
MAT-0361b5dff09db84a,MAT-0361b5dff09db84a,"Вечерняя ткань, черно-фиолетовые пайетки, мелкие 12-048",12-048,10.5,5250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r122
MAT-2f5895aba316019b,MAT-2f5895aba316019b,"Вечерняя ткань, черные пайетки 12-018",12-018,10.3,8755.0,850.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r123
MAT-2897043d982df56f,MAT-2897043d982df56f,"Вечерняя ткань, черные пайетки на атласе 12-093",12-093,31.0,46500.0,1500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r124
MAT-8cadf70205d3594f,MAT-8cadf70205d3594f,"Вечерняя ткань, черные пайетки на сетке 12-021",12-021,29.55,44325.0,1500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r125
MAT-003865427274aae2,MAT-003865427274aae2,"Дабл-креп, бордовый 11-015",11-015,12.7,29210.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r126
MAT-8c8eb27367eb872b,MAT-8c8eb27367eb872b,"Дабл-креп, васильковый 11-009",11-009,51.0,117300.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r127
MAT-8ad8c9c22d57e30f,MAT-8ad8c9c22d57e30f,"Дабл-креп, голубой 11-011",11-011,9.4,21620.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r128
MAT-e50de599f17d60cc,MAT-e50de599f17d60cc,"Дабл-креп, графит 11-002",11-002,26.3,60490.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r129
MAT-80f1c693c6d2f41a,MAT-80f1c693c6d2f41a,"Дабл-креп, деним 11-010",11-010,50.0,115000.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r130
MAT-a5667767c39e0555,MAT-a5667767c39e0555,"Дабл-креп, желтый 11-014",11-014,5.6,12880.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r131
MAT-f25ad03e991e5be6,MAT-f25ad03e991e5be6,"Дабл-креп, желтый 11-026",11-026,43.7,100510.0,2300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r132
