material_movement_id,material_id,name,article_hint,qty_in,qty_out,qty_end,value_unit,snapshot_date,warehouse,movement_type,source_file_id,source_row_id
MAT-1a9742ac01e1757d,MAT-1a9742ac01e1757d,"Бархат стрейч, серо-зеленый 6-050",,10250.0,2460.0,7790.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r84
MAT-007dc03a914183b4,MAT-007dc03a914183b4,"Бархат стрейч, синий 6-052",,29991.5,12074.5,17917.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r90
MAT-74c305fb5451a5ba,MAT-74c305fb5451a5ba,"Бархат стрейч, темно-синий 6-051",,13820.5,12344.5,1476.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r108
MAT-feabf9f181798e70,MAT-feabf9f181798e70,"Бархат стрейч, темно-синий 6-055",,2378.0,2378.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r124
MAT-db8ceb969f2d979b,MAT-db8ceb969f2d979b,"Бархат стрейч, фиолетовый 6-057",,4050.0,,4050.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r130
MAT-cc71919d75ff5d40,MAT-cc71919d75ff5d40,"Бархат стрейч, черный 6-030",,227096.66,217885.97,9210.69,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r134
MAT-43820d4b5803e404,MAT-43820d4b5803e404,"Бархат стрейч,черный, стрейч плотный 6-054",,32187.5,,32187.5,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r250
MAT-72338c147258464e,MAT-72338c147258464e,"Бархат х/б стрейч, фуксия 6-041",,34250.0,,34250.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r254
MAT-7d7ff594109ca818,MAT-7d7ff594109ca818,"Бархат х/б стреч, бирюзовый 6-040",,33500.0,15000.0,18500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r258
MAT-060ccf35f02f8ca4,MAT-060ccf35f02f8ca4,"Бархат х/б стреч, серый 6-045",,21250.0,,21250.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r264
MAT-4f56f005e3b7d662,MAT-4f56f005e3b7d662,"Бархат х/б, баклажан 6-003",,11715.0,,11715.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r268
MAT-fc5db8e2f7e7dc08,MAT-fc5db8e2f7e7dc08,"Бархат х/б, бежевый 6-039",,11875.0,7375.0,4500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r272
MAT-412b454ed1c1fa34,MAT-412b454ed1c1fa34,"Бархат х/б, голубой 6-014",,21450.0,,21450.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r280
MAT-1b38f36b59b309e3,MAT-1b38f36b59b309e3,"Бархат х/б, зелено-голубой 6-012",,13860.0,,13860.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r284
MAT-9d8349cd04f16204,MAT-9d8349cd04f16204,"Бархат х/б, зеленый 6-011",,23100.0,,23100.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r288
MAT-e5a0764218bd4c6a,MAT-e5a0764218bd4c6a,"Бархат х/б, коричневый 6-007",,17160.0,,17160.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r292
MAT-0f81940fe0bf7cd2,MAT-0f81940fe0bf7cd2,"Бархат х/б, розовый 6-016",,6930.0,,6930.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r296
MAT-d7df703f33db78a8,MAT-d7df703f33db78a8,"Бархат х/б, светло-голубой 6-013",,22275.0,3795.0,18480.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r300
MAT-45729c22f92dbe8c,MAT-45729c22f92dbe8c,"Бархат х/б, светло-коричневый 6-009",,24750.0,1650.0,23100.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r306
MAT-4465be9e829059e4,MAT-4465be9e829059e4,"Бархат х/б, темно-синий, морская волна 6-042",,54500.0,28750.0,25750.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r312
MAT-6ffbabcf24ac2274,MAT-6ffbabcf24ac2274,"Бархат х/б, фиолетовый 6-005",,19800.0,,19800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r320
MAT-c09ba17ead689d4d,MAT-c09ba17ead689d4d,"Бархат х/б, черный 6-001",,328790.7,291777.75,37012.95,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r324
MAT-c0d5ebdedf3a60a0,MAT-c0d5ebdedf3a60a0,"Бархат х/б, черный со стрейчем 6-002",,51810.0,13200.0,38610.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r376
MAT-13318c210cba5707,MAT-13318c210cba5707,"Бархат шелк, бордовый 6-017",,14950.0,,14950.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r382
MAT-46d3c6987883ba98,MAT-46d3c6987883ba98,"Бархат шелк, бордовый 6-018",,4225.0,,4225.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r386
MAT-857f7bf03f223009,MAT-857f7bf03f223009,"Бархат шелк, зелено-фиолетовый 6-037",,80600.0,9880.0,70720.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r390
MAT-16de3e712a460a6e,MAT-16de3e712a460a6e,"Бархат шелк, зеленый 6-035",,17160.0,17160.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r398
MAT-cebf5d09fb011d56,MAT-cebf5d09fb011d56,"Бархат шелк, золото 6-025",,14300.0,,14300.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r406
MAT-6579d10a7ab081dc,MAT-6579d10a7ab081dc,"Бархат шелк, красный 6-044",,93765.42,33466.99,60298.43,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r410
MAT-471452e121ba66fb,MAT-471452e121ba66fb,"Бархат шелк, серый 6-031",,36530.0,4550.0,31980.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r434
MAT-8187a789be2fdc81,MAT-8187a789be2fdc81,"Бархат шелк, синий 6-032",,38805.0,28860.0,9945.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r444
MAT-aa5d5785db5cc0c4,MAT-aa5d5785db5cc0c4,"Бархат шелк, темно-синий 6-033",,36205.0,18460.0,17745.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r456
MAT-a082ed8a954a9a3b,MAT-a082ed8a954a9a3b,"Бархат шелк, фиолетовый 6-038",,42640.0,8840.0,33800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r464
MAT-1f1bdf9049258c0f,MAT-1f1bdf9049258c0f,"Бархат шелк, черный 6-046",,304673.34,255500.0,49173.34,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r472
MAT-d72cc7256c5e7068,MAT-d72cc7256c5e7068,"Бархат шелк, черный Италия 6-043",,43528.46,43528.46,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r520
MAT-f3987ab91431a641,MAT-f3987ab91431a641,"Батист серо-бежевый атласный, 4-028",,5110.0,980.0,4130.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r618
MAT-80eabbaf927fa889,MAT-80eabbaf927fa889,Бифлекс бежевыфй 23-011,23-011,3100.0,3100.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r714
MAT-8d090a587834777f,MAT-8d090a587834777f,Вечерняя ткань бежевая сетка 12-012,12-012,2200.0,2200.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r820
MAT-88f63ecb1e34a43c,MAT-88f63ecb1e34a43c,Вечерняя ткань бежевая сетка со стеклярусом 12-010,12-010,6160.0,,6160.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r826
MAT-ddca5c9fa2aed434,MAT-ddca5c9fa2aed434,Вечерняя ткань белая сетка с белыми пайетками 12-060,12-060,15750.0,,15750.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r830
MAT-8a107cabcb407727,MAT-8a107cabcb407727,Вечерняя ткань белая сетка с жемчужинами белыми 12-059,12-059,21000.0,,21000.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r834
MAT-b5a7ede530ded2c4,MAT-b5a7ede530ded2c4,Вечерняя ткань белая сетка с перьями 12-092,12-092,231750.0,231750.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r838
MAT-78861da6149efc87,MAT-78861da6149efc87,Вечерняя ткань белая сетка с перьями 12-095,12-095,64500.0,,64500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r844
MAT-b61415c3aeb72b47,MAT-b61415c3aeb72b47,"Вечерняя ткань белая сетка с перьями, расшивкой пайетками 12-090",12-090,280695.0,277320.0,3375.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r848
MAT-20589f1b42ae9ce5,MAT-20589f1b42ae9ce5,Вечерняя ткань белые бусины на белой сетке 12-062,12-062,8680.0,,8680.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r858
MAT-0bab5739a8d35da4,MAT-0bab5739a8d35da4,Вечерняя ткань белые пайетки на трикотаже 12-053,12-053,8910.0,1035.0,7875.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r862
MAT-3f7cd7786700d106,MAT-3f7cd7786700d106,Вечерняя ткань белый шифон с пайетками камушки 12-019,12-019,9000.0,,9000.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r868
MAT-5b1c12c5e3bf135a,MAT-5b1c12c5e3bf135a,Вечерняя ткань бронзовые пайетки квадраты 12-030,12-030,42900.0,,42900.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r872
MAT-001e695141144e41,MAT-001e695141144e41,Вечерняя ткань бронзовые пайетки круглые 12-031,12-031,11220.0,,11220.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r876
MAT-23a71f101fc7c9d9,MAT-23a71f101fc7c9d9,Вечерняя ткань голубые пайетки 12-036,12-036,38775.0,,38775.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r880
MAT-0e583b96a98a9f0f,MAT-0e583b96a98a9f0f,Вечерняя ткань графит шелк с пайетками 12-003,12-003,5500.0,,5500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r884
MAT-f14c2b95e856003f,MAT-f14c2b95e856003f,Вечерняя ткань желтая сетка вышивка бисер 12-013,12-013,5280.0,,5280.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r888
MAT-3b17a6c3abbdd848,MAT-3b17a6c3abbdd848,Вечерняя ткань зеленое с пайетками 12-040,12-040,4200.0,,4200.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r892
MAT-a37306a7e7699b44,MAT-a37306a7e7699b44,Вечерняя ткань зеленые пайетки 12-034,12-034,118800.0,,118800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r896
MAT-383e5f80d6eaee28,MAT-383e5f80d6eaee28,Вечерняя ткань зеленые пайетки на сетке 12-070,12-070,5760.0,,5760.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r900
MAT-f4e3ba399aecd2cf,MAT-f4e3ba399aecd2cf,Вечерняя ткань золото 12-068,12-068,7350.0,,7350.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r904
MAT-4d6a8116d1f6afd5,MAT-4d6a8116d1f6afd5,Вечерняя ткань коричневые пайетки 12-025,12-025,95700.0,,95700.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r908
MAT-cc1eb5c36bf88250,MAT-cc1eb5c36bf88250,Вечерняя ткань на белой сетки золотая вышивка канителью 12-014,12-014,8800.0,,8800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r912
MAT-8fada35dba27a6cb,MAT-8fada35dba27a6cb,"Вечерняя ткань розовая  сетка с перьями, расшивкой пайетками 12-089",12-089,172040.0,112200.0,59840.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r916
MAT-8c508d44d36afeba,MAT-8c508d44d36afeba,Вечерняя ткань розовое кружево вышитое 12-039,12-039,4130.0,,4130.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r924
MAT-4fdf31217309d721,MAT-4fdf31217309d721,Вечерняя ткань розовые пайетки прямоугольные 12-045,12-045,13650.0,,13650.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r928
MAT-c07d7869843b283c,MAT-c07d7869843b283c,"Вечерняя ткань серая сетка с перьями, расшивкой пайетками 12-088",12-088,489940.0,489940.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r932
MAT-8a3c122937c832a5,MAT-8a3c122937c832a5,Вечерняя ткань серебро пайетки 12-026,12-026,109800.0,,109800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r948
MAT-f670eed997d6b9ae,MAT-f670eed997d6b9ae,Вечерняя ткань синие пайетки на сетке 12-069,12-069,4560.0,300.0,4260.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r952
MAT-6809dab4fcb4d072,MAT-6809dab4fcb4d072,Вечерняя ткань черная сетка с глитером 12-058,12-058,21360.0,,21360.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r958
MAT-ccbaeee1a3b19ea9,MAT-ccbaeee1a3b19ea9,Вечерняя ткань черная сетка с перьями 12-091,12-091,231750.0,231750.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r962
MAT-d4033ec781ecdf60,MAT-d4033ec781ecdf60,Вечерняя ткань черная сетка с перьями 12-096,12-096,67500.0,,67500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r968
MAT-630e9b88ed39be8c,MAT-630e9b88ed39be8c,Вечерняя ткань черная сетка с перьями и пайетками 12-094,12-094,327326.38,327326.38,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r972
MAT-87bcae44adc91363,MAT-87bcae44adc91363,"Вечерняя ткань черная сетка с перьями, расшивкой пайетками 12-087",12-087,106560.0,106560.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r996
MAT-420599675f532930,MAT-420599675f532930,Вечерняя ткань черная сетка с серым стеклярусом 12-005,12-005,9900.0,9900.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1006
MAT-f43f7f2985076794,MAT-f43f7f2985076794,Вечерняя ткань черная сетка со стразами микс 12-086,12-086,10360.0,7000.0,3360.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1012
MAT-51f1cce175fa7a77,MAT-51f1cce175fa7a77,Вечерняя ткань черные бусины на черной сетке 12-061,12-061,2800.0,,2800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1020
MAT-810ccdb4dd9fc8f7,MAT-810ccdb4dd9fc8f7,Вечерняя ткань черные пайетки матовые 12-024,12-024,266400.0,121500.0,144900.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1024
MAT-77b8bab8153bbcac,MAT-77b8bab8153bbcac,"Вечерняя ткань черные пайетки на трикотаже с серебром, мелкие 12-016",12-016,21675.0,4250.0,17425.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1034
MAT-db46381439bcd36f,MAT-db46381439bcd36f,Вечерняя ткань черный коричневый бисер 12-001,12-001,4180.0,,4180.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1040
MAT-1e2d10bb8317af4e,MAT-1e2d10bb8317af4e,"Вечерняя ткань, глитер на сетке,  зеленый 12-057",12-057,13800.0,,13800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1044
MAT-c33141b8ecf01393,MAT-c33141b8ecf01393,"Вечерняя ткань, глитер на сетке, розовый 12-056",12-056,21300.0,2100.0,19200.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1048
MAT-be45df55415fc2a5,MAT-be45df55415fc2a5,"Вечерняя ткань, глитер на сетке, серебро 12-051",12-051,5700.0,,5700.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1054
MAT-cf7930ce3faf8cfe,MAT-cf7930ce3faf8cfe,"Вечерняя ткань, глитер на сетке, серебро 12-055",12-055,11220.0,,11220.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1058
MAT-ad7270fa2ab0cd9f,MAT-ad7270fa2ab0cd9f,"Вечерняя ткань, глитер на сетке, черный 12-054",12-054,19800.0,3300.0,16500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1062
MAT-e8b41e4746557e1a,MAT-e8b41e4746557e1a,"Вечерняя ткань, графитовые пайетки 12-047",12-047,2150.0,,2150.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1068
MAT-d2685053bae0a7d8,MAT-d2685053bae0a7d8,"Вечерняя ткань, мелкие пайетки, серебро  12-017",12-017,15145.0,3900.0,11245.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1072
MAT-9965a979739e5c1e,MAT-9965a979739e5c1e,"Вечерняя ткань, на темной сетке серебро 12-052",12-052,4800.0,,4800.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1078
MAT-0c1570368cb427be,MAT-0c1570368cb427be,"Вечерняя ткань, пайетки крупные, на сетке, розовые 12-042",12-042,3000.0,,3000.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1082
MAT-3fd11c294db72e80,MAT-3fd11c294db72e80,"Вечерняя ткань, пайетки крупные, на сетке, синие 12-046",12-046,5750.0,250.0,5500.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1086
MAT-aff6100b670a217d,MAT-aff6100b670a217d,"Вечерняя ткань, пайетки на сетке, черно-серебрянные 12-049",12-049,1600.0,,1600.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1092
MAT-7585e6c354da156f,MAT-7585e6c354da156f,"Вечерняя ткань, пайетки серебро 12-008",12-008,79050.0,5100.0,73950.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1096
MAT-f28b17a54b78308b,MAT-f28b17a54b78308b,"Вечерняя ткань, сетка белая с серебрянными  стразами 12-081",12-081,53550.0,8400.0,45150.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1106
MAT-1795aa87c2744de9,MAT-1795aa87c2744de9,"Вечерняя ткань, сетка розовая со стразами 12-082",12-082,52220.0,18130.0,34090.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1116
MAT-d0e28e6065db0ae3,MAT-d0e28e6065db0ae3,"Вечерняя ткань, сетка с крупными стразами 12-084",12-084,42050.0,,42050.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1122
MAT-930eb41ba598b93b,MAT-930eb41ba598b93b,"Вечерняя ткань, сетка с черными стразами 12-079",12-079,45080.0,18060.0,27020.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1126
MAT-c8a9fe7bbac2e3b4,MAT-c8a9fe7bbac2e3b4,"Вечерняя ткань, сетка синяя с синими стразами 12-083",12-083,45920.0,22960.0,22960.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1142
MAT-7b49e2dc4d3a80bc,MAT-7b49e2dc4d3a80bc,"Вечерняя ткань, сетка черная со стразами 12-080",12-080,66080.0,38570.0,27510.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1158
MAT-10d7ba8a67032a81,MAT-10d7ba8a67032a81,"Вечерняя ткань, трикотаж с квадратиками приклеенные 12-050",12-050,27630.0,900.0,26730.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r1182
