stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_begin,qty_in,qty_out,qty_end,source_file_id,source_row_id
SW-5fd735e27ca6b42c,0-1187F,0-1187F,"Рубашка женская, черная, из бархата, с отделкой белым кантом",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r79
SW-e067d88912113e7b,0-1187G,0-1187G,"Брюки женские, черные, из бархата, с отделкой белым кантом",Салон (Лена М.) (Основное подразделение),,1.0,,1.0,FILE-098,r82
SW-5bc9bb6727166e7e,0-1187G,0-1187G,"Брюки женские, черные, из бархата, с отделкой белым кантом",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r82
SW-cacb2b4769d7bc69,0-1187А,0-1187A,"Брюки женские, голубые с принтом ""Птицы"", из штапеля, зауженные",Подарки (Основное подразделение),,6.0,6.0,,FILE-098,r85
SW-c51f057908e2f8a4,0-1187А,0-1187A,"Брюки женские, голубые с принтом ""Птицы"", из штапеля, зауженные",Склад ИМ (Основное подразделение),6.0,,6.0,,FILE-098,r85
SW-8d6c0bd8cdfae680,0-1187В,0-1187B,"Рубашка женская, голубая с принтом ""Птицы"", из штапеля",Подарки (Основное подразделение),,5.0,5.0,,FILE-098,r89
SW-27348338f6361eae,0-1187В,0-1187B,"Рубашка женская, голубая с принтом ""Птицы"", из штапеля",Склад ИМ (Основное подразделение),5.0,,5.0,,FILE-098,r89
SW-e644efecda5046e3,0-1189A,0-1189A,"Юбка женская, черная, из шерсти, состоящая из четырех ярусов",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r93
SW-1fdff5d0f95c4196,0-1189A,0-1189A,"Юбка женская, черная, из шерсти, состоящая из четырех ярусов",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r93
SW-6b7b1933d06bf829,0-1237,0-1237,"Платье женское, черное, из крепа, с объемным ярусом по низу",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r96
SW-54f7c4668bab1b61,0-1237,0-1237,"Платье женское, черное, из крепа, с объемным ярусом по низу",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r96
SW-45f484cd53e80931,0-1237А,0-1237A,"Платье женское, черное, из бархата, декорировано белой кружевной тесьмой",Склад ИМ (Основное подразделение),,1.0,1.0,,FILE-098,r101
SW-99abe197d73be21e,0-1237А,0-1237A,"Платье женское, черное, из бархата, декорировано белой кружевной тесьмой",Склад оптовых продаж (Основное подразделение),,1.0,1.0,,FILE-098,r101
SW-64ac8bb972d90580,0-1239,0-1239,"Платье женское, желтое с люрексом из трикотажа",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r105
SW-800677229d0465f2,0-1239,0-1239,"Платье женское, желтое с люрексом из трикотажа",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r105
SW-ee624e6018ba443e,0-1241А,0-1241A,"Юбка женская, белая, из фатина, расшита крупными пайетками",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r108
SW-d6919f848b6a3ae1,0-1242,0-1242,"Халат женский, черный, из шелка, с белым кантом и вышивкой на кармане",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r110
SW-ea120be667fe03c7,0-1264,0-1264,"Платье женское, черное, из жаккарда, отрезное по линии талии",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r112
SW-8f36faa73ff9e46d,0-1264,0-1264,"Платье женское, черное, из жаккарда, отрезное по линии талии",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r112
SW-d052fd93945201cd,0-1284,0-1284,"Платье женское, зеленое, из бархата, лиф декорирован сеткой с бисером",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r115
SW-8f2a836422e444b5,0-1284,0-1284,"Платье женское, зеленое, из бархата, лиф декорирован сеткой с бисером",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r115
SW-ee9b804a9b4d1631,0-1303,0-1303,"Юбка женская, коричневая, из бархата, декорирована вышивкой и тесьмой",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r118
SW-b22e48b3226d7ed1,0-1310,0-1310,"Платье женское, зеленое, из фатина, с аппликационной вышивкой ""Птицы""",Склад ИМ (Основное подразделение),1.0,,,1.0,FILE-098,r120
SW-62ee640cee6375ba,0-1349,0-1349,"Платье женское, синее в горох, из трикотажа, с декором ""Цветок""",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r121
SW-d8aa7163057c9cdc,0-1349,0-1349,"Платье женское, синее в горох, из трикотажа, с декором ""Цветок""",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r121
SW-09c95a8d6fd23db0,0-1354,0-1354,"Блуза женская, красная, из хлопка, с объемными рукавами",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r124
SW-8b300f6526a613e3,0-1354,0-1354,"Блуза женская, красная, из хлопка, с объемными рукавами",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r124
SW-0e6998741b14caef,0-1355А,0-1355A,"Юбка женская, розовая, из шелка, декорирована пайетками",Склад ИМ (Основное подразделение),1.0,1.0,1.0,1.0,FILE-098,r127
SW-83dc2f364b66babe,0-1355А,0-1355A,"Юбка женская, розовая, из шелка, декорирована пайетками",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r127
SW-cd46e6463a08dba0,0-136,0-136,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",ДЕМИ (Основное подразделение),1.0,,1.0,,FILE-098,r132
SW-2316d5338e0f92d8,0-136,0-136,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",Склад ИМ (Основное подразделение),,1.0,,1.0,FILE-098,r132
SW-ff05bc592057499d,0-1365,0-1365,"Свитер женский, черный, из хлопка, с провязкой ""MIMOSA O'CLOCK""",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r134
SW-6d3cd414c05deb94,0-1365,0-1365,"Свитер женский, черный, из хлопка, с провязкой ""MIMOSA O'CLOCK""",Склад ИМ (Основное подразделение),3.0,,3.0,,FILE-098,r134
SW-37c241a93328b293,0-1379,0-1379,"Юбка женская, черная, из бархата, декорирована вставкой из кружева и помпонами",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r139
SW-cfd2b456bca01d43,0-1379,0-1379,"Юбка женская, черная, из бархата, декорирована вставкой из кружева и помпонами",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r139
SW-26494575a49a45a1,0-1413,0-1413,"Тренчкот женский, черный, из плащевой ткани, с логотипом YANINA",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r144
SW-0bd9efb4d24681ee,0-1414,0-1414,"Пальто-халат женское, черное, из бархата, укороченное, с лампасом по рукаву",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r146
SW-4408d9eabcbf182e,0-1415,0-1415,"Пальто-халат женское, черное, из бархата, длинное, с лампасом по рукаву",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r149
SW-2599236dce65e86e,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Салон (Лена М.) (Основное подразделение),,5.0,,5.0,FILE-098,r151
SW-0da0ccde9897f5cd,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Склад ИМ (Основное подразделение),5.0,14.0,13.0,6.0,FILE-098,r151
SW-0aa0137aa02154e2,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Склад оптовых продаж (Основное подразделение),,42.0,37.0,5.0,FILE-098,r151
SW-91f27e0c8904f5e4,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Склад производства (Жукова) (Основное подразделение),,2.0,2.0,,FILE-098,r151
SW-f059a15108064035,0-1416B,0-1416B,"Брюки женские, синие, из стрейч бархата, с шелковым лампасом",Склад ИМ (Основное подразделение),,1.0,,1.0,FILE-098,r199
SW-14334c5e6e07ea4a,0-1416B,0-1416B,"Брюки женские, синие, из стрейч бархата, с шелковым лампасом",Склад оптовых продаж (Основное подразделение),,1.0,1.0,,FILE-098,r199
SW-915b82e94cd72b5c,0-1417,0-1417,"Брюки женские, черные, из стрейч бархата, с отлетной деталью",Склад ИМ (Основное подразделение),,2.0,2.0,,FILE-098,r202
SW-f60bf86b759a869b,0-1418,0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",Салон (Лена М.) (Основное подразделение),,6.0,,6.0,FILE-098,r206
SW-76fd5df211e40285,0-1418,0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",Склад ИМ (Основное подразделение),2.0,14.0,16.0,,FILE-098,r206
SW-6072a380ff130d32,0-1418,0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",Склад оптовых продаж (Основное подразделение),,37.0,29.0,8.0,FILE-098,r206
SW-f2649fed25bb5cf0,0-1418,0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",Склад производства (Жукова) (Основное подразделение),,6.0,6.0,,FILE-098,r206
SW-4296ab627ee0f485,0-1418A,0-1418A,"Свитшот женский, синий, из бархата, с декоративными элементами на рукавах",Склад ИМ (Основное подразделение),,1.0,1.0,,FILE-098,r259
SW-9951f48f0b63910f,0-1418A,0-1418A,"Свитшот женский, синий, из бархата, с декоративными элементами на рукавах",Склад оптовых продаж (Основное подразделение),,1.0,1.0,,FILE-098,r259
SW-f51ca0e0737149b8,0-1423,0-1423,"Юбка-баска женская, черная, из чесучи, со складками ""плиссе""",Склад ИМ (Основное подразделение),1.0,1.0,2.0,,FILE-098,r263
SW-e3ae88a2f49195a9,0-1423,0-1423,"Юбка-баска женская, черная, из чесучи, со складками ""плиссе""",Склад производства (Жукова) (Основное подразделение),,1.0,1.0,,FILE-098,r263
SW-6a5c90d58761a699,0-1425,0-1425,Браслет с вышивкой бисером Basic,Склад ИМ (Основное подразделение),2.0,,,2.0,FILE-098,r268
SW-0d13ed000b5a5620,0-1435,0-1435,"Платье женское, синее, из пайеточной ткани, приталенного силуэта",Салон (Лена М.) (Основное подразделение),,1.0,,1.0,FILE-098,r269
SW-31f6bc34d75a6ec8,0-1435,0-1435,"Платье женское, синее, из пайеточной ткани, приталенного силуэта",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r269
SW-d856129e8bfbb483,0-1442,0-1442,"Юбка женская, черная, из фатина, с принтом ""горошек""",Салон (Лена М.) (Основное подразделение),,1.0,1.0,,FILE-098,r271
SW-3bf9c9ece2508aad,0-1442,0-1442,"Юбка женская, черная, из фатина, с принтом ""горошек""",Склад ИМ (Основное подразделение),2.0,7.0,9.0,,FILE-098,r271
SW-9214d5c07e13d3e7,0-1442,0-1442,"Юбка женская, черная, из фатина, с принтом ""горошек""",Склад оптовых продаж (Основное подразделение),,19.0,19.0,,FILE-098,r271
SW-de38c9f7a8c874ad,0-1442С,0-1442C,"Юбка женская,белая,из фатина, с декором ""круги""",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r307
SW-74154c586ed794aa,0-1444A,0-1444A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",Салон (Лена М.) (Основное подразделение),,1.0,,1.0,FILE-098,r309
SW-2723eca38c1a03e8,0-1444A,0-1444A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",Склад ИМ (Основное подразделение),4.0,1.0,5.0,,FILE-098,r309
SW-f6e2e45044769dd4,0-1444A,0-1444A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r309
SW-474dee2a2b0dbe62,0-1453,0-1453,"Блуза женская, черная, из трикотажа, приталенного силуэта с логотипом YANINA",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r319
SW-f7e721862be08f9b,0-1460,0-1460,"Тренчкот женский, голубой, из хлопка, с контрастным декором",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r321
SW-5ba54e452d63a320,0-1463,0-1463,Мягкая маска из хлопка цвета электрик Girls,Склад ИМ (Основное подразделение),1.0,,,1.0,FILE-098,r323
SW-712700d4f3d51a73,0-1464,0-1464,"Свитшот женский, белый с черным, из футера, с декоративной деталью по рукаву",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r324
SW-deafb746a794e384,0-1465,0-1465,"Шорты женские, зеленые, из футера",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r326
SW-951b10c0874eb887,0-1465,0-1465,"Шорты женские, зеленые, из футера",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r326
SW-12f96730f0110645,0-1486,0-1486,"Юбка женская, черная, из пайеточной ткани",Склад ИМ (Основное подразделение),1.0,7.0,6.0,2.0,FILE-098,r329
SW-62545284f5a9e2d6,0-1486,0-1486,"Юбка женская, черная, из пайеточной ткани",Склад оптовых продаж (Основное подразделение),,4.0,4.0,,FILE-098,r329
SW-17f88b26614fb458,0-1486,0-1486,"Юбка женская, черная, из пайеточной ткани",Склад производства (Жукова) (Основное подразделение),,3.0,3.0,,FILE-098,r329
SW-6443f76a937495d3,0-1486С,0-1486C,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",Салон (Лена М.) (Основное подразделение),,1.0,1.0,,FILE-098,r346
SW-67d313a90905709a,0-1486С,0-1486C,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",Склад ИМ (Основное подразделение),,2.0,1.0,1.0,FILE-098,r346
SW-3687a00e4a7e1128,0-1486С,0-1486C,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",Склад оптовых продаж (Основное подразделение),,3.0,3.0,,FILE-098,r346
SW-bb8afe32d7b8dcd1,0-1487,0-1487,"Юбка женская, темно-серая, из пайеточной ткани",Склад ИМ (Основное подразделение),2.0,6.0,5.0,3.0,FILE-098,r354
SW-1b6410132e5a3006,0-1487,0-1487,"Юбка женская, темно-серая, из пайеточной ткани",Склад оптовых продаж (Основное подразделение),,8.0,8.0,,FILE-098,r354
SW-c56d3ce96a52fb8a,0-1487,0-1487,"Юбка женская, темно-серая, из пайеточной ткани",Склад производства (Жукова) (Основное подразделение),,1.0,1.0,,FILE-098,r354
SW-bee0e40534792a5c,0-1487А,0-1487A,"Юбка женская, золотистая, из пайеточной ткани",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r375
SW-8e8e6fee8ba16330,0-1487А,0-1487A,"Юбка женская, золотистая, из пайеточной ткани",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r375
SW-387ca135ea103eb7,0-1488,0-1488,"Платье женское, зеленое, из шифона, расшитым бисером",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r381
SW-093fa8ab68747eb2,0-1488,0-1488,"Платье женское, зеленое, из шифона, расшитым бисером",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r381
SW-49ad5f23b84b7d2d,0-1491,0-1491,"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",Склад ИМ (Основное подразделение),1.0,1.0,1.0,1.0,FILE-098,r384
SW-3f01d2854eb2f913,0-1491,0-1491,"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r384
SW-a72c1094a2b9bf6c,0-1492,0-1492,"Брошь из пайеток с добавлением бусин и страз, черная с белым Basic",Склад ИМ (Основное подразделение),,1.0,,1.0,FILE-098,r389
SW-fec7264b50542e7a,0-1494,0-1494,"Брошь из пайеток с добавлением бусин и страз, белая с черным Basic",Склад ИМ (Основное подразделение),,1.0,1.0,,FILE-098,r391
SW-8951a5eff4adf239,0-1494,0-1494,"Брошь из пайеток с добавлением бусин и страз, белая с черным Basic",Склад оптовых продаж (Основное подразделение),,1.0,1.0,,FILE-098,r391
SW-a60a70d889f93759,0-1495,0-1495,"Брошь из пайеток с добавлением бусин и страз, черная Basic",Склад ИМ (Основное подразделение),,1.0,1.0,,FILE-098,r395
SW-116974641c7075f9,0-1495,0-1495,"Брошь из пайеток с добавлением бусин и страз, черная Basic",Склад оптовых продаж (Основное подразделение),,1.0,1.0,,FILE-098,r395
SW-361189a41f679c44,0-1498,0-1498,"Свитшот женский, белый, из футера, с черным лого YANINA",ДЕМИ (Основное подразделение),3.0,,3.0,,FILE-098,r399
SW-5478d5cf39ed8a11,0-1498,0-1498,"Свитшот женский, белый, из футера, с черным лого YANINA",Подарки (Основное подразделение),,3.0,3.0,,FILE-098,r399
SW-8e68b87d46d99c29,0-1498,0-1498,"Свитшот женский, белый, из футера, с черным лого YANINA",Склад ИМ (Основное подразделение),,3.0,3.0,,FILE-098,r399
SW-1434c615d24be93d,0-1500,0-1500,"Бейсболка женская, черная, из хлопка, декорированная вуалеткой с аппликацией Girls",Склад ИМ (Основное подразделение),1.0,,,1.0,FILE-098,r403
SW-bd2c970c809f4c63,0-1505,0-1505,"Свитшот женский, розовый, из футера, с вышитым лого ""YANINA""",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r404
SW-c574fa87feb40dc8,0-1505,0-1505,"Свитшот женский, розовый, из футера, с вышитым лого ""YANINA""",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r404
SW-42b8a57430dd24c8,0-1506,0-1506,"Свитшот женский, белый, из футера, с вышитым лого ""YANINA""",Подарки (Основное подразделение),,4.0,4.0,,FILE-098,r408
SW-251b2f7c7f9dddaa,0-1506,0-1506,"Свитшот женский, белый, из футера, с вышитым лого ""YANINA""",Склад ИМ (Основное подразделение),5.0,,5.0,,FILE-098,r408
SW-6583690a8c34e901,0-1511,0-1511,"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",Салон (Лена М.) (Основное подразделение),,2.0,1.0,1.0,FILE-098,r412
SW-ae6af1ebd92d7f5a,0-1511,0-1511,"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",Склад ИМ (Основное подразделение),2.0,1.0,3.0,,FILE-098,r412
SW-d6a715d0ec8dd1d3,0-1511,0-1511,"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",Склад оптовых продаж (Основное подразделение),,4.0,4.0,,FILE-098,r412
SW-f37016684038578c,0-1514,0-1514,"Блуза женская, серая, из трикотажа, приталенного силуэта с логотипом YANINA",Склад ИМ (Основное подразделение),3.0,,3.0,,FILE-098,r423
SW-327a3b6365e68c56,0-1519,0-1519,"Тренчкот женский, бежевый, из плащевой ткани, с контрастной отделкой",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r425
SW-26b2a4a9fcb6f05d,0-1522,0-1522,"Юбка женская, белая, из фатина, с принтом ""горошек""",Склад ИМ (Основное подразделение),5.0,1.0,5.0,1.0,FILE-098,r427
SW-36b80ebcc8b87ea1,0-1522,0-1522,"Юбка женская, белая, из фатина, с принтом ""горошек""",Склад оптовых продаж (Основное подразделение),,10.0,10.0,,FILE-098,r427
SW-07d6be2e8457a16e,0-1529,0-1529,"Платье женское, серое, из ткани клоке, с декором ""Морские звезды""",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r444
SW-12ebc08aa4663023,0-1537А,0-1537A,"Пальто женское, черное, из бархата, с декором ""Снегири""",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r446
SW-7fa04e9b2b4d03ba,0-1549,0-1549,"Кеды женские, черные, из тканного материала, с расшитой Y",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r448
SW-13b1a382e57b2566,0-1549,0-1549,"Кеды женские, черные, из тканного материала, с расшитой Y",Склад ИМ (Основное подразделение),1.0,1.0,2.0,,FILE-098,r448
SW-cd1f32229a5ee30e,0-1550,0-1550,"Кеды женские, черные, из тканного материала, на белой подошве",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r453
SW-93b58761f318b838,0-1550,0-1550,"Кеды женские, черные, из тканного материала, на белой подошве",Склад ИМ (Основное подразделение),2.0,1.0,2.0,1.0,FILE-098,r453
SW-38a979d2545aaf73,0-1564,0-1564,"Платье женское, серое, из крепа, отрезное по линии талии",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r457
SW-4756356806bdc1e8,0-1564,0-1564,"Платье женское, серое, из крепа, отрезное по линии талии",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r457
SW-cc026140fceeb2eb,0-1568,0-1568,"Платье женское, розовое, из пайеточной ткани, декорировано боа страуса",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r460
SW-e9255d80172741bf,0-1568,0-1568,"Платье женское, розовое, из пайеточной ткани, декорировано боа страуса",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r460
SW-e41745c7f2e5f000,0-1569,0-1569,"Пальто женское, черное, из пайеточной ткани, декорировано черно-белой расшитой тесьмой",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r463
SW-452700785a5a4cb0,0-1584А,0-1584A,"Платье женское, черное. из пайеточной ткани, приталенного силуэта",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r465
SW-8fb39bebed2e9fa3,0-1585,0-1585,"Пальто женское, оранжевое, из тафты, свободного силуэта",Склад ИМ (Основное подразделение),1.0,,,1.0,FILE-098,r467
SW-2c1d006b38b998c5,0-1593,0-1593,"Платок женский, белый с принтом ""YANINA"", из шелка",Подарки (Основное подразделение),,2.0,1.0,1.0,FILE-098,r468
SW-a84415a479965fbe,0-1593,0-1593,"Платок женский, белый с принтом ""YANINA"", из шелка",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r468
SW-c0d5fb456f183dd4,0-1593А,0-1593A,"Платок женский, черный с принтом ""YANINA"", из шелка",Подарки (Основное подразделение),,2.0,2.0,,FILE-098,r472
SW-8692874b9bcfd2de,0-1593А,0-1593A,"Платок женский, черный с принтом ""YANINA"", из шелка",Склад ИМ (Основное подразделение),2.0,1.0,3.0,,FILE-098,r472
SW-a40e388296efc2c2,0-1617,0-1617,"Платье женское, черное, из пайеточной ткани, без рукавов",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r477
SW-e060f626e274ac1a,0-1617,0-1617,"Платье женское, черное, из пайеточной ткани, без рукавов",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r477
SW-45752c680cb114ed,0-1622А,0-1622A,"Юбка женская, синяя в горох, из трикотажа",Подарки (Основное подразделение),,3.0,3.0,,FILE-098,r480
SW-6bc8e2c66c46f215,0-1622А,0-1622A,"Юбка женская, синяя в горох, из трикотажа",Склад ИМ (Основное подразделение),3.0,,3.0,,FILE-098,r480
SW-90eea2c635017b15,0-1622В,0-1622B,"Юбка женская, белая, из шифона, со сборкой по передней половине юбки",Склад ИМ (Основное подразделение),1.0,,1.0,,FILE-098,r483
SW-0695225592b7a7da,0-1646,0-1646,"Платье женское, красное, из хлопка, с асимметричными воланами из шифона",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r485
SW-4b104448b43da4fb,0-1646,0-1646,"Платье женское, красное, из хлопка, с асимметричными воланами из шифона",Склад ИМ (Основное подразделение),,1.0,1.0,,FILE-098,r485
SW-5f650dea37bce03d,0-1665,0-1665,"Платье женское, черное, из пайеточной ткани, короткое, приталенное",Подарки (Основное подразделение),,1.0,1.0,,FILE-098,r489
SW-1d5e78f2e2a232fe,0-1665,0-1665,"Платье женское, черное, из пайеточной ткани, короткое, приталенное",Склад ИМ (Основное подразделение),1.0,1.0,2.0,,FILE-098,r489
SW-1a70fe313657d9d6,0-1665,0-1665,"Платье женское, черное, из пайеточной ткани, короткое, приталенное",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r489
SW-c6804c336c67b402,0-1666,0-1666,"Комбинезон женский, черный, из пайеточной ткани, с ремнем из бархата",Склад ИМ (Основное подразделение),1.0,1.0,2.0,,FILE-098,r496
SW-37fd5481a75317a6,0-1666,0-1666,"Комбинезон женский, черный, из пайеточной ткани, с ремнем из бархата",Склад оптовых продаж (Основное подразделение),,1.0,1.0,,FILE-098,r496
SW-1800b7e85013450d,0-1667,0-1667,"Блуза-топ женская, черная, из фатина, с вышивкой ""Птицы""",Подарки (Основное подразделение),,2.0,2.0,,FILE-098,r501
SW-0dcf5ff74af96eb6,0-1667,0-1667,"Блуза-топ женская, черная, из фатина, с вышивкой ""Птицы""",Склад ИМ (Основное подразделение),2.0,,2.0,,FILE-098,r501
SW-23eb084cfa49cfb9,0-1670,0-1670,"Платье женское, черное, из эко-кожи, приталенное",Подарки (Основное подразделение),,2.0,2.0,,FILE-098,r504
SW-8b794e1f08874800,0-1670,0-1670,"Платье женское, черное, из эко-кожи, приталенное",Склад ИМ (Основное подразделение),2.0,1.0,3.0,,FILE-098,r504
