budget_id,period_month,article,issue,plan_eur
BUD2026,2026-10,ЦУМ,PLAN_WITHOUT_FACT,23000.0
BUD2026,2026-11,ЦУМ,PLAN_WITHOUT_FACT,21000.0
BUD2026,2026-12,ЦУМ,PLAN_WITHOUT_FACT,35000.0
BUD2026,2026-06,Расходы,PLAN_WITHOUT_FACT,271915.28
BUD2026,2026-07,Расходы,PLAN_WITHOUT_FACT,274900.9639
BUD2026,2026-08,Расходы,PLAN_WITHOUT_FACT,191157.2758
BUD2026,2026-09,Расходы,PLAN_WITHOUT_FACT,211830.1251
BUD2026,2026-10,Расходы,PLAN_WITHOUT_FACT,266484.0821
BUD2026,2026-11,Расходы,PLAN_WITHOUT_FACT,195183.1546
BUD2026,2026-12,Расходы,PLAN_WITHOUT_FACT,315766.3092
BUD2026,2026-06,Собственники,PLAN_WITHOUT_FACT,45000.0
BUD2026,2026-07,Собственники,PLAN_WITHOUT_FACT,35000.0
BUD2026,2026-08,Собственники,PLAN_WITHOUT_FACT,30000.0
BUD2026,2026-09,Собственники,PLAN_WITHOUT_FACT,45000.0
BUD2026,2026-10,Собственники,PLAN_WITHOUT_FACT,25000.0
BUD2026,2026-11,Собственники,PLAN_WITHOUT_FACT,30000.0
BUD2026,2026-12,Собственники,PLAN_WITHOUT_FACT,45000.0
BUD2026,2026-06,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,8800.0
BUD2026,2026-07,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,8800.0
BUD2026,2026-08,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,8800.0
BUD2026,2026-09,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,8800.0
BUD2026,2026-10,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,8800.0
BUD2026,2026-11,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,8800.0
BUD2026,2026-12,Аренда помещений (вкл. страхование),PLAN_WITHOUT_FACT,9900.0
BUD2026,2026-06,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-07,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-08,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-09,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-10,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-11,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-12,"Расходы на помещения (ремонт, коммуналка)",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-06,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,20700.0
BUD2026,2026-07,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,16200.0
BUD2026,2026-08,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,14600.0
BUD2026,2026-09,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,13600.0
BUD2026,2026-10,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,13250.0
BUD2026,2026-11,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,15250.0
BUD2026,2026-12,"Производство продукции (аутсорсинг), в т.ч.:",PLAN_WITHOUT_FACT,12250.0
BUD2026,2026-06,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,10500.0
BUD2026,2026-07,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,6000.0
BUD2026,2026-08,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,6500.0
BUD2026,2026-09,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,3500.0
BUD2026,2026-10,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,6500.0
BUD2026,2026-11,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,8500.0
BUD2026,2026-12,производство МД (Мокеева+Жукова),PLAN_WITHOUT_FACT,8000.0
BUD2026,2026-06,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,10200.0
BUD2026,2026-07,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,10200.0
BUD2026,2026-08,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,8100.0
BUD2026,2026-09,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,10100.0
BUD2026,2026-10,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,6750.0
BUD2026,2026-11,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,6750.0
BUD2026,2026-12,производство Площадки+ИМ (Меркушина),PLAN_WITHOUT_FACT,4250.0
BUD2026,2026-03,Производство продукции (за рубежом),PLAN_WITHOUT_FACT,10000.0
BUD2026,2026-10,Производство продукции (за рубежом),PLAN_WITHOUT_FACT,10000.0
BUD2026,2026-06,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,21100.0
BUD2026,2026-07,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,17600.0
BUD2026,2026-08,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,4250.0
BUD2026,2026-09,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,25250.0
BUD2026,2026-10,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,13000.0
BUD2026,2026-11,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-12,"Материалы (ткани, фурнитура), в т.ч.:",PLAN_WITHOUT_FACT,5000.0
BUD2026,2026-06,Производство МД,PLAN_WITHOUT_FACT,18000.0
BUD2026,2026-07,Производство МД,PLAN_WITHOUT_FACT,6000.0
BUD2026,2026-08,Производство МД,PLAN_WITHOUT_FACT,5000.0
BUD2026,2026-09,Производство МД,PLAN_WITHOUT_FACT,9000.0
BUD2026,2026-10,Производство МД,PLAN_WITHOUT_FACT,13000.0
BUD2026,2026-11,Производство МД,PLAN_WITHOUT_FACT,4000.0
BUD2026,2026-12,Производство МД,PLAN_WITHOUT_FACT,5000.0
BUD2026,2026-06,Производство ИМ,PLAN_WITHOUT_FACT,1800.0
BUD2026,2026-07,Производство ИМ,PLAN_WITHOUT_FACT,1800.0
BUD2026,2026-08,Производство ИМ,PLAN_WITHOUT_FACT,1800.0
BUD2026,2026-09,Производство ИМ,PLAN_WITHOUT_FACT,1800.0
BUD2026,2026-06,Производство Площадки,PLAN_WITHOUT_FACT,1300.0
BUD2026,2026-07,Производство Площадки,PLAN_WITHOUT_FACT,9800.0
BUD2026,2026-08,Производство Площадки,PLAN_WITHOUT_FACT,8450.0
BUD2026,2026-09,Производство Площадки,PLAN_WITHOUT_FACT,8450.0
BUD2026,2026-06,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-07,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-08,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-09,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-10,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-11,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-12,"Расходы на товар (кофры, коробки, бумага, вешалки)",PLAN_WITHOUT_FACT,750.0
BUD2026,2026-06,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,90765.28000000001
BUD2026,2026-07,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,112250.96389999999
BUD2026,2026-08,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,84457.2758
BUD2026,2026-09,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,66130.1251
BUD2026,2026-10,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,83284.0821
BUD2026,2026-11,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,90983.15460000001
BUD2026,2026-12,"Заработная плата, в том числе:",PLAN_WITHOUT_FACT,181966.30920000002
BUD2026,2026-06,карты,PLAN_WITHOUT_FACT,33200.0
BUD2026,2026-07,карты,PLAN_WITHOUT_FACT,33200.0
BUD2026,2026-08,карты,PLAN_WITHOUT_FACT,33200.0
BUD2026,2026-09,карты,PLAN_WITHOUT_FACT,33200.0
BUD2026,2026-10,карты,PLAN_WITHOUT_FACT,33200.0
BUD2026,2026-11,карты,PLAN_WITHOUT_FACT,33200.0
BUD2026,2026-12,карты,PLAN_WITHOUT_FACT,60000.0
BUD2026,2026-06,наличные,PLAN_WITHOUT_FACT,65000.0
BUD2026,2026-07,наличные,PLAN_WITHOUT_FACT,65000.0
BUD2026,2026-08,наличные,PLAN_WITHOUT_FACT,65000.0
BUD2026,2026-09,наличные,PLAN_WITHOUT_FACT,65000.0
BUD2026,2026-10,наличные,PLAN_WITHOUT_FACT,65000.0
BUD2026,2026-11,наличные,PLAN_WITHOUT_FACT,65000.0
BUD2026,2026-12,наличные,PLAN_WITHOUT_FACT,130000.0
BUD2026,2026-06,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,11500.0
BUD2026,2026-07,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,11500.0
BUD2026,2026-08,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,11500.0
BUD2026,2026-09,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,11500.0
BUD2026,2026-10,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,11500.0
BUD2026,2026-11,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,11500.0
BUD2026,2026-12,"Налоги с зарплаты (НДФЛ, страх.взн)",PLAN_WITHOUT_FACT,12000.0
BUD2026,2026-06,Налоги с доходов,PLAN_WITHOUT_FACT,13000.0
BUD2026,2026-07,Налоги с доходов,PLAN_WITHOUT_FACT,37400.0
BUD2026,2026-08,Налоги с доходов,PLAN_WITHOUT_FACT,12400.0
BUD2026,2026-09,Налоги с доходов,PLAN_WITHOUT_FACT,12400.0
BUD2026,2026-10,Налоги с доходов,PLAN_WITHOUT_FACT,31000.0
BUD2026,2026-11,Налоги с доходов,PLAN_WITHOUT_FACT,11000.0
BUD2026,2026-12,Налоги с доходов,PLAN_WITHOUT_FACT,11000.0
BUD2026,2026-06,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-07,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-08,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-09,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-10,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-11,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-12,Производственные расходы,PLAN_WITHOUT_FACT,400.0
BUD2026,2026-06,Офисные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-07,Офисные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-08,Офисные расходы,PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-09,Офисные расходы,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-10,Офисные расходы,PLAN_WITHOUT_FACT,2500.0
BUD2026,2026-11,Офисные расходы,PLAN_WITHOUT_FACT,2500.0
BUD2026,2026-12,Офисные расходы,PLAN_WITHOUT_FACT,2500.0
BUD2026,2026-06,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,34500.0
BUD2026,2026-07,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,17500.0
BUD2026,2026-08,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,12500.0
BUD2026,2026-09,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,4500.0
BUD2026,2026-10,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,54500.0
BUD2026,2026-11,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,7500.0
BUD2026,2026-12,"Мероприяти, съемки, подарки, стилисты и пр.",PLAN_WITHOUT_FACT,12500.0
BUD2026,2026-06,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-07,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-08,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-09,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-10,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-11,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-12,Транспортные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-06,Командировочные расходы,PLAN_WITHOUT_FACT,5000.0
BUD2026,2026-07,Командировочные расходы,PLAN_WITHOUT_FACT,5000.0
BUD2026,2026-08,Командировочные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-09,Командировочные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-10,Командировочные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-11,Командировочные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-12,Командировочные расходы,PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-06,Агентское вознаграждение,PLAN_WITHOUT_FACT,9000.0
BUD2026,2026-07,Агентское вознаграждение,PLAN_WITHOUT_FACT,0.0
BUD2026,2026-08,Агентское вознаграждение,PLAN_WITHOUT_FACT,0.0
BUD2026,2026-09,Агентское вознаграждение,PLAN_WITHOUT_FACT,9000.0
BUD2026,2026-10,Агентское вознаграждение,PLAN_WITHOUT_FACT,0.0
BUD2026,2026-11,Агентское вознаграждение,PLAN_WITHOUT_FACT,0.0
BUD2026,2026-12,Агентское вознаграждение,PLAN_WITHOUT_FACT,9000.0
BUD2026,2026-06,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,1400.0
BUD2026,2026-07,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-08,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-09,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-10,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-11,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-12,Услуги банка (вкл. эквайринг),PLAN_WITHOUT_FACT,2000.0
BUD2026,2026-05,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-06,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-07,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-08,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-09,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-10,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-11,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-12,Сайт/соцсети,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-06,Юридические услуги,PLAN_WITHOUT_FACT,500.0
BUD2026,2026-07,Юридические услуги,PLAN_WITHOUT_FACT,500.0
BUD2026,2026-09,Юридические услуги,PLAN_WITHOUT_FACT,500.0
BUD2026,2026-10,Юридические услуги,PLAN_WITHOUT_FACT,500.0
BUD2026,2026-12,Юридические услуги,PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-07,Резервный фонд,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-09,Резервный фонд,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-10,Резервный фонд,PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-11,Резервный фонд,PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-12,Резервный фонд,PLAN_WITHOUT_FACT,1000.0
BUD2026,2026-07,Внебюджетные расходы,PLAN_WITHOUT_FACT,300000.0
